e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,chi_H_pie,chi_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
-0.00021773295,-0.00021773295,0.00021773295,0.00021773295,-3.622211e-15,-3.622211e-15,5.5134471e-16,5.5134471e-16,0.00021773295,0.00021773295,-0.072759294,-0.072759294,-3.8422751e-05,-3.8422751e-05,-0.07275871,-0.07275871,-3.8422751e-05,-3.8422751e-05,7.4837693e-19,7.4837693e-19,-3.8707084e-18,-3.8707084e-18,3.8418722e-05,3.8418722e-05,2.6879972e-17,2.6879972e-17,-0.00020547616,-0.00020547616,-0.00020547616,-0.00020547616,2.1788192e-17,2.1788192e-17,-0.00021772892,-0.00021772892,-3.8422751e-05,-3.8422751e-05,-0.00021772892,-0.00021772892,-3.8422751e-05,-3.8422751e-05,5.4640713e-16,5.4640713e-16,-4.8658009e-16,-4.8658009e-16,-0.00025615168,-0.00025615168,5.6245805e-17,5.6245805e-17,0.099743848,0.099743848,1.0778704e-16,1.0778704e-16,-4.0289444e-09,-4.0289444e-09,3.8422751e-05,3.8422751e-05,-4.0289443e-09,-4.0289443e-09,3.8422751e-05,3.8422751e-05,3.8418722e-05,3.8418722e-05,1.4917902e-17,1.4917902e-17,-0.00021773295,-0.00021773295,-0.00021773295,-0.00021773295,3.8418722e-05,3.8418722e-05,1.9520316e-17,1.9520316e-17,-4.0289443e-09,-4.0289443e-09,3.8422751e-05,3.8422751e-05,0.0038418722,0.0038418722,5.5427558e-17,5.5427558e-17,2.4138366,2.4138366,4.5435663e-13,4.5435663e-13,0.18819862,0.18819862,4.9770091e-13,4.9770091e-13,-0.00021773295,-0.00021773295,0.00025615168,0.00025615168,-4.3546591e-05,-4.3546591e-05,1.6628208e-17,1.6628208e-17,-5.6291718e-16,-5.6291718e-16,5.6303977e-16,5.6303977e-16,-1.7432401e-19,-1.7432401e-19,-4.8764052e-20,-4.8764052e-20,-0.1,-0.1,-6.0614824e-20,-6.0614824e-20,0,0,0,0,8.0368104e-07,8.0368104e-07,6.2872051e-33,6.2872051e-33
-0.00042218174,-0.00042218174,0.00042218174,0.00042218174,-4.632308e-15,-4.632308e-15,5.5295402e-16,5.5295402e-16,0.00042218174,0.00042218174,-0.069152961,-0.069152961,-7.4503385e-05,-7.4503385e-05,-0.069151866,-0.069151866,-7.4503385e-05,-7.4503385e-05,-4.0283739e-09,-4.0283739e-09,-2.8084117e-18,-2.8084117e-18,7.45075e-05,7.45075e-05,7.53667e-15,7.53667e-15,-0.00019300349,-0.00019300349,-0.0001930028,-0.0001930028,-5.2419085e-17,-5.2419085e-17,-0.00042218585,-0.00042218585,-7.4503385e-05,-7.4503385e-05,-0.00042218585,-0.00042218585,-7.4503385e-05,-7.4503385e-05,1.5394062e-14,1.5394062e-14,1.2488513e-14,1.2488513e-14,-0.00049668924,-0.00049668924,3.8414551e-14,3.8414551e-14,0.094503311,0.094503311,2.4403917e-14,2.4403917e-14,4.1143767e-09,4.1143767e-09,7.4503385e-05,7.4503385e-05,4.1143941e-09,4.1143941e-09,7.4503386e-05,7.4503386e-05,7.4507501e-05,7.4507501e-05,1.9274546e-17,1.9274546e-17,-0.00042218174,-0.00042218174,-0.00042218174,-0.00042218174,3.6088778e-05,3.6088778e-05,-1.6106766e-15,-1.6106766e-15,8.1433384e-09,8.1433384e-09,3.6080635e-05,3.6080635e-05,0.0036472965,0.0036472965,8.6377123e-17,8.6377123e-17,2.3025633,2.3025633,6.0812774e-13,6.0812774e-13,0.19074288,0.19074288,6.6603585e-13,6.6603585e-13,-0.00042218174,-0.00042218174,0.00049668924,0.00049668924,-8.4436347e-05,-8.4436347e-05,9.1491708e-15,9.1491708e-15,-1.7904332e-15,-1.7904332e-15,1.7911894e-15,1.7911894e-15,7.0322358e-19,7.0322358e-19,1.6546295e-17,1.6546295e-17,-0.095,-0.095,-4.8779602e-17,-4.8779602e-17,1.9690527e-17,1.9690527e-17,-4.1029297e-17,-4.1029297e-17,1.504801e-06,1.504801e-06,4.281032e-29,4.281032e-29
-0.00061421883,-0.00061421883,0.00061421883,0.00061421883,-4.4359048e-15,-4.4359048e-15,6.2678637e-16,6.2678637e-16,0.00061421883,0.00061421883,-0.065726585,-0.065726585,-0.0001083909,-0.0001083909,-0.065725047,-0.065725047,-0.0001083909,-0.0001083909,8.6548225e-11,8.6548225e-11,-1.8507556e-18,-1.8507556e-18,0.00010838718,0.00010838718,7.9836516e-15,7.9836516e-15,-0.00018097313,-0.00018097313,-0.00018097247,-0.00018097247,-6.5762939e-17,-6.5762939e-17,-0.00061421511,-0.00061421511,-0.0001083909,-0.0001083909,-0.00061421511,-0.00061421511,-0.0001083909,-0.0001083909,1.4663141e-14,1.4663141e-14,1.1302352e-14,1.1302352e-14,-0.00072260601,-0.00072260601,3.6097594e-14,3.6097594e-14,0.089527394,0.089527394,1.2484639e-14,1.2484639e-14,-3.718208e-09,-3.718208e-09,0.0001083909,0.0001083909,-3.7181913e-09,-3.7181913e-09,0.0001083909,0.0001083909,0.00010838718,0.00010838718,1.3068244e-17,1.3068244e-17,-0.00061421883,-0.00061421883,-0.00061421883,-0.00061421883,3.3879684e-05,3.3879684e-05,-1.5136706e-15,-1.5136706e-15,-7.8325854e-09,-7.8325854e-09,3.3887517e-05,3.3887517e-05,0.0034624759,0.0034624759,4.4570708e-17,4.4570708e-17,2.1967532,2.1967532,6.1576849e-13,6.1576849e-13,0.19303266,0.19303266,6.7599845e-13,6.7599845e-13,-0.00061421883,-0.00061421883,0.00072260602,0.00072260602,-0.00012284377,-0.00012284377,8.7410372e-15,8.7410372e-15,-2.985443e-15,-2.985443e-15,2.9872779e-15,2.9872779e-15,1.5252669e-18,1.5252669e-18,3.078083e-17,3.078083e-17,-0.09025,-0.09025,-8.9596699e-17,-8.9596699e-17,3.6522523e-17,3.6522523e-17,-7.5170295e-17,-7.5170295e-17,2.114748e-06,2.114748e-06,6.991252e-29,6.991252e-29
-0.00079428578,-0.00079428578,0.00079428578,0.00079428578,-4.2345684e-15,-4.2345684e-15,6.9729786e-16,6.9729786e-16,0.00079428578,0.00079428578,-0.062471152,-0.062471152,-0.00014016875,-0.00014016875,-0.062469229,-0.062469229,-0.00014016875,-0.00014016875,-3.6311381e-09,-3.6311381e-09,-9.8773203e-19,-9.8773203e-19,0.00014017254,0.00014017254,8.3898837e-15,8.3898837e-15,-0.00016976491,-0.00016976491,-0.00016976428,-0.00016976428,-7.7218846e-17,-7.7218846e-17,-0.00079428957,-0.00079428957,-0.00014016875,-0.00014016875,-0.00079428957,-0.00079428957,-0.00014016875,-0.00014016875,1.3967628e-14,1.3967628e-14,1.018842e-14,1.018842e-14,-0.00093445831,-0.00093445831,3.3906916e-14,3.3906916e-14,0.084803042,0.084803042,3.9860854e-15,3.9860854e-15,3.7911426e-09,3.7911426e-09,0.00014016875,0.00014016875,3.7911586e-09,3.7911586e-09,0.00014016875,0.00014016875,0.00014017254,0.00014017254,-2.3621941e-18,-2.3621941e-18,-0.00079428578,-0.00079428578,-0.00079428578,-0.00079428578,3.1785354e-05,3.1785354e-05,-1.4209898e-15,-1.4209898e-15,7.50935e-09,7.50935e-09,3.1777845e-05,3.1777845e-05,0.0032869226,0.0032869226,-2.2366582e-18,-2.2366582e-18,2.0961346,2.0961346,6.2210728e-13,6.2210728e-13,0.19508203,0.19508203,6.8471936e-13,6.8471936e-13,-0.00079428578,-0.00079428578,0.00093445831,0.00093445831,-0.00015885716,-0.00015885716,8.3560616e-15,8.3560616e-15,-4.1476301e-15,-4.1476301e-15,4.1509271e-15,4.1509271e-15,2.2947595e-18,2.2947595e-18,4.2924576e-17,4.2924576e-17,-0.0857375,-0.0857375,-1.2345992e-16,-1.2345992e-16,5.0825302e-17,5.0825302e-17,-1.0325891e-16,-1.0325891e-16,2.6437137e-06,2.6437137e-06,8.5751387e-29,8.5751387e-29
-0.0009632006,-0.0009632006,0.0009632006,0.0009632006,-4.0295458e-15,-4.0295458e-15,7.6480519e-16,7.6480519e-16,0.0009632006,0.0009632006,-0.059378145,-0.059378145,-0.00016997597,-0.00016997597,-0.059375889,-0.059375889,-0.00016997597,-0.00016997597,1.6050351e-10,1.6050351e-10,-2.1030661e-19,-2.1030661e-19,0.00016997254,0.00016997254,8.75831e-15,8.75831e-15,-0.00015895256,-0.00015895256,-0.00015895196,-0.00015895196,-8.6996544e-17,-8.6996544e-17,-0.00096319717,-0.00096319717,-0.00016997597,-0.00016997597,-0.00096319717,-0.00096319717,-0.00016997597,-0.00016997597,1.3305824e-14,1.3305824e-14,9.1422549e-15,9.1422549e-15,-0.0011331731,-0.0011331731,3.1835443e-14,3.1835443e-14,0.080317452,0.080317452,-1.9703348e-15,-1.9703348e-15,-3.4314415e-09,-3.4314415e-09,0.00016997597,0.00016997597,-3.4314262e-09,-3.4314262e-09,0.00016997597,0.00016997597,0.00016997254,0.00016997254,-2.582176e-17,-2.582176e-17,-0.0009632006,-0.0009632006,-0.0009632006,-0.0009632006,2.9800002e-05,2.9800002e-05,-1.3324917e-15,-1.3324917e-15,-7.2225848e-09,-7.2225848e-09,2.9807224e-05,2.9807224e-05,0.0031201727,0.0031201727,-5.328852e-17,-5.328852e-17,2.0004487,2.0004487,6.2725049e-13,6.2725049e-13,0.19690438,0.19690438,6.9228688e-13,6.9228688e-13,-0.0009632006,-0.0009632006,0.0011331731,0.0011331731,-0.00019264012,-0.00019264012,7.9926733e-15,7.9926733e-15,-5.2766884e-15,-5.2766884e-15,5.2817758e-15,5.2817758e-15,3.0145044e-18,3.0145044e-18,5.3218625e-17,5.3218625e-17,-0.081450625,-0.081450625,-1.512145e-16,-1.512145e-16,6.2893085e-17,6.2893085e-17,-1.2604001e-16,-1.2604001e-16,3.1008144e-06,3.1008144e-06,9.3609852e-29,9.3609852e-29
-0.0011213572,-0.0011213572,0.0011213572,0.0011213572,-3.8222463e-15,-3.8222463e-15,8.2963538e-16,8.2963538e-16,0.0011213572,0.0011213572,-0.056439426,-0.056439426,-0.00019788718,-0.00019788718,-0.056436885,-0.056436885,-0.00019788718,-0.00019788718,-3.2704605e-09,-3.2704605e-09,4.8967687e-19,4.8967687e-19,0.00019789067,0.00019789067,9.0914993e-15,9.0914993e-15,-0.00014888566,-0.00014888566,-0.00014888508,-0.00014888508,-9.5289113e-17,-9.5289113e-17,-0.0011213607,-0.0011213607,-0.00019788718,-0.00019788718,-0.0011213607,-0.0011213607,-0.00019788718,-0.00019788718,1.2676113e-14,1.2676113e-14,8.1597457e-15,8.1597457e-15,-0.0013192479,-0.0013192479,2.9876571e-14,2.9876571e-14,0.076058846,0.076058846,-6.0423592e-15,-6.0423592e-15,3.4933298e-09,3.4933298e-09,0.00019788718,0.00019788718,3.4933445e-09,3.4933445e-09,0.00019788718,0.00019788718,0.00019789068,0.00019789068,-5.6247939e-17,-5.6247939e-17,-0.0011213572,-0.0011213572,-0.0011213572,-0.0011213572,2.7918134e-05,2.7918134e-05,-1.2480368e-15,-1.2480368e-15,6.9247706e-09,6.9247706e-09,2.791121e-05,2.791121e-05,0.002961786,0.002961786,-1.0793316e-16,-1.0793316e-16,1.90945,1.90945,6.3129424e-13,6.3129424e-13,0.19851235,0.19851235,6.9878207e-13,6.9878207e-13,-0.0011213572,-0.0011213572,0.0013192479,0.0013192479,-0.00022427144,-0.00022427144,7.6494018e-15,7.6494018e-15,-6.3726978e-15,-6.3726978e-15,6.3798519e-15,6.3798519e-15,3.687161e-18,3.687161e-18,6.1878375e-17,6.1878375e-17,-0.077378094,-0.077378094,-1.7361362e-16,-1.7361362e-16,7.2988618e-17,7.2988618e-17,-1.4417694e-16,-1.4417694e-16,3.4942016e-06,3.4942016e-06,9.5907721e-29,9.5907721e-29
-0.0012694973,-0.0012694973,0.0012694973,0.0012694973,-3.6136458e-15,-3.6136458e-15,8.920374e-16,8.920374e-16,0.0012694973,0.0012694973,-0.053647311,-0.053647311,-0.00022402837,-0.00022402837,-0.053644524,-0.053644524,-0.00022402837,-0.00022402837,2.2332621e-10,2.2332621e-10,1.1195831e-18,1.1195831e-18,0.00022402521,0.00022402521,9.3919769e-15,9.3919769e-15,-0.00013917173,-0.00013917173,-0.00013917118,-0.00013917118,-1.02264e-16,-1.02264e-16,-0.0012694941,-0.0012694941,-0.00022402837,-0.00022402837,-0.0012694941,-0.0012694941,-0.00022402837,-0.00022402837,1.2076949e-14,1.2076949e-14,7.2370073e-15,7.2370073e-15,-0.0014935225,-0.0014935225,2.8024045e-14,2.8024045e-14,0.072015667,0.072015667,-8.7222364e-15,-8.7222364e-15,-3.1667628e-09,-3.1667628e-09,0.00022402837,0.00022402837,-3.1667487e-09,-3.1667487e-09,0.00022402837,0.00022402837,0.00022402521,0.00022402521,-9.2693438e-17,-9.2693438e-17,-0.0012694973,-0.0012694973,-0.0012694973,-0.0012694973,2.6134531e-05,2.6134531e-05,-1.1674822e-15,-1.1674822e-15,-6.6600932e-09,-6.6600932e-09,2.6141192e-05,2.6141192e-05,0.0028113438,0.0028113438,-1.6557532e-16,-1.6557532e-16,1.8229051,1.8229051,6.3432806e-13,6.3432806e-13,0.199918,0.199918,7.042808e-13,7.042808e-13,-0.0012694973,-0.0012694973,0.0014935225,0.0014935225,-0.00025389946,-0.00025389946,7.3249112e-15,7.3249112e-15,-7.4357073e-15,-7.4357073e-15,7.4451589e-15,7.4451589e-15,4.3152531e-18,4.3152531e-18,6.9096174e-17,6.9096174e-17,-0.073509189,-0.073509189,-1.9132795e-16,-1.9132795e-16,8.1346419e-17,8.1346419e-17,-1.5825999e-16,-1.5825999e-16,3.8311606e-06,3.8311606e-06,9.4420535e-29,9.4420535e-29
-0.0014079721,-0.0014079721,0.0014079721,0.0014079721,-3.405479e-15,-3.405479e-15,9.5227416e-16,9.5227416e-16,0.0014079721,0.0014079721,-0.050994453,-0.050994453,-0.00024846622,-0.00024846622,-0.050991458,-0.050991458,-0.00024846622,-0.00024846622,-2.9429992e-09,-2.9429992e-09,1.6860633e-18,1.6860633e-18,0.00024846944,0.00024846944,9.6619397e-15,9.6619397e-15,-0.00013013372,-0.00013013372,-0.0001301332,-0.0001301332,-1.080759e-16,-1.080759e-16,-0.0014079753,-0.0014079753,-0.00024846622,-0.00024846622,-0.0014079753,-0.0014079753,-0.00024846622,-0.00024846622,1.1506861e-14,1.1506861e-14,6.37046e-15,6.37046e-15,-0.0016564415,-0.0016564415,2.6272023e-14,2.6272023e-14,0.068177288,0.068177288,-1.0378059e-14,-1.0378059e-14,3.2189346e-09,3.2189346e-09,0.00024846622,0.00024846622,3.2189481e-09,3.2189481e-09,0.00024846622,0.00024846622,0.00024846944,0.00024846944,-1.343175e-16,-1.343175e-16,-0.0014079721,-0.0014079721,-0.0014079721,-0.0014079721,2.4444237e-05,2.4444237e-05,-1.0906891e-15,-1.0906891e-15,6.3856968e-09,6.3856968e-09,2.4437851e-05,2.4437851e-05,0.0026684489,0.0026684489,-2.2570595e-16,-2.2570595e-16,1.7405925,1.7405925,6.3643285e-13,6.3643285e-13,0.20113274,0.20113274,7.0885276e-13,7.0885276e-13,-0.0014079721,-0.0014079721,0.0016564415,0.0016564415,-0.00028159441,-0.00028159441,7.0179471e-15,7.0179471e-15,-8.4660854e-15,-8.4660854e-15,8.4780222e-15,8.4780222e-15,4.9011749e-18,4.9011749e-18,7.5043707e-17,7.5043707e-17,-0.06983373,-0.06983373,-2.0495426e-16,-2.0495426e-16,8.8175701e-17,8.8175701e-17,-1.6881403e-16,-1.6881403e-16,4.118199e-06,4.118199e-06,9.0443846e-29,9.0443846e-29
-0.0015374541,-0.0015374541,0.0015374541,0.0015374541,-3.1970954e-15,-3.1970954e-15,1.0105405e-15,1.0105405e-15,0.0015374541,0.0015374541,-0.048473915,-0.048473915,-0.00027131491,-0.00027131491,-0.048470744,-0.048470744,-0.00027131491,-0.00027131491,2.7635432e-10,2.7635432e-10,2.1951249e-18,2.1951249e-18,0.00027131198,0.00027131198,9.9035597e-15,9.9035597e-15,-0.00012141029,-0.00012141029,-0.00012140979,-0.00012140979,-1.1285823e-16,-1.1285823e-16,-0.0015374511,-0.0015374511,-0.00027131491,-0.00027131491,-0.0015374511,-0.0015374511,-0.00027131491,-0.00027131491,1.0964445e-14,1.0964445e-14,5.5567133e-15,5.5567133e-15,-0.001808766,-0.001808766,2.4614966e-14,2.4614966e-14,0.064533277,0.064533277,-1.1284942e-14,-1.1284942e-14,-2.922475e-09,-2.922475e-09,0.00027131491,0.00027131491,-2.9224621e-09,-2.9224621e-09,0.00027131491,0.00027131491,0.00027131198,0.00027131198,-1.8037157e-16,-1.8037157e-16,-0.0015374541,-0.0015374541,-0.0015374541,-0.0015374541,2.284254e-05,2.284254e-05,-1.0175167e-15,-1.0175167e-15,-6.1414102e-09,-6.1414102e-09,2.2848681e-05,2.2848681e-05,0.0025327234,0.0025327234,-2.8785873e-16,-2.8785873e-16,1.6623015,1.6623015,6.3768412e-13,6.3768412e-13,0.20216738,0.20216738,7.1256332e-13,7.1256332e-13,-0.0015374541,-0.0015374541,0.001808766,0.001808766,-0.00030749081,-0.00030749081,6.72737e-15,6.72737e-15,-9.4641399e-15,-9.4641399e-15,9.478713e-15,9.478713e-15,5.4471984e-18,5.4471984e-18,7.9874127e-17,7.9874127e-17,-0.066342043,-0.066342043,-2.1502317e-16,-2.1502317e-16,9.3662994e-17,9.3662994e-17,-1.7630541e-16,-1.7630541e-16,4.3611271e-06,4.3611271e-06,8.4915998e-29,8.4915998e-29
-0.0016582563,-0.0016582563,0.0016582563,0.0016582563,-2.9902296e-15,-2.9902296e-15,1.0670479e-15,1.0670479e-15,0.0016582563,0.0016582563,-0.046079069,-0.046079069,-0.00029263399,-0.00029263399,-0.046075749,-0.046075749,-0.00029263399,-0.00029263399,-2.6457195e-09,-2.6457195e-09,2.6521955e-18,2.6521955e-18,0.00029263695,0.00029263695,1.0118721e-14,1.0118721e-14,-0.00011329976,-0.00011329976,-0.00011329928,-0.00011329928,-1.1673478e-16,-1.1673478e-16,-0.0016582593,-0.0016582593,-0.00029263399,-0.00029263399,-0.0016582593,-0.0016582593,-0.00029263399,-0.00029263399,1.0448363e-14,1.0448363e-14,4.7926419e-15,4.7926419e-15,-0.0019508932,-0.0019508932,2.3047695e-14,2.3047695e-14,0.061074048,0.061074048,-1.1648228e-14,-1.1648228e-14,2.966112e-09,2.966112e-09,0.00029263399,0.00029263399,2.9661245e-09,2.9661245e-09,0.00029263399,0.00029263399,0.00029263695,0.00029263695,-2.3019266e-16,-2.3019266e-16,-0.0016582563,-0.0016582563,-0.0016582563,-0.0016582563,2.1324969e-05,2.1324969e-05,-9.4782907e-16,-9.4782907e-16,5.8885865e-09,5.8885865e-09,2.131908e-05,2.131908e-05,0.0024038089,0.0024038089,-3.5163844e-16,-3.5163844e-16,1.587832,1.587832,6.381501e-13,6.381501e-13,0.20303222,0.20303222,7.1547255e-13,7.1547255e-13,-0.0016582563,-0.0016582563,0.0019508932,0.0019508932,-0.00033165126,-0.00033165126,6.452107e-15,6.452107e-15,-1.0430444e-14,-1.0430444e-14,1.0447769e-14,1.0447769e-14,5.9554788e-18,5.9554788e-18,8.3723982e-17,8.3723982e-17,-0.063024941,-0.063024941,-2.220061e-16,-2.220061e-16,9.7974501e-17,9.7974501e-17,-1.8114808e-16,-1.8114808e-16,4.5651296e-06,4.5651296e-06,7.8510267e-29,7.8510267e-29
