e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
0.0042322795,0.0042322795,0.66385242,0.66385242,0.6680847,0.6680847,-0.045560632,-0.045560632,0.66385242,-0.049792911,-0.25913281,-0.25913281,0.09119624,0.09119624,-0.25910294,-0.25910294,0.091282032,0.091282032,-0.00027463034,-0.00027463034,-0.00267382,-0.00267382,9.9940386e-05,9.9940386e-05,9.9940386e-05,9.9940386e-05,-0.00401073,-0.00401073,-0.66385275,-0.66385275,0.048509415,0.048509415,-0.56404112,-0.56404112,0.0075101313,0.0075101313,-0.099811632,-0.099811632,0.040999284,0.040999284,-0.55653099,-0.55653099,-0.058812347,-0.058812347,-0.55653099,-0.55653099,-0.058812347,-0.058812347,3.3313462e-07,3.3313462e-07,-0.0029487835,-0.0029487835,3.3313462e-07,3.3313462e-07,-0.0029487835,-0.0029487835,-0.00027463034,-0.00027463034,-0.00267382,-0.00267382,-0.55680562,-0.55680562,-0.66385242,-0.66385242,-0.00027463034,-0.00027463034,-0.00267382,-0.00267382,3.3313462e-07,3.3313462e-07,-0.0029487835,-0.0029487835,-0.027463034,-0.027463034,-0.01069528,-0.01069528,11.141942,11.141942,-0.93384058,-0.93384058,29.891261,29.891261,-0.62259533,-0.62259533,0.0015584595,0.0015584595,-0.0045069098,-0.0045069098,-0.11136112,-0.11136112,-0.012297233,-0.012297233,0.1070468,0.1070468,-0.10659566,-0.10659566,0.0199,0.0199,6.1551018e-18,6.1551018e-18,0,0,5.0517612e-17,5.0517612e-17,0,0,0,0,4.1067182e-05,4.1067182e-05,0.00011796367,0.00011796367
0.0083223965,0.0083223965,0.64375298,0.64375298,0.65207537,0.65207537,-0.041569956,-0.041569956,0.64375298,-0.049892352,-0.2516856,-0.2516856,0.08883882,0.08883882,-0.25162915,-0.25162915,0.088985055,0.088985055,-0.00053520951,-0.00053520951,-0.0052861421,-0.0052861421,5.3081492e-05,5.3081492e-05,5.3081492e-05,5.3081492e-05,-0.0039184832,-0.0039184832,-0.64375349,-0.64375349,0.047391817,0.047391817,-0.5467351,-0.5467351,0.0075641343,0.0075641343,-0.097018385,-0.097018385,0.039827683,0.039827683,-0.53917097,-0.53917097,-0.057190702,-0.057190702,-0.53917097,-0.53917097,-0.057190702,-0.057190702,5.1007293e-07,5.1007293e-07,-0.0058218617,-0.0058218617,5.1007293e-07,5.1007293e-07,-0.0058218617,-0.0058218617,-0.00053520951,-0.00053520951,-0.0052861421,-0.0052861421,-0.53970618,-0.53970618,-0.64375298,-0.64375298,-0.00026057917,-0.00026057917,-0.0026123221,-0.0026123221,1.7693831e-07,1.7693831e-07,-0.0028730782,-0.0028730782,-0.026332547,-0.026332547,-0.013123109,-0.013123109,11.164348,11.164348,-1.079416,-1.079416,29.189977,29.189977,-0.69087749,-0.69087749,0.0030362544,0.0030362544,-0.008857606,-0.008857606,-0.10794124,-0.10794124,-0.012495369,-0.012495369,0.21163152,0.21163152,-0.20988478,-0.20988478,0.0194423,0.0194423,1.7947035e-16,1.7947035e-16,-5.8690328e-18,-5.8690328e-18,-3.0497758e-16,-3.0497758e-16,-5.0443175e-16,-5.0443175e-16,3.1996116e-17,3.1996116e-17,7.7628879e-05,7.7628879e-05,0.0002010725,0.0002010725
0.012274103,0.012274103,0.62416016,0.62416016,0.63643426,0.63643426,-0.037671065,-0.037671065,0.62416016,-0.049945168,-0.24441367,-0.24441367,0.086545267,0.086545267,-0.24433363,-0.24433363,0.08673311,0.08673311,-0.00078214396,-0.00078214396,-0.0078383808,-0.0078383808,7.7801092e-06,7.7801092e-06,7.7801092e-06,7.7801092e-06,-0.0038283581,-0.0038283581,-0.6241607,-0.6241607,0.046292126,0.046292126,-0.52987131,-0.52987131,0.0076090968,0.0076090968,-0.094289382,-0.094289382,0.038683029,0.038683029,-0.52226222,-0.52226222,-0.055606354,-0.055606354,-0.52226222,-0.52226222,-0.055606354,-0.055606354,5.3600663e-07,5.3600663e-07,-0.0086210608,-0.0086210608,5.3600662e-07,5.3600662e-07,-0.0086210608,-0.0086210608,-0.00078214396,-0.00078214396,-0.0078383808,-0.0078383808,-0.52304436,-0.52304436,-0.62416016,-0.62416016,-0.00024693446,-0.00024693446,-0.0025522387,-0.0025522387,2.5933697e-08,2.5933697e-08,-0.0027991991,-0.0027991991,-0.025228655,-0.025228655,-0.015495097,-0.015495097,11.18807,11.18807,-1.2216433,-1.2216433,28.507217,28.507217,-0.75758916,-0.75758916,0.0044357225,0.0044357225,-0.013056247,-0.013056247,-0.10460887,-0.10460887,-0.012688947,-0.012688947,0.3138108,0.3138108,-0.31000575,-0.31000575,0.018995127,0.018995127,3.2960638e-16,3.2960638e-16,-7.5812795e-18,-7.5812795e-18,-6.0664278e-16,-6.0664278e-16,-9.432511e-16,-9.432511e-16,5.5127602e-17,5.5127602e-17,0.00011005436,0.00011005436,0.00025828409,0.00025828409
0.016091061,0.016091061,0.60506184,0.60506184,0.6211529,0.6211529,-0.033861849,-0.033861849,0.60506184,-0.049952909,-0.23731309,-0.23731309,0.084309751,0.084309751,-0.23721222,-0.23721222,0.084525246,0.084525246,-0.0010158299,-0.0010158299,-0.010331918,-0.010331918,-3.600475e-05,-3.600475e-05,-3.600475e-05,-3.600475e-05,-0.0037403058,-0.0037403058,-0.60506226,-0.60506226,0.045210013,0.045210013,-0.51343911,-0.51343911,0.0076453109,0.0076453109,-0.091623147,-0.091623147,0.037564702,0.037564702,-0.5057938,-0.5057938,-0.054058446,-0.054058446,-0.5057938,-0.5057938,-0.054058446,-0.054058446,4.159908e-07,4.159908e-07,-0.011348164,-0.011348164,4.1599079e-07,4.1599079e-07,-0.011348164,-0.011348164,-0.0010158299,-0.0010158299,-0.010331918,-0.010331918,-0.50680963,-0.50680963,-0.60506184,-0.60506184,-0.00023368595,-0.00023368595,-0.0024935372,-0.0024935372,-1.2001583e-07,-1.2001583e-07,-0.0027271032,-0.0027271032,-0.024150739,-0.024150739,-0.01781253,-0.01781253,11.213058,11.213058,-1.3605993,-1.3605993,27.842531,27.842531,-0.82276647,-0.82276647,0.0057591428,0.0057591428,-0.017106891,-0.017106891,-0.10136193,-0.10136193,-0.012878073,-0.012878073,0.41363995,0.41363995,-0.40708945,-0.40708945,0.018558239,0.018558239,4.5902593e-16,4.5902593e-16,-5.4230461e-18,-5.4230461e-18,-8.602751e-16,-8.602751e-16,-1.3233965e-15,-1.3233965e-15,7.0411218e-17,7.0411218e-17,0.00013868849,0.00013868849,0.00029630558,0.00029630558
0.01977684,0.01977684,0.58644617,0.58644617,0.60622301,0.60622301,-0.030140244,-0.030140244,0.58644617,-0.049917085,-0.23038001,-0.23038001,0.08212769,0.08212769,-0.23026085,-0.23026085,0.082360531,0.082360531,-0.0012366536,-0.0012366536,-0.012768104,-0.012768104,-7.8313074e-05,-7.8313074e-05,-7.8313074e-05,-7.8313074e-05,-0.0036542788,-0.0036542788,-0.58644632,-0.58644632,0.044145157,0.044145157,-0.49742809,-0.49742809,0.0076730607,0.0076730607,-0.089018236,-0.089018236,0.036472096,0.036472096,-0.48975503,-0.48975503,-0.05254614,-0.05254614,-0.48975503,-0.48975503,-0.05254614,-0.05254614,1.5494722e-07,1.5494722e-07,-0.014004912,-0.014004912,1.5494721e-07,1.5494721e-07,-0.014004912,-0.014004912,-0.0012366536,-0.0012366536,-0.012768104,-0.012768104,-0.49099168,-0.49099168,-0.58644617,-0.58644617,-0.00022082365,-0.00022082365,-0.0024361859,-0.0024361859,-2.6104358e-07,-2.6104358e-07,-0.0026567485,-0.0026567485,-0.023098195,-0.023098195,-0.020076662,-0.020076662,11.239264,11.239264,-1.4963593,-1.4963593,27.195476,27.195476,-0.8864447,-0.8864447,0.0070087365,0.0070087365,-0.021013494,-0.021013494,-0.098198336,-0.098198336,-0.013062849,-0.013062849,0.51117303,0.51117303,-0.5012597,-0.5012597,0.0181314,0.0181314,5.6994201e-16,5.6994201e-16,3.3536908e-19,3.3536908e-19,-1.0710825e-15,-1.0710825e-15,-1.6511035e-15,-1.6511035e-15,7.8759048e-17,7.8759048e-17,0.0001638531,0.0001638531,0.00032015671,0.00032015671
0.023334926,0.023334926,0.56830158,0.56830158,0.5916365,0.5916365,-0.026504237,-0.026504237,0.56830158,-0.049839163,-0.2236107,-0.2236107,0.079995443,0.079995443,-0.22347553,-0.22347553,0.080238056,0.080238056,-0.0014449914,-0.0014449914,-0.015148258,-0.015148258,-0.00011918388,-0.00011918388,-0.00011918388,-0.00011918388,-0.0035702304,-0.0035702304,-0.56830133,-0.56830133,0.043097243,0.043097243,-0.4818281,-0.4818281,0.0076926232,0.0076926232,-0.086473237,-0.086473237,0.03540462,0.03540462,-0.47413547,-0.47413547,-0.051068617,-0.051068617,-0.47413547,-0.47413547,-0.051068617,-0.051068617,-2.4233238e-07,-2.4233238e-07,-0.016593007,-0.016593007,-2.4233239e-07,-2.4233239e-07,-0.016593007,-0.016593007,-0.0014449914,-0.0014449914,-0.015148258,-0.015148258,-0.47558047,-0.47558047,-0.56830158,-0.56830158,-0.0002083378,-0.0002083378,-0.0023801536,-0.0023801536,-3.972796e-07,-3.972796e-07,-0.0025880941,-0.0025880941,-0.022070433,-0.022070433,-0.022288718,-0.022288718,11.266639,11.266639,-1.6289969,-1.6289969,26.565622,26.565622,-0.94865833,-0.94865833,0.0081866688,0.0081866688,-0.024779918,-0.024779918,-0.095116093,-0.095116093,-0.013243375,-0.013243375,0.60646285,0.60646285,-0.59263378,-0.59263378,0.017714377,0.017714377,6.6434298e-16,6.6434298e-16,9.4388382e-18,9.4388382e-18,-1.2437428e-15,-1.2437428e-15,-1.9319754e-15,-1.9319754e-15,8.0989041e-17,8.0989041e-17,0.00018584839,0.00018584839,0.0003335922,0.0003335922
0.026768718,0.026768718,0.55061677,0.55061677,0.57738549,0.57738549,-0.022951858,-0.022951858,0.55061677,-0.049720575,-0.21700145,-0.21700145,0.077910079,0.077910079,-0.21685239,-0.21685239,0.078156929,0.078156929,-0.0016412102,-0.0016412102,-0.017473668,-0.017473668,-0.00015865523,-0.00015865523,-0.00015865523,-0.00015865523,-0.0034881151,-0.0034881151,-0.550616,-0.550616,0.042065964,0.042065964,-0.46662923,-0.46662923,0.0077042678,0.0077042678,-0.083986773,-0.083986773,0.034361696,0.034361696,-0.45892496,-0.45892496,-0.049625077,-0.049625077,-0.45892496,-0.45892496,-0.049625077,-0.049625077,-7.7118315e-07,-7.7118315e-07,-0.019114107,-0.019114107,-7.7118315e-07,-7.7118315e-07,-0.019114107,-0.019114107,-0.0016412102,-0.0016412102,-0.017473668,-0.017473668,-0.46056617,-0.46056617,-0.55061677,-0.55061677,-0.00019621886,-0.00019621886,-0.0023254101,-0.0023254101,-5.2885076e-07,-5.2885076e-07,-0.0025211001,-0.0025211001,-0.021066878,-0.021066878,-0.024449898,-0.024449898,11.295139,11.295139,-1.7585837,-1.7585837,25.952548,25.952548,-1.009441,-1.009441,0.00929505,0.00929505,-0.028409928,-0.028409928,-0.092113234,-0.092113234,-0.013419749,-0.013419749,0.699561,0.699561,-0.68132286,-0.68132286,0.017306947,0.017306947,7.4401506e-16,7.4401506e-16,2.1646608e-17,2.1646608e-17,-1.3824572e-15,-1.3824572e-15,-2.1710465e-15,-2.1710465e-15,7.7834493e-17,7.7834493e-17,0.00020495416,0.00020495416,0.00033941843,0.00033941843
0.03008153,0.03008153,0.53338072,0.53338072,0.56346225,0.56346225,-0.019481183,-0.019481183,0.53338072,-0.049562713,-0.21054867,-0.21054867,0.075869204,0.075869204,-0.21038763,-0.21038763,0.076116281,0.076116281,-0.0018256678,-0.0018256678,-0.019745593,-0.019745593,-0.00019676426,-0.00019676426,-0.00019676426,-0.00019676426,-0.0034078885,-0.0034078885,-0.53337929,-0.53337929,0.041051017,0.041051017,-0.45182179,-0.45182179,0.0077082572,0.0077082572,-0.081557498,-0.081557498,0.03334276,0.03334276,-0.44411353,-0.44411353,-0.048214738,-0.048214738,-0.44411353,-0.44411353,-0.048214738,-0.048214738,-1.427064e-06,-1.427064e-06,-0.021569834,-0.021569834,-1.427064e-06,-1.427064e-06,-0.021569834,-0.021569834,-0.0018256678,-0.0018256678,-0.019745593,-0.019745593,-0.4459392,-0.4459392,-0.53338072,-0.53338072,-0.00018445755,-0.00018445755,-0.0022719256,-0.0022719256,-6.5588086e-07,-6.5588086e-07,-0.0024557273,-0.0024557273,-0.020086966,-0.020086966,-0.02656137,-0.02656137,11.324719,11.324719,-1.8851901,-1.8851901,25.355844,25.355844,-1.0688258,-1.0688258,0.010335937,0.010335937,-0.031907198,-0.031907198,-0.08918784,-0.08918784,-0.013592066,-0.013592066,0.7905179,0.7905179,-0.76743236,-0.76743236,0.016908887,0.016908887,8.1056266e-16,8.1056266e-16,3.6731545e-17,3.6731545e-17,-1.4909977e-15,-1.4909977e-15,-2.3728395e-15,-2.3728395e-15,6.9952571e-17,6.9952571e-17,0.00022143101,0.00022143101,0.00033973098,0.00033973098
0.033276599,0.033276599,0.51658264,0.51658264,0.54985924,0.54985924,-0.016090334,-0.016090334,0.51658264,-0.049366933,-0.20424882,-0.20424882,0.073870829,0.073870829,-0.20407753,-0.20407753,0.07411526,0.07411526,-0.0019987126,-0.0019987126,-0.021965265,-0.021965265,-0.00023354719,-0.00023354719,-0.00023354719,-0.00023354719,-0.003329507,-0.003329507,-0.51658043,-0.51658043,0.040052106,0.040052106,-0.43739634,-0.43739634,0.0077048468,0.0077048468,-0.079184096,-0.079184096,0.032347259,0.032347259,-0.42969149,-0.42969149,-0.046836837,-0.046836837,-0.42969149,-0.42969149,-0.046836837,-0.046836837,-2.2055546e-06,-2.2055546e-06,-0.023961772,-0.023961772,-2.2055546e-06,-2.2055546e-06,-0.023961772,-0.023961772,-0.0019987126,-0.0019987126,-0.021965265,-0.021965265,-0.4316902,-0.4316902,-0.51658264,-0.51658264,-0.00017304479,-0.00017304479,-0.0022196713,-0.0022196713,-7.7849063e-07,-7.7849063e-07,-0.0023919376,-0.0023919376,-0.019130147,-0.019130147,-0.028624279,-0.028624279,11.355334,11.355334,-2.0088845,-2.0088845,24.775109,24.775109,-1.1268446,-1.1268446,0.011311334,0.011311334,-0.035275311,-0.035275311,-0.086338041,-0.086338041,-0.01376042,-0.01376042,0.87938279,0.87938279,-0.85106233,-0.85106233,0.016519983,0.016519983,8.6542662e-16,8.6542662e-16,5.4479419e-17,5.4479419e-17,-1.5727508e-15,-1.5727508e-15,-2.5414165e-15,-2.5414165e-15,5.7932e-17,5.7932e-17,0.00023552148,0.00023552148,0.00033609276,0.00033609276
0.036357079,0.036357079,0.50021202,0.50021202,0.5365691,0.5365691,-0.012777475,-0.012777475,0.50021202,-0.049134553,-0.19809845,-0.19809845,0.071913275,0.071913275,-0.19791848,-0.19791848,0.072153033,0.072153033,-0.0021606843,-0.0021606843,-0.024133883,-0.024133883,-0.00026903937,-0.00026903937,-0.00026903937,-0.00026903937,-0.0032529284,-0.0032529284,-0.50020892,-0.50020892,0.03906894,0.03906894,-0.42334364,-0.42334364,0.0076942857,0.0076942857,-0.076865283,-0.076865283,0.031374654,0.031374654,-0.41564935,-0.41564935,-0.045490628,-0.045490628,-0.41564935,-0.41564935,-0.045490628,-0.045490628,-3.1023525e-06,-3.1023525e-06,-0.026291465,-0.026291465,-3.1023525e-06,-3.1023525e-06,-0.026291465,-0.026291465,-0.0021606843,-0.0021606843,-0.024133883,-0.024133883,-0.41781004,-0.41781004,-0.50021202,-0.50021202,-0.00016197173,-0.00016197173,-0.0021686189,-0.0021686189,-8.9679789e-07,-8.9679789e-07,-0.0023296938,-0.0023296938,-0.018195885,-0.018195885,-0.03063974,-0.03063974,11.386943,11.386943,-2.129734,-2.129734,24.209951,24.209951,-1.183529,-1.183529,0.012223195,0.012223195,-0.038517763,-0.038517763,-0.083562007,-0.083562007,-0.013924902,-0.013924902,0.96620378,0.96620378,-0.93230779,-0.93230779,0.016140023,0.016140023,9.0990062e-16,9.0990062e-16,7.4688224e-17,7.4688224e-17,-1.6307557e-15,-1.6307557e-15,-2.6804254e-15,-2.6804254e-15,4.2299961e-17,4.2299961e-17,0.00024745114,0.00024745114,0.00032966755,0.00032966755
