e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
-0.073218593,-0.073218593,0.073218593,0.073218593,2.3592239e-16,2.3592239e-16,6.9115851e-17,6.9115851e-17,0.073218593,0.073218593,-0.081714761,-0.081714761,-0.010984635,-0.010984635,-0.081714701,-0.081714701,-0.010984635,-0.010984635,1.2305646e-05,1.2305646e-05,5.5497913e-17,5.5497913e-17,0.0036916938,0.0036916938,0.0036916938,0.0036916938,7.789822e-17,7.789822e-17,-0.062246264,-0.062246264,-0.010984635,-0.010984635,-0.062246264,-0.062246264,-0.010984635,-0.010984635,-4.582247e-17,-4.582247e-17,-1.0764244e-16,-1.0764244e-16,-0.073230899,-0.073230899,-1.5164149e-16,-1.5164149e-16,0.026769101,0.026769101,-1.4938676e-16,-1.4938676e-16,-0.010972329,-0.010972329,0.010984635,0.010984635,-0.010972329,-0.010972329,0.010984635,0.010984635,1.2305646e-05,1.2305646e-05,5.1349952e-17,5.1349952e-17,-0.073218593,-0.073218593,-0.073218593,-0.073218593,1.2305646e-05,1.2305646e-05,5.1919743e-17,5.1919743e-17,-0.010972329,-0.010972329,0.010984635,0.010984635,0.0012305646,0.0012305646,2.0638713e-16,2.0638713e-16,0.81160074,0.81160074,1.218559e-14,1.218559e-14,0.10256549,0.10256549,5.5943364e-15,5.5943364e-15,-0.073218593,-0.073218593,0.073230899,0.073230899,-0.014643719,-0.014643719,-1.9197459e-17,-1.9197459e-17,2.5009848e-17,2.5009848e-17,-2.6985703e-17,-2.6985703e-17,6.3918623e-20,6.3918623e-20,2.4726307e-19,2.4726307e-19,-0.1,-0.1,-2.3280408e-19,-2.3280408e-19,0,0,0,0,8.2453048e-08,8.2453048e-08,4.4478386e-32,4.4478386e-32
-0.069545358,-0.069545358,0.069545358,0.069545358,1.9428903e-16,1.9428903e-16,-8.8503455e-19,-8.8503455e-19,0.069545358,0.069545358,-0.07762908,-0.07762908,-0.010435403,-0.010435403,-0.077628966,-0.077628966,-0.010435403,-0.010435403,2.399601e-05,2.399601e-05,1.7827901e-16,1.7827901e-16,0.0035071091,0.0035071091,0.0035071091,0.0035071091,1.2018652e-16,1.2018652e-16,-0.059133951,-0.059133951,-0.010435403,-0.010435403,-0.059133951,-0.059133951,-0.010435403,-0.010435403,-4.453495e-17,-4.453495e-17,-1.3982614e-16,-1.3982614e-16,-0.069569354,-0.069569354,-1.7680101e-16,-1.7680101e-16,0.025430646,0.025430646,6.6193804e-16,6.6193804e-16,-0.010411407,-0.010411407,0.010435403,0.010435403,-0.010411407,-0.010411407,0.010435403,0.010435403,2.399601e-05,2.399601e-05,1.0585619e-16,1.0585619e-16,-0.069545358,-0.069545358,-0.069545358,-0.069545358,1.1690364e-05,1.1690364e-05,1.5578056e-16,1.5578056e-16,0.0005609221,0.0005609221,-0.00054923174,-0.00054923174,0.001181342,0.001181342,2.6523961e-16,2.6523961e-16,0.78419063,0.78419063,1.5434899e-14,1.5434899e-14,0.10402218,0.10402218,6.9267222e-15,6.9267222e-15,-0.069545358,-0.069545358,0.069569354,0.069569354,-0.013909072,-0.013909072,-6.8232421e-17,-6.8232421e-17,1.9347606e-17,1.9347606e-17,-2.0793713e-17,-2.0793713e-17,-7.0851871e-19,-7.0851871e-19,2.45962e-18,2.45962e-18,-0.095,-0.095,4.2641829e-17,4.2641829e-17,5.1973505e-18,5.1973505e-18,-6.8565364e-17,-6.8565364e-17,1.5604239e-07,1.5604239e-07,4.3377388e-31,4.3377388e-31
-0.066055784,-0.066055784,0.066055784,0.066055784,8.3266727e-17,8.3266727e-17,-8.8330633e-17,-8.8330633e-17,0.066055784,0.066055784,-0.073747679,-0.073747679,-0.0099136329,-0.0099136329,-0.073747518,-0.073747518,-0.0099136329,-0.0099136329,3.5101855e-05,3.5101855e-05,2.2155914e-16,2.2155914e-16,0.0033317536,0.0033317536,0.0033317536,0.0033317536,1.0488529e-16,1.0488529e-16,-0.056177253,-0.056177253,-0.0099136329,-0.0099136329,-0.056177253,-0.056177253,-0.0099136329,-0.0099136329,-3.5649904e-17,-3.5649904e-17,-1.0252623e-16,-1.0252623e-16,-0.066090886,-0.066090886,-1.3078301e-16,-1.3078301e-16,0.024159114,0.024159114,1.3131963e-15,1.3131963e-15,-0.0098785311,-0.0098785311,0.0099136329,0.0099136329,-0.0098785311,-0.0098785311,0.0099136329,0.0099136329,3.5101855e-05,3.5101855e-05,1.507198e-16,1.507198e-16,-0.066055784,-0.066055784,-0.066055784,-0.066055784,1.1105845e-05,1.1105845e-05,1.4494731e-16,1.4494731e-16,0.000532876,0.000532876,-0.00052177015,-0.00052177015,0.0011345806,0.0011345806,2.8287063e-16,2.8287063e-16,0.75815102,0.75815102,1.6928469e-14,1.6928469e-14,0.10540603,0.10540603,7.9000677e-15,7.9000677e-15,-0.066055784,-0.066055784,0.066090886,0.066090886,-0.013211157,-0.013211157,-1.0958265e-16,-1.0958265e-16,1.1349447e-17,1.1349447e-17,-1.2152168e-17,-1.2152168e-17,-1.4244956e-18,-1.4244956e-18,4.3840628e-18,4.3840628e-18,-0.09025,-0.09025,8.2059177e-17,8.2059177e-17,9.6679965e-18,9.6679965e-18,-1.2777347e-16,-1.2777347e-16,2.2164049e-07,2.2164049e-07,6.7199082e-31,6.7199082e-31
-0.062740689,-0.062740689,0.062740689,0.062740689,0,0,-1.6351757e-16,-1.6351757e-16,0.062740689,0.062740689,-0.070060346,-0.070060346,-0.0094179513,-0.0094179513,-0.070060142,-0.070060142,-0.0094179513,-0.0094179513,4.5652408e-05,4.5652408e-05,2.5620156e-16,2.5620156e-16,0.0031651659,0.0031651659,0.0031651659,0.0031651659,9.1014548e-17,9.1014548e-17,-0.053368391,-0.053368391,-0.0094179513,-0.0094179513,-0.053368391,-0.053368391,-0.0094179513,-0.0094179513,-2.7756968e-17,-2.7756968e-17,-6.8292098e-17,-6.8292098e-17,-0.062786342,-0.062786342,-8.8814541e-17,-8.8814541e-17,0.022951158,0.022951158,1.7883976e-15,1.7883976e-15,-0.0093722989,-0.0093722989,0.0094179513,0.0094179513,-0.0093722989,-0.0093722989,0.0094179513,0.0094179513,4.5652408e-05,4.5652408e-05,1.8686653e-16,1.8686653e-16,-0.062740689,-0.062740689,-0.062740689,-0.062740689,1.0550553e-05,1.0550553e-05,1.3509934e-16,1.3509934e-16,0.0005062322,0.0005062322,-0.00049568165,-0.00049568165,0.0010901572,0.0010901572,2.9447726e-16,2.9447726e-16,0.73341339,0.73341339,1.7995245e-14,1.7995245e-14,0.10672069,0.10672069,8.6319861e-15,8.6319861e-15,-0.062740689,-0.062740689,0.062786342,0.062786342,-0.012548138,-0.012548138,-1.4517374e-16,-1.4517374e-16,1.4549589e-18,1.4549589e-18,-1.5523547e-18,-1.5523547e-18,-2.0872453e-18,-2.0872453e-18,6.0527168e-18,6.0527168e-18,-0.0857375,-0.0857375,1.1825778e-16,1.1825778e-16,1.3494957e-17,1.3494957e-17,-1.7868507e-16,-1.7868507e-16,2.8003465e-07,2.8003465e-07,8.0514832e-31,8.0514832e-31
-0.059591349,-0.059591349,0.059591349,0.059591349,-8.3266727e-17,-8.3266727e-17,-2.2756052e-16,-2.2756052e-16,0.059591349,0.059591349,-0.066557376,-0.066557376,-0.0089470537,-0.0089470537,-0.066557135,-0.066557135,-0.0089470537,-0.0089470537,5.5675434e-05,5.5675434e-05,2.8304146e-16,2.8304146e-16,0.0030069076,0.0030069076,0.0030069076,0.0030069076,7.8442311e-17,7.8442311e-17,-0.050699971,-0.050699971,-0.0089470537,-0.0089470537,-0.050699971,-0.050699971,-0.0089470537,-0.0089470537,-2.0765088e-17,-2.0765088e-17,-3.6886787e-17,-3.6886787e-17,-0.059647025,-0.059647025,-5.0568025e-17,-5.0568025e-17,0.0218036,0.0218036,2.1321558e-15,2.1321558e-15,-0.0088913783,-0.0088913783,0.0089470537,0.0089470537,-0.0088913783,-0.0088913783,0.0089470537,0.0089470537,5.5675434e-05,5.5675434e-05,2.1513553e-16,2.1513553e-16,-0.059591349,-0.059591349,-0.059591349,-0.059591349,1.0023025e-05,1.0023025e-05,1.2614707e-16,1.2614707e-16,0.00048092059,0.00048092059,-0.00047089756,-0.00047089756,0.001047955,0.001047955,3.0064309e-16,3.0064309e-16,0.70991264,0.70991264,1.8677071e-14,1.8677071e-14,0.10796962,0.10796962,9.1464201e-15,9.1464201e-15,-0.059591349,-0.059591349,0.059647025,0.059647025,-0.01191827,-0.01191827,-1.7572157e-16,-1.7572157e-16,-9.9433071e-18,-9.9433071e-18,1.057339e-17,1.057339e-17,-2.69983e-18,-2.69983e-18,7.494328e-18,7.494328e-18,-0.081450625,-0.081450625,1.5146097e-16,1.5146097e-16,1.6752432e-17,1.6752432e-17,-2.2224861e-16,-2.2224861e-16,3.3193534e-07,3.3193534e-07,8.6642713e-31,8.6642713e-31
-0.056599476,-0.056599476,0.056599476,0.056599476,-1.4571677e-16,-1.4571677e-16,-2.8147428e-16,-2.8147428e-16,0.056599476,0.056599476,-0.063229553,-0.063229553,-0.008499701,-0.008499701,-0.063229278,-0.063229278,-0.008499701,-0.008499701,6.5197308e-05,6.5197308e-05,3.028358e-16,3.028358e-16,0.0028565623,0.0028565623,0.0028565623,0.0028565623,6.7048923e-17,6.7048923e-17,-0.048164972,-0.048164972,-0.008499701,-0.008499701,-0.048164972,-0.048164972,-0.008499701,-0.008499701,-1.459138e-17,-1.459138e-17,-8.0916926e-18,-8.0916926e-18,-0.056664674,-0.056664674,-1.5742363e-17,-1.5742363e-17,0.02071342,0.02071342,2.3779099e-15,2.3779099e-15,-0.0084345037,-0.0084345037,0.008499701,0.008499701,-0.0084345037,-0.0084345037,0.008499701,0.008499701,6.5197308e-05,6.5197308e-05,2.3628751e-16,2.3628751e-16,-0.056599476,-0.056599476,-0.056599476,-0.056599476,9.5218742e-06,9.5218742e-06,1.1800925e-16,1.1800925e-16,0.00045687456,0.00045687456,-0.00044735269,-0.00044735269,0.0010078629,0.0010078629,3.0189754e-16,3.0189754e-16,0.68758693,0.68758693,1.9011855e-14,1.9011855e-14,0.1091561,0.1091561,9.4650341e-15,9.4650341e-15,-0.056599476,-0.056599476,0.056664674,0.056664674,-0.011319895,-0.011319895,-2.0186219e-16,-2.0186219e-16,-2.2495149e-17,-2.2495149e-17,2.384475e-17,2.384475e-17,-3.2651497e-18,-3.2651497e-18,8.7346097e-18,8.7346097e-18,-0.077378094,-0.077378094,1.818778e-16,1.818778e-16,1.9506708e-17,1.9506708e-17,-2.5931174e-16,-2.5931174e-16,3.7798367e-07,3.7798367e-07,8.7960237e-31,8.7960237e-31
-0.053757197,-0.053757197,0.053757197,0.053757197,-1.9428903e-16,-1.9428903e-16,-3.261829e-16,-3.261829e-16,0.053757197,0.053757197,-0.060068119,-0.060068119,-0.008074716,-0.008074716,-0.060067814,-0.060067814,-0.008074716,-0.008074716,7.4243088e-05,7.4243088e-05,3.1627065e-16,3.1627065e-16,0.0027137342,0.0027137342,0.0027137342,0.0027137342,5.6725895e-17,5.6725895e-17,-0.045756724,-0.045756724,-0.008074716,-0.008074716,-0.045756724,-0.045756724,-0.008074716,-0.008074716,-9.1603711e-18,-9.1603711e-18,1.8294921e-17,1.8294921e-17,-0.05383144,-0.05383144,1.5939276e-17,1.5939276e-17,0.019677749,0.019677749,2.5507182e-15,2.5507182e-15,-0.0080004729,-0.0080004729,0.008074716,0.008074716,-0.0080004729,-0.0080004729,0.008074716,0.008074716,7.4243088e-05,7.4243088e-05,2.5101212e-16,2.5101212e-16,-0.053757197,-0.053757197,-0.053757197,-0.053757197,9.0457805e-06,9.0457805e-06,1.1061211e-16,1.1061211e-16,0.00043403083,0.00043403083,-0.00042498505,-0.00042498505,0.00096977536,0.00096977536,2.9872087e-16,2.9872087e-16,0.66637751,0.66637751,1.9033943e-14,1.9033943e-14,0.11028325,0.11028325,9.6074307e-15,9.6074307e-15,-0.053757197,-0.053757197,0.05383144,0.05383144,-0.010751439,-0.010751439,-2.2416028e-16,-2.2416028e-16,-3.5888487e-17,-3.5888487e-17,3.7927355e-17,3.7927355e-17,-3.7859501e-18,-3.7859501e-18,9.7965532e-18,9.7965532e-18,-0.073509189,-0.073509189,2.0970388e-16,2.0970388e-16,2.1816979e-17,2.1816979e-17,-2.906317e-16,-2.906317e-16,4.1875817e-07,4.1875817e-07,8.6157992e-31,8.6157992e-31
-0.051057031,-0.051057031,0.051057031,0.051057031,-2.4286129e-16,-2.4286129e-16,-3.6252791e-16,-3.6252791e-16,0.051057031,0.051057031,-0.057064754,-0.057064754,-0.0076709802,-0.0076709802,-0.057064423,-0.057064423,-0.0076709802,-0.0076709802,8.283658e-05,8.283658e-05,3.2396787e-16,3.2396787e-16,0.0025780474,0.0025780474,0.0025780474,0.0025780474,4.7374832e-17,4.7374832e-17,-0.043468888,-0.043468888,-0.0076709802,-0.0076709802,-0.043468888,-0.043468888,-0.0076709802,-0.0076709802,-4.4033307e-18,-4.4033307e-18,4.245927e-17,4.245927e-17,-0.051139868,-0.051139868,4.4731481e-17,4.4731481e-17,0.018693862,0.018693862,2.6693531e-15,2.6693531e-15,-0.0075881436,-0.0075881436,0.0076709802,0.0076709802,-0.0075881436,-0.0075881436,0.0076709802,0.0076709802,8.283658e-05,8.283658e-05,2.599346e-16,2.599346e-16,-0.051057031,-0.051057031,-0.051057031,-0.051057031,8.5934915e-06,8.5934915e-06,1.0388871e-16,1.0388871e-16,0.00041232929,0.00041232929,-0.0004037358,-0.0004037358,0.00093359224,0.00093359224,2.9154876e-16,2.9154876e-16,0.64622855,0.64622855,1.8774447e-14,1.8774447e-14,0.11135405,0.11135405,9.5913467e-15,9.5913467e-15,-0.051057031,-0.051057031,0.051139868,0.051139868,-0.010211406,-0.010211406,-2.431167e-16,-2.431167e-16,-4.9845551e-17,-4.9845551e-17,5.2527447e-17,5.2527447e-17,-4.2648312e-18,-4.2648312e-18,1.0700708e-17,1.0700708e-17,-0.06983373,-0.06983373,2.3512226e-16,2.3512226e-16,2.3736075e-17,2.3736075e-17,-3.1688464e-16,-3.1688464e-16,4.5478088e-07,4.5478088e-07,8.2426719e-31,8.2426719e-31
-0.048491874,-0.048491874,0.048491874,0.048491874,-2.5673907e-16,-2.5673907e-16,-3.9127582e-16,-3.9127582e-16,0.048491874,0.048491874,-0.054211556,-0.054211556,-0.0072874312,-0.0072874312,-0.054211202,-0.054211202,-0.0072874312,-0.0072874312,9.1000397e-05,9.1000397e-05,3.2649109e-16,3.2649109e-16,0.0024491451,0.0024491451,0.0024491451,0.0024491451,3.8906483e-17,3.8906483e-17,-0.041295443,-0.041295443,-0.0072874312,-0.0072874312,-0.041295443,-0.041295443,-0.0072874312,-0.0072874312,-2.5765206e-19,-2.5765206e-19,6.4573279e-17,6.4573279e-17,-0.048582874,-0.048582874,7.0868443e-17,7.0868443e-17,0.017759169,0.017759169,2.7478732e-15,2.7478732e-15,-0.0071964308,-0.0071964308,0.0072874312,0.0072874312,-0.0071964308,-0.0071964308,0.0072874312,0.0072874312,9.1000397e-05,9.1000397e-05,2.6362183e-16,2.6362183e-16,-0.048491874,-0.048491874,-0.048491874,-0.048491874,8.1638169e-06,8.1638169e-06,9.7778244e-17,9.7778244e-17,0.00039171283,0.00039171283,-0.00038354901,-0.00038354901,0.00089921827,0.00089921827,2.8077646e-16,2.8077646e-16,0.62708705,0.62708705,1.8261554e-14,1.8261554e-14,0.11237131,0.11237131,9.4328301e-15,9.4328301e-15,-0.048491874,-0.048491874,0.048582874,0.048582874,-0.0096983748,-0.0096983748,-2.5917534e-16,-2.5917534e-16,-6.4119453e-17,-6.4119453e-17,6.7387184e-17,6.7387184e-17,-4.7042541e-18,-4.7042541e-18,1.1465432e-17,1.1465432e-17,-0.066342043,-0.066342043,2.5830414e-16,2.5830414e-16,2.5311119e-17,2.5311119e-17,-3.3867404e-16,-3.3867404e-16,4.8652286e-07,4.8652286e-07,7.7595004e-31,7.7595004e-31
-0.046054975,-0.046054975,0.046054975,0.046054975,-2.9143354e-16,-2.9143354e-16,-4.1312487e-16,-4.1312487e-16,0.046054975,0.046054975,-0.051501016,-0.051501016,-0.0069230596,-0.0069230596,-0.051500642,-0.051500642,-0.0069230596,-0.0069230596,9.8756023e-05,9.8756023e-05,3.2435125e-16,3.2435125e-16,0.0023266878,0.0023266878,0.0023266878,0.0023266878,3.123987e-17,3.123987e-17,-0.039230671,-0.039230671,-0.0069230596,-0.0069230596,-0.039230671,-0.039230671,-0.0069230596,-0.0069230596,3.3337026e-18,3.3337026e-18,8.4795716e-17,8.4795716e-17,-0.046153731,-0.046153731,9.4565645e-17,9.4565645e-17,0.01687121,0.01687121,2.796802e-15,2.796802e-15,-0.0068243036,-0.0068243036,0.0069230596,0.0069230596,-0.0068243036,-0.0068243036,0.0069230596,0.0069230596,9.8756023e-05,9.8756023e-05,2.6258779e-16,2.6258779e-16,-0.046054975,-0.046054975,-0.046054975,-0.046054975,7.7556261e-06,7.7556261e-06,9.2225518e-17,9.2225518e-17,0.00037212718,0.00037212718,-0.00036437156,-0.00036437156,0.000866563,0.000866563,2.667625e-16,2.667625e-16,0.60890262,0.60890262,1.75208e-14,1.75208e-14,0.11333771,0.11333771,9.1463997e-15,9.1463997e-15,-0.046054975,-0.046054975,0.046153731,0.046153731,-0.0092109949,-0.0092109949,-2.7272919e-16,-2.7272919e-16,-7.8491093e-17,-7.8491093e-17,8.2280521e-17,8.2280521e-17,-5.1065484e-18,-5.1065484e-18,1.210712e-17,1.210712e-17,-0.063024941,-0.063024941,2.7940962e-16,2.7940962e-16,2.6584124e-17,2.6584124e-17,-3.5653814e-16,-3.5653814e-16,5.1440916e-07,5.1440916e-07,7.2230405e-31,7.2230405e-31
