e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,chi_H_pie,chi_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
5.2117921e-14,5.2117921e-14,1.4620157e-16,1.4620157e-16,5.2264122e-14,5.2264122e-14,5.2621143e-14,5.2621143e-14,5.0322225e-16,5.0322225e-16,-0.07273336,-0.07273336,-6.5245586e-06,-6.5245586e-06,-0.072732611,-0.072732611,-6.5245586e-06,-6.5245586e-06,0,0,0,0,4.3497058e-05,4.3497058e-05,-1.4569474e-14,-1.4569474e-14,-1.2267898e-15,-1.2267898e-15,-1.2245937e-15,-1.2245937e-15,-2.1851109e-14,-2.1851109e-14,-3.6972499e-05,-3.6972499e-05,-6.5245587e-06,-6.5245587e-06,-3.6972499e-05,-3.6972499e-05,-6.5245586e-06,-6.5245586e-06,-5.6332851e-15,-5.6332851e-15,-3.2340524e-14,-3.2340524e-14,-4.3497058e-05,-4.3497058e-05,-3.7973409e-14,-3.7973409e-14,0.099956503,0.099956503,-3.7854449e-14,-3.7854449e-14,3.6972499e-05,3.6972499e-05,6.5245586e-06,6.5245586e-06,3.6972499e-05,3.6972499e-05,6.5245586e-06,6.5245586e-06,4.3497058e-05,4.3497058e-05,-1.4570542e-14,-1.4570542e-14,-1.8251866e-16,-1.8251866e-16,-9.459664e-18,-9.459664e-18,4.3497058e-05,4.3497058e-05,-1.4572633e-14,-1.4572633e-14,3.6972499e-05,3.6972499e-05,6.5245586e-06,6.5245586e-06,0.0043497058,0.0043497058,-5.8328643e-14,-5.8328643e-14,2.8128449,2.8128449,-3.492822e-12,-3.492822e-12,0.3010073,0.3010073,-1.6353076e-12,-1.6353076e-12,3.7547379e-14,3.7547379e-14,4.3497057e-05,4.3497057e-05,-8.5493018e-17,-8.5493018e-17,-1.05086e-14,-1.05086e-14,-4.500278e-17,-4.500278e-17,4.500278e-17,4.500278e-17,3.6883013e-19,3.6883013e-19,1.7605028e-18,1.7605028e-18,-0.1,-0.1,-1.0082649e-17,-1.0082649e-17,0,0,0,0,1.0301907e-06,1.0301907e-06,3.5039669e-27,3.5039669e-27
7.2701436e-14,7.2701436e-14,1.3620905e-15,1.3620905e-15,7.4063526e-14,7.4063526e-14,7.4353002e-14,7.4353002e-14,1.6515663e-15,1.6515663e-15,-0.069102716,-0.069102716,-1.2702647e-05,-1.2702647e-05,-0.069101302,-0.069101302,-1.2702647e-05,-1.2702647e-05,1.0893902e-15,1.0893902e-15,-1.1007985e-17,-1.1007985e-17,8.4684311e-05,8.4684311e-05,-3.0370446e-14,-3.0370446e-14,8.0917299e-14,8.0917299e-14,4.0233719e-14,4.0233719e-14,-1.0019575e-14,-1.0019575e-14,-7.1981664e-05,-7.1981664e-05,-1.2702647e-05,-1.2702647e-05,-7.1981664e-05,-7.1981664e-05,-1.2702647e-05,-1.2702647e-05,-6.583282e-15,-6.583282e-15,-3.7696636e-14,-3.7696636e-14,-8.4684311e-05,-8.4684311e-05,-4.4476203e-14,-4.4476203e-14,0.094915316,0.094915316,-2.5267035e-15,-2.5267035e-15,7.1981664e-05,7.1981664e-05,1.2702647e-05,1.2702647e-05,7.1981664e-05,7.1981664e-05,1.2702647e-05,1.2702647e-05,8.4684311e-05,8.4684311e-05,-2.869366e-14,-2.869366e-14,-1.7165631e-16,-1.7165631e-16,-2.4900058e-16,-2.4900058e-16,4.1187254e-05,4.1187254e-05,-9.0440933e-15,-9.0440933e-15,3.5009166e-05,3.5009166e-05,6.178088e-06,6.178088e-06,0.0041622224,0.0041622224,-7.1058017e-14,-7.1058017e-14,2.7072308,2.7072308,-4.2941446e-12,-4.2941446e-12,0.3052224,0.3052224,-2.0352428e-12,-2.0352428e-12,4.4007775e-14,4.4007775e-14,8.4684311e-05,8.4684311e-05,-3.868016e-17,-3.868016e-17,-1.4966883e-14,-1.4966883e-14,6.9716278e-16,6.9716278e-16,-6.9716278e-16,-6.9716278e-16,4.4313998e-19,4.4313998e-19,1.4049653e-18,1.4049653e-18,-0.095,-0.095,-8.8193745e-18,-8.8193745e-18,-2.0993372e-17,-2.0993372e-17,2.4553143e-18,2.4553143e-18,1.9435731e-06,1.9435731e-06,3.977603e-27,3.977603e-27
8.2976312e-14,8.2976312e-14,2.2170911e-15,2.2170911e-15,8.5193403e-14,8.5193403e-14,8.5489434e-14,8.5489434e-14,2.5131217e-15,2.5131217e-15,-0.065653544,-0.065653544,-1.855165e-05,-1.855165e-05,-0.065651542,-0.065651542,-1.855165e-05,-1.855165e-05,1.8889595e-15,1.8889595e-15,-2.0557339e-17,-2.0557339e-17,0.00012367767,0.00012367767,-4.370442e-14,-4.370442e-14,7.8177176e-14,7.8177176e-14,3.9367826e-14,3.9367826e-14,-9.5185961e-15,-9.5185961e-15,-0.00010512602,-0.00010512602,-1.855165e-05,-1.855165e-05,-0.00010512602,-0.00010512602,-1.855165e-05,-1.855165e-05,-6.2506933e-15,-6.2506933e-15,-3.5813216e-14,-3.5813216e-14,-0.00012367767,-0.00012367767,-4.2250449e-14,-4.2250449e-14,0.090126322,0.090126322,2.8977848e-14,2.8977848e-14,0.00010512602,0.00010512602,1.855165e-05,1.855165e-05,0.00010512602,0.00010512602,1.855165e-05,1.855165e-05,0.00012367767,0.00012367767,-4.2110758e-14,-4.2110758e-14,-1.0869669e-15,-1.0869669e-15,-1.1558137e-15,-1.1558137e-15,3.8993358e-05,3.8993358e-05,-8.5925213e-15,-8.5925213e-15,3.3144355e-05,3.3144355e-05,5.8490038e-06,5.8490038e-06,0.0039840202,0.0039840202,-8.2358523e-14,-8.2358523e-14,2.6067887,2.6067887,-5.0159849e-12,-5.0159849e-12,0.30916697,0.30916697,-2.4017392e-12,-2.4017392e-12,4.0865548e-14,4.0865548e-14,0.00012367767,0.00012367767,-2.4052345e-16,-2.4052345e-16,-1.7186401e-14,-1.7186401e-14,1.4038091e-15,1.4038091e-15,-1.4038091e-15,-1.4038091e-15,5.0821792e-19,5.0821792e-19,1.092176e-18,1.092176e-18,-0.09025,-0.09025,-7.6958011e-18,-7.6958011e-18,-3.9375727e-17,-3.9375727e-17,4.5813252e-18,4.5813252e-18,2.7520398e-06,2.7520398e-06,4.2014207e-27,4.2014207e-27
9.3716645e-14,9.3716645e-14,2.0499371e-15,2.0499371e-15,9.5766582e-14,9.5766582e-14,9.606932e-14,9.606932e-14,2.3526754e-15,2.3526754e-15,-0.062376775,-0.062376775,-2.4088087e-05,-2.4088087e-05,-0.062374254,-0.062374254,-2.4088087e-05,-2.4088087e-05,1.7330724e-15,1.7330724e-15,-2.8811218e-17,-2.8811218e-17,0.00016058724,0.00016058724,-5.6371847e-14,-5.6371847e-14,7.4521704e-14,7.4521704e-14,3.7493341e-14,3.7493341e-14,-9.0426928e-15,-9.0426928e-15,-0.00013649916,-0.00013649916,-2.4088087e-05,-2.4088087e-05,-0.00013649916,-0.00013649916,-2.4088087e-05,-2.4088087e-05,-5.9346859e-15,-5.9346859e-15,-3.4024073e-14,-3.4024073e-14,-0.00016058724,-0.00016058724,-4.0136041e-14,-4.0136041e-14,0.085576913,0.085576913,5.1061968e-14,5.1061968e-14,0.00013649916,0.00013649916,2.4088087e-05,2.4088087e-05,0.00013649916,0.00013649916,2.4088087e-05,2.4088087e-05,0.00016058724,0.00016058724,-5.4857154e-14,-5.4857154e-14,-9.7727273e-16,-9.7727273e-16,-1.0379067e-15,-1.0379067e-15,3.6909575e-05,3.6909575e-05,-8.1635437e-15,-8.1635437e-15,3.1373139e-05,3.1373139e-05,5.5364363e-06,5.5364363e-06,0.0038146352,0.0038146352,-9.3094206e-14,-9.3094206e-14,2.5112603,2.5112603,-5.7017447e-12,-5.7017447e-12,0.31285472,0.31285472,-2.7499156e-12,-2.7499156e-12,3.8859481e-14,3.8859481e-14,0.00016058724,0.00016058724,-2.3501069e-16,-2.3501069e-16,-1.929517e-14,-1.929517e-14,2.0766486e-15,2.0766486e-15,-2.0766486e-15,-2.0766486e-15,5.6466293e-19,5.6466293e-19,8.1750591e-19,8.1750591e-19,-0.0857375,-0.0857375,-6.6972885e-18,-6.6972885e-18,-5.5432082e-17,-5.5432082e-17,6.4150307e-18,6.4150307e-18,3.4663009e-06,3.4663009e-06,4.2506824e-27,4.2506824e-27
1.0385311e-13,1.0385311e-13,1.957849e-15,1.957849e-15,1.0581095e-13,1.0581095e-13,1.0612049e-13,1.0612049e-13,2.2673871e-15,2.2673871e-15,-0.059263792,-0.059263792,-2.9327646e-05,-2.9327646e-05,-0.059260814,-0.059260814,-2.9327646e-05,-2.9327646e-05,1.6480495e-15,1.6480495e-15,-3.5915601e-17,-3.5915601e-17,0.00019551764,0.00019551764,-6.840607e-14,-6.840607e-14,7.1120403e-14,7.1120403e-14,3.578448e-14,3.578448e-14,-8.5906085e-15,-8.5906085e-15,-0.00016619,-0.00016619,-2.9327646e-05,-2.9327646e-05,-0.00016619,-0.00016619,-2.9327646e-05,-2.9327646e-05,-5.6344333e-15,-5.6344333e-15,-3.2324484e-14,-3.2324484e-14,-0.00019551764,-0.00019551764,-3.8127403e-14,-3.8127403e-14,0.081255107,0.081255107,6.6157985e-14,6.6157985e-14,0.00016619,0.00016619,2.9327646e-05,2.9327646e-05,0.00016619,0.00016619,2.9327646e-05,2.9327646e-05,0.00019551764,0.00019551764,-6.69664e-14,-6.69664e-14,-9.3984065e-16,-9.3984065e-16,-9.9258709e-16,-9.9258709e-16,3.4930398e-05,3.4930398e-05,-7.756029e-15,-7.756029e-15,2.9690838e-05,2.9690838e-05,5.2395597e-06,5.2395597e-06,0.003653627,0.003653627,-1.0329332e-13,-1.0329332e-13,2.4204004,2.4204004,-6.3532287e-12,-6.3532287e-12,0.31629869,0.31629869,-3.0806887e-12,-3.0806887e-12,3.6886703e-14,3.6886703e-14,0.00019551764,0.00019551764,-2.4185773e-16,-2.4185773e-16,-2.1298712e-14,-2.1298712e-14,2.7173119e-15,2.7173119e-15,-2.7173119e-15,-2.7173119e-15,6.1304084e-19,6.1304084e-19,5.768065e-19,5.768065e-19,-0.081450625,-0.081450625,-5.8106933e-18,-5.8106933e-18,-6.9417761e-17,-6.9417761e-17,7.9895259e-18,7.9895259e-18,4.0960001e-06,4.0960001e-06,4.1805855e-27,4.1805855e-27
1.1348795e-13,1.1348795e-13,1.8650803e-15,1.8650803e-15,1.1535303e-13,1.1535303e-13,1.1566939e-13,1.1566939e-13,2.1814394e-15,2.1814394e-15,-0.056306411,-0.056306411,-3.4285235e-05,-3.4285235e-05,-0.056303029,-0.056303029,-3.4285235e-05,-3.4285235e-05,1.5630003e-15,1.5630003e-15,-4.200105e-17,-4.200105e-17,0.00022856824,0.00022856824,-7.9838762e-14,-7.9838762e-14,6.7883134e-14,6.7883134e-14,3.4155523e-14,3.4155523e-14,-8.1611499e-15,-8.1611499e-15,-0.000194283,-0.000194283,-3.4285236e-05,-3.4285236e-05,-0.000194283,-0.000194283,-3.4285235e-05,-3.4285235e-05,-5.3491502e-15,-5.3491502e-15,-3.0709962e-14,-3.0709962e-14,-0.00022856824,-0.00022856824,-3.6219241e-14,-3.6219241e-14,0.077149526,0.077149526,7.6086284e-14,7.6086284e-14,0.000194283,0.000194283,3.4285235e-05,3.4285235e-05,0.000194283,0.000194283,3.4285235e-05,3.4285235e-05,0.00022856824,0.00022856824,-7.8470366e-14,-7.8470366e-14,-8.9902044e-16,-8.9902044e-16,-9.4431299e-16,-9.4431299e-16,3.3050594e-05,3.3050594e-05,-7.3689023e-15,-7.3689023e-15,2.8093005e-05,2.8093005e-05,4.957589e-06,4.957589e-06,0.003500577,0.003500577,-1.1298269e-13,-1.1298269e-13,2.3339758,2.3339758,-6.9721514e-12,-6.9721514e-12,0.31951124,0.31951124,-3.394929e-12,-3.394929e-12,3.501756e-14,3.501756e-14,0.00022856824,0.00022856824,-2.4617881e-16,-2.4617881e-16,-2.3202273e-14,-2.3202273e-14,3.3273519e-15,3.3273519e-15,-3.3273519e-15,-3.3273519e-15,6.5388605e-19,6.5388605e-19,3.6636105e-19,3.6636105e-19,-0.077378094,-0.077378094,-5.0242188e-18,-5.0242188e-18,-8.1561424e-17,-8.1561424e-17,9.3344037e-18,9.3344037e-18,4.6498202e-06,4.6498202e-06,4.0314011e-27,4.0314011e-27
1.2264122e-13,1.2264122e-13,1.7766482e-15,1.7766482e-15,1.2441787e-13,1.2441787e-13,1.2474113e-13,1.2474113e-13,2.0999048e-15,2.0999048e-15,-0.053496852,-0.053496852,-3.8975014e-05,-3.8975014e-05,-0.053493117,-0.053493117,-3.8975014e-05,-3.8975014e-05,1.4824461e-15,1.4824461e-15,-4.7184291e-17,-4.7184291e-17,0.00025983343,0.00025983343,-9.0700012e-14,-9.0700012e-14,6.4807006e-14,6.4807006e-14,3.2607791e-14,3.2607791e-14,-7.7531832e-15,-7.7531832e-15,-0.00022085842,-0.00022085842,-3.8975015e-05,-3.8975015e-05,-0.00022085842,-0.00022085842,-3.8975014e-05,-3.8975014e-05,-5.0780901e-15,-5.0780901e-15,-2.9176244e-14,-2.9176244e-14,-0.00025983343,-0.00025983343,-3.4406525e-14,-3.4406525e-14,0.073249356,0.073249356,8.2208488e-14,8.2208488e-14,0.00022085842,0.00022085842,3.8975014e-05,3.8975014e-05,0.00022085842,0.00022085842,3.8975014e-05,3.8975014e-05,0.00025983343,0.00025983343,-8.9399329e-14,-8.9399329e-14,-8.6004337e-16,-8.6004337e-16,-8.9812597e-16,-8.9812597e-16,3.1265193e-05,3.1265193e-05,-7.0011428e-15,-7.0011428e-15,2.6575414e-05,2.6575414e-05,4.689779e-06,4.689779e-06,0.0033550876,0.0033550876,-1.2218783e-13,-1.2218783e-13,2.2517651,2.2517651,-7.5601415e-12,-7.5601415e-12,0.32250413,0.32250413,-3.6934634e-12,-3.6934634e-12,3.3241888e-14,3.3241888e-14,0.00025983343,0.00025983343,-2.4920211e-16,-2.4920211e-16,-2.5010838e-14,-2.5010838e-14,3.9082468e-15,3.9082468e-15,-3.9082468e-15,-3.9082468e-15,6.8770322e-19,6.8770322e-19,1.8284042e-19,1.8284042e-19,-0.073509189,-0.073509189,-4.3272777e-18,-4.3272777e-18,-9.2067793e-17,-9.2067793e-17,1.0476114e-17,1.0476114e-17,5.1355775e-06,5.1355775e-06,3.8323148e-27,3.8323148e-27
1.3133731e-13,1.3133731e-13,1.692128e-15,1.692128e-15,1.3302944e-13,1.3302944e-13,1.3335957e-13,1.3335957e-13,2.0222543e-15,2.0222543e-15,-0.050827728,-0.050827728,-4.3410436e-05,-4.3410436e-05,-0.050823685,-0.050823685,-4.3410436e-05,-4.3410436e-05,1.4059193e-15,1.4059193e-15,-5.1569638e-17,-5.1569638e-17,0.00028940291,0.00028940291,-1.010184e-13,-1.010184e-13,6.1883639e-14,6.1883639e-14,3.1136904e-14,3.1136904e-14,-7.3656319e-15,-7.3656319e-15,-0.00024599247,-0.00024599247,-4.3410436e-05,-4.3410436e-05,-0.00024599247,-0.00024599247,-4.3410436e-05,-4.3410436e-05,-4.8205439e-15,-4.8205439e-15,-2.7719285e-14,-2.7719285e-14,-0.00028940291,-0.00028940291,-3.2684478e-14,-3.2684478e-14,0.069544327,0.069544327,8.5542326e-14,8.5542326e-14,0.00024599247,0.00024599247,4.3410436e-05,4.3410436e-05,0.00024599247,0.00024599247,4.3410436e-05,4.3410436e-05,0.00028940291,0.00028940291,-9.978205e-14,-9.978205e-14,-8.2247577e-16,-8.2247577e-16,-8.53755e-16,-8.53755e-16,2.9569475e-05,2.9569475e-05,-6.6517806e-15,-6.6517806e-15,2.5134054e-05,2.5134054e-05,4.4354213e-06,4.4354213e-06,0.003216781,0.003216781,-1.3093294e-13,-1.3093294e-13,2.173558,2.173558,-8.118746e-12,-8.118746e-12,0.32528853,0.32528853,-3.9770776e-12,-3.9770776e-12,3.1555262e-14,3.1555262e-14,0.00028940291,0.00028940291,-2.5106968e-16,-2.5106968e-16,-2.6729144e-14,-2.6729144e-14,4.4614044e-15,4.4614044e-15,-4.4614044e-15,-4.4614044e-15,7.1496879e-19,7.1496879e-19,2.3263572e-20,2.3263572e-20,-0.06983373,-0.06983373,-3.7103706e-18,-3.7103706e-18,-1.0112009e-16,-1.0112009e-16,1.1438289e-17,1.1438289e-17,5.5603074e-06,5.5603074e-06,3.6042981e-27,3.6042981e-27
1.395991e-13,1.395991e-13,1.6112746e-15,1.6112746e-15,1.4121038e-13,1.4121038e-13,1.4154738e-13,1.4154738e-13,1.9482769e-15,1.9482769e-15,-0.048292021,-0.048292021,-4.7604279e-05,-4.7604279e-05,-0.048287708,-0.048287708,-4.7604279e-05,-4.7604279e-05,1.3331882e-15,1.3331882e-15,-5.5250271e-17,-5.5250271e-17,0.00031736186,0.00031736186,-1.1082109e-13,-1.1082109e-13,5.9105393e-14,5.9105393e-14,2.973894e-14,2.973894e-14,-6.9974733e-15,-6.9974733e-15,-0.00026975758,-0.00026975758,-4.7604279e-05,-4.7604279e-05,-0.00026975758,-0.00026975758,-4.7604279e-05,-4.7604279e-05,-4.5758378e-15,-4.5758378e-15,-2.6335239e-14,-2.6335239e-14,-0.00031736186,-0.00031736186,-3.1048561e-14,-3.1048561e-14,0.066024681,0.066024681,8.6847789e-14,8.6847789e-14,0.00026975758,0.00026975758,4.7604279e-05,4.7604279e-05,0.00026975758,0.00026975758,4.7604279e-05,4.7604279e-05,0.00031736186,0.00031736186,-1.0964585e-13,-1.0964585e-13,-7.8642605e-16,-7.8642605e-16,-8.1098323e-16,-8.1098323e-16,2.7958954e-05,2.7958954e-05,-6.3198947e-15,-6.3198947e-15,2.3765111e-05,2.3765111e-05,4.1938431e-06,4.1938431e-06,0.0030852983,0.0030852983,-1.3924104e-13,-1.3924104e-13,2.0991545,2.0991545,-8.6494347e-12,-8.6494347e-12,0.32787504,0.32787504,-4.2465179e-12,-4.2465179e-12,2.9953211e-14,2.9953211e-14,0.00031736186,0.00031736186,-2.518969e-16,-2.518969e-16,-2.8361694e-14,-2.8361694e-14,4.9881645e-15,4.9881645e-15,-4.9881645e-15,-4.9881645e-15,7.3613248e-19,7.3613248e-19,-1.1503801e-19,-1.1503801e-19,-0.066342043,-0.066342043,-3.1649752e-18,-3.1649752e-18,-1.0888226e-16,-1.0888226e-16,1.224203e-17,1.224203e-17,5.9303417e-06,5.9303417e-06,3.3622512e-27,3.3622512e-27
1.4744798e-13,1.4744798e-13,1.5342155e-15,1.5342155e-15,1.4898219e-13,1.4898219e-13,1.4932609e-13,1.4932609e-13,1.8781096e-15,1.8781096e-15,-0.04588306,-0.04588306,-5.1568684e-05,-5.1568684e-05,-0.045878513,-0.045878513,-5.1568684e-05,-5.1568684e-05,1.2642509e-15,1.2642509e-15,-5.8309383e-17,-5.8309383e-17,0.00034379123,0.00034379123,-1.2013386e-13,-1.2013386e-13,5.6465139e-14,5.6465139e-14,2.8410496e-14,2.8410496e-14,-6.6477362e-15,-6.6477362e-15,-0.00029222254,-0.00029222254,-5.1568684e-05,-5.1568684e-05,-0.00029222254,-0.00029222254,-5.1568684e-05,-5.1568684e-05,-4.3433315e-15,-4.3433315e-15,-2.5020455e-14,-2.5020455e-14,-0.00034379123,-0.00034379123,-2.9494464e-14,-2.9494464e-14,0.06268115,0.06268115,8.669172e-14,8.669172e-14,0.00029222254,0.00029222254,5.1568684e-05,5.1568684e-05,0.00029222254,0.00029222254,5.1568684e-05,5.1568684e-05,0.00034379123,0.00034379123,-1.1901668e-13,-1.1901668e-13,-7.5194842e-16,-7.5194842e-16,-7.7021722e-16,-7.7021722e-16,2.6429369e-05,2.6429369e-05,-6.0046101e-15,-6.0046101e-15,2.2464963e-05,2.2464963e-05,3.9644053e-06,3.9644053e-06,0.0029602987,0.0029602987,-1.4713398e-13,-1.4713398e-13,2.0283649,2.0283649,-9.1536039e-12,-9.1536039e-12,0.33027374,0.33027374,-4.5024932e-12,-4.5024932e-12,2.843126e-14,2.843126e-14,0.00034379123,0.00034379123,-2.5188907e-16,-2.5188907e-16,-2.9912764e-14,-2.9912764e-14,5.4898026e-15,5.4898026e-15,-5.4898026e-15,-5.4898026e-15,7.5161867e-19,7.5161867e-19,-2.3445233e-19,-2.3445233e-19,-0.063024941,-0.063024941,-2.6834473e-18,-2.6834473e-18,-1.1550092e-16,-1.1550092e-16,1.2906174e-17,1.2906174e-17,6.2513778e-06,6.2513778e-06,3.1166016e-27,3.1166016e-27
