e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,chi_H_pie,chi_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
0.39824971,0.66793125,0.26983499,0.000153442,0.6680847,0.6680847,-0.045560632,-0.045560632,-0.44381034,-0.71349189,-0.21077837,-0.17768484,0.1502597,0.19070739,-0.21077829,-0.17768473,0.15034549,0.19079318,0,0,0,0,-1.3601522e-05,1.6671687e-05,-0.00267382,-0.00267382,-35.051565,-0.019932115,-0.0050251256,-0.019932115,-0.00401073,-0.00401073,-0.32915981,-0.099956228,0.10757288,0.14802057,-0.22934818,-0.00014459663,0.066573592,0.10702128,-0.099811632,-0.099811632,0.040999284,0.040999284,-0.16277458,0.10687669,-0.058812347,-0.058812347,-0.16277458,0.10687669,-0.058812347,-0.058812347,0.059324822,0.099802786,-0.062012244,-0.10245993,0.059324822,0.099802786,-0.062012244,-0.10245993,-1.3601522e-05,1.6671687e-05,-0.00267382,-0.00267382,-0.16278819,0.10689336,-0.26983499,-0.000153442,-1.3601522e-05,1.6671687e-05,-0.00267382,-0.00267382,0.059324822,0.099802786,-0.062012244,-0.10245993,-0.0013601522,0.0016671687,-0.01069528,-0.01069528,26.460033,27.4316,-0.93384058,-0.93384058,29.979445,29.104204,-0.62259533,-0.62259533,0.39557589,0.66525744,-0.39826331,-0.66791458,-0.032557637,0.021378671,-0.012297233,-0.012297233,0.1070468,0.1070468,-0.076557712,-0.064179383,0.0199,0.0199,7.3213905e-17,1.1069789e-17,0,0,0,2.7031872e-17,0,0,0,0,1.0073327e-07,1.5134113e-07,0.00011796367,0.00011796367
0.39585931,0.65208948,0.25621607,-1.410318e-05,0.65207537,0.65207537,-0.041569956,-0.041569956,-0.43742926,-0.69365943,-0.20413091,-0.17269119,0.14689235,0.18531879,-0.20413081,-0.17269099,0.14703858,0.18546502,-0.26983499,-0.000153442,0,-1.8971499e-16,-2.1800175e-05,3.2077589e-05,-0.0052861421,-0.0052861421,-71.059365,-0.019649876,-0.0050251256,-0.019649876,-0.0039184832,-0.0039184832,-0.31478351,-0.097033663,0.10544534,0.14387179,-0.21776513,-1.5278248e-05,0.06561766,0.1040441,-0.097018385,-0.097018385,0.039827683,0.039827683,-0.15214747,0.10402882,-0.057190702,-0.057190702,-0.15214747,0.10402882,-0.057190702,-0.057190702,0.058567445,0.097047766,-0.063875387,-0.10230183,0.058567445,0.097047766,-0.063875387,-0.10230183,-2.1800175e-05,3.2077589e-05,-0.0052861421,-0.0052861421,-0.15216927,0.1040609,-0.25621607,1.410318e-05,-8.1986523e-06,1.5405902e-05,-0.0026123221,-0.0026123221,-0.00075737777,-0.0027550201,-0.001863143,0.00015810385,-0.00083346676,0.0015572619,-0.013123109,-0.013123109,26.129252,26.7169,-1.079416,-1.079416,29.27738,28.388609,-0.69087749,-0.69087749,0.39057317,0.64680333,-0.39588111,-0.6520574,-0.030433853,0.020812181,-0.012495369,-0.012495369,0.21163152,0.21163152,-0.15161379,-0.12809931,0.0194423,0.0194423,3.2125231e-17,8.3027401e-18,0,-1.4973834e-16,0,1.4713546e-17,0,-6.5393712e-16,0,2.4146812e-17,1.3632608e-07,2.7906035e-07,0.0002010725,0.0002010725
0.39344556,0.63643674,0.24298871,-2.476115e-06,0.63643426,0.63643426,-0.037671065,-0.037671065,-0.43111662,-0.67410781,-0.19764654,-0.1678338,0.14360739,0.1800454,-0.19764643,-0.16783352,0.14379524,0.18023325,-0.52605105,-0.00013933882,0,-3.5562797e-16,-2.487556e-05,4.624544e-05,-0.0078383808,-0.0078383808,-105.21138,-0.019185787,-0.0050251256,-0.019185787,-0.0038283581,-0.0038283581,-0.30080864,-0.094326586,0.10335425,0.13979226,-0.20651926,-3.7203927e-05,0.064671224,0.10110923,-0.094289382,-0.094289382,0.038683029,0.038683029,-0.14184803,0.10107203,-0.055606354,-0.055606354,-0.14184803,0.10107203,-0.055606354,-0.055606354,0.057819932,0.094329063,-0.065683188,-0.1021212,0.057819932,0.094329063,-0.065683188,-0.1021212,-2.487556e-05,4.624544e-05,-0.0078383808,-0.0078383808,-0.14187291,0.10111828,-0.24298871,2.476115e-06,-3.0753854e-06,1.4167851e-05,-0.0025522387,-0.0025522387,-0.0007475128,-0.0027187036,-0.0018078013,0.00018063271,-0.00032933872,0.0014488627,-0.015495097,-0.015495097,25.800268,26.017685,-1.2216433,-1.2216433,28.591777,27.68908,-0.75758916,-0.75758916,0.38560717,0.62859836,-0.39347043,-0.63639049,-0.028374582,0.020223655,-0.012688947,-0.012688947,0.3138108,0.3138108,-0.22520492,-0.1917647,0.018995127,0.018995127,-3.9522402e-17,5.7296504e-18,0,-2.8693124e-16,0,3.0687785e-18,0,-1.2261458e-15,0,4.33841e-17,1.401127e-07,3.8556614e-07,0.00025828409,0.00025828409
0.3910086,0.6211561,0.2301443,-3.1980569e-06,0.6211529,0.6211529,-0.033861849,-0.033861849,-0.42487045,-0.65501795,-0.19132155,-0.16308652,0.14039847,0.17490825,-0.19132145,-0.16308618,0.14061397,0.17512375,-0.76903976,-0.0001368627,0,-5.0022632e-16,-2.3099526e-05,5.9206741e-05,-0.010331918,-0.010331918,-137.56131,-0.018745351,-0.0050251256,-0.018745351,-0.0037403058,-0.0037403058,-0.28722617,-0.091670755,0.10129873,0.13580851,-0.19560302,-4.7607381e-05,0.063734032,0.098243811,-0.091623147,-0.091623147,0.037564702,0.037564702,-0.13186899,0.098196204,-0.054058446,-0.054058446,-0.13186899,0.098196204,-0.054058446,-0.054058446,0.057081867,0.091673953,-0.067436885,-0.10194666,0.057081867,0.091673953,-0.067436885,-0.10194666,-2.3099526e-05,5.9206741e-05,-0.010331918,-0.010331918,-0.13189209,0.09825541,-0.2301443,3.1980569e-06,1.7760347e-06,1.29613e-05,-0.0024935372,-0.0024935372,-0.00073806467,-0.0026551097,-0.0017536965,0.00017453382,0.00015272791,0.0013423754,-0.01781253,-0.01781253,25.472997,25.333856,-1.3605993,-1.3605993,27.922223,27.005248,-0.82276647,-0.82276647,0.38067668,0.61082418,-0.3910317,-0.62109689,-0.026378418,0.019651082,-0.012878073,-0.012878073,0.41363995,0.41363995,-0.29736692,-0.25515121,0.018558239,0.018558239,4.1660898e-19,3.3330634e-18,0,-4.1231726e-16,0,-7.9569349e-18,0,-1.7251636e-15,0,5.8259403e-17,1.4042909e-07,4.7318392e-07,0.00029630558,0.00029630558
0.38854857,0.60622608,0.21767444,-3.0708265e-06,0.60622301,0.60622301,-0.030140244,-0.030140244,-0.41868882,-0.63636632,-0.18515233,-0.15844841,0.13726046,0.16989893,-0.18515222,-0.15844802,0.1374933,0.17013177,-0.99918406,-0.00013366464,0,-6.2574622e-16,-1.6736327e-05,7.0991953e-05,-0.012768104,-0.012768104,-168.16168,-0.01831415,-0.0050251256,-0.01831415,-0.0036542788,-0.0036542788,-0.27402728,-0.089075969,0.099277929,0.1319164,-0.18500905,-5.7732958e-05,0.062805833,0.0954443,-0.089018236,-0.089018236,0.036472096,0.036472096,-0.12220321,0.095386567,-0.05254614,-0.05254614,-0.12220321,0.095386567,-0.05254614,-0.05254614,0.056352844,0.089079039,-0.069137685,-0.10177615,0.056352844,0.089079039,-0.069137685,-0.10177615,-1.6736327e-05,7.0991953e-05,-0.012768104,-0.012768104,-0.12221995,0.095457559,-0.21767444,3.0708264e-06,6.3631987e-06,1.1785213e-05,-0.0024361859,-0.0024361859,-0.00072902296,-0.0025949134,-0.0017007997,0.00017051273,0.00061322034,0.001237728,-0.020076662,-0.020076662,25.147354,24.665046,-1.4963593,-1.4963593,27.268316,26.336755,-0.8864447,-0.8864447,0.37578047,0.59345797,-0.38856531,-0.60615509,-0.02444399,0.019091512,-0.013062849,-0.013062849,0.51117303,0.51117303,-0.36813478,-0.31824476,0.0181314,0.0181314,-3.4332107e-18,1.0972235e-18,0,-5.2659544e-16,0,-1.8412942e-17,0,-2.1586661e-15,0,6.9264207e-17,1.6107177e-07,5.4407836e-07,0.00032015671,0.00032015671
0.38606561,0.59163951,0.20557089,-3.0038963e-06,0.5916365,0.5916365,-0.026504237,-0.026504237,-0.41256985,-0.61814374,-0.17913535,-0.15391686,0.1341892,0.16501214,-0.17913519,-0.15391642,0.13443182,0.16525475,-1.2168585,-0.00013059382,0,-7.3419784e-16,-6.0427913e-06,8.1630854e-05,-0.015148258,-0.015148258,-197.06385,-0.017892928,-0.0050251256,-0.017892928,-0.0035702304,-0.0035702304,-0.26120336,-0.08654007,0.097291004,0.12811394,-0.17473012,-6.6832914e-05,0.061886384,0.092709317,-0.086473237,-0.086473237,0.03540462,0.03540462,-0.11284374,0.092642484,-0.051068617,-0.051068617,-0.11284374,0.092642484,-0.051068617,-0.051068617,0.055632467,0.086543074,-0.070786767,-0.1016097,0.055632467,0.086543074,-0.070786767,-0.1016097,-6.0427913e-06,8.1630854e-05,-0.015148258,-0.015148258,-0.11284978,0.092724115,-0.20557089,3.0038963e-06,1.0693536e-05,1.0638901e-05,-0.0023801536,-0.0023801536,-0.00072037747,-0.0025359657,-0.0016490826,0.00016645104,0.0010526172,0.001134882,-0.022288718,-0.022288718,24.823262,24.010911,-1.6289969,-1.6289969,26.62966,25.683249,-0.94865833,-0.94865832,0.37091735,0.57649125,-0.38607165,-0.59155788,-0.022569956,0.018544823,-0.013243375,-0.013243375,0.60646285,0.60646285,-0.43754267,-0.38103028,0.017714377,0.017714377,6.3307353e-17,-9.9209296e-19,0,-6.3042742e-16,0,-2.8343945e-17,0,-2.5335529e-15,0,7.6839582e-17,2.2172555e-07,6.0026747e-07,0.0003335922,0.0003335922
0.38355985,0.57738842,0.19382564,-2.9345518e-06,0.57738549,0.57738549,-0.022951858,-0.022951858,-0.4065117,-0.60034028,-0.17326713,-0.14948941,0.13118126,0.16024318,-0.17326688,-0.14948895,0.13142811,0.16049003,-1.4224294,-0.00012758992,0,-8.2738801e-16,8.7315253e-06,9.1152523e-05,-0.017473668,-0.017473668,-224.31807,-0.017481391,-0.0050251256,-0.017481391,-0.0034881151,-0.0034881151,-0.24874599,-0.084061758,0.095337142,0.12439907,-0.16475922,-7.4985276e-05,0.060975446,0.090037369,-0.083986773,-0.083986773,0.034361696,0.034361696,-0.10378377,0.089962384,-0.049625077,-0.049625077,-0.10378377,0.089962384,-0.049625077,-0.049625077,0.054920349,0.084064693,-0.072385285,-0.10144721,0.054920349,0.084064693,-0.072385285,-0.10144721,8.7315253e-06,9.1152523e-05,-0.017473668,-0.017473668,-0.10377504,0.090053536,-0.19382564,2.9345518e-06,1.4774317e-05,9.5216693e-06,-0.0023254101,-0.0023254101,-0.00071211823,-0.0024783808,-0.0015985175,0.00016249238,0.0014713889,0.0010337978,-0.024449898,-0.024449898,24.500645,23.371117,-1.7585837,-1.7585837,26.005871,25.044385,-1.009441,-1.009441,0.36608618,0.55991475,-0.38355111,-0.57729727,-0.020755008,0.018010707,-0.013419749,-0.013419749,0.699561,0.699561,-0.50562396,-0.44349318,0.017306947,0.017306947,2.0569167e-17,-2.94773e-18,0,-7.2443932e-16,0,-3.7790457e-17,0,-2.8560259e-15,0,8.1381248e-17,3.3836199e-07,6.4363035e-07,0.00033941843,0.00033941843
0.3810314,0.56346511,0.18243085,-2.8670747e-06,0.56346225,0.56346225,-0.019481183,-0.019481183,-0.40051258,-0.5829463,-0.1675443,-0.14516369,0.12823373,0.15558795,-0.16754392,-0.1451632,0.12848081,0.15583503,-1.616255,-0.00012465537,0,-9.0694057e-16,2.7344184e-05,9.9585365e-05,-0.019745593,-0.019745593,-249.97347,-0.017079319,-0.0050251256,-0.017079319,-0.0034078885,-0.0034078885,-0.23664696,-0.081639708,0.093415545,0.12076977,-0.15508946,-8.2210546e-05,0.060072785,0.087427007,-0.081557498,-0.081557498,0.03334276,0.03334276,-0.095016679,0.087344796,-0.048214738,-0.048214738,-0.095016679,0.087344796,-0.048214738,-0.048214738,0.054216113,0.081642576,-0.073934362,-0.10128858,0.054216113,0.081642576,-0.073934362,-0.10128858,2.7344184e-05,9.9585365e-05,-0.019745593,-0.019745593,-0.094989335,0.087444381,-0.18243085,2.8670747e-06,1.8612659e-05,8.4328413e-06,-0.0022719256,-0.0022719256,-0.00070423548,-0.0024221173,-0.0015490775,0.00015862454,0.0018699974,0.00093443665,-0.02656137,-0.02656137,24.179435,22.745335,-1.8851901,-1.8851901,25.396577,24.419829,-1.0688258,-1.0688258,0.3612858,0.54371952,-0.38100405,-0.56336553,-0.018997867,0.017488876,-0.013592066,-0.013592066,0.7905179,0.7905179,-0.57241124,-0.50561915,0.016908887,0.016908887,-1.6963291e-17,-4.781289e-18,0,-8.0922357e-16,0,-4.6789218e-17,0,-3.1316589e-15,0,8.3244144e-17,5.2361008e-07,6.7591498e-07,0.00033973098,0.00033973098
0.37848038,0.54986204,0.17137886,-2.8011307e-06,0.54985924,0.54985924,-0.016090334,-0.016090334,-0.39457072,-0.56595237,-0.16196356,-0.14093734,0.12534416,0.15104279,-0.16196299,-0.14093683,0.12558859,0.15128723,-1.7986859,-0.0001217883,0,-9.7431474e-16,4.9559713e-05,0.00010695712,-0.021965265,-0.021965265,-274.07814,-0.016686495,-0.0050251256,-0.016686495,-0.003329507,-0.003329507,-0.22489825,-0.079272629,0.091525432,0.11722407,-0.14571415,-8.853259e-05,0.059178173,0.084876813,-0.079184096,-0.079184096,0.032347259,0.032347259,-0.08653598,0.08478828,-0.046836837,-0.046836837,-0.08653598,0.08478828,-0.046836837,-0.046836837,0.053519393,0.07927543,-0.075435098,-0.10113374,0.053519393,0.07927543,-0.075435098,-0.10113374,4.9559713e-05,0.00010695712,-0.021965265,-0.021965265,-0.086486421,0.084895237,-0.17137886,2.8011307e-06,2.2215529e-05,7.371755e-06,-0.0022196713,-0.0022196713,-0.00069671969,-0.0023671457,-0.0015007361,0.00015484611,0.0022488971,0.00083676086,-0.028624279,-0.028624279,23.859563,22.133245,-2.0088845,-2.0088845,24.801411,23.809252,-1.1268446,-1.1268446,0.35651512,0.52789678,-0.37843082,-0.54975508,-0.017297284,0.016979047,-0.01376042,-0.01376042,0.87938279,0.87938279,-0.63793638,-0.56739423,0.016519983,0.016519983,-1.8691486e-17,-6.5032518e-18,0,-8.8534067e-16,0,-5.5373561e-17,0,-3.3654607e-15,0,8.2746531e-17,7.8710091e-07,6.9874547e-07,0.00033609276,0.00033609276
0.37590692,0.53657184,0.16066219,-2.7367048e-06,0.5365691,0.5365691,-0.012777475,-0.012777475,-0.38868439,-0.54934931,-0.15652168,-0.13680809,0.12251038,0.14660439,-0.15652085,-0.13680757,0.12275013,0.14684415,-1.9700647,-0.00011898716,0,-1.0308216e-15,7.5149459e-05,0.00011329488,-0.024133883,-0.024133883,-296.67908,-0.016302705,-0.0050251256,-0.016302705,-0.0032529284,-0.0032529284,-0.21349202,-0.076959257,0.089666041,0.11376006,-0.13662673,-9.3974452e-05,0.058291386,0.082385403,-0.076865283,-0.076865283,0.031374654,0.031374654,-0.078335348,0.082291428,-0.045490628,-0.045490628,-0.078335348,0.082291428,-0.045490628,-0.045490628,0.052829832,0.076961994,-0.076888566,-0.10098258,0.052829832,0.076961994,-0.076888566,-0.10098258,7.5149459e-05,0.00011329488,-0.024133883,-0.024133883,-0.078260199,0.082404723,-0.16066219,2.7367048e-06,2.5589747e-05,6.3377639e-06,-0.0021686189,-0.0021686189,-0.00068956152,-0.0023134361,-0.0014534676,0.00015115498,0.0026085344,0.00074073351,-0.03063974,-0.03063974,23.540966,21.534536,-2.129734,-2.129734,24.220017,23.212335,-1.183529,-1.183529,0.35177303,0.51243795,-0.37583177,-0.53645854,-0.01565204,0.016480945,-0.013924902,-0.013924902,0.96620378,0.96620378,-0.70223049,-0.62880482,0.016140023,0.016140023,-2.251513e-17,-8.1230921e-18,0,-9.5332084e-16,0,-6.3573749e-17,0,-3.561932e-15,0,8.0173686e-17,1.1357876e-06,7.1362908e-07,0.00032966755,0.00032966755
