e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,chi_H_pie,chi_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
0.37564756,0.55895836,0.29243714,0.10912634,0.6680847,0.6680847,-0.045560632,-0.045560632,0.29243714,-0.60451899,-0.21355024,-0.19105469,0.1468723,0.17436646,-0.2135498,-0.19105458,0.14695809,0.17445225,-2.6637339e-18,-3.1764098e-17,0,0,-3.3073262e-05,-1.6680764e-05,-0.00267382,-0.00267382,-1.2050372,-0.013516995,-0.0050251256,-0.013516995,-0.00401073,-0.00401073,-0.34835509,-0.19255484,0.10418547,0.13167964,-0.24854345,-0.092743208,0.06318619,0.090680351,-0.099811632,-0.099811632,0.040999284,0.040999284,-0.18535726,-0.0020628569,-0.058812347,-0.058812347,-0.18535726,-0.0020628569,-0.058812347,-0.058812347,0.055917949,0.083428502,-0.058624842,-0.086119003,0.055917949,0.083428502,-0.058624842,-0.086119003,-3.3073262e-05,-1.6680764e-05,-0.00267382,-0.00267382,-0.18539034,-0.0020795377,-0.29243714,-0.10912634,-3.3073262e-05,-1.6680764e-05,-0.00267382,-0.00267382,0.055917949,0.083428502,-0.058624842,-0.086119003,-0.0033073262,-0.0016680764,-0.01069528,-0.01069528,25.823853,26.30774,-0.93384058,-0.93384058,30.530006,30.009654,-0.62259533,-0.62259533,0.37297374,0.55628454,-0.37568063,-0.55897504,-0.037078068,-0.00041590754,-0.012297233,-0.012297233,0.1070468,0.1070468,-0.07781557,-0.068665592,0.0199,0.0199,2.2004163e-17,-1.6983013e-17,0,0,0,3.0485549e-16,0,0,0,0,5.9559626e-07,1.5150597e-07,0.00011796367,0.00011796367
0.37314358,0.54949963,0.2789318,0.10257575,0.65207537,0.65207537,-0.041569956,-0.041569956,0.2789318,-0.59106958,-0.20691465,-0.1852739,0.14349076,0.16993993,-0.20691393,-0.18527369,0.14363699,0.17008616,-0.18539034,-0.0020795377,0,2.1558536e-16,-6.0270278e-05,-3.2039306e-05,-0.0052861421,-0.0052861421,-3.6951391,-0.019135781,-0.0050251256,-0.019135781,-0.0039184832,-0.0039184832,-0.33405918,-0.18418054,0.10204375,0.12849293,-0.2370408,-0.087162152,0.06221607,0.088665243,-0.097018385,-0.097018385,0.039827683,0.039827683,-0.17482473,0.0015030915,-0.057190702,-0.057190702,-0.17482473,0.0015030915,-0.057190702,-0.057190702,0.055127385,0.081604789,-0.060473798,-0.086922971,0.055127385,0.081604789,-0.060473798,-0.086922971,-6.0270278e-05,-3.2039306e-05,-0.0052861421,-0.0052861421,-0.174885,0.0014710522,-0.2789318,-0.10257575,-2.7197015e-05,-1.5358542e-05,-0.0026123221,-0.0026123221,-0.00079056318,-0.0018237131,-0.001848956,-0.00080396753,-0.0027527748,-0.001552535,-0.013123109,-0.013123109,25.517078,25.737387,-1.079416,-1.079416,29.836454,29.308071,-0.69087749,-0.69087749,0.36785743,0.54421348,-0.37320385,-0.54953167,-0.034976999,0.00029421044,-0.012495369,-0.012495369,0.21163152,0.21163152,-0.15412192,-0.13658056,0.0194423,0.0194423,7.2067747e-18,-1.2256838e-17,0,-1.2032611e-16,0,2.4960242e-16,0,-7.9165121e-17,0,-2.7154496e-17,9.9239477e-07,2.7843019e-07,0.0002010725,0.0002010725
0.37061567,0.53435841,0.26581859,0.10207585,0.63643426,0.63643426,-0.037671065,-0.037671065,0.26581859,-0.57202948,-0.20044219,-0.18035025,0.14019146,0.16474752,-0.20044129,-0.18034997,0.1403793,0.16493536,-0.36027533,-0.00060848549,0,4.0473705e-16,-8.1865878e-05,-4.6197124e-05,-0.0078383808,-0.0078383808,-6.0423678,-0.014637424,-0.0050251256,-0.014637424,-0.0038283581,-0.0038283581,-0.3201656,-0.18101459,0.09993832,0.12449438,-0.22587621,-0.086725204,0.061255291,0.085811352,-0.094289382,-0.094289382,0.038683029,0.038683029,-0.16462092,-0.00091385269,-0.055606354,-0.055606354,-0.16462092,-0.00091385269,-0.055606354,-0.055606354,0.054347008,0.078938738,-0.062267255,-0.086823316,0.054347008,0.078938738,-0.062267255,-0.086823316,-8.1865878e-05,-4.6197124e-05,-0.0078383808,-0.0078383808,-0.16470279,-0.00096004981,-0.26581859,-0.10207585,-2.15956e-05,-1.4157818e-05,-0.0025522387,-0.0025522387,-0.00078037739,-0.0026660516,-0.0017934569,9.9655102e-05,-0.0022198303,-0.0014478211,-0.015495097,-0.015495097,25.212914,25.175739,-1.2216433,-1.2216433,29.159649,28.623017,-0.75758916,-0.75758916,0.36277729,0.52652003,-0.37069754,-0.53440461,-0.032940558,-0.00019200996,-0.012688947,-0.012688947,0.3138108,0.3138108,-0.22895608,-0.20452249,0.018995127,0.018995127,2.5050926e-17,-8.2728693e-18,0,-2.3144875e-16,0,1.9979629e-16,0,-1.4856409e-16,0,-5.3642464e-17,1.2364093e-06,3.8478754e-07,0.00025828409,0.00025828409
0.36806399,0.52360339,0.25308891,0.097549506,0.6211529,0.6211529,-0.033861849,-0.033861849,0.25308891,-0.55746524,-0.19412917,-0.17504437,0.13696804,0.1602931,-0.19412817,-0.17504403,0.13718353,0.16050859,-0.52497812,-0.0015685353,0,5.7021394e-16,-9.8127089e-05,-5.9124118e-05,-0.010331918,-0.010331918,-8.2511366,-0.017078194,-0.0050251256,-0.017078194,-0.0037403058,-0.0037403058,-0.30666531,-0.17448997,0.097868297,0.12119336,-0.21504216,-0.082866824,0.060303595,0.083628655,-0.091623147,-0.091623147,0.037564702,0.037564702,-0.15473857,0.00076183084,-0.054058446,-0.054058446,-0.15473857,0.00076183084,-0.054058446,-0.054058446,0.053576403,0.076940466,-0.064006448,-0.087331508,0.053576403,0.076940466,-0.064006448,-0.087331508,-9.8127089e-05,-5.9124118e-05,-0.010331918,-0.010331918,-0.15483669,0.00070270672,-0.25308891,-0.097549506,-1.626121e-05,-1.2926994e-05,-0.0024935372,-0.0024935372,-0.00077060478,-0.0019982716,-0.0017391937,-0.00050819267,-0.0017079869,-0.0013388965,-0.01781253,-0.01781253,24.911281,24.631229,-1.3605993,-1.3605993,28.499177,27.954111,-0.82276647,-0.82276647,0.35773208,0.51327148,-0.36816212,-0.52366252,-0.030967339,0.00014054134,-0.012878073,-0.012878073,0.41363995,0.41363995,-0.30235424,-0.27148794,0.018558239,0.018558239,1.1664406e-17,-4.9505717e-18,0,-3.3390257e-16,0,1.548939e-16,0,-2.0921389e-16,0,-7.9483136e-17,1.3680257e-06,4.7192953e-07,0.00029630558,0.00029630558
0.36548867,0.5103322,0.24073434,0.095890812,0.60622301,0.60622301,-0.030140244,-0.030140244,0.24073434,-0.54047244,-0.18797197,-0.17019979,0.13381536,0.15553613,-0.18797093,-0.1701994,0.1340482,0.15576897,-0.67981482,-0.00086582859,0,7.1449633e-16,-0.00010931329,-7.0892706e-05,-0.012768104,-0.012768104,-10.325764,-0.014784539,-0.0050251256,-0.014784539,-0.0036542788,-0.0036542788,-0.29354951,-0.17046517,0.09583283,0.1175536,-0.20453127,-0.081446931,0.059360734,0.0810815,-0.089018236,-0.089018236,0.036472096,0.036472096,-0.14517054,-0.000365431,-0.05254614,-0.05254614,-0.14517054,-0.000365431,-0.05254614,-0.05254614,0.052815168,0.074574355,-0.065692586,-0.087413352,0.052815168,0.074574355,-0.065692586,-0.087413352,-0.00010931329,-7.0892706e-05,-0.012768104,-0.012768104,-0.14527985,-0.0004363237,-0.24073434,-0.095890812,-1.1186204e-05,-1.1768588e-05,-0.0024361859,-0.0024361859,-0.00076123488,-0.0023661109,-0.0016861372,-8.184354e-05,-0.0012167475,-0.0012359829,-0.020076662,-0.020076662,24.612102,24.09755,-1.4963593,-1.4963593,27.854635,27.30098,-0.8864447,-0.8864447,0.35272056,0.49756409,-0.36559798,-0.51040309,-0.02905597,-8.726474e-05,-0.013062849,-0.013062849,0.51117303,0.51117303,-0.37435172,-0.33845073,0.0181314,0.0181314,2.3578267e-17,-2.2176068e-18,0,-4.2819376e-16,0,1.1440631e-16,0,-2.6202885e-16,0,-1.0469491e-16,1.4224793e-06,5.426233e-07,0.00032015671,0.00032015671
0.36288983,0.49925759,0.22874667,0.092378915,0.5916365,0.5916365,-0.026504237,-0.026504237,0.22874667,-0.52576182,-0.18196707,-0.16523462,0.13072928,0.15117932,-0.18196603,-0.16523418,0.13097189,0.15142193,-0.82509467,-0.0013021523,0,8.3981389e-16,-0.00011567639,-8.1503937e-05,-0.015148258,-0.015148258,-12.270473,-0.015745429,-0.0050251256,-0.015745429,-0.0035702304,-0.0035702304,-0.28080958,-0.16492604,0.093831082,0.11428112,-0.19433635,-0.0784528,0.058426462,0.078876499,-0.086473237,-0.086473237,0.03540462,0.03540462,-0.13590989,0.00042369976,-0.051068617,-0.051068617,-0.13590989,0.00042369976,-0.051068617,-0.051068617,0.052062911,0.072547121,-0.067326845,-0.087776883,0.052062911,0.072547121,-0.067326845,-0.087776883,-0.00011567639,-8.1503937e-05,-0.015148258,-0.015148258,-0.13602556,0.00034219583,-0.22874667,-0.092378915,-6.3631005e-06,-1.0611231e-05,-0.0023801536,-0.0023801536,-0.00075225745,-0.0020272339,-0.0016342592,-0.00036353097,-0.00074562334,-0.0011320158,-0.022288718,-0.022288718,24.315304,23.578497,-1.6289969,-1.6289969,27.225629,26.66326,-0.94865833,-0.94865833,0.34774157,0.48410933,-0.36300551,-0.49933909,-0.027205112,6.8439165e-05,-0.013243375,-0.013243375,0.60646285,0.60646285,-0.44498303,-0.40450877,0.017714377,0.017714377,3.2084487e-17,-9.0131261e-21,0,-5.1480155e-16,0,7.789346e-17,0,-3.0783101e-16,0,-1.2929542e-16,1.4303008e-06,5.985068e-07,0.0003335922,0.0003335922
0.3602676,0.48714327,0.21711788,0.090242222,0.57738549,0.57738549,-0.022951858,-0.022951858,0.21711788,-0.51009512,-0.17611102,-0.1605426,0.12770635,0.14673373,-0.17610999,-0.16054213,0.1279532,0.14698058,-0.96112023,-0.00095995646,0,9.4817077e-16,-0.00011746097,-9.1006526e-05,-0.017473668,-0.017473668,-14.089397,-0.014492932,-0.0050251256,-0.014492932,-0.0034881151,-0.0034881151,-0.26843713,-0.16061531,0.091862235,0.11088962,-0.18445036,-0.076628533,0.057500538,0.076527919,-0.083986773,-0.083986773,0.034361696,0.034361696,-0.12694982,-0.00010061394,-0.049625077,-0.049625077,-0.12694982,-0.00010061394,-0.049625077,-0.049625077,0.051319249,0.070373084,-0.068910377,-0.087937758,0.051319249,0.070373084,-0.068910377,-0.087937758,-0.00011746097,-9.1006526e-05,-0.017473668,-0.017473668,-0.12706728,-0.00019162047,-0.21711788,-0.090242222,-1.7845771e-06,-9.502589e-06,-0.0023254101,-0.0023254101,-0.00074366247,-0.0021740371,-0.0015835322,-0.00016087559,-0.0002941341,-0.0010317628,-0.024449898,-0.024449898,24.020819,23.070961,-1.7585837,-1.7585837,26.611776,26.040594,-1.009441,-1.009441,0.34279394,0.4696696,-0.36038506,-0.48723427,-0.025413457,-3.8324094e-05,-0.013419749,-0.013419749,0.699561,0.699561,-0.5142819,-0.47040592,0.017306947,0.017306947,2.8284572e-17,1.7335359e-18,0,-5.9417956e-16,0,4.4959247e-17,0,-3.473593e-16,0,-1.5330156e-16,1.4177319e-06,6.4168964e-07,0.00033941843,0.00033941843
0.35762211,0.47619347,0.20584014,0.087268774,0.56346225,0.56346225,-0.019481183,-0.019481183,0.20584014,-0.49567466,-0.17040045,-0.15584987,0.12474368,0.14252706,-0.17039942,-0.15584938,0.12499075,0.14277413,-1.0881875,-0.0011515769,0,1.0413682e-15,-0.00011490443,-9.9415414e-05,-0.019745593,-0.019745593,-15.786579,-0.014768946,-0.0050251256,-0.014768946,-0.0034078885,-0.0034078885,-0.25642395,-0.15565145,0.089925489,0.10770887,-0.17486645,-0.074093954,0.056582729,0.074366111,-0.081557498,-0.081557498,0.03334276,0.03334276,-0.11828372,0.00027215629,-0.048214738,-0.048214738,-0.11828372,0.00027215629,-0.048214738,-0.048214738,0.050583808,0.068382679,-0.070444306,-0.088227687,0.050583808,0.068382679,-0.070444306,-0.088227687,-0.00011490443,-9.9415414e-05,-0.019745593,-0.019745593,-0.11839862,0.00017274087,-0.20584014,-0.087268774,2.5565357e-06,-8.4088886e-06,-0.0022719256,-0.0022719256,-0.00073544015,-0.0019904054,-0.0015339289,-0.00028992916,0.0001381926,-0.00093189538,-0.02656137,-0.02656137,23.728583,22.576572,-1.8851901,-1.8851901,26.012702,25.432637,-1.0688258,-1.0688258,0.33787651,0.45644788,-0.35773701,-0.47629289,-0.023679725,3.4548175e-05,-0.013592066,-0.013592066,0.7905179,0.7905179,-0.58228125,-0.53551104,0.016908887,0.016908887,-3.9411735e-17,3.0623983e-18,0,-6.6675711e-16,0,1.5247158e-17,0,-3.812779e-16,0,-1.7672958e-16,1.4071133e-06,6.7377402e-07,0.00033973098,0.00033973098
0.35495346,0.46488922,0.19490578,0.084970018,0.54985924,0.54985924,-0.016090334,-0.016090334,0.19490578,-0.48097955,-0.16483205,-0.15133959,0.12183879,0.13832893,-0.16483102,-0.15133908,0.12208322,0.13857336,-1.2065861,-0.00097883606,0,1.121025e-15,-0.00010823718,-0.00010676753,-0.021965265,-0.021965265,-17.365975,-0.014012224,-0.0050251256,-0.014012224,-0.003329507,-0.003329507,-0.24476201,-0.15131786,0.088020063,0.10451021,-0.16557791,-0.072133763,0.055672804,0.072162948,-0.079184096,-0.079184096,0.032347259,0.032347259,-0.10990511,2.918501e-05,-0.046836837,-0.046836837,-0.10990511,2.918501e-05,-0.046836837,-0.046836837,0.049856227,0.066347841,-0.071929729,-0.088419873,0.049856227,0.066347841,-0.071929729,-0.088419873,-0.00010823718,-0.00010676753,-0.021965265,-0.021965265,-0.11001334,-7.7582524e-05,-0.19490578,-0.084970018,6.6672574e-06,-7.3521196e-06,-0.0022196713,-0.0022196713,-0.00072758091,-0.0020348378,-0.0014854232,-0.00019218562,0.00055182131,-0.00083462737,-0.028624279,-0.028624279,23.438536,22.093727,-2.0088845,-2.0088845,25.428042,24.839048,-1.1268446,-1.1268446,0.33298819,0.44292396,-0.3550617,-0.46499599,-0.022002669,-1.5516505e-05,-0.01376042,-0.01376042,0.87938279,0.87938279,-0.64901328,-0.60030668,0.016519983,0.016519983,2.1689909e-17,4.0245637e-18,0,-7.3294052e-16,0,-1.1563698e-17,0,-4.1018374e-16,0,-1.9959507e-16,1.4172465e-06,6.964685e-07,0.00033609276,0.00033609276
0.35226177,0.45425992,0.18430733,0.082309184,0.5365691,0.5365691,-0.012777475,-0.012777475,0.18430733,-0.46703739,-0.15940261,-0.14688222,0.11898953,0.13429156,-0.15940155,-0.1468817,0.11922929,0.13453132,-1.3165995,-0.0010564186,0,1.1885955e-15,-9.7682716e-05,-0.00011308367,-0.024133883,-0.024133883,-18.831458,-0.01397536,-0.0050251256,-0.01397536,-0.0032529284,-0.0032529284,-0.23344349,-0.14673197,0.086145193,0.10144723,-0.1565782,-0.069866685,0.054770539,0.070072571,-0.076865283,-0.076865283,0.031374654,0.031374654,-0.10180767,0.00020588621,-0.045490628,-0.045490628,-0.10180767,0.00020588621,-0.045490628,-0.045490628,0.049136152,0.064422784,-0.073367718,-0.088669751,0.049136152,0.064422784,-0.073367718,-0.088669751,-9.7682716e-05,-0.00011308367,-0.024133883,-0.024133883,-0.10190535,9.2802547e-05,-0.18430733,-0.082309184,1.0554461e-05,-6.3161335e-06,-0.0021686189,-0.0021686189,-0.00072007537,-0.0019250571,-0.0014379891,-0.00024987798,0.00094720895,-0.00073838088,-0.03063974,-0.03063974,23.15062,21.623046,-2.129734,-2.129734,24.857441,24.259495,-1.183529,-1.183529,0.32812788,0.43012603,-0.35235945,-0.454373,-0.02038107,1.8560509e-05,-0.013924902,-0.013924902,0.96620378,0.96620378,-0.71450943,-0.66439553,0.016140023,0.016140023,-9.8460466e-18,4.6621929e-18,0,-7.9311424e-16,0,-3.5762156e-17,0,-4.3461323e-16,0,-2.2191304e-16,1.4637295e-06,7.1122584e-07,0.00032966755,0.00032966755
