e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,y_H_potential_pie,y_H_potential_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
-0.02650383,-0.02650383,0.02650383,0.02650383,3.0704606e-15,3.0704606e-15,3.2702119e-15,3.2702119e-15,0.02650383,0.02650383,-0.075986105,-0.075986105,-0.0039821008,-0.0039821008,-0.075985355,-0.075985355,-0.0039821008,-0.0039821008,0,0,4.3508962e-05,4.3508962e-05,-4.8561145e-18,-4.8561145e-18,0.014690532,0.014690532,0.014690532,0.014690532,-7.69585e-17,-7.69585e-17,-0.022565238,-0.022565238,-0.0039821008,-0.0039821008,-0.022565238,-0.022565238,-0.0039821008,-0.0039821008,-4.8196282e-16,-4.8196282e-16,-2.7737049e-15,-2.7737049e-15,-0.026547339,-0.026547339,-3.2506412e-15,-3.2506412e-15,0.073452661,0.073452661,-3.2036457e-15,-3.2036457e-15,-0.0039385918,-0.0039385918,0.0039821008,0.0039821008,-0.0039385918,-0.0039385918,0.0039821008,0.0039821008,4.3508962e-05,4.3508962e-05,-4.8049074e-17,-4.8049074e-17,-0.02650383,-0.02650383,-0.02650383,-0.02650383,4.3508962e-05,4.3508962e-05,-4.0134609e-17,-4.0134609e-17,-0.0039385918,-0.0039385918,0.0039821008,0.0039821008,0.0043508962,0.0043508962,-1.8415578e-16,-1.8415578e-16,2.8820397,2.8820397,-8.9530005e-15,-8.9530005e-15,0.37635712,0.37635712,-2.897322e-15,-2.897322e-15,-0.02650383,-0.02650383,0.026547339,0.026547339,-0.0053007659,-0.0053007659,-6.5114241e-16,-6.5114241e-16,1.0252378e-17,1.0252378e-17,-1.0531504e-17,-1.0531504e-17,-2.6403536e-19,-2.6403536e-19,1.073799e-20,1.073799e-20,-0.1,-0.1,0,0,0,0,0,0,-0.1,-0.1,1.0307547e-06,1.0307547e-06,2.6577983e-32,2.6577983e-32
-0.037209425,-0.037209425,0.037209425,0.037209425,3.1502578e-15,3.1502578e-15,3.3501749e-15,3.3501749e-15,0.037209425,0.037209425,-0.073669073,-0.073669073,-0.0055938697,-0.0055938697,-0.073667712,-0.073667712,-0.0055938697,-0.0055938697,0.073452661,0.073452661,8.3039624e-05,8.3039624e-05,-4.5183773e-16,-4.5183773e-16,0.015948667,0.015948667,0.015948667,0.015948667,7.5175204e-17,7.5175204e-17,-0.031698595,-0.031698595,-0.0055938697,-0.0055938697,-0.031698595,-0.031698595,-0.0055938697,-0.0055938697,-3.8687631e-16,-3.8687631e-16,-2.4814826e-15,-2.4814826e-15,-0.037292465,-0.037292465,-2.9237649e-15,-2.9237649e-15,0.057707535,0.057707535,-2.0887816e-15,-2.0887816e-15,-0.0055108301,-0.0055108301,0.0055938697,0.0055938697,-0.0055108301,-0.0055108301,0.0055938697,0.0055938697,8.3039624e-05,8.3039624e-05,1.1441431e-16,1.1441431e-16,-0.037209425,-0.037209425,-0.037209425,-0.037209425,3.9530662e-05,3.9530662e-05,4.6067213e-17,4.6067213e-17,-0.0015722383,-0.0015722383,0.0016117689,0.0016117689,0.0039965752,0.0039965752,-4.3172799e-17,-4.3172799e-17,2.6742993,2.6742993,-6.3726083e-15,-6.3726083e-15,0.37536655,0.37536655,-4.3064663e-15,-4.3064663e-15,-0.037209425,-0.037209425,0.037292465,0.037292465,-0.007441885,-0.007441885,-6.7421536e-16,-6.7421536e-16,1.7677663e-15,1.7677663e-15,-1.836086e-15,-1.836086e-15,-1.0530276e-18,-1.0530276e-18,-1.5956484e-18,-1.5956484e-18,-0.095,-0.095,-1.1674368e-18,-1.1674368e-18,-1.8802602e-17,-1.8802602e-17,9.1253285e-19,9.1253285e-19,-0.095,-0.095,1.8713227e-06,1.8713227e-06,5.4949591e-32,5.4949591e-32
-0.045397043,-0.045397043,0.045397043,0.045397043,2.8241298e-15,2.8241298e-15,3.0785762e-15,3.0785762e-15,0.045397043,0.045397043,-0.071224296,-0.071224296,-0.0068274195,-0.0068274195,-0.071222434,-0.071222434,-0.0068274195,-0.0068274195,0.1311602,0.1311602,0.00011908721,0.00011908721,-2.6877085e-16,-2.6877085e-16,0.016816386,0.016816386,0.016816386,0.016816386,7.1342663e-17,7.1342663e-17,-0.038688711,-0.038688711,-0.0068274195,-0.0068274195,-0.038688711,-0.038688711,-0.0068274195,-0.0068274195,-3.5854836e-16,-3.5854836e-16,-2.4039481e-15,-2.4039481e-15,-0.04551613,-0.04551613,-2.815614e-15,-2.815614e-15,0.04473387,0.04473387,-1.338699e-15,-1.338699e-15,-0.0067083323,-0.0067083323,0.0068274195,0.0068274195,-0.0067083323,-0.0067083323,0.0068274195,0.0068274195,0.00011908721,0.00011908721,2.7497923e-16,2.7497923e-16,-0.045397043,-0.045397043,-0.045397043,-0.045397043,3.604759e-05,3.604759e-05,5.5867051e-17,5.5867051e-17,-0.0011975022,-0.0011975022,0.0012335498,0.0012335498,0.0036877986,0.0036877986,1.2995328e-16,1.2995328e-16,2.4931292,2.4931292,4.693762e-15,4.693762e-15,0.37435736,0.37435736,1.2833094e-15,1.2833094e-15,-0.045397043,-0.045397043,0.04551613,0.04551613,-0.0090794086,-0.0090794086,-6.1514616e-16,-6.1514616e-16,3.4497577e-15,3.4497577e-15,-3.6138142e-15,-3.6138142e-15,-1.7845767e-18,-1.7845767e-18,-2.9010749e-18,-2.9010749e-18,-0.09025,-0.09025,-2.2173724e-18,-2.2173724e-18,-3.4977536e-17,-3.4977536e-17,1.7345464e-18,1.7345464e-18,-0.09025,-0.09025,2.5601485e-06,2.5601485e-06,9.2710795e-32,9.2710795e-32
-0.051518453,-0.051518453,0.051518453,0.051518453,2.5118796e-15,2.5118796e-15,2.8138237e-15,2.8138237e-15,0.051518453,0.051518453,-0.068698202,-0.068698202,-0.007750579,-0.007750579,-0.068695928,-0.068695928,-0.007750579,-0.007750579,0.17589407,0.17589407,0.0001520735,0.0001520735,-8.8692719e-17,-8.8692719e-17,0.017367039,0.017367039,0.017367039,0.017367039,6.752957e-17,6.752957e-17,-0.043919948,-0.043919948,-0.007750579,-0.007750579,-0.043919948,-0.043919948,-0.007750579,-0.007750579,-3.3239998e-16,-3.3239998e-16,-2.329965e-15,-2.329965e-15,-0.051670527,-0.051670527,-2.7132341e-15,-2.7132341e-15,0.034066973,0.034066973,-7.1891298e-16,-7.1891298e-16,-0.0075985055,-0.0075985055,0.007750579,0.007750579,-0.0075985055,-0.0075985055,0.007750579,0.007750579,0.0001520735,0.0001520735,4.3277793e-16,4.3277793e-16,-0.051518453,-0.051518453,-0.051518453,-0.051518453,3.2986283e-05,3.2986283e-05,6.3327471e-17,6.3327471e-17,-0.00089017322,-0.00089017322,0.0009231595,0.0009231595,0.0034177155,0.0034177155,2.9855179e-16,2.9855179e-16,2.334541,2.334541,1.5474015e-14,1.5474015e-14,0.37334168,0.37334168,6.7288563e-15,6.7288563e-15,-0.051518453,-0.051518453,0.051670527,0.051670527,-0.010303691,-0.010303691,-5.5792158e-16,-5.5792158e-16,5.0576624e-15,5.0576624e-15,-5.3323782e-15,-5.3323782e-15,-2.461924e-18,-2.461924e-18,-3.9563883e-18,-3.9563883e-18,-0.0857375,-0.0857375,-3.1484184e-18,-3.1484184e-18,-4.8807817e-17,-4.8807817e-17,2.464453e-18,2.464453e-18,-0.0857375,-0.0857375,3.1270146e-06,3.1270146e-06,1.3570418e-31,1.3570418e-31
-0.055949278,-0.055949278,0.055949278,0.055949278,2.1857516e-15,2.1857516e-15,2.5566092e-15,2.5566092e-15,0.055949278,0.055949278,-0.066128316,-0.066128316,-0.0084197455,-0.0084197455,-0.066125701,-0.066125701,-0.0084197455,-0.0084197455,0.20996104,0.20996104,0.00018235845,0.00018235845,8.7590981e-17,8.7590981e-17,0.01766146,0.01766146,0.01766146,0.01766146,6.3759732e-17,6.3759732e-17,-0.047711891,-0.047711891,-0.0084197455,-0.0084197455,-0.047711891,-0.047711891,-0.0084197455,-0.0084197455,-3.0820912e-16,-3.0820912e-16,-2.2593968e-15,-2.2593968e-15,-0.056131637,-0.056131637,-2.6162768e-15,-2.6162768e-15,0.025318988,0.025318988,-2.1039338e-16,-2.1039338e-16,-0.0082373871,-0.0082373871,0.0084197455,0.0084197455,-0.0082373871,-0.0082373871,0.0084197455,0.0084197455,0.00018235845,0.00018235845,5.8714195e-16,5.8714195e-16,-0.055949278,-0.055949278,-0.055949278,-0.055949278,3.0284955e-05,3.0284955e-05,6.8867065e-17,6.8867065e-17,-0.00063888155,-0.00063888155,0.00066916651,0.00066916651,0.003180569,0.003180569,4.6222153e-16,4.6222153e-16,2.1951829,2.1951829,2.5941814e-14,2.5941814e-14,0.3723292,0.3723292,1.2016824e-14,1.2016824e-14,-0.055949278,-0.055949278,0.056131637,0.056131637,-0.011189856,-0.011189856,-5.0263216e-16,-5.0263216e-16,6.5932419e-15,6.5932419e-15,-6.9839911e-15,-6.9839911e-15,-3.0881479e-18,-3.0881479e-18,-4.8040559e-18,-4.8040559e-18,-0.081450625,-0.081450625,-3.9621477e-18,-3.9621477e-18,-6.054996e-17,-6.054996e-17,3.1030988e-18,3.1030988e-18,-0.081450625,-0.081450625,3.5951482e-06,3.5951482e-06,1.8003223e-31,1.8003223e-31
-0.059001603,-0.059001603,0.059001603,0.059001603,1.9012569e-15,1.9012569e-15,2.3074229e-15,2.3074229e-15,0.059001603,0.059001603,-0.063544783,-0.063544783,-0.0088817779,-0.0088817779,-0.063541886,-0.063541886,-0.0088817779,-0.0088817779,0.23528003,0.23528003,0.00021025005,0.00021025005,2.5946969e-16,2.5946969e-16,0.01775005,0.01775005,0.01775005,0.01775005,6.0052006e-17,6.0052006e-17,-0.050330075,-0.050330075,-0.0088817779,-0.0088817779,-0.050330075,-0.050330075,-0.0088817779,-0.0088817779,-2.8578325e-16,-2.8578325e-16,-2.1921079e-15,-2.1921079e-15,-0.059211853,-0.059211853,-2.5244218e-15,-2.5244218e-15,0.018166241,0.018166241,2.0356248e-16,2.0356248e-16,-0.0086715279,-0.0086715279,0.0088817779,0.0088817779,-0.0086715279,-0.0086715279,0.0088817779,0.0088817779,0.00021025005,0.00021025005,7.3756669e-16,7.3756669e-16,-0.059001603,-0.059001603,-0.059001603,-0.059001603,2.7891599e-05,2.7891599e-05,7.283413e-17,7.283413e-17,-0.0004341408,-0.0004341408,0.0004620324,0.0004620324,0.0029715184,0.0029715184,6.2068303e-16,6.2068303e-16,2.0722362,2.0722362,3.6078713e-14,3.6078713e-14,0.37132757,0.37132757,1.7137854e-14,1.7137854e-14,-0.059001603,-0.059001603,0.059211853,0.059211853,-0.011800321,-0.011800321,-4.493332e-16,-4.493332e-16,8.0585018e-15,8.0585018e-15,-8.5637784e-15,-8.5637784e-15,-3.6661702e-18,-3.6661702e-18,-5.4795389e-18,-5.4795389e-18,-0.077378094,-0.077378094,-4.6623014e-18,-4.6623014e-18,-7.0436078e-17,-7.0436078e-17,3.6531193e-18,3.6531193e-18,-0.077378094,-0.077378094,3.9827857e-06,3.9827857e-06,2.2255355e-31,2.2255355e-31
-0.060934506,-0.060934506,0.060934506,0.060934506,1.6098234e-15,1.6098234e-15,2.0665909e-15,2.0665909e-15,0.060934506,0.060934506,-0.06097165,-0.06097165,-0.0091755778,-0.0091755778,-0.060968519,-0.060968519,-0.0091755778,-0.0091755778,0.25344627,0.25344627,0.00023601245,0.00023601245,4.2649294e-16,4.2649294e-16,0.01767451,0.01767451,0.01767451,0.01767451,5.6421132e-17,5.6421132e-17,-0.051994941,-0.051994941,-0.0091755778,-0.0091755778,-0.051994941,-0.051994941,-0.0091755778,-0.0091755778,-2.6495483e-16,-2.6495483e-16,-2.1279643e-15,-2.1279643e-15,-0.061170519,-0.061170519,-2.4373731e-15,-2.4373731e-15,0.01233867,0.01233867,5.3750227e-16,5.3750227e-16,-0.0089395654,-0.0089395654,0.0091755778,0.0091755778,-0.0089395654,-0.0089395654,0.0091755778,0.0091755778,0.00023601245,0.00023601245,8.8368201e-16,8.8368201e-16,-0.060934506,-0.060934506,-0.060934506,-0.060934506,2.57624e-05,2.57624e-05,7.5518276e-17,7.5518276e-17,-0.0002680375,-0.0002680375,0.0002937999,0.0002937999,0.00278649,0.00278649,7.7375583e-16,7.7375583e-16,1.963328,1.963328,4.5872695e-14,4.5872695e-14,0.37034279,0.37034279,2.2085834e-14,2.2085834e-14,-0.060934506,-0.060934506,0.061170519,0.061170519,-0.012186901,-0.012186901,-3.9805166e-16,-3.9805166e-16,9.4556246e-15,9.4556246e-15,-1.0069185e-14,-1.0069185e-14,-4.1987636e-18,-4.1987636e-18,-6.0124412e-18,-6.0124412e-18,-0.073509189,-0.073509189,-5.2541586e-18,-5.2541586e-18,-7.8675872e-17,-7.8675872e-17,4.1184283e-18,4.1184283e-18,-0.073509189,-0.073509189,4.3043432e-06,4.3043432e-06,2.6101483e-31,2.6101483e-31
-0.061962862,-0.061962862,0.061962862,0.061962862,1.3253287e-15,1.3253287e-15,1.834306e-15,1.834306e-15,0.061962862,0.061962862,-0.058427918,-0.058427918,-0.0093334102,-0.0093334102,-0.058424594,-0.058424594,-0.0093334102,-0.0093334102,0.26578494,0.26578494,0.00025987285,0.00025987285,5.8834128e-16,5.8834128e-16,0.017469295,0.017469295,0.017469295,0.017469295,5.2878438e-17,5.2878438e-17,-0.052889325,-0.052889325,-0.0093334102,-0.0093334102,-0.052889325,-0.052889325,-0.0093334102,-0.0093334102,-2.4557754e-16,-2.4557754e-16,-2.0668347e-15,-2.0668347e-15,-0.062222735,-0.062222735,-2.3548571e-15,-2.3548571e-15,0.0076109949,0.0076109949,8.040157e-16,8.040157e-16,-0.0090735374,-0.0090735374,0.0093334102,0.0093334102,-0.0090735374,-0.0090735374,0.0093334102,0.0093334102,0.00025987285,0.00025987285,1.0252277e-15,1.0252277e-15,-0.061962862,-0.061962862,-0.061962862,-0.061962862,2.38604e-05,2.38604e-05,7.7160125e-17,7.7160125e-17,-0.00013397198,-0.00013397198,0.00015783238,0.00015783238,0.0026220525,0.0026220525,9.2133968e-16,9.2133968e-16,1.8664595,1.8664595,5.531695e-14,5.531695e-14,0.36937948,0.36937948,2.6857289e-14,2.6857289e-14,-0.061962862,-0.061962862,0.062222735,0.062222735,-0.012392572,-0.012392572,-3.4879183e-16,-3.4879183e-16,1.0786915e-14,1.0786915e-14,-1.1499454e-14,-1.1499454e-14,-4.6885579e-18,-4.6885579e-18,-6.4274701e-18,-6.4274701e-18,-0.06983373,-0.06983373,-5.7440376e-18,-5.7440376e-18,-8.5458512e-17,-8.5458512e-17,4.5038121e-18,4.5038121e-18,-0.06983373,-0.06983373,4.5712938e-06,4.5712938e-06,2.9399692e-31,2.9399692e-31
-0.062264681,-0.062264681,0.062264681,0.062264681,1.0547119e-15,1.0547119e-15,1.6106533e-15,1.6106533e-15,0.062264681,0.062264681,-0.055928431,-0.055928431,-0.0093820063,-0.0093820063,-0.055924946,-0.055924946,-0.0093820063,-0.0093820063,0.27339593,0.27339593,0.00028202725,0.00028202725,7.4480198e-16,7.4480198e-16,0.017162823,0.017162823,0.017162823,0.017162823,4.943242e-17,4.943242e-17,-0.053164702,-0.053164702,-0.0093820063,-0.0093820063,-0.053164702,-0.053164702,-0.0093820063,-0.0093820063,-2.275231e-16,-2.275231e-16,-2.0085904e-15,-2.0085904e-15,-0.062546709,-0.062546709,-2.2766194e-15,-2.2766194e-15,0.0037953344,0.0037953344,1.013939e-15,1.013939e-15,-0.0090999791,-0.0090999791,0.0093820063,0.0093820063,-0.0090999791,-0.0090999791,0.0093820063,0.0093820063,0.00028202725,0.00028202725,1.1620331e-15,1.1620331e-15,-0.062264681,-0.062264681,-0.062264681,-0.062264681,2.2154396e-05,2.2154396e-05,7.7959418e-17,7.7959418e-17,-2.64417e-05,-2.64417e-05,4.8596096e-05,4.8596096e-05,0.0024753125,0.0024753125,1.0633989e-15,1.0633989e-15,1.779945,1.779945,6.4408868e-14,6.4408868e-14,0.36844113,0.36844113,3.1450866e-14,3.1450866e-14,-0.062264681,-0.062264681,0.062546709,0.062546709,-0.012452936,-0.012452936,-3.0154001e-16,-3.0154001e-16,1.2054756e-14,1.2054756e-14,-1.285518e-14,-1.285518e-14,-5.1380467e-18,-5.1380467e-18,-6.7452385e-18,-6.7452385e-18,-0.066342043,-0.066342043,-6.1389069e-18,-6.1389069e-18,-9.0954393e-17,-9.0954393e-17,4.8146127e-18,4.8146127e-18,-0.066342043,-0.066342043,4.7928309e-06,4.7928309e-06,3.2077926e-31,3.2077926e-31
-0.061987253,-0.061987253,0.061987253,0.061987253,8.0491169e-16,8.0491169e-16,1.3956315e-15,1.3956315e-15,0.061987253,0.061987253,-0.053484609,-0.053484609,-0.0093434847,-0.0093434847,-0.05348099,-0.05348099,-0.0093434847,-0.0093434847,0.27719127,0.27719127,0.00030264525,0.00030264525,8.9574895e-16,8.9574895e-16,0.016778485,0.016778485,0.016778485,0.016778485,4.6089237e-17,4.6089237e-17,-0.052946413,-0.052946413,-0.0093434847,-0.0093434847,-0.052946413,-0.052946413,-0.0093434847,-0.0093434847,-2.1067859e-16,-2.1067859e-16,-1.9531063e-15,-1.9531063e-15,-0.062289898,-0.062289898,-2.2024234e-15,-2.2024234e-15,0.00073504309,0.00073504309,1.1765555e-15,1.1765555e-15,-0.0090408394,-0.0090408394,0.0093434847,0.0093434847,-0.0090408394,-0.0090408394,0.0093434847,0.0093434847,0.00030264525,0.00030264525,1.2940002e-15,1.2940002e-15,-0.061987253,-0.061987253,-0.061987253,-0.061987253,2.0618005e-05,2.0618005e-05,7.8081782e-17,7.8081782e-17,5.9139626e-05,5.9139626e-05,-3.852162e-05,-3.852162e-05,0.0023438278,0.0023438278,1.1999497e-15,1.1999497e-15,1.7023609,1.7023609,7.3149199e-14,7.3149199e-14,0.36753031,0.36753031,3.5866916e-14,3.5866916e-14,-0.061987253,-0.061987253,0.062289898,0.062289898,-0.012397451,-0.012397451,-2.5626842e-16,-2.5626842e-16,1.3261572e-14,1.3261572e-14,-1.4137944e-14,-1.4137944e-14,-5.549594e-18,-5.549594e-18,-6.9829371e-18,-6.9829371e-18,-0.063024941,-0.063024941,-6.446082e-18,-6.446082e-18,-9.5316788e-17,-9.5316788e-17,5.0564804e-18,5.0564804e-18,-0.063024941,-0.063024941,4.9763707e-06,4.9763707e-06,3.4118106e-31,3.4118106e-31
