e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,chi_H_pie,chi_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
-0.083163511,-0.083163511,0.083163511,0.083163511,9.15934e-16,9.15934e-16,-1.7882434e-16,-1.7882434e-16,0.083163511,0.083163511,-0.082933803,-0.082933803,-0.012474648,-0.012474648,-0.082933803,-0.082933803,-0.012474648,-0.012474648,-5.5813961e-20,-5.5813961e-20,-6.4658194e-20,-6.4658194e-20,8.0945105e-07,8.0945105e-07,2.5799647e-17,2.5799647e-17,8.0945105e-05,8.0945105e-05,8.0945105e-05,8.0945105e-05,5.8130164e-17,5.8130164e-17,-0.070689673,-0.070689673,-0.012474648,-0.012474648,-0.070689673,-0.070689673,-0.012474648,-0.012474648,-1.3867927e-16,-1.3867927e-16,1.2723913e-16,1.2723913e-16,-0.083164321,-0.083164321,-1.2711205e-17,-1.2711205e-17,0.016835679,0.016835679,8.0436804e-17,8.0436804e-17,-0.012473839,-0.012473839,0.012474648,0.012474648,-0.012473839,-0.012473839,0.012474648,0.012474648,8.0945105e-07,8.0945105e-07,2.7490505e-17,2.7490505e-17,-0.083163511,-0.083163511,-0.083163511,-0.083163511,8.0945105e-07,8.0945105e-07,3.8516198e-17,3.8516198e-17,-0.012473839,-0.012473839,0.012474648,0.012474648,8.0945105e-05,8.0945105e-05,1.101877e-16,1.101877e-16,0.047266398,0.047266398,6.1526412e-15,6.1526412e-15,1.4910033e-05,1.4910033e-05,2.5979382e-15,2.5979382e-15,-0.083163511,-0.083163511,0.083164321,0.083164321,-0.016632702,-0.016632702,2.7053411e-18,2.7053411e-18,1.6827325e-16,1.6827325e-16,-1.8353681e-16,-1.8353681e-16,0,0,-1.1647585e-19,-1.1647585e-19,-0.1,-0.1,-1.5031017e-18,-1.5031017e-18,0,0,0,0,3.5676239e-10,3.5676239e-10,2.4477709e-32,2.4477709e-32
-0.083082971,-0.083082971,0.083082971,0.083082971,8.7901908e-14,8.7901908e-14,-2.3730909e-16,-2.3730909e-16,0.083082971,0.083082971,-0.079287603,-0.079287603,-0.012462625,-0.012462625,-0.079287602,-0.079287602,-0.012462625,-0.012462625,8.0945105e-07,8.0945105e-07,-5.7979659e-20,-5.7979659e-20,1.1971142e-06,1.1971142e-06,1.3283754e-15,1.3283754e-15,0.00052443694,0.00052443694,0.00052443694,0.00052443694,4.0314295e-17,4.0314295e-17,-0.070621543,-0.070621543,-0.012462625,-0.012462625,-0.070621543,-0.070621543,-0.012462625,-0.012462625,-1.3114825e-14,-1.3114825e-14,-1.1057816e-15,-1.1057816e-15,-0.083084168,-0.083084168,-1.4094211e-14,-1.4094211e-14,0.011915832,0.011915832,-1.4053982e-14,-1.4053982e-14,-0.012461428,-0.012461428,0.012462625,0.012462625,-0.012461428,-0.012461428,0.012462625,0.012462625,1.1971141e-06,1.1971141e-06,5.5769605e-17,5.5769605e-17,-0.083082971,-0.083082971,-0.083082971,-0.083082971,3.876631e-07,3.876631e-07,2.305444e-17,2.305444e-17,1.2410571e-05,1.2410571e-05,-1.2022908e-05,-1.2022908e-05,3.9575761e-05,3.9575761e-05,1.352662e-16,1.352662e-16,0.023110691,0.023110691,7.7155891e-15,7.7155891e-15,8.5624325e-06,8.5624325e-06,3.3796681e-15,3.3796681e-15,-0.083082971,-0.083082971,0.083084168,0.083084168,-0.016616594,-0.016616594,-2.5530727e-15,-2.5530727e-15,3.304084e-16,3.304084e-16,-3.603471e-16,-3.603471e-16,-1.4639116e-20,-1.4639116e-20,-1.0535133e-19,-1.0535133e-19,-0.095,-0.095,-1.4255131e-18,-1.4255131e-18,-7.9955272e-20,-7.9955272e-20,-2.1142089e-21,-2.1142089e-21,4.3502369e-10,4.3502369e-10,2.7128151e-32,2.7128151e-32
-0.082561156,-0.082561156,0.082561156,0.082561156,8.3807961e-14,8.3807961e-14,-2.5813718e-16,-2.5813718e-16,0.082561156,0.082561156,-0.075769027,-0.075769027,-0.012384366,-0.012384366,-0.075769027,-0.075769027,-0.012384366,-0.012384366,2.0065652e-06,2.0065652e-06,-5.1788771e-20,-5.1788771e-20,1.2853164e-06,1.2853164e-06,1.2970155e-15,1.2970155e-15,0.0011318142,0.0011318142,0.0011318142,0.0011318142,3.849844e-17,3.849844e-17,-0.070178075,-0.070178075,-0.012384366,-0.012384366,-0.070178075,-0.070178075,-0.012384366,-0.012384366,-1.2508204e-14,-1.2508204e-14,-1.0531495e-15,-1.0531495e-15,-0.082562441,-0.082562441,-1.344082e-14,-1.344082e-14,0.0076875585,0.0076875585,-1.3439538e-14,-1.3439538e-14,-0.012383081,-0.012383081,0.012384366,0.012384366,-0.012383081,-0.012383081,0.012384366,0.012384366,1.2853164e-06,1.2853164e-06,8.2798116e-17,8.2798116e-17,-0.082561156,-0.082561156,-0.082561156,-0.082561156,8.8202277e-08,8.8202277e-08,2.2014698e-17,2.2014698e-17,7.8347185e-05,7.8347185e-05,-7.8258983e-05,-7.8258983e-05,1.0017342e-05,1.0017342e-05,1.5888139e-16,1.5888139e-16,0.0058468279,0.0058468279,9.2435716e-15,9.2435716e-15,-1.0298774e-06,-1.0298774e-06,4.1664189e-15,4.1664189e-15,-0.082561156,-0.082561156,0.082562441,0.082562441,-0.016512231,-0.016512231,-2.42867e-15,-2.42867e-15,4.8561913e-16,4.8561913e-16,-5.2932044e-16,-5.2932044e-16,-2.8205515e-20,-2.8205515e-20,-9.533353e-20,-9.533353e-20,-0.09025,-0.09025,-1.3518198e-18,-1.3518198e-18,-1.4816051e-19,-1.4816051e-19,-3.8991616e-21,-3.8991616e-21,4.3490946e-10,4.3490946e-10,2.8342788e-32,2.8342788e-32
-0.081435001,-0.081435001,0.081435001,0.081435001,7.9936058e-14,7.9936058e-14,-2.7695466e-16,-2.7695466e-16,0.081435001,0.081435001,-0.072348986,-0.072348986,-0.012215427,-0.012215427,-0.072348986,-0.072348986,-0.012215427,-0.012215427,3.2918816e-06,3.2918816e-06,-4.6123461e-20,-4.6123461e-20,1.1795065e-06,1.1795065e-06,1.2676555e-15,1.2676555e-15,0.0017638915,0.0017638915,0.0017638915,0.0017638915,3.6691713e-17,3.6691713e-17,-0.069220753,-0.069220753,-0.012215427,-0.012215427,-0.069220753,-0.069220753,-0.012215427,-0.012215427,-1.1934441e-14,-1.1934441e-14,-1.0043936e-15,-1.0043936e-15,-0.08143618,-0.08143618,-1.2823819e-14,-1.2823819e-14,0.0043013195,0.0043013195,-1.2850876e-14,-1.2850876e-14,-0.012214248,-0.012214248,0.012215427,0.012215427,-0.012214248,-0.012214248,0.012215427,0.012215427,1.1795065e-06,1.1795065e-06,1.0857805e-16,1.0857805e-16,-0.081435001,-0.081435001,-0.081435001,-0.081435001,-1.0580994e-07,-1.0580994e-07,2.0979586e-17,2.0979586e-17,0.00016883334,0.00016883334,-0.00016893915,-0.00016893915,-9.2956774e-06,-9.2956774e-06,1.8125901e-16,1.8125901e-16,-0.0054369225,-0.0054369225,1.0694102e-14,1.0694102e-14,-1.1484096e-05,-1.1484096e-05,4.914785e-15,4.914785e-15,-0.081435001,-0.081435001,0.08143618,0.08143618,-0.016287,-0.016287,-2.3111458e-15,-2.3111458e-15,6.338543e-16,6.338543e-16,-6.9004839e-16,-6.9004839e-16,-4.0762382e-20,-4.0762382e-20,-8.6304335e-20,-8.6304335e-20,-0.0857375,-0.0857375,-1.2818486e-18,-1.2818486e-18,-2.0623192e-19,-2.0623192e-19,-5.4024227e-21,-5.4024227e-21,4.3665645e-10,4.3665645e-10,2.851945e-32,2.851945e-32
-0.079679929,-0.079679929,0.079679929,0.079679929,7.6230688e-14,7.6230688e-14,-2.9399422e-16,-2.9399422e-16,0.079679929,0.079679929,-0.069015837,-0.069015837,-0.011952134,-0.011952134,-0.069015837,-0.069015837,-0.011952134,-0.011952134,4.4713881e-06,4.4713881e-06,-4.0995418e-20,-4.0995418e-20,9.6436372e-07,9.6436372e-07,1.2394848e-15,1.2394848e-15,0.0023321304,0.0023321304,0.0023321304,0.0023321304,3.4912696e-17,3.4912696e-17,-0.067728759,-0.067728759,-0.011952134,-0.011952134,-0.067728759,-0.067728759,-0.011952134,-0.011952134,-1.1385861e-14,-1.1385861e-14,-9.585157e-16,-9.585157e-16,-0.079680893,-0.079680893,-1.2234621e-14,-1.2234621e-14,0.0017697317,0.0017697317,-1.2282018e-14,-1.2282018e-14,-0.01195117,-0.01195117,0.011952134,0.011952134,-0.01195117,-0.01195117,0.011952134,0.011952134,9.6436372e-07,9.6436372e-07,1.3312396e-16,1.3312396e-16,-0.079679929,-0.079679929,-0.079679929,-0.079679929,-2.1514277e-07,-2.1514277e-07,1.9960187e-17,1.9960187e-17,0.00026307793,0.00026307793,-0.00026329307,-0.00026329307,-2.033477e-05,-2.033477e-05,2.0243373e-16,2.0243373e-16,-0.011890015,-0.011890015,1.2068579e-14,1.2068579e-14,-2.1237651e-05,-2.1237651e-05,5.6250221e-15,5.6250221e-15,-0.079679929,-0.079679929,0.079680893,0.079680893,-0.015935986,-0.015935986,-2.1989449e-15,-2.1989449e-15,7.7513093e-16,7.7513093e-16,-8.422406e-16,-8.422406e-16,-5.2369109e-20,-5.2369109e-20,-7.8159467e-20,-7.8159467e-20,-0.081450625,-0.081450625,-1.2154335e-18,-1.2154335e-18,-2.5545905e-19,-2.5545905e-19,-6.6631217e-21,-6.6631217e-21,4.5749284e-10,4.5749284e-10,2.7963337e-32,2.7963337e-32
-0.077359459,-0.077359459,0.077359459,0.077359459,7.2664097e-14,7.2664097e-14,-3.0950872e-16,-3.0950872e-16,0.077359459,0.077359459,-0.065769179,-0.065769179,-0.011604024,-0.011604024,-0.065769179,-0.065769179,-0.011604024,-0.011604024,5.4357518e-06,5.4357518e-06,-3.6394847e-20,-3.6394847e-20,7.0337479e-07,7.0337479e-07,1.2120263e-15,1.2120263e-15,0.0027882134,0.0027882134,0.0027882134,0.0027882134,3.3178007e-17,3.3178007e-17,-0.065756138,-0.065756138,-0.011604024,-0.011604024,-0.065756138,-0.065756138,-0.011604024,-0.011604024,-1.0857771e-14,-1.0857771e-14,-9.1482604e-16,-9.1482604e-16,-0.077360163,-0.077360163,-1.1667898e-14,-1.1667898e-14,1.793117e-05,1.793117e-05,-1.1729578e-14,-1.1729578e-14,-0.011603321,-0.011603321,0.011604024,0.011604024,-0.011603321,-0.011603321,0.011604024,0.011604024,7.0337478e-07,7.0337478e-07,1.5646223e-16,1.5646223e-16,-0.077359459,-0.077359459,-0.077359459,-0.077359459,-2.6098894e-07,-2.6098894e-07,1.8966305e-17,1.8966305e-17,0.00034784863,0.00034784863,-0.00034810961,-0.00034810961,-2.513453e-05,-2.513453e-05,2.2245684e-16,2.2245684e-16,-0.014699355,-0.014699355,1.3369599e-14,1.3369599e-14,-2.9391971e-05,-2.9391971e-05,6.2980633e-15,6.2980633e-15,-0.077359459,-0.077359459,0.077360163,0.077360163,-0.015471892,-0.015471892,-2.0910965e-15,-2.0910965e-15,9.0953858e-16,9.0953858e-16,-9.8579949e-16,-9.8579949e-16,-6.3081531e-20,-6.3081531e-20,-7.0806979e-20,-7.0806979e-20,-0.077378094,-0.077378094,-1.1524137e-18,-1.1524137e-18,-2.9688853e-19,-2.9688853e-19,-7.7135221e-21,-7.7135221e-21,4.9000665e-10,4.9000665e-10,2.6907895e-32,2.6907895e-32
-0.074585187,-0.074585187,0.074585187,0.074585187,6.9222406e-14,6.9222406e-14,-3.2374243e-16,-3.2374243e-16,0.074585187,0.074585187,-0.062614919,-0.062614919,-0.011187844,-0.011187844,-0.062614919,-0.062614919,-0.011187844,-0.011187844,6.1391266e-06,6.1391266e-06,-3.229592e-20,-3.229592e-20,4.4062078e-07,4.4062078e-07,1.1850505e-15,1.1850505e-15,0.0031136254,0.0031136254,0.0031136254,0.0031136254,3.1501042e-17,3.1501042e-17,-0.063397783,-0.063397783,-0.011187844,-0.011187844,-0.063397783,-0.063397783,-0.011187844,-0.011187844,-1.034767e-14,-1.034767e-14,-8.728835e-16,-8.728835e-16,-0.074585627,-0.074585627,-1.1120735e-14,-1.1120735e-14,-0.0010764384,-0.0010764384,-1.1192103e-14,-1.1192103e-14,-0.011187404,-0.011187404,0.011187844,0.011187844,-0.011187404,-0.011187404,0.011187844,0.011187844,4.4062078e-07,4.4062078e-07,1.7862921e-16,1.7862921e-16,-0.074585187,-0.074585187,-0.074585187,-0.074585187,-2.6275401e-07,-2.6275401e-07,1.8005772e-17,1.8005772e-17,0.00041591751,0.00041591751,-0.00041618026,-0.00041618026,-2.5572026e-05,-2.5572026e-05,2.4138939e-16,2.4138939e-16,-0.014960348,-0.014960348,1.4600538e-14,1.4600538e-14,-3.5550448e-05,-3.5550448e-05,6.9353222e-15,6.9353222e-15,-0.074585187,-0.074585187,0.074585627,0.074585627,-0.014917037,-0.014917037,-1.9870639e-15,-1.9870639e-15,1.0372335e-15,1.0372335e-15,-1.1208308e-15,-1.1208308e-15,-7.295217e-20,-7.295217e-20,-6.4165751e-20,-6.4165751e-20,-0.073509189,-0.073509189,-1.092632e-18,-1.092632e-18,-3.3139054e-19,-3.3139054e-19,-8.5804262e-21,-8.5804262e-21,5.2269868e-10,5.2269868e-10,2.5530351e-32,2.5530351e-32
-0.07148713,-0.07148713,0.07148713,0.07148713,6.5891737e-14,6.5891737e-14,-3.3691363e-16,-3.3691363e-16,0.07148713,0.07148713,-0.059561613,-0.059561613,-0.0107231,-0.0107231,-0.059561612,-0.059561612,-0.0107231,-0.0107231,6.5797474e-06,6.5797474e-06,-2.8662093e-20,-2.8662093e-20,2.0377472e-07,2.0377472e-07,1.158498e-15,1.158498e-15,0.0033102512,0.0033102512,0.0033102512,0.0033102512,2.9891512e-17,2.9891512e-17,-0.060764233,-0.060764233,-0.0107231,-0.0107231,-0.060764233,-0.060764233,-0.0107231,-0.0107231,-9.8545481e-15,-9.8545481e-15,-8.3243537e-16,-8.3243537e-16,-0.071487333,-0.071487333,-1.0591886e-14,-1.0591886e-14,-0.0016536038,-0.0016536038,-1.0669456e-14,-1.0669456e-14,-0.010722896,-0.010722896,0.0107231,0.0107231,-0.010722896,-0.010722896,0.0107231,0.0107231,2.0377472e-07,2.0377472e-07,1.9966886e-16,1.9966886e-16,-0.07148713,-0.07148713,-0.07148713,-0.07148713,-2.3684606e-07,-2.3684606e-07,1.7084215e-17,1.7084215e-17,0.00046450727,0.00046450727,-0.00046474412,-0.00046474412,-2.3243985e-05,-2.3243985e-05,2.5929677e-16,2.5929677e-16,-0.013605065,-0.013605065,1.5765204e-14,1.5765204e-14,-3.9668458e-05,-3.9668458e-05,7.5385147e-15,7.5385147e-15,-0.07148713,-0.07148713,0.071487333,0.071487333,-0.014297426,-0.014297426,-1.8866093e-15,-1.8866093e-15,1.1584268e-15,1.1584268e-15,-1.2476152e-15,-1.2476152e-15,-8.2030479e-20,-8.2030479e-20,-5.8164063e-20,-5.8164063e-20,-0.06983373,-0.06983373,-1.0359349e-18,-1.0359349e-18,-3.5970902e-19,-3.5970902e-19,-9.2863688e-21,-9.2863688e-21,5.48016e-10,5.48016e-10,2.3963625e-32,2.3963625e-32
-0.06819343,-0.06819343,0.06819343,0.06819343,6.267209e-14,6.267209e-14,-3.4920616e-16,-3.4920616e-16,0.06819343,0.06819343,-0.056617954,-0.056617954,-0.010229016,-0.010229016,-0.056617953,-0.056617953,-0.010229016,-0.010229016,6.7835221e-06,6.7835221e-06,-2.5450801e-20,-2.5450801e-20,7.5661009e-09,7.5661009e-09,1.1324154e-15,1.1324154e-15,0.0033925177,0.0033925177,0.0033925177,0.0033925177,2.8355537e-17,2.8355537e-17,-0.057964422,-0.057964422,-0.010229016,-0.010229016,-0.057964422,-0.057964422,-0.010229016,-0.010229016,-9.3783149e-15,-9.3783149e-15,-7.9336167e-16,-7.9336167e-16,-0.068193437,-0.068193437,-1.0081143e-14,-1.0081143e-14,-0.0018513941,-0.0018513941,-1.0162279e-14,-1.0162279e-14,-0.010229008,-0.010229008,0.010229016,0.010229016,-0.010229008,-0.010229008,0.010229016,0.010229016,7.5660977e-09,7.5660977e-09,2.1963023e-16,2.1963023e-16,-0.06819343,-0.06819343,-0.06819343,-0.06819343,-1.9620862e-07,-1.9620862e-07,1.6205139e-17,1.6205139e-17,0.00049388821,0.00049388821,-0.00049408442,-0.00049408442,-1.9417087e-05,-1.9417087e-05,2.762447e-16,2.762447e-16,-0.011373112,-0.011373112,1.6867557e-14,1.6867557e-14,-4.1925441e-05,-4.1925441e-05,8.1095118e-15,8.1095118e-15,-0.06819343,-0.06819343,0.068193437,0.068193437,-0.013638686,-0.013638686,-1.7896817e-15,-1.7896817e-15,1.2733708e-15,1.2733708e-15,-1.3665613e-15,-1.3665613e-15,-9.0363074e-20,-9.0363074e-20,-5.2738323e-20,-5.2738323e-20,-0.066342043,-0.066342043,-9.8217257e-19,-9.8217257e-19,-3.824978e-19,-3.824978e-19,-9.8505836e-21,-9.8505836e-21,5.634979e-10,5.634979e-10,2.2305726e-32,2.2305726e-32
-0.064817875,-0.064817875,0.064817875,0.064817875,5.9577343e-14,5.9577343e-14,-3.6076724e-16,-3.6076724e-16,0.064817875,0.064817875,-0.053791225,-0.053791225,-0.0097226598,-0.0097226598,-0.053791224,-0.053791224,-0.0097226598,-0.0097226598,6.7910882e-06,6.7910882e-06,-2.2617257e-20,-2.2617257e-20,-1.427978e-07,-1.427978e-07,1.1069045e-15,1.1069045e-15,0.0033812643,0.0033812643,0.0033812643,0.0033812643,2.6896065e-17,2.6896065e-17,-0.055095072,-0.055095072,-0.0097226598,-0.0097226598,-0.055095072,-0.055095072,-0.0097226598,-0.0097226598,-8.9193522e-15,-8.9193522e-15,-7.5562794e-16,-7.5562794e-16,-0.064817732,-0.064817732,-9.5888489e-15,-9.5888489e-15,-0.0017927909,-0.0017927909,-9.6715704e-15,-9.6715704e-15,-0.0097228026,-0.0097228026,0.0097226598,0.0097226598,-0.0097228026,-0.0097228026,0.0097226598,0.0097226598,-1.4279781e-07,-1.4279781e-07,2.3856525e-16,2.3856525e-16,-0.064817875,-0.064817875,-0.064817875,-0.064817875,-1.503639e-07,-1.503639e-07,1.537019e-17,1.537019e-17,0.00050620545,0.00050620545,-0.00050635582,-0.00050635582,-1.5028824e-05,-1.5028824e-05,2.9229643e-16,2.9229643e-16,-0.0088120359,-0.0088120359,1.7911518e-14,1.7911518e-14,-4.2623186e-05,-4.2623186e-05,8.6502259e-15,8.6502259e-15,-0.064817875,-0.064817875,0.064817732,0.064817732,-0.012963575,-0.012963575,-1.6963295e-15,-1.6963295e-15,1.3823446e-15,1.3823446e-15,-1.4781555e-15,-1.4781555e-15,-9.7993947e-20,-9.7993947e-20,-4.7831939e-20,-4.7831939e-20,-0.063024941,-0.063024941,-9.3119931e-19,-9.3119931e-19,-4.0034509e-19,-4.0034509e-19,-1.0289755e-20,-1.0289755e-20,5.7017369e-10,5.7017369e-10,2.06273e-32,2.06273e-32
