e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,chi_H_pie,chi_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
0.42123547,0.77475194,0.24684923,-0.10666724,0.6680847,0.6680847,-0.045560632,-0.045560632,0.24684923,-0.10666724,-0.20795548,-0.16457297,0.15371029,0.20673287,-0.20795509,-0.16457297,0.15379608,0.20681866,8.5092807e-18,-8.7334416e-19,0,0,-3.1743129e-05,8.1714783e-07,-0.00267382,-0.00267382,-0.052633104,-0.0015546792,-0.0050251256,-0.0015546792,-0.00401073,-0.00401073,-0.30960649,-0.0091451715,0.11102346,0.16404605,-0.20979486,0.09066646,0.070024177,0.12304676,-0.099811632,-0.099811632,0.040999284,0.040999284,-0.13977068,0.21371322,-0.058812347,-0.058812347,-0.13977068,0.21371322,-0.058812347,-0.058812347,0.062757266,0.11581241,-0.065462829,-0.11848542,0.062757266,0.11581241,-0.065462829,-0.11848542,-3.1743129e-05,8.1714783e-07,-0.00267382,-0.00267382,-0.13980243,0.21371404,-0.24684923,0.10666724,-3.1743129e-05,8.1714783e-07,-0.00267382,-0.00267382,0.062757266,0.11581241,-0.065462829,-0.11848542,-0.0031743129,8.1714783e-05,-0.01069528,-0.01069528,23.017052,23.264305,-0.93384058,-0.93384058,27.357112,25.538264,-0.62259533,-0.62259533,0.41856165,0.77207812,-0.42126721,-0.77475112,-0.027960485,0.042742808,-0.012297233,-0.012297233,0.1070468,0.1070468,-0.075319538,-0.060316485,0.0199,0.0199,-9.0190153e-21,7.0903539e-18,0,0,0,0,0,0,0,0,5.486525e-07,3.635793e-10,0.00011796367,0.00011796367
0.41418454,0.77719571,0.23789083,-0.12512034,0.65207537,0.65207537,-0.041569956,-0.041569956,0.23789083,-0.12512034,-0.20187766,-0.15733281,0.1496471,0.2040899,-0.20187691,-0.15733281,0.14979334,0.20423613,-0.30960649,-0.0091451715,0,-2.9641701e-17,-6.1619498e-05,-2.4135715e-06,-0.0052861421,-0.0052861421,-1.6174683,-0.044687456,-0.0050251256,-0.044687456,-0.0039184832,-0.0039184832,-0.29917322,0.0093359516,0.1082001,0.16264289,-0.20215483,0.10635434,0.068372417,0.12281521,-0.097018385,-0.097018385,0.039827683,0.039827683,-0.13378241,0.22916955,-0.057190702,-0.057190702,-0.13378241,0.22916955,-0.057190702,-0.057190702,0.061282383,0.11578438,-0.066630145,-0.12107294,0.061282383,0.11578438,-0.066630145,-0.12107294,-6.1619498e-05,-2.4135715e-06,-0.0052861421,-0.0052861421,-0.13384403,0.22916713,-0.23789083,0.12512034,-2.9876369e-05,-3.2307193e-06,-0.0026123221,-0.0026123221,-0.0014748828,-2.8028844e-05,-0.0011673157,-0.002587524,-0.00301938,-0.00032225479,-0.013123109,-0.013123109,22.508366,22.328859,-1.079416,-1.079416,26.698069,24.768677,-0.69087749,-0.69087749,0.4088984,0.77190957,-0.41424616,-0.77719812,-0.026768807,0.045833427,-0.012495369,-0.012495369,0.21163152,0.21163152,-0.14964916,-0.11908172,0.0194423,0.0194423,4.724757e-19,2.2927763e-17,0,2.6757311e-16,0,-4.010861e-16,0,5.5964022e-16,0,-9.6431488e-16,1.0291853e-06,6.0431881e-09,0.0002010725,0.0002010725
0.41186283,0.73663058,0.22457143,-0.10019632,0.63643426,0.63643426,-0.037671065,-0.037671065,0.22457143,-0.10019632,-0.19537951,-0.15553011,0.1463793,0.19508294,-0.19537851,-0.15553008,0.14656714,0.19527078,-0.60877971,0.00019078014,0,-5.3020922e-17,-8.6946882e-05,-1.0141406e-05,-0.0078383808,-0.0078383808,-3.1288925,-0.00058401436,-0.0050251256,-0.00058401436,-0.0038283581,-0.0038283581,-0.28510119,-0.0091138934,0.10612616,0.1548298,-0.19081181,0.085175489,0.067443127,0.11614677,-0.094289382,-0.094289382,0.038683029,0.038683029,-0.12336869,0.20132226,-0.055606354,-0.055606354,-0.12336869,0.20132226,-0.055606354,-0.055606354,0.060529763,0.10931021,-0.068455091,-0.11715873,0.060529763,0.10931021,-0.068455091,-0.11715873,-8.6946882e-05,-1.0141406e-05,-0.0078383808,-0.0078383808,-0.12345563,0.20131212,-0.22457143,0.10019632,-2.5327384e-05,-7.7278348e-06,-0.0025522387,-0.0025522387,-0.00075262037,-0.0064741736,-0.0018249457,0.0039142071,-0.0025943579,-0.00077519705,-0.015495097,-0.015495097,22.097877,21.378821,-1.2216433,-1.2216433,25.973607,24.014489,-0.75758916,-0.75758916,0.40402445,0.7287922,-0.41194978,-0.73664072,-0.024691126,0.040262423,-0.012688947,-0.012688947,0.3138108,0.3138108,-0.2222672,-0.18070095,0.018995127,0.018995127,1.6404894e-19,3.7299086e-17,0,5.14077e-16,0,-7.538638e-16,0,1.047375e-15,0,-1.7977195e-15,1.3681773e-06,3.8499986e-08,0.00025828409,0.00025828409
0.40951842,0.7398587,0.21163448,-0.1187058,0.6211529,0.6211529,-0.033861849,-0.033861849,0.21163448,-0.1187058,-0.18904053,-0.14850828,0.14318768,0.19272578,-0.18903937,-0.1485082,0.14340318,0.19294128,-0.8938809,-0.0089231132,0,-7.004974e-17,-0.0001080021,-2.1721632e-05,-0.010331918,-0.010331918,-4.5691789,-0.043570761,-0.0050251256,-0.043570761,-0.0037403058,-0.0037403058,-0.27142065,0.0092952478,0.10408794,0.15362604,-0.1797975,0.1009184,0.066523241,0.11606134,-0.091623147,-0.091623147,0.037564702,0.037564702,-0.11327426,0.21697974,-0.054058446,-0.054058446,-0.11327426,0.21697974,-0.054058446,-0.054058446,0.059786174,0.10941055,-0.070226094,-0.11976419,0.059786174,0.10941055,-0.070226094,-0.11976419,-0.0001080021,-2.1721632e-05,-0.010331918,-0.010331918,-0.11338226,0.21695801,-0.21163448,0.1187058,-2.1055215e-05,-1.1580226e-05,-0.0024935372,-0.0024935372,-0.00074358887,0.00010034452,-0.0017710036,-0.002605462,-0.0021924684,-0.001168164,-0.01781253,-0.01781253,21.688136,20.477474,-1.3605993,-1.3605993,25.264822,23.275347,-0.82276647,-0.82276647,0.39918651,0.72952678,-0.40962643,-0.73988042,-0.022676453,0.043391603,-0.012878073,-0.012878073,0.41363995,0.41363995,-0.2934619,-0.23774341,0.018558239,0.018558239,3.7903234e-19,5.033807e-17,0,7.3783855e-16,0,-1.063687e-15,0,1.4705354e-15,0,-2.51426e-15,1.5958844e-06,1.1113333e-07,0.00029630558,0.00029630558
0.40715141,0.7002274,0.1990716,-0.094004392,0.60622301,0.60622301,-0.030140244,-0.030140244,0.1990716,-0.094004392,-0.18285711,-0.14689834,0.14006714,0.18401542,-0.18285585,-0.14689816,0.14029998,0.18424826,-1.1653016,0.00037213462,0,-8.2202196e-17,-0.00012505523,-3.7605879e-05,-0.012768104,-0.012768104,-5.9403067,0.00033896979,-0.0050251256,0.00033896979,-0.0036542788,-0.0036542788,-0.2581228,-0.0090825376,0.1020846,0.14603288,-0.16910456,0.079935698,0.065612507,0.10956079,-0.089018236,-0.089018236,0.036472096,0.036472096,-0.10349205,0.18949649,-0.05254614,-0.05254614,-0.10349205,0.18949649,-0.05254614,-0.05254614,0.059051199,0.10308693,-0.071944358,-0.11589264,0.059051199,0.10308693,-0.071944358,-0.11589264,-0.00012505523,-3.7605879e-05,-0.012768104,-0.012768104,-0.10361711,0.18945888,-0.1990716,0.094004392,-1.7053131e-05,-1.5884246e-05,-0.0024361859,-0.0024361859,-0.00073497471,-0.0063236249,-0.0017182643,0.0038715548,-0.0018133152,-0.0016101463,-0.020076662,-0.020076662,21.278972,19.560875,-1.4963593,-1.4963593,24.571273,22.550903,-0.8864447,-0.8864447,0.39438331,0.6874593,-0.40727647,-0.70026501,-0.020723422,0.037891776,-0.013062849,-0.013062849,0.51117303,0.51117303,-0.36326796,-0.3006498,0.0181314,0.0181314,2.2321624e-19,6.2184868e-17,0,9.4302515e-16,0,-1.3346008e-15,0,1.8360969e-15,0,-3.1259218e-15,1.7382712e-06,2.474044e-07,0.00032015671,0.00032015671
0.40476193,0.70420068,0.18687457,-0.11256418,0.5916365,0.5916365,-0.026504237,-0.026504237,0.18687457,-0.11256418,-0.17682572,-0.14008539,0.1370135,0.18191713,-0.1768244,-0.14008506,0.13725611,0.18215974,-1.4234243,-0.0087104029,0,-8.9251887e-17,-0.00013836899,-5.7155973e-05,-0.015148258,-0.015148258,-7.244211,-0.042501306,-0.0050251256,-0.042501306,-0.0035702304,-0.0035702304,-0.24519901,0.0092548979,0.1001153,0.14501893,-0.15872577,0.095728135,0.064710681,0.10961431,-0.086473237,-0.086473237,0.03540462,0.03540462,-0.094015089,0.20534245,-0.051068617,-0.051068617,-0.094015089,0.20534245,-0.051068617,-0.051068617,0.058324438,0.10330928,-0.073611064,-0.11851469,0.058324438,0.10330928,-0.073611064,-0.11851469,-0.00013836899,-5.7155973e-05,-0.015148258,-0.015148258,-0.094153458,0.20528529,-0.18687457,0.11256418,-1.331376e-05,-1.9550095e-05,-0.0023801536,-0.0023801536,-0.00072676143,0.00022235173,-0.0016667059,-0.0026220554,-0.0014564312,-0.0019926153,-0.022288718,-0.022288718,20.8703,18.692074,-1.6289969,-1.6289969,23.892564,21.840821,-0.94865833,-0.94865833,0.38961368,0.68905242,-0.4049003,-0.70425784,-0.018830692,0.041057058,-0.013243375,-0.013243375,0.60646285,0.60646285,-0.43171931,-0.35586352,0.017714377,0.017714377,5.9564032e-19,7.2946012e-17,0,1.1278431e-15,0,-1.5710114e-15,0,2.1499454e-15,0,-3.6441178e-15,1.8174045e-06,4.5304163e-07,0.0003335922,0.0003335922
0.40235012,0.66546426,0.17503537,-0.088078774,0.57738549,0.57738549,-0.022951858,-0.022951858,0.17503537,-0.088078774,-0.17094289,-0.13865908,0.13402334,0.17348035,-0.17094155,-0.13865853,0.13427019,0.1737272,-1.6686234,0.00054449496,0,-9.2542221e-17,-0.00014819887,-8.0825729e-05,-0.017473668,-0.017473668,-8.4827831,0.0012164552,-0.0050251256,0.0012164552,-0.0034881151,-0.0034881151,-0.23264087,-0.0090511135,0.098179223,0.13763624,-0.14865409,0.07493566,0.063817526,0.10327454,-0.083986773,-0.083986773,0.034361696,0.034361696,-0.084836568,0.1782102,-0.049625077,-0.049625077,-0.084836568,0.1782102,-0.049625077,-0.049625077,0.057605499,0.097129887,-0.075227365,-0.11468438,0.057605499,0.097129887,-0.075227365,-0.11468438,-0.00014819887,-8.0825729e-05,-0.017473668,-0.017473668,-0.084984767,0.17812938,-0.17503537,0.088078774,-9.8298859e-06,-2.3669755e-05,-0.0023254101,-0.0023254101,-0.0007189391,-0.0061793939,-0.0016163009,0.003830314,-0.0011213576,-0.0024241315,-0.024449898,-0.024449898,20.462037,17.807395,-1.7585837,-1.7585837,23.22831,21.144768,-1.009441,-1.009441,0.38487645,0.64799059,-0.40249832,-0.66554509,-0.016996953,0.035625875,-0.013419749,-0.013419749,0.699561,0.699561,-0.49884903,-0.42003964,0.017306947,0.017306947,1.9818774e-18,8.2737082e-17,0,1.2963228e-15,0,-1.7761143e-15,0,2.417755e-15,0,-4.0784664e-15,1.8518437e-06,7.5357132e-07,0.00033941843,0.00033941843
0.39991609,0.67014531,0.16354615,-0.10668306,0.56346225,0.56346225,-0.019481183,-0.019481183,0.16354615,-0.10668306,-0.16520525,-0.13204599,0.13109376,0.17162112,-0.1652039,-0.13204515,0.13134083,0.1718682,-1.9012642,-0.0085066185,0,-9.1735343e-17,-0.00015479332,-0.00010798332,-0.019745593,-0.019745593,-9.6578718,-0.041476958,-0.0050251256,-0.041476958,-0.0034078885,-0.0034078885,-0.22044015,0.0092148915,0.09627557,0.13680293,-0.13888266,0.090772389,0.062932811,0.10346017,-0.081557498,-0.081557498,0.03334276,0.03334276,-0.075949845,0.19423256,-0.048214738,-0.048214738,-0.075949845,0.19423256,-0.048214738,-0.048214738,0.056894001,0.097468172,-0.076794387,-0.11732175,0.056894001,0.097468172,-0.076794387,-0.11732175,-0.00015479332,-0.00010798332,-0.019745593,-0.019745593,-0.076104638,0.19412458,-0.16354615,0.10668306,-6.5944491e-06,-2.7157587e-05,-0.0022719256,-0.0022719256,-0.000711498,0.00033828432,-0.0015670221,-0.0026373675,-0.00080764379,-0.0027965845,-0.02656137,-0.02656137,20.054104,16.969658,-1.8851901,-1.8851901,22.578135,20.462424,-1.0688258,-1.0688258,0.3801705,0.65039972,-0.40007089,-0.67025329,-0.015220928,0.038824916,-0.013592066,-0.013592066,0.7905179,0.7905179,-0.56468949,-0.47332283,0.016908887,0.016908887,9.6890558e-19,9.1642567e-17,0,1.4465633e-15,0,-1.9535479e-15,0,2.6442416e-15,0,-4.4382489e-15,1.8570038e-06,1.1476232e-06,0.00033973098,0.00033973098
0.39745998,0.63226659,0.15239926,-0.082407346,0.54985924,0.54985924,-0.016090334,-0.016090334,0.15239926,-0.082407346,-0.1596095,-0.13079456,0.12822229,0.16344038,-0.15960816,-0.13079335,0.12846672,0.16368481,-2.1217044,0.00070827305,0,-8.8068379e-17,-0.00015839386,-0.00013908454,-0.021965265,-0.021965265,-10.771284,0.0020505245,-0.0050251256,0.0020505245,-0.003329507,-0.003329507,-0.20858883,-0.00901963,0.094403565,0.12962166,-0.12940474,0.070164466,0.062056306,0.097274401,-0.079184096,-0.079184096,0.032347259,0.032347259,-0.067348432,0.16743887,-0.046836837,-0.046836837,-0.067348432,0.16743887,-0.046836837,-0.046836837,0.056189572,0.091426976,-0.078313231,-0.11353133,0.056189572,0.091426976,-0.078313231,-0.11353133,-0.00015839386,-0.00013908454,-0.021965265,-0.021965265,-0.067506826,0.16729978,-0.15239926,0.082407346,-3.6005402e-06,-3.1101227e-05,-0.0022196713,-0.0022196713,-0.00070442865,-0.0060411954,-0.0015188432,0.0037904228,-0.00051484734,-0.0032181061,-0.028624279,-0.028624279,19.646426,16.115451,-2.0088845,-2.0088845,21.941673,19.793472,-1.1268446,-1.1268446,0.37549471,0.61030132,-0.39761837,-0.63240567,-0.013501365,0.033459956,-0.01376042,-0.01376042,0.87938279,0.87938279,-0.62927225,-0.53874949,0.016519983,0.016519983,8.6941686e-19,9.9758128e-17,0,1.5824707e-15,0,-2.1058199e-15,0,2.8340255e-15,0,-4.731168e-15,1.8454926e-06,1.6628344e-06,0.00033609276,0.00033609276
0.39498189,0.63761972,0.14158722,-0.10105062,0.5365691,0.5365691,-0.012777475,-0.012777475,0.14158722,-0.10105062,-0.1541524,-0.12437271,0.12540678,0.16180459,-0.15415107,-0.12437104,0.12564654,0.16204435,-2.3302932,-0.0083113569,0,-8.111391e-17,-0.00015923526,-0.00017350373,-0.024133883,-0.024133883,-11.824787,-0.040495679,-0.0050251256,-0.040495679,-0.0032529284,-0.0032529284,-0.19707907,0.009175219,0.092562444,0.12896026,-0.12021378,0.086040502,0.061187789,0.097585604,-0.076865283,-0.076865283,0.031374654,0.031374654,-0.059025994,0.18362611,-0.045490628,-0.045490628,-0.059025994,0.18362611,-0.045490628,-0.045490628,0.05549185,0.091875397,-0.079784969,-0.11618278,0.05549185,0.091875397,-0.079784969,-0.11618278,-0.00015923526,-0.00017350373,-0.024133883,-0.024133883,-0.059185229,0.1834526,-0.14158722,0.10105062,-8.41397e-07,-3.4419182e-05,-0.0021686189,-0.0021686189,-0.00069772176,0.00044842057,-0.0014717385,-0.0026514587,-0.00024253356,-0.0035810027,-0.03063974,-0.03063974,19.238932,15.307363,-2.129734,-2.129734,21.318566,19.137606,-1.183529,-1.183529,0.370848,0.61348583,-0.39514112,-0.63779322,-0.011837046,0.03669052,-0.013924902,-0.013924902,0.96620378,0.96620378,-0.69262819,-0.59000498,0.016140023,0.016140023,1.4370025e-18,1.071504e-16,0,1.7020483e-15,0,-2.2359471e-15,0,2.990876e-15,0,-4.9647791e-15,1.8274231e-06,2.2912643e-06,0.00032966755,0.00032966755
