e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,chi_H_pie,chi_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,p_H_W_slash_p_H_pie,p_H_W_slash_p_H_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
-0.00021773295,-0.00021773295,0.00021773295,0.00021773295,-2.6315755e-15,-2.6315755e-15,2.4982682e-16,2.4982682e-16,0.00021773295,0.00021773295,-0.072759294,-0.072759294,-3.8422751e-05,-3.8422751e-05,-0.07275871,-0.07275871,-3.8422751e-05,-3.8422751e-05,6.1730112e-18,6.1730112e-18,1.1179842e-17,1.1179842e-17,3.8418722e-05,3.8418722e-05,-3.5760094e-17,-3.5760094e-17,-0.00020547616,-0.00020547616,-0.00020547616,-0.00020547616,-2.4179348e-17,-2.4179348e-17,-0.00021772892,-0.00021772892,-3.8422751e-05,-3.8422751e-05,-0.00021772892,-0.00021772892,-3.8422751e-05,-3.8422751e-05,3.8399932e-16,3.8399932e-16,-1.8967299e-16,-1.8967299e-16,-0.00025615168,-0.00025615168,2.0205153e-16,2.0205153e-16,0.099743848,0.099743848,2.3561755e-16,2.3561755e-16,-4.0289444e-09,-4.0289444e-09,3.8422751e-05,3.8422751e-05,-4.0289444e-09,-4.0289444e-09,3.8422751e-05,3.8422751e-05,3.8418722e-05,3.8418722e-05,-2.0583574e-17,-2.0583574e-17,-0.00021773295,-0.00021773295,-0.00021773295,-0.00021773295,-3.8422751e-05,-3.8422751e-05,3.8418722e-05,3.8418722e-05,-1.8553419e-17,-1.8553419e-17,-4.0289444e-09,-4.0289444e-09,3.8422751e-05,3.8422751e-05,0.0038418722,0.0038418722,-8.8578057e-17,-8.8578057e-17,2.4138366,2.4138366,-7.6711523e-15,-7.6711523e-15,0.18819862,0.18819862,-5.0765828e-15,-5.0765828e-15,-0.00021773295,-0.00021773295,0.00025615168,0.00025615168,-4.3546591e-05,-4.3546591e-05,3.3274404e-17,3.3274404e-17,-5.0288147e-16,-5.0288147e-16,5.0299098e-16,5.0299098e-16,1.7432401e-19,1.7432401e-19,-4.421351e-21,-4.421351e-21,-0.1,-0.1,0,0,0,0,0,0,8.0368104e-07,8.0368104e-07,5.6797841e-33,5.6797841e-33
-0.00042218173,-0.00042218173,0.00042218173,0.00042218173,-9.4656271e-16,-9.4656271e-16,2.805141e-16,2.805141e-16,0.00042218173,0.00042218173,-0.069152961,-0.069152961,-7.4503385e-05,-7.4503385e-05,-0.069151866,-0.069151866,-7.4503385e-05,-7.4503385e-05,-4.0288385e-09,-4.0288385e-09,3.4587276e-18,3.4587276e-18,7.4507501e-05,7.4507501e-05,-1.68425e-15,-1.68425e-15,-0.00019300118,-0.00019300118,-0.00019300165,-0.00019300165,-8.9048212e-16,-8.9048212e-16,-0.00042218585,-0.00042218585,-7.4503385e-05,-7.4503385e-05,-0.00042218585,-0.00042218585,-7.4503385e-05,-7.4503385e-05,8.7492704e-15,8.7492704e-15,6.6394635e-15,6.6394635e-15,-0.00049668924,-0.00049668924,1.768098e-14,1.768098e-14,0.094503311,0.094503311,1.4554709e-14,1.4554709e-14,4.1153556e-09,4.1153556e-09,7.4503385e-05,7.4503385e-05,4.1147096e-09,4.1147096e-09,7.4503386e-05,7.4503386e-05,7.4507501e-05,7.4507501e-05,-7.6304716e-17,-7.6304716e-17,-0.00042218174,-0.00042218174,-0.00042218173,-0.00042218173,-7.4503386e-05,-7.4503386e-05,3.6088778e-05,3.6088778e-05,-3.972186e-16,-3.972186e-16,8.143654e-09,8.143654e-09,3.6080634e-05,3.6080634e-05,0.0036472965,0.0036472965,-1.1696634e-16,-1.1696634e-16,2.3025633,2.3025633,-9.9656423e-15,-9.9656423e-15,0.19074288,0.19074288,-6.7535966e-15,-6.7535966e-15,-0.00042218173,-0.00042218173,0.00049668924,0.00049668924,-8.4436347e-05,-8.4436347e-05,3.1381311e-15,3.1381311e-15,-9.0075607e-16,-9.0075607e-16,9.0113651e-16,9.0113651e-16,-3.7119568e-19,-3.7119568e-19,4.7670933e-18,4.7670933e-18,-0.095,-0.095,-1.7981853e-18,-1.7981853e-18,1.023703e-17,1.023703e-17,-6.120561e-17,-6.120561e-17,1.504801e-06,1.504801e-06,2.607673e-30,2.607673e-30
-0.00061421884,-0.00061421884,0.00061421884,0.00061421884,-8.8178163e-16,-8.8178163e-16,3.4771437e-16,3.4771437e-16,0.00061421884,0.00061421884,-0.065726585,-0.065726585,-0.0001083909,-0.0001083909,-0.065725047,-0.065725047,-0.0001083909,-0.0001083909,8.661896e-11,8.661896e-11,-3.1601881e-18,-3.1601881e-18,0.00010838719,0.00010838719,-1.6662212e-15,-1.6662212e-15,-0.00018097091,-0.00018097091,-0.00018097135,-0.00018097135,-8.5340215e-16,-8.5340215e-16,-0.00061421512,-0.00061421512,-0.0001083909,-0.0001083909,-0.00061421512,-0.00061421512,-0.0001083909,-0.0001083909,8.3434685e-15,8.3434685e-15,6.3165785e-15,6.3165785e-15,-0.00072260602,-0.00072260602,1.6848465e-14,1.6848465e-14,0.089527394,0.089527394,1.1508264e-14,1.1508264e-14,-3.7182818e-09,-3.7182818e-09,0.0001083909,0.0001083909,-3.7188955e-09,-3.7188955e-09,0.0001083909,0.0001083909,0.00010838718,0.00010838718,-1.3439232e-16,-1.3439232e-16,-0.00061421884,-0.00061421884,-0.00061421884,-0.00061421884,-0.0001083909,-0.0001083909,3.3879684e-05,3.3879684e-05,-3.824614e-16,-3.824614e-16,-7.8336051e-09,-7.8336051e-09,3.3887518e-05,3.3887518e-05,0.0034624759,0.0034624759,-1.8753031e-16,-1.8753031e-16,2.1967532,2.1967532,-1.390447e-14,-1.390447e-14,0.19303266,0.19303266,-8.4074014e-15,-8.4074014e-15,-0.00061421884,-0.00061421884,0.00072260602,0.00072260602,-0.00012284377,-0.00012284377,2.9225388e-15,2.9225388e-15,-1.2904673e-15,-1.2904673e-15,1.2912604e-15,1.2912604e-15,-8.8269282e-19,-8.8269282e-19,8.746516e-18,8.746516e-18,-0.09025,-0.09025,-3.5188742e-18,-3.5188742e-18,1.9235489e-17,1.9235489e-17,-1.1390129e-16,-1.1390129e-16,2.114748e-06,2.114748e-06,4.3693207e-30,4.3693207e-30
-0.00079428577,-0.00079428577,0.00079428577,0.00079428577,-8.1174217e-16,-8.1174217e-16,4.1443478e-16,4.1443478e-16,0.00079428577,0.00079428577,-0.062471152,-0.062471152,-0.00014016875,-0.00014016875,-0.062469229,-0.062469229,-0.00014016875,-0.00014016875,-3.6315646e-09,-3.6315646e-09,-8.803629e-18,-8.803629e-18,0.00014017254,0.00014017254,-1.6535878e-15,-1.6535878e-15,-0.00016976281,-0.00016976281,-0.00016976323,-0.00016976323,-8.173153e-16,-8.173153e-16,-0.00079428957,-0.00079428957,-0.00014016875,-0.00014016875,-0.00079428957,-0.00079428957,-0.00014016875,-0.00014016875,7.9571055e-15,7.9571055e-15,6.0109863e-15,6.0109863e-15,-0.00093445831,-0.00093445831,1.6057762e-14,1.6057762e-14,0.084803042,0.084803042,9.2051404e-15,9.2051404e-15,3.7920405e-09,3.7920405e-09,0.00014016875,0.00014016875,3.7914575e-09,3.7914575e-09,0.00014016875,0.00014016875,0.00014017254,0.00014017254,-1.9415211e-16,-1.9415211e-16,-0.00079428577,-0.00079428577,-0.00079428577,-0.00079428577,-0.00014016875,-0.00014016875,3.1785354e-05,3.1785354e-05,-3.6786647e-16,-3.6786647e-16,7.510353e-09,7.510353e-09,3.1777844e-05,3.1777844e-05,0.0032869226,0.0032869226,-2.5742513e-16,-2.5742513e-16,2.0961346,2.0961346,-1.7861438e-14,-1.7861438e-14,0.19508203,0.19508203,-1.0106925e-14,-1.0106925e-14,-0.00079428577,-0.00079428577,0.00093445831,0.00093445831,-0.00015885715,-0.00015885715,2.7217764e-15,2.7217764e-15,-1.6715478e-15,-1.6715478e-15,1.6728765e-15,1.6728765e-15,-1.3619641e-18,-1.3619641e-18,1.2029616e-17,1.2029616e-17,-0.0857375,-0.0857375,-5.1642315e-18,-5.1642315e-18,2.7126814e-17,2.7126814e-17,-1.5905035e-16,-1.5905035e-16,2.6437137e-06,2.6437137e-06,5.5098652e-30,5.5098652e-30
-0.00096320061,-0.00096320061,0.00096320061,0.00096320061,-7.3769116e-16,-7.3769116e-16,4.8036141e-16,4.8036141e-16,0.00096320061,0.00096320061,-0.059378145,-0.059378145,-0.00016997597,-0.00016997597,-0.059375889,-0.059375889,-0.00016997597,-0.00016997597,1.6057059e-10,1.6057059e-10,-1.3584821e-17,-1.3584821e-17,0.00016997254,0.00016997254,-1.6456384e-15,-1.6456384e-15,-0.00015895055,-0.00015895055,-0.00015895095,-0.00015895095,-7.8226323e-16,-7.8226323e-16,-0.00096319718,-0.00096319718,-0.00016997597,-0.00016997597,-0.00096319718,-0.00096319718,-0.00016997597,-0.00016997597,7.5892661e-15,7.5892661e-15,5.7217175e-15,5.7217175e-15,-0.0011331731,-0.0011331731,1.5306727e-14,1.5306727e-14,0.080317452,0.080317452,7.4604368e-15,7.4604368e-15,-3.431514e-09,-3.431514e-09,0.00016997597,0.00016997597,-3.4320679e-09,-3.4320679e-09,0.00016997597,0.00016997597,0.00016997254,0.00016997254,-2.5498544e-16,-2.5498544e-16,-0.00096320061,-0.00096320061,-0.00096320061,-0.00096320061,-0.00016997597,-0.00016997597,2.9800002e-05,2.9800002e-05,-3.5348693e-16,-3.5348693e-16,-7.2235253e-09,-7.2235253e-09,2.9807225e-05,2.9807225e-05,0.0031201727,0.0031201727,-3.2635142e-16,-3.2635142e-16,2.0004487,2.0004487,-2.1811275e-14,-2.1811275e-14,0.19690438,0.19690438,-1.1835673e-14,-1.1835673e-14,-0.00096320061,-0.00096320061,0.0011331731,0.0011331731,-0.00019264012,-0.00019264012,2.5346958e-15,2.5346958e-15,-2.0438157e-15,-2.0438157e-15,2.0457862e-15,2.0457862e-15,-1.8107148e-18,-1.8107148e-18,1.470175e-17,1.470175e-17,-0.081450625,-0.081450625,-6.7364109e-18,-6.7364109e-18,3.4028957e-17,3.4028957e-17,-1.9751425e-16,-1.9751425e-16,3.1008144e-06,3.1008144e-06,6.1941236e-30,6.1941236e-30
-0.0011213572,-0.0011213572,0.0011213572,0.0011213572,-6.6049596e-16,-6.6049596e-16,5.4520503e-16,5.4520503e-16,0.0011213572,0.0011213572,-0.056439426,-0.056439426,-0.00019788718,-0.00019788718,-0.056436885,-0.056436885,-0.00019788718,-0.00019788718,-3.2708521e-09,-3.2708521e-09,-1.7604884e-17,-1.7604884e-17,0.00019789068,0.00019789068,-1.6416036e-15,-1.6416036e-15,-0.00014888375,-0.00014888375,-0.00014888413,-0.00014888413,-7.4826825e-16,-7.4826825e-16,-0.0011213607,-0.0011213607,-0.00019788718,-0.00019788718,-0.0011213607,-0.0011213607,-0.00019788718,-0.00019788718,7.239073e-15,7.239073e-15,5.4478014e-15,5.4478014e-15,-0.0013192479,-0.0013192479,1.4593277e-14,1.4593277e-14,0.076058846,0.076058846,6.1353779e-15,6.1353779e-15,3.4941536e-09,3.4941536e-09,0.00019788718,0.00019788718,3.4936274e-09,3.4936274e-09,0.00019788718,0.00019788718,0.00019789067,0.00019789067,-3.1637298e-16,-3.1637298e-16,-0.0011213572,-0.0011213572,-0.0011213572,-0.0011213572,-0.00019788718,-0.00019788718,2.7918134e-05,2.7918134e-05,-3.3936106e-16,-3.3936106e-16,6.9256953e-09,6.9256953e-09,2.7911209e-05,2.7911209e-05,0.002961786,0.002961786,-3.9404036e-16,-3.9404036e-16,1.90945,1.90945,-2.5731193e-14,-2.5731193e-14,0.19851235,0.19851235,-1.3578726e-14,-1.3578726e-14,-0.0011213572,-0.0011213572,0.0013192479,0.0013192479,-0.00022427144,-0.00022427144,2.3602646e-15,2.3602646e-15,-2.406983e-15,-2.406983e-15,2.4096852e-15,2.4096852e-15,-2.2305633e-18,-2.2305633e-18,1.6838942e-17,1.6838942e-17,-0.077378094,-0.077378094,-8.2375506e-18,-8.2375506e-18,4.0047743e-17,4.0047743e-17,-2.3006302e-16,-2.3006302e-16,3.4942016e-06,3.4942016e-06,6.5458305e-30,6.5458305e-30
-0.0012694973,-0.0012694973,0.0012694973,0.0012694973,-5.8113236e-16,-5.8113236e-16,6.0874863e-16,6.0874863e-16,0.0012694973,0.0012694973,-0.053647311,-0.053647311,-0.00022402837,-0.00022402837,-0.053644524,-0.053644524,-0.00022402837,-0.00022402837,2.2338964e-10,2.2338964e-10,-2.0954079e-17,-2.0954079e-17,0.00022402521,0.00022402521,-1.6409395e-15,-1.6409395e-15,-0.0001391699,-0.0001391699,-0.00013917026,-0.00013917026,-7.1535196e-16,-7.1535196e-16,-0.0012694941,-0.0012694941,-0.00022402837,-0.00022402837,-0.0012694941,-0.0012694941,-0.00022402837,-0.00022402837,6.9056905e-15,6.9056905e-15,5.1883897e-15,5.1883897e-15,-0.0014935225,-0.0014935225,1.3915495e-14,1.3915495e-14,0.072015667,0.072015667,5.12587e-15,5.12587e-15,-3.1668335e-09,-3.1668335e-09,0.00022402837,0.00022402837,-3.1673334e-09,-3.1673334e-09,0.00022402837,0.00022402837,0.00022402521,0.00022402521,-3.7787103e-16,-3.7787103e-16,-0.0012694973,-0.0012694973,-0.0012694973,-0.0012694973,-0.00022402837,-0.00022402837,2.6134531e-05,2.6134531e-05,-3.2552614e-16,-3.2552614e-16,-6.6609608e-09,-6.6609608e-09,2.6141192e-05,2.6141192e-05,0.0028113438,0.0028113438,-4.6028634e-16,-4.6028634e-16,1.8229051,1.8229051,-2.960309e-14,-2.960309e-14,0.199918,0.199918,-1.5323933e-14,-1.5323933e-14,-0.0012694973,-0.0012694973,0.0014935225,0.0014935225,-0.00025389946,-0.00025389946,2.1975199e-15,2.1975199e-15,-2.7610099e-15,-2.7610099e-15,2.7645195e-15,2.7645195e-15,-2.6230459e-18,-2.6230459e-18,1.8508861e-17,1.8508861e-17,-0.073509189,-0.073509189,-9.6697691e-18,-9.6697691e-18,4.5278103e-17,4.5278103e-17,-2.573847e-16,-2.573847e-16,3.8311606e-06,3.8311606e-06,6.6578328e-30,6.6578328e-30
-0.001407972,-0.001407972,0.001407972,0.001407972,-5.0025088e-16,-5.0025088e-16,6.7079033e-16,6.7079033e-16,0.001407972,0.001407972,-0.050994453,-0.050994453,-0.00024846622,-0.00024846622,-0.050991458,-0.050991458,-0.00024846622,-0.00024846622,-2.9433588e-09,-2.9433588e-09,-2.3712937e-17,-2.3712937e-17,0.00024846944,0.00024846944,-1.643037e-15,-1.643037e-15,-0.00013013199,-0.00013013199,-0.00013013233,-0.00013013233,-6.8351991e-16,-6.8351991e-16,-0.0014079753,-0.0014079753,-0.00024846622,-0.00024846622,-0.0014079753,-0.0014079753,-0.00024846622,-0.00024846622,6.5883183e-15,6.5883183e-15,4.9426288e-15,4.9426288e-15,-0.0016564415,-0.0016564415,1.3271517e-14,1.3271517e-14,0.068177288,0.068177288,4.353754e-15,4.353754e-15,3.2196907e-09,3.2196907e-09,0.00024846622,0.00024846622,3.2192159e-09,3.2192159e-09,0.00024846622,0.00024846622,0.00024846944,0.00024846944,-4.3909774e-16,-4.3909774e-16,-0.001407972,-0.001407972,-0.001407972,-0.001407972,-0.00024846622,-0.00024846622,2.4444237e-05,2.4444237e-05,-3.12007e-16,-3.12007e-16,6.3865492e-09,6.3865492e-09,2.4437851e-05,2.4437851e-05,0.0026684489,0.0026684489,-5.2490449e-16,-5.2490449e-16,1.7405925,1.7405925,-3.341061e-14,-3.341061e-14,0.20113274,0.20113274,-1.7060275e-14,-1.7060275e-14,-0.001407972,-0.001407972,0.0016564415,0.0016564415,-0.00028159441,-0.00028159441,2.0455961e-15,2.0455961e-15,-3.1057448e-15,-3.1057448e-15,3.1101238e-15,3.1101238e-15,-2.9896201e-18,-2.9896201e-18,1.9771692e-17,1.9771692e-17,-0.06983373,-0.06983373,-1.1035162e-17,-1.1035162e-17,4.9805178e-17,4.9805178e-17,-2.8009376e-16,-2.8009376e-16,4.118199e-06,4.118199e-06,6.5996227e-30,6.5996227e-30
-0.0015374541,-0.0015374541,0.0015374541,0.0015374541,-4.1806836e-16,-4.1806836e-16,7.3118801e-16,7.3118801e-16,0.0015374541,0.0015374541,-0.048473915,-0.048473915,-0.00027131491,-0.00027131491,-0.048470744,-0.048470744,-0.00027131491,-0.00027131491,2.7641412e-10,2.7641412e-10,-2.5953262e-17,-2.5953262e-17,0.00027131198,0.00027131198,-1.6474849e-15,-1.6474849e-15,-0.00012140862,-0.00012140862,-0.00012140895,-0.00012140895,-6.5277865e-16,-6.5277865e-16,-0.0015374511,-0.0015374511,-0.00027131491,-0.00027131491,-0.0015374511,-0.0015374511,-0.00027131491,-0.00027131491,6.2861945e-15,6.2861945e-15,4.7097748e-15,4.7097748e-15,-0.001808766,-0.001808766,1.2659625e-14,1.2659625e-14,0.064533277,0.064533277,3.7604027e-15,3.7604027e-15,-2.9225434e-09,-2.9225434e-09,0.00027131491,0.00027131491,-2.9229946e-09,-2.9229946e-09,0.00027131491,0.00027131491,0.00027131198,0.00027131198,-4.9973089e-16,-4.9973089e-16,-0.0015374541,-0.0015374541,-0.0015374541,-0.0015374541,-0.00027131491,-0.00027131491,2.284254e-05,2.284254e-05,-2.9882867e-16,-2.9882867e-16,-6.1422104e-09,-6.1422104e-09,2.2848682e-05,2.2848682e-05,0.0025327234,0.0025327234,-5.8776152e-16,-5.8776152e-16,1.6623015,1.6623015,-3.7141227e-14,-3.7141227e-14,0.20216738,0.20216738,-1.8778999e-14,-1.8778999e-14,-0.0015374541,-0.0015374541,0.001808766,0.001808766,-0.00030749081,-0.00030749081,1.9036835e-15,1.9036835e-15,-3.4412528e-15,-3.4412528e-15,3.4465517e-15,3.4465517e-15,-3.3316696e-18,-3.3316696e-18,2.0680917e-17,2.0680917e-17,-0.066342043,-0.066342043,-1.2335799e-17,-1.2335799e-17,5.3705311e-17,5.3705311e-17,-2.9873871e-16,-2.9873871e-16,4.3611271e-06,4.3611271e-06,6.4231435e-30,6.4231435e-30
-0.0016582563,-0.0016582563,0.0016582563,0.0016582563,-3.3566899e-16,-3.3566899e-16,7.8980736e-16,7.8980736e-16,0.0016582563,0.0016582563,-0.046079069,-0.046079069,-0.00029263399,-0.00029263399,-0.046075749,-0.046075749,-0.00029263399,-0.00029263399,-2.64605e-09,-2.64605e-09,-2.7739037e-17,-2.7739037e-17,0.00029263695,0.00029263695,-1.6538024e-15,-1.6538024e-15,-0.00011329818,-0.00011329818,-0.00011329849,-0.00011329849,-6.2312138e-16,-6.2312138e-16,-0.0016582593,-0.0016582593,-0.00029263399,-0.00029263399,-0.0016582593,-0.0016582593,-0.00029263399,-0.00029263399,5.9985895e-15,5.9985895e-15,4.4890756e-15,4.4890756e-15,-0.0019508932,-0.0019508932,1.2078147e-14,1.2078147e-14,0.061074048,0.061074048,3.3017669e-15,3.3017669e-15,2.9668063e-09,2.9668063e-09,0.00029263399,0.00029263399,2.9663777e-09,2.9663777e-09,0.00029263399,0.00029263399,0.00029263695,0.00029263695,-5.5949621e-16,-5.5949621e-16,-0.0016582563,-0.0016582563,-0.0016582563,-0.0016582563,-0.00029263399,-0.00029263399,2.1324969e-05,2.1324969e-05,-2.8600566e-16,-2.8600566e-16,5.8893723e-09,5.8893723e-09,2.1319079e-05,2.1319079e-05,0.0024038089,0.0024038089,-6.4873733e-16,-6.4873733e-16,1.587832,1.587832,-4.0783587e-14,-4.0783587e-14,0.20303222,0.20303222,-2.0472142e-14,-2.0472142e-14,-0.0016582563,-0.0016582563,0.0019508932,0.0019508932,-0.00033165126,-0.00033165126,1.7710546e-15,1.7710546e-15,-3.7674848e-15,-3.7674848e-15,3.7737426e-15,3.7737426e-15,-3.650507e-18,-3.650507e-18,2.1284028e-17,2.1284028e-17,-0.063024941,-0.063024941,-1.357372e-17,-1.357372e-17,5.7046944e-17,5.7046944e-17,-3.1380893e-16,-3.1380893e-16,4.5651296e-06,4.5651296e-06,6.167045e-30,6.167045e-30
