e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,p_H_W_slash_p_H_pie,p_H_W_slash_p_H_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
-0.0002219897,-0.0002219897,0.0002219897,0.0002219897,4.5045077e-15,4.5045077e-15,1.993562e-16,1.993562e-16,0.0002219897,0.0002219897,-0.072759806,-0.072759806,-3.9051389e-05,-3.9051389e-05,-0.072759224,-0.072759224,-3.9051389e-05,-3.9051389e-05,3.8352897e-05,3.8352897e-05,-6.8551099e-17,-6.8551099e-17,-0.0002095475,-0.0002095475,-0.0002095475,-0.0002095475,-1.043723e-16,-1.043723e-16,-0.0002212912,-0.0002212912,-3.9051389e-05,-3.9051389e-05,-0.0002212912,-0.0002212912,-3.9051389e-05,-3.9051389e-05,-6.5717796e-16,-6.5717796e-16,-1.1111195e-16,-1.1111195e-16,-0.00026034259,-0.00026034259,-7.7430612e-16,-7.7430612e-16,0.099739657,0.099739657,-7.7910763e-16,-7.7910763e-16,-6.9849166e-07,-6.9849166e-07,3.9051389e-05,3.9051389e-05,-6.9849166e-07,-6.9849166e-07,3.9051389e-05,3.9051389e-05,3.8352897e-05,3.8352897e-05,-6.9276284e-17,-6.9276284e-17,-0.0002219897,-0.0002219897,-0.0002219897,-0.0002219897,-3.9051389e-05,-3.9051389e-05,3.8352897e-05,3.8352897e-05,-7.1027539e-17,-7.1027539e-17,-6.9849166e-07,-6.9849166e-07,3.9051389e-05,3.9051389e-05,0.0038352897,0.0038352897,-2.809209e-16,-2.809209e-16,2.4090255,2.4090255,-1.7334301e-14,-1.7334301e-14,0.18713328,0.18713328,-8.4330833e-15,-8.4330833e-15,-0.0002219897,-0.0002219897,0.00026034259,0.00026034259,-4.4397939e-05,-4.4397939e-05,-1.6856096e-16,-1.6856096e-16,6.2571645e-16,6.2571645e-16,-6.2585538e-16,-6.2585538e-16,-4.9549342e-20,-4.9549342e-20,5.6691698e-21,5.6691698e-21,-0.1,-0.1,3.2251366e-19,3.2251366e-19,0,0,0,0,8.009294e-07,8.009294e-07,8.3241036e-32,8.3241036e-32
-0.00043048946,-0.00043048946,0.00043048946,0.00043048946,3.7376244e-15,3.7376244e-15,3.0404857e-16,3.0404857e-16,0.00043048946,0.00043048946,-0.06915396,-0.06915396,-7.5729762e-05,-7.5729762e-05,-0.06915287,-0.06915287,-7.5729762e-05,-7.5729762e-05,7.4375625e-05,7.4375625e-05,-1.8077947e-16,-1.8077947e-16,-0.00019669353,-0.00019669353,-0.00019669353,-0.00019669353,1.6605741e-16,1.6605741e-16,-0.00042913532,-0.00042913532,-7.5729762e-05,-7.5729762e-05,-0.00042913532,-0.00042913532,-7.5729762e-05,-7.5729762e-05,-5.3487395e-16,-5.3487395e-16,-1.0645735e-16,-1.0645735e-16,-0.00050486508,-0.00050486508,-6.4109216e-16,-6.4109216e-16,0.094495135,0.094495135,2.3090449e-16,2.3090449e-16,-1.3541368e-06,-1.3541368e-06,7.5729762e-05,7.5729762e-05,-1.3541368e-06,-1.3541368e-06,7.5729762e-05,7.5729762e-05,7.4375625e-05,7.4375625e-05,-1.3981669e-16,-1.3981669e-16,-0.00043048946,-0.00043048946,-0.00043048946,-0.00043048946,-7.5729762e-05,-7.5729762e-05,3.6022728e-05,3.6022728e-05,4.0192251e-17,4.0192251e-17,-6.5564509e-07,-6.5564509e-07,3.6678373e-05,3.6678373e-05,0.0036406257,0.0036406257,-3.276868e-16,-3.276868e-16,2.2976864,2.2976864,-2.0236996e-14,-2.0236996e-14,0.18966191,0.18966191,-9.8982839e-15,-9.8982839e-15,-0.00043048946,-0.00043048946,0.00050486508,0.00050486508,-8.6097891e-05,-8.6097891e-05,-1.4962212e-16,-1.4962212e-16,1.2633766e-15,1.2633766e-15,-1.2639207e-15,-1.2639207e-15,8.2513074e-20,8.2513074e-20,-9.7688279e-18,-9.7688279e-18,-0.095,-0.095,-3.3033652e-17,-3.3033652e-17,2.2294391e-17,2.2294391e-17,1.4741118e-17,1.4741118e-17,1.4994834e-06,1.4994834e-06,8.9085159e-32,8.9085159e-32
-0.00062619952,-0.00062619952,0.00062619952,0.00062619952,3.7980686e-15,3.7980686e-15,3.2385957e-16,3.2385957e-16,0.00062619952,0.00062619952,-0.065728026,-0.065728026,-0.0001101583,-0.0001101583,-0.065726493,-0.065726493,-0.0001101583,-0.0001101583,0.00010818913,0.00010818913,-2.3606287e-16,-2.3606287e-16,-0.00018450784,-0.00018450784,-0.00018450784,-0.00018450784,1.740641e-16,1.740641e-16,-0.00062423035,-0.00062423035,-0.0001101583,-0.0001101583,-0.00062423035,-0.00062423035,-0.0001101583,-0.0001101583,-5.3575908e-16,-5.3575908e-16,-7.6171557e-17,-7.6171557e-17,-0.00073438865,-0.00073438865,-6.1151629e-16,-6.1151629e-16,0.089515611,0.089515611,8.9073914e-16,8.9073914e-16,-1.9691629e-06,-1.9691629e-06,0.0001101583,0.0001101583,-1.9691629e-06,-1.9691629e-06,0.0001101583,0.0001101583,0.00010818913,0.00010818913,-1.9724259e-16,-1.9724259e-16,-0.00062619952,-0.00062619952,-0.00062619952,-0.00062619952,-0.0001101583,-0.0001101583,3.3813509e-05,3.3813509e-05,4.8663366e-17,4.8663366e-17,-6.1502614e-07,-6.1502614e-07,3.4428535e-05,3.4428535e-05,0.0034557265,0.0034557265,-3.4781244e-16,-3.4781244e-16,2.1918166,2.1918166,-2.189492e-14,-2.189492e-14,0.19193635,0.19193635,-1.0957453e-14,-1.0957453e-14,-0.00062619952,-0.00062619952,0.00073438865,0.00073438865,-0.0001252399,-0.0001252399,-1.4222292e-16,-1.4222292e-16,1.9056174e-15,1.9056174e-15,-1.9068115e-15,-1.9068115e-15,2.0729062e-19,2.0729062e-19,-1.8090552e-17,-1.8090552e-17,-0.09025,-0.09025,-6.3016633e-17,-6.3016633e-17,4.1291715e-17,4.1291715e-17,2.7282161e-17,2.7282161e-17,2.1070445e-06,2.1070445e-06,1.058879e-31,1.058879e-31
-0.00080978482,-0.00080978482,0.00080978482,0.00080978482,3.8394852e-15,3.8394852e-15,3.3758084e-16,3.3758084e-16,0.00080978482,0.00080978482,-0.062473014,-0.062473014,-0.00014245396,-0.00014245396,-0.062471099,-0.062471099,-0.00014245396,-0.00014245396,0.00013990828,0.00013990828,-2.7977952e-16,-2.7977952e-16,-0.00017295675,-0.00017295675,-0.00017295675,-0.00017295675,1.8047394e-16,1.8047394e-16,-0.00080723913,-0.00080723913,-0.00014245396,-0.00014245396,-0.00080723913,-0.00080723913,-0.00014245396,-0.00014245396,-5.3548694e-16,-5.3548694e-16,-5.0548481e-17,-5.0548481e-17,-0.0009496931,-0.0009496931,-5.8545664e-16,-5.8545664e-16,0.084787807,0.084787807,1.3629884e-15,1.3629884e-15,-2.5456854e-06,-2.5456854e-06,0.00014245396,0.00014245396,-2.5456854e-06,-2.5456854e-06,0.00014245396,0.00014245396,0.00013990828,0.00013990828,-2.4299358e-16,-2.4299358e-16,-0.00080978482,-0.00080978482,-0.00080978482,-0.00080978482,-0.00014245396,-0.00014245396,3.1719145e-05,3.1719145e-05,5.5917455e-17,5.5917455e-17,-5.7652251e-07,-5.7652251e-07,3.2295667e-05,3.2295667e-05,0.0032801036,0.0032801036,-3.6047063e-16,-3.6047063e-16,2.0911436,2.0911436,-2.3029589e-14,-2.3029589e-14,0.1939707,0.1939707,-1.1723725e-14,-1.1723725e-14,-0.00080978482,-0.00080978482,0.0009496931,0.0009496931,-0.00016195696,-0.00016195696,-1.3515749e-16,-1.3515749e-16,2.550713e-15,2.550713e-15,-2.5527802e-15,-2.5527802e-15,3.2513851e-19,3.2513851e-19,-2.5128403e-17,-2.5128403e-17,-0.0857375,-0.0857375,-8.9880773e-17,-8.9880773e-17,5.7374557e-17,5.7374557e-17,3.7879317e-17,3.7879317e-17,2.6337978e-06,2.6337978e-06,1.310075e-31,1.310075e-31
-0.00098187679,-0.00098187679,0.00098187679,0.00098187679,3.8636629e-15,3.8636629e-15,3.4581081e-16,3.4581081e-16,0.00098187679,0.00098187679,-0.059380387,-0.059380387,-0.00017272784,-0.00017272784,-0.059378141,-0.059378141,-0.00017272784,-0.00017272784,0.00016964212,0.00016964212,-3.1321946e-16,-3.1321946e-16,-0.00016200826,-0.00016200826,-0.00016200826,-0.00016200826,1.8547522e-16,1.8547522e-16,-0.00097879108,-0.00097879108,-0.00017272784,-0.00017272784,-0.00097879108,-0.00097879108,-0.00017272784,-0.00017272784,-5.3418712e-16,-5.3418712e-16,-2.899989e-17,-2.899989e-17,-0.0011515189,-0.0011515189,-5.62454e-16,-5.62454e-16,0.080299106,0.080299106,1.6950272e-15,1.6950272e-15,-3.0857129e-06,-3.0857129e-06,0.00017272784,0.00017272784,-3.0857129e-06,-3.0857129e-06,0.00017272784,0.00017272784,0.00016964212,0.00016964212,-2.7836515e-16,-2.7836515e-16,-0.00098187679,-0.00098187679,-0.00098187679,-0.00098187679,-0.00017272784,-0.00017272784,2.9733845e-05,2.9733845e-05,6.2087631e-17,6.2087631e-17,-5.4002753e-07,-5.4002753e-07,3.0273872e-05,3.0273872e-05,0.0031132927,0.0031132927,-3.6653009e-16,-3.6653009e-16,1.9954087,1.9954087,-2.3701537e-14,-2.3701537e-14,0.19577832,0.19577832,-1.2230816e-14,-1.2230816e-14,-0.00098187679,-0.00098187679,0.0011515189,0.0011515189,-0.00019637536,-0.00019637536,-1.2836323e-16,-1.2836323e-16,3.1971508e-15,3.1971508e-15,-3.2002931e-15,-3.2002931e-15,4.363947e-19,4.363947e-19,-3.1033214e-17,-3.1033214e-17,-0.081450625,-0.081450625,-1.1386341e-16,-1.1386341e-16,7.0884604e-17,7.0884604e-17,4.6761349e-17,4.6761349e-17,3.0888531e-06,3.0888531e-06,1.6186104e-31,1.6186104e-31
-0.001143075,-0.001143075,0.001143075,0.001143075,3.8727702e-15,3.8727702e-15,3.4909743e-16,3.4909743e-16,0.001143075,0.001143075,-0.056442033,-0.056442033,-0.00020108539,-0.00020108539,-0.056439502,-0.056439502,-0.00020108539,-0.00020108539,0.00019749423,0.00019749423,-3.3754301e-16,-3.3754301e-16,-0.00015163196,-0.00015163196,-0.00015163196,-0.00015163196,1.8923645e-16,1.8923645e-16,-0.0011394839,-0.0011394839,-0.00020108539,-0.00020108539,-0.0011394839,-0.0011394839,-0.00020108539,-0.00020108539,-5.3197631e-16,-5.3197631e-16,-1.1004913e-17,-1.1004913e-17,-0.0013405692,-0.0013405692,-5.4210368e-16,-5.4210368e-16,0.076037525,0.076037525,1.9224195e-15,1.9224195e-15,-3.5911528e-06,-3.5911528e-06,0.00020108539,0.00020108539,-3.5911528e-06,-3.5911528e-06,0.00020108539,0.00020108539,0.00019749423,0.00019749423,-3.0452276e-16,-3.0452276e-16,-0.001143075,-0.001143075,-0.001143075,-0.001143075,-0.00020108539,-0.00020108539,2.7852109e-05,2.7852109e-05,6.7293418e-17,6.7293418e-17,-5.0543986e-07,-5.0543986e-07,2.8357549e-05,2.8357549e-05,0.002954853,0.002954853,-3.6677169e-16,-3.6677169e-16,1.904366,1.904366,-2.3965164e-14,-2.3965164e-14,0.19737189,0.19737189,-1.2509011e-14,-1.2509011e-14,-0.001143075,-0.001143075,0.0013405692,0.0013405692,-0.000228615,-0.000228615,-1.217871e-16,-1.217871e-16,3.8436082e-15,3.8436082e-15,-3.8480068e-15,-3.8480068e-15,5.4138069e-19,5.4138069e-19,-3.5939611e-17,-3.5939611e-17,-0.077378094,-0.077378094,-1.3518595e-16,-1.3518595e-16,8.2126869e-17,8.2126869e-17,5.4132424e-17,5.4132424e-17,3.480355e-06,3.480355e-06,1.9611445e-31,1.9611445e-31
-0.0012939488,-0.0012939488,0.0012939488,0.0012939488,3.8682165e-15,3.8682165e-15,3.479423e-16,3.479423e-16,0.0012939488,0.0012939488,-0.053650243,-0.053650243,-0.00022762676,-0.00022762676,-0.053647468,-0.053647468,-0.00022762676,-0.00022762676,0.00022356295,0.00022356295,-3.5379352e-16,-3.5379352e-16,-0.00014179898,-0.00014179898,-0.00014179898,-0.00014179898,1.919083e-16,1.919083e-16,-0.001289885,-0.001289885,-0.00022762676,-0.00022762676,-0.001289885,-0.001289885,-0.00022762676,-0.00022762676,-5.2895958e-16,-5.2895958e-16,3.8972529e-18,3.8972529e-18,-0.0015175118,-0.0015175118,-5.2404942e-16,-5.2404942e-16,0.071991677,0.071991677,2.0718638e-15,2.0718638e-15,-4.0638161e-06,-4.0638161e-06,0.00022762676,0.00022762676,-4.0638161e-06,-4.0638161e-06,0.00022762676,0.00022762676,0.00022356295,0.00022356295,-3.2251462e-16,-3.2251462e-16,-0.0012939488,-0.0012939488,-0.0012939488,-0.0012939488,-0.00022762676,-0.00022762676,2.6068714e-05,2.6068714e-05,7.164211e-17,7.164211e-17,-4.7266326e-07,-4.7266326e-07,2.6541377e-05,2.6541377e-05,0.0028043656,0.0028043656,-3.61897e-16,-3.61897e-16,1.8177819,1.8177819,-2.3869331e-14,-2.3869331e-14,0.19876345,0.19876345,-1.2585511e-14,-1.2585511e-14,-0.0012939488,-0.0012939488,0.0015175118,0.0015175118,-0.00025878976,-0.00025878976,-1.1538439e-16,-1.1538439e-16,4.4889324e-15,4.4889324e-15,-4.4947483e-15,-4.4947483e-15,6.4040234e-19,6.4040234e-19,-3.9967694e-17,-3.9967694e-17,-0.073509189,-0.073509189,-1.5405484e-16,-1.5405484e-16,9.1373482e-17,9.1373482e-17,6.0174662e-17,6.0174662e-17,3.8155815e-06,3.8155815e-06,2.317736e-31,2.317736e-31
-0.0014350388,-0.0014350388,0.0014350388,0.0014350388,3.8521703e-15,3.8521703e-15,3.428045e-16,3.428045e-16,0.0014350388,0.0014350388,-0.050997697,-0.050997697,-0.00025244706,-0.00025244706,-0.050994715,-0.050994715,-0.00025244706,-0.00025244706,0.00024794164,0.00024794164,-3.629088e-16,-3.629088e-16,-0.00013248188,-0.00013248188,-0.00013248188,-0.00013248188,1.9362545e-16,1.9362545e-16,-0.0014305334,-0.0014305334,-0.00025244706,-0.00025244706,-0.0014305334,-0.0014305334,-0.00025244706,-0.00025244706,-5.2523153e-16,-5.2523153e-16,1.6113864e-17,1.6113864e-17,-0.0016829804,-0.0016829804,-5.079781e-16,-5.079781e-16,0.068150749,0.068150749,2.1634039e-15,2.1634039e-15,-4.5054223e-06,-4.5054223e-06,0.00025244706,0.00025244706,-4.5054223e-06,-4.5054223e-06,0.00025244706,0.00025244706,0.00024794164,0.00024794164,-3.3328321e-16,-3.3328321e-16,-0.0014350388,-0.0014350388,-0.0014350388,-0.0014350388,-0.00025244706,-0.00025244706,2.4378695e-05,2.4378695e-05,7.5229997e-17,7.5229997e-17,-4.4160628e-07,-4.4160628e-07,2.4820302e-05,2.4820302e-05,0.0026614325,0.0026614325,-3.5253613e-16,-3.5253613e-16,1.7354345,1.7354345,-2.3457915e-14,-2.3457915e-14,0.19996441,0.19996441,-1.2484732e-14,-1.2484732e-14,-0.0014350388,-0.0014350388,0.0016829804,0.0016829804,-0.00028700776,-0.00028700776,-1.091177e-16,-1.091177e-16,5.132121e-15,5.132121e-15,-5.1394964e-15,-5.1394964e-15,7.3375067e-19,7.3375067e-19,-4.3224542e-17,-4.3224542e-17,-0.06983373,-0.06983373,-1.7066254e-16,-1.7066254e-16,9.8867096e-17,9.8867096e-17,6.5050421e-17,6.5050421e-17,4.1010334e-06,4.1010334e-06,2.6721282e-31,2.6721282e-31
-0.0015668583,-0.0015668583,0.0015668583,0.0015668583,3.8254989e-15,3.8254989e-15,3.3410407e-16,3.3410407e-16,0.0015668583,0.0015668583,-0.048477438,-0.048477438,-0.00027563659,-0.00027563659,-0.048474279,-0.048474279,-0.00027563659,-0.00027563659,0.00027071898,0.00027071898,-3.6573156e-16,-3.6573156e-16,-0.00012365462,-0.00012365462,-0.00012365462,-0.00012365462,1.9450822e-16,1.9450822e-16,-0.0015619407,-0.0015619407,-0.00027563659,-0.00027563659,-0.0015619407,-0.0015619407,-0.00027563659,-0.00027563659,-5.2087729e-16,-5.2087729e-16,2.6004475e-17,2.6004475e-17,-0.0018375772,-0.0018375772,-4.9361482e-16,-4.9361482e-16,0.064504466,0.064504466,2.2120864e-15,2.2120864e-15,-4.9176044e-06,-4.9176044e-06,0.00027563659,0.00027563659,-4.9176044e-06,-4.9176044e-06,0.00027563659,0.00027563659,0.00027071898,0.00027071898,-3.3767565e-16,-3.3767565e-16,-0.0015668583,-0.0015668583,-0.0015668583,-0.0015668583,-0.00027563659,-0.00027563659,2.277734e-05,2.277734e-05,7.8143462e-17,7.8143462e-17,-4.1218208e-07,-4.1218208e-07,2.3189522e-05,2.3189522e-05,0.0025256757,0.0025256757,-3.3925468e-16,-3.3925468e-16,1.6571129,1.6571129,-2.277029e-14,-2.277029e-14,0.20098562,0.20098562,-1.2228582e-14,-1.2228582e-14,-0.0015668583,-0.0015668583,0.0018375772,0.0018375772,-0.00031337165,-0.00031337165,-1.0295593e-16,-1.0295593e-16,5.7723062e-15,5.7723062e-15,-5.7813647e-15,-5.7813647e-15,8.2170257e-19,8.2170257e-19,-4.5805564e-17,-4.5805564e-17,-0.066342043,-0.066342043,-1.8518839e-16,-1.8518839e-16,1.0482395e-16,1.0482395e-16,6.8904349e-17,6.8904349e-17,4.3425136e-06,4.3425136e-06,3.0116522e-31,3.0116522e-31
-0.0016898946,-0.0016898946,0.0016898946,0.0016898946,3.7895034e-15,3.7895034e-15,3.2222522e-16,3.2222522e-16,0.0016898946,0.0016898946,-0.046082856,-0.046082856,-0.00029728106,-0.00029728106,-0.046079551,-0.046079551,-0.00029728106,-0.00029728106,0.00029197915,0.00029197915,-3.6301869e-16,-3.6301869e-16,-0.00011529245,-0.00011529245,-0.00011529245,-0.00011529245,1.9466403e-16,1.9466403e-16,-0.0016845927,-0.0016845927,-0.00029728106,-0.00029728106,-0.0016845927,-0.0016845927,-0.00029728106,-0.00029728106,-5.1597345e-16,-5.1597345e-16,3.3886165e-17,3.3886165e-17,-0.0019818738,-0.0019818738,-4.8071868e-16,-4.8071868e-16,0.061043067,0.061043067,2.2292061e-15,2.2292061e-15,-5.3019126e-06,-5.3019126e-06,0.00029728106,0.00029728106,-5.3019126e-06,-5.3019126e-06,0.00029728106,0.00029728106,0.00029197915,0.00029197915,-3.3645303e-16,-3.3645303e-16,-0.0016898946,-0.0016898946,-0.0016898946,-0.0016898946,-0.00029728106,-0.00029728106,2.126017e-05,2.126017e-05,8.0459978e-17,8.0459978e-17,-3.8430816e-07,-3.8430816e-07,2.1644478e-05,2.1644478e-05,0.002396736,0.002396736,-3.2256011e-16,-3.2256011e-16,1.5826168,1.5826168,-2.1841776e-14,-2.1841776e-14,0.20183733,0.20183733,-1.1836706e-14,-1.1836706e-14,-0.0016898946,-0.0016898946,0.0019818738,0.0019818738,-0.00033797892,-0.00033797892,-9.6873494e-17,-9.6873494e-17,6.4087393e-15,6.4087393e-15,-6.4195877e-15,-6.4195877e-15,9.0452147e-19,9.0452147e-19,-4.7795718e-17,-4.7795718e-17,-0.063024941,-0.063024941,-1.9779945e-16,-1.9779945e-16,1.0943662e-16,1.0943662e-16,7.1865233e-17,7.1865233e-17,4.5451997e-06,4.5451997e-06,3.3269175e-31,3.3269175e-31
