e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,p_H_W_slash_p_H_pie,p_H_W_slash_p_H_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
-0.073218593,-0.073218593,0.073218593,0.073218593,2.7755576e-15,2.7755576e-15,-1.4242567e-16,-1.4242567e-16,0.073218593,0.073218593,-0.081714761,-0.081714761,-0.010984635,-0.010984635,-0.081714701,-0.081714701,-0.010984635,-0.010984635,1.2305646e-05,1.2305646e-05,5.0599022e-18,5.0599022e-18,0.0036916938,0.0036916938,0.0036916938,0.0036916938,9.4090546e-18,9.4090546e-18,-0.062246264,-0.062246264,-0.010984635,-0.010984635,-0.062246264,-0.062246264,-0.010984635,-0.010984635,-4.1831958e-16,-4.1831958e-16,1.1539984e-16,1.1539984e-16,-0.073230899,-0.073230899,-3.0474278e-16,-3.0474278e-16,0.026769101,0.026769101,-3.0855567e-16,-3.0855567e-16,-0.010972329,-0.010972329,0.010984635,0.010984635,-0.010972329,-0.010972329,0.010984635,0.010984635,1.2305646e-05,1.2305646e-05,7.1787436e-18,7.1787436e-18,-0.073218593,-0.073218593,-0.073218593,-0.073218593,-0.010984635,-0.010984635,1.2305646e-05,1.2305646e-05,5.9152865e-18,5.9152865e-18,-0.010972329,-0.010972329,0.010984635,0.010984635,0.0012305646,0.0012305646,2.6188172e-17,2.6188172e-17,0.81160074,0.81160074,-1.4577739e-16,-1.4577739e-16,0.10256549,0.10256549,-1.1467893e-15,-1.1467893e-15,-0.073218593,-0.073218593,0.073230899,0.073230899,-0.014643719,-0.014643719,-5.988213e-17,-5.988213e-17,4.3654314e-16,4.3654314e-16,-4.710314e-16,-4.710314e-16,-6.3918623e-20,-6.3918623e-20,-3.4140317e-20,-3.4140317e-20,-0.1,-0.1,4.6367145e-19,4.6367145e-19,0,0,0,0,8.2453048e-08,8.2453048e-08,5.7734514e-34,5.7734514e-34
-0.069545358,-0.069545358,0.069545358,0.069545358,2.5257574e-15,2.5257574e-15,-1.5647071e-16,-1.5647071e-16,0.069545358,0.069545358,-0.07762908,-0.07762908,-0.010435403,-0.010435403,-0.077628966,-0.077628966,-0.010435403,-0.010435403,2.399601e-05,2.399601e-05,7.9446342e-18,7.9446342e-18,0.0035071091,0.0035071091,0.0035071091,0.0035071091,-6.9104151e-18,-6.9104151e-18,-0.059133951,-0.059133951,-0.010435403,-0.010435403,-0.059133951,-0.059133951,-0.010435403,-0.010435403,-3.8150889e-16,-3.8150889e-16,1.3138243e-16,1.3138243e-16,-0.069569354,-0.069569354,-2.5002965e-16,-2.5002965e-16,0.025430646,0.025430646,-2.7171104e-16,-2.7171104e-16,-0.010411407,-0.010411407,0.010435403,0.010435403,-0.010411407,-0.010411407,0.010435403,0.010435403,2.399601e-05,2.399601e-05,1.8475934e-18,1.8475934e-18,-0.069545358,-0.069545358,-0.069545358,-0.069545358,-0.010435403,-0.010435403,1.1690364e-05,1.1690364e-05,1.1493381e-17,1.1493381e-17,0.0005609221,0.0005609221,-0.00054923174,-0.00054923174,0.001181342,0.001181342,3.5640509e-17,3.5640509e-17,0.78419063,0.78419063,2.9062868e-16,2.9062868e-16,0.10402218,0.10402218,-1.1150754e-15,-1.1150754e-15,-0.069545358,-0.069545358,0.069569354,0.069569354,-0.013909072,-0.013909072,-7.7349541e-18,-7.7349541e-18,9.947707e-16,9.947707e-16,-1.0691233e-15,-1.0691233e-15,2.3417094e-19,2.3417094e-19,-8.9740594e-18,-8.9740594e-18,-0.095,-0.095,2.7326602e-17,2.7326602e-17,-1.0790756e-17,-1.0790756e-17,4.0645205e-17,4.0645205e-17,1.5604239e-07,1.5604239e-07,2.6126225e-33,2.6126225e-33
-0.066055784,-0.066055784,0.066055784,0.066055784,2.4286129e-15,2.4286129e-15,-2.0194133e-16,-2.0194133e-16,0.066055784,0.066055784,-0.073747679,-0.073747679,-0.0099136329,-0.0099136329,-0.073747518,-0.073747518,-0.0099136329,-0.0099136329,3.5101855e-05,3.5101855e-05,6.6532986e-18,6.6532986e-18,0.0033317536,0.0033317536,0.0033317536,0.0033317536,-1.4110638e-19,-1.4110638e-19,-0.056177253,-0.056177253,-0.0099136329,-0.0099136329,-0.056177253,-0.056177253,-0.0099136329,-0.0099136329,-3.6642144e-16,-3.6642144e-16,1.7087176e-16,1.7087176e-16,-0.066090886,-0.066090886,-1.953603e-16,-1.953603e-16,0.024159114,0.024159114,-2.3574043e-16,-2.3574043e-16,-0.0098785311,-0.0098785311,0.0099136329,0.0099136329,-0.0098785311,-0.0098785311,0.0099136329,0.0099136329,3.5101855e-05,3.5101855e-05,1.3160576e-18,1.3160576e-18,-0.066055784,-0.066055784,-0.066055784,-0.066055784,-0.0099136329,-0.0099136329,1.1105845e-05,1.1105845e-05,1.5511938e-17,1.5511938e-17,0.000532876,0.000532876,-0.00052177015,-0.00052177015,0.0011345806,0.0011345806,4.7473521e-17,4.7473521e-17,0.75815102,0.75815102,7.6659325e-16,7.6659325e-16,0.10540603,0.10540603,-1.0356807e-15,-1.0356807e-15,-0.066055784,-0.066055784,0.066090886,0.066090886,-0.013211157,-0.013211157,3.784889e-17,3.784889e-17,1.5420148e-15,1.5420148e-15,-1.651078e-15,-1.651078e-15,5.1028089e-19,5.1028089e-19,-1.6724826e-17,-1.6724826e-17,-0.09025,-0.09025,5.1879988e-17,5.1879988e-17,-2.0087742e-17,-2.0087742e-17,7.5555233e-17,7.5555233e-17,2.2164049e-07,2.2164049e-07,5.9297005e-33,5.9297005e-33
-0.062740689,-0.062740689,0.062740689,0.062740689,2.3314684e-15,2.3314684e-15,-2.4537244e-16,-2.4537244e-16,0.062740689,0.062740689,-0.070060346,-0.070060346,-0.0094179513,-0.0094179513,-0.070060142,-0.070060142,-0.0094179513,-0.0094179513,4.5652408e-05,4.5652408e-05,9.4011062e-18,9.4011062e-18,0.0031651659,0.0031651659,0.0031651659,0.0031651659,5.4520162e-18,5.4520162e-18,-0.053368391,-0.053368391,-0.0094179513,-0.0094179513,-0.053368391,-0.053368391,-0.0094179513,-0.0094179513,-3.5156843e-16,-3.5156843e-16,2.0520716e-16,2.0520716e-16,-0.062786342,-0.062786342,-1.4608395e-16,-1.4608395e-16,0.022951158,0.022951158,-2.0550671e-16,-2.0550671e-16,-0.0093722989,-0.0093722989,0.0094179513,0.0094179513,-0.0093722989,-0.0093722989,0.0094179513,0.0094179513,4.5652408e-05,4.5652408e-05,4.7856753e-18,4.7856753e-18,-0.062740689,-0.062740689,-0.062740689,-0.062740689,-0.0094179513,-0.0094179513,1.0550553e-05,1.0550553e-05,1.8771087e-17,1.8771087e-17,0.0005062322,0.0005062322,-0.00049568165,-0.00049568165,0.0010901572,0.0010901572,6.1014017e-17,6.1014017e-17,0.73341339,0.73341339,1.3957585e-15,1.3957585e-15,0.10672069,0.10672069,-8.5253908e-16,-8.5253908e-16,-0.062740689,-0.062740689,0.062786342,0.062786342,-0.012548138,-0.012548138,7.8083924e-17,7.8083924e-17,2.0778286e-15,2.0778286e-15,-2.2169196e-15,-2.2169196e-15,7.6567293e-19,7.6567293e-19,-2.3420114e-17,-2.3420114e-17,-0.0857375,-0.0857375,7.4287626e-17,7.4287626e-17,-2.8061071e-17,-2.8061071e-17,1.0538713e-16,1.0538713e-16,2.8003465e-07,2.8003465e-07,1.0261112e-32,1.0261112e-32
-0.059591349,-0.059591349,0.059591349,0.059591349,2.2273849e-15,2.2273849e-15,-2.8670379e-16,-2.8670379e-16,0.059591349,0.059591349,-0.066557376,-0.066557376,-0.0089470537,-0.0089470537,-0.066557135,-0.066557135,-0.0089470537,-0.0089470537,5.5675434e-05,5.5675434e-05,1.5486655e-17,1.5486655e-17,0.0030069076,0.0030069076,0.0030069076,0.0030069076,1.0016315e-17,1.0016315e-17,-0.050699971,-0.050699971,-0.0089470537,-0.0089470537,-0.050699971,-0.050699971,-0.0089470537,-0.0089470537,-3.3698929e-16,-3.3698929e-16,2.3493295e-16,2.3493295e-16,-0.059647025,-0.059647025,-1.0169548e-16,-1.0169548e-16,0.0218036,0.0218036,-1.7998424e-16,-1.7998424e-16,-0.0088913783,-0.0088913783,0.0089470537,0.0089470537,-0.0088913783,-0.0088913783,0.0089470537,0.0089470537,5.5675434e-05,5.5675434e-05,1.1556943e-17,1.1556943e-17,-0.059591349,-0.059591349,-0.059591349,-0.059591349,-0.0089470537,-0.0089470537,1.0023025e-05,1.0023025e-05,2.1367834e-17,2.1367834e-17,0.00048092059,0.00048092059,-0.00047089756,-0.00047089756,0.001047955,0.001047955,7.5854284e-17,7.5854284e-17,0.70991264,0.70991264,2.1469031e-15,2.1469031e-15,0.10796962,0.10796962,-5.8456024e-16,-5.8456024e-16,-0.059591349,-0.059591349,0.059647025,0.059647025,-0.01191827,-0.01191827,1.1351806e-16,1.1351806e-16,2.6018844e-15,2.6018844e-15,-2.7667593e-15,-2.7667593e-15,1.0015419e-18,1.0015419e-18,-2.9179492e-17,-2.9179492e-17,-0.081450625,-0.081450625,9.4702708e-17,9.4702708e-17,-3.4862805e-17,-3.4862805e-17,1.3072808e-16,1.3072808e-16,3.3193534e-07,3.3193534e-07,1.5229475e-32,1.5229475e-32
-0.056599476,-0.056599476,0.056599476,0.056599476,2.1233015e-15,2.1233015e-15,-3.258991e-16,-3.258991e-16,0.056599476,0.056599476,-0.063229553,-0.063229553,-0.008499701,-0.008499701,-0.063229278,-0.063229278,-0.008499701,-0.008499701,6.5197308e-05,6.5197308e-05,2.4296586e-17,2.4296586e-17,0.0028565623,0.0028565623,0.0028565623,0.0028565623,1.3682692e-17,1.3682692e-17,-0.048164972,-0.048164972,-0.008499701,-0.008499701,-0.048164972,-0.048164972,-0.008499701,-0.008499701,-3.2271619e-16,-3.2271619e-16,2.6053905e-16,2.6053905e-16,-0.056664674,-0.056664674,-6.1736919e-17,-6.1736919e-17,0.02071342,0.02071342,-1.5835558e-16,-1.5835558e-16,-0.0084345037,-0.0084345037,0.008499701,0.008499701,-0.0084345037,-0.0084345037,0.008499701,0.008499701,6.5197308e-05,6.5197308e-05,2.1018308e-17,2.1018308e-17,-0.056599476,-0.056599476,-0.056599476,-0.056599476,-0.008499701,-0.008499701,9.5218742e-06,9.5218742e-06,2.3388272e-17,2.3388272e-17,0.00045687456,0.00045687456,-0.00044735269,-0.00044735269,0.0010078629,0.0010078629,9.1641784e-17,9.1641784e-17,0.68758693,0.68758693,2.9928866e-15,2.9928866e-15,0.1091561,0.1091561,-2.4825297e-16,-2.4825297e-16,-0.056599476,-0.056599476,0.056664674,0.056664674,-0.011319895,-0.011319895,1.4464469e-16,1.4464469e-16,3.113958e-15,3.113958e-15,-3.3007805e-15,-3.3007805e-15,1.2190194e-18,1.2190194e-18,-3.4109868e-17,-3.4109868e-17,-0.077378094,-0.077378094,1.1326847e-16,1.1326847e-16,-4.0628818e-17,-4.0628818e-17,1.5210255e-16,1.5210255e-16,3.7798367e-07,3.7798367e-07,2.0447792e-32,2.0447792e-32
-0.053757197,-0.053757197,0.053757197,0.053757197,2.026157e-15,2.026157e-15,-3.6294258e-16,-3.6294258e-16,0.053757197,0.053757197,-0.060068119,-0.060068119,-0.008074716,-0.008074716,-0.060067814,-0.060067814,-0.008074716,-0.008074716,7.4243088e-05,7.4243088e-05,3.5295737e-17,3.5295737e-17,0.0027137342,0.0027137342,0.0027137342,0.0027137342,1.6567334e-17,1.6567334e-17,-0.045756724,-0.045756724,-0.008074716,-0.008074716,-0.045756724,-0.045756724,-0.008074716,-0.008074716,-3.0877494e-16,-3.0877494e-16,2.8246631e-16,2.8246631e-16,-0.05383144,-0.05383144,-2.5793e-17,-2.5793e-17,0.019677749,0.019677749,-1.3996474e-16,-1.3996474e-16,-0.0080004729,-0.0080004729,0.008074716,0.008074716,-0.0080004729,-0.0080004729,0.008074716,0.008074716,7.4243088e-05,7.4243088e-05,3.2636321e-17,3.2636321e-17,-0.053757197,-0.053757197,-0.053757197,-0.053757197,-0.008074716,-0.008074716,9.0457805e-06,9.0457805e-06,2.4908744e-17,2.4908744e-17,0.00043403083,0.00043403083,-0.00042498505,-0.00042498505,0.00096977536,0.00096977536,1.0807279e-16,1.0807279e-16,0.66637751,0.66637751,3.9101854e-15,3.9101854e-15,0.11028325,0.11028325,1.4200512e-16,1.4200512e-16,-0.053757197,-0.053757197,0.05383144,0.05383144,-0.010751439,-0.010751439,1.7190811e-16,1.7190811e-16,3.613915e-15,3.613915e-15,-3.8192259e-15,-3.8192259e-15,1.4191767e-18,1.4191767e-18,-3.8306797e-17,-3.8306797e-17,-0.073509189,-0.073509189,1.3011881e-16,1.3011881e-16,-4.5480459e-17,-4.5480459e-17,1.6997881e-16,1.6997881e-16,4.1875817e-07,4.1875817e-07,2.5573195e-32,2.5573195e-32
-0.051057031,-0.051057031,0.051057031,0.051057031,1.9151347e-15,1.9151347e-15,-3.9783576e-16,-3.9783576e-16,0.051057031,0.051057031,-0.057064754,-0.057064754,-0.0076709802,-0.0076709802,-0.057064423,-0.057064423,-0.0076709802,-0.0076709802,8.283658e-05,8.283658e-05,4.8018335e-17,4.8018335e-17,0.0025780474,0.0025780474,0.0025780474,0.0025780474,1.8773276e-17,1.8773276e-17,-0.043468888,-0.043468888,-0.0076709802,-0.0076709802,-0.043468888,-0.043468888,-0.0076709802,-0.0076709802,-2.9518578e-16,-2.9518578e-16,3.0111142e-16,3.0111142e-16,-0.051139868,-0.051139868,6.5128969e-18,6.5128969e-18,0.018693862,0.018693862,-1.2428161e-16,-1.2428161e-16,-0.0075881436,-0.0075881436,0.0076709802,0.0076709802,-0.0075881436,-0.0075881436,0.0076709802,0.0076709802,8.283658e-05,8.283658e-05,4.5946837e-17,4.5946837e-17,-0.051057031,-0.051057031,-0.051057031,-0.051057031,-0.0076709802,-0.0076709802,8.5934915e-06,8.5934915e-06,2.599688e-17,2.599688e-17,0.00041232929,0.00041232929,-0.0004037358,-0.0004037358,0.00093359224,0.00093359224,1.2488672e-16,1.2488672e-16,0.64622855,0.64622855,4.8784778e-15,4.8784778e-15,0.11135405,0.11135405,5.7372658e-16,5.7372658e-16,-0.051057031,-0.051057031,0.051139868,0.051139868,-0.010211406,-0.010211406,1.9570834e-16,1.9570834e-16,4.1016982e-15,4.1016982e-15,-4.3223865e-15,-4.3223865e-15,1.603028e-18,1.603028e-18,-4.1855644e-17,-4.1855644e-17,-0.06983373,-0.06983373,1.4537884e-16,1.4537884e-16,-4.9526053e-17,-4.9526053e-17,1.8477472e-16,1.8477472e-16,4.5478088e-07,4.5478088e-07,3.033122e-32,3.033122e-32
-0.048491874,-0.048491874,0.048491874,0.048491874,1.8179902e-15,1.8179902e-15,-4.3059481e-16,-4.3059481e-16,0.048491874,0.048491874,-0.054211556,-0.054211556,-0.0072874312,-0.0072874312,-0.054211202,-0.054211202,-0.0072874312,-0.0072874312,9.1000397e-05,9.1000397e-05,6.2060129e-17,6.2060129e-17,0.0024491451,0.0024491451,0.0024491451,0.0024491451,2.0391805e-17,2.0391805e-17,-0.041295443,-0.041295443,-0.0072874312,-0.0072874312,-0.041295443,-0.041295443,-0.0072874312,-0.0072874312,-2.8196412e-16,-2.8196412e-16,3.1683119e-16,3.1683119e-16,-0.048582874,-0.048582874,3.5522379e-17,3.5522379e-17,0.017759169,0.017759169,-1.1087469e-16,-1.1087469e-16,-0.0071964308,-0.0071964308,0.0072874312,0.0072874312,-0.0071964308,-0.0071964308,0.0072874312,0.0072874312,9.1000397e-05,9.1000397e-05,6.0547155e-17,6.0547155e-17,-0.048491874,-0.048491874,-0.048491874,-0.048491874,-0.0072874312,-0.0072874312,8.1638169e-06,8.1638169e-06,2.6712533e-17,2.6712533e-17,0.00039171283,0.00039171283,-0.00038354901,-0.00038354901,0.00089921827,0.00089921827,1.4186105e-16,1.4186105e-16,0.62708705,0.62708705,5.8802743e-15,5.8802743e-15,0.11237131,0.11237131,1.0360988e-15,1.0360988e-15,-0.048491874,-0.048491874,0.048582874,0.048582874,-0.0096983748,-0.0096983748,2.1640552e-16,2.1640552e-16,4.5773171e-15,4.5773171e-15,-4.8105917e-15,-4.8105917e-15,1.7715335e-18,1.7715335e-18,-4.4832636e-17,-4.4832636e-17,-0.066342043,-0.066342043,1.5916549e-16,1.5916549e-16,-5.286225e-17,-5.286225e-17,1.9686296e-16,1.9686296e-16,4.8652286e-07,4.8652286e-07,3.4522145e-32,3.4522145e-32
-0.046054975,-0.046054975,0.046054975,0.046054975,1.7139068e-15,1.7139068e-15,-4.6124809e-16,-4.6124809e-16,0.046054975,0.046054975,-0.051501016,-0.051501016,-0.0069230596,-0.0069230596,-0.051500642,-0.051500642,-0.0069230596,-0.0069230596,9.8756023e-05,9.8756023e-05,7.7071366e-17,7.7071366e-17,0.0023266878,0.0023266878,0.0023266878,0.0023266878,2.1503714e-17,2.1503714e-17,-0.039230671,-0.039230671,-0.0069230596,-0.0069230596,-0.039230671,-0.039230671,-0.0069230596,-0.0069230596,-2.6912114e-16,-2.6912114e-16,3.2994653e-16,3.2994653e-16,-0.046153731,-0.046153731,6.1545339e-17,6.1545339e-17,0.01687121,0.01687121,-9.9390303e-17,-9.9390303e-17,-0.0068243036,-0.0068243036,0.0069230596,0.0069230596,-0.0068243036,-0.0068243036,0.0069230596,0.0069230596,9.8756023e-05,9.8756023e-05,7.6088988e-17,7.6088988e-17,-0.046054975,-0.046054975,-0.046054975,-0.046054975,-0.0069230596,-0.0069230596,7.7556261e-06,7.7556261e-06,2.7108607e-17,2.7108607e-17,0.00037212718,0.00037212718,-0.00036437156,-0.00036437156,0.000866563,0.000866563,1.588068e-16,1.588068e-16,0.60890262,0.60890262,6.9005878e-15,6.9005878e-15,0.11333771,0.11333771,1.5197916e-15,1.5197916e-15,-0.046054975,-0.046054975,0.046153731,0.046153731,-0.0092109949,-0.0092109949,2.3432384e-16,2.3432384e-16,5.040838e-15,5.040838e-15,-5.2842018e-15,-5.2842018e-15,1.9256021e-18,1.9256021e-18,-4.7305807e-17,-4.7305807e-17,-0.063024941,-0.063024941,1.7158793e-16,1.7158793e-16,-5.557523e-17,-5.557523e-17,2.0657569e-16,2.0657569e-16,5.1440916e-07,5.1440916e-07,3.8017072e-32,3.8017072e-32
