e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
0.32515167,0.55104731,0.34293302,0.11703739,0.6680847,0.6680847,-0.045560632,-0.045560632,0.34293302,0.11703739,-0.21974162,-0.1920218,0.13931453,0.17318589,-0.21973343,-0.1920205,0.13940032,0.17327168,-0.00014382551,-5.7274549e-05,-0.00267382,-0.00267382,-0.043147652,-0.017182365,-0.0050251256,-0.017182365,-0.00401073,-0.00401073,-0.39118245,-0.19924473,0.096627704,0.13049907,-0.29137082,-0.099433096,0.055628419,0.089499782,-0.099811632,-0.099811632,0.040999284,0.040999284,-0.2357424,-0.0099333141,-0.058812347,-0.058812347,-0.2357424,-0.0099333141,-0.058812347,-0.058812347,0.048249426,0.08220734,-0.051067072,-0.084938435,0.048249426,0.08220734,-0.051067072,-0.084938435,-0.00014382551,-5.7274549e-05,-0.00267382,-0.00267382,-0.23588623,-0.0099905887,-0.34293302,-0.11703739,-0.00014382551,-5.7274549e-05,-0.00267382,-0.00267382,0.048249426,0.08220734,-0.051067072,-0.084938435,-0.014382551,-0.0057274549,-0.01069528,-0.01069528,17.258121,22.785418,-0.93384058,-0.93384058,28.219551,28.741791,-0.62259533,-0.62259533,0.32247785,0.54837349,-0.3252955,-0.55110458,-0.047177245,-0.0019981177,-0.012297233,-0.012297233,0.1070468,0.1070468,-0.08078079,-0.069015818,0.0199,0.0199,-1.6630139e-18,4.4241242e-18,0,0,0,2.3454664e-17,0,0,0,0,1.1263405e-05,1.7861636e-06,0.00011796367,0.00011796367
0.32239394,0.53794153,0.32968143,0.11413384,0.65207537,0.65207537,-0.041569956,-0.041569956,0.32968143,0.11413384,-0.21313076,-0.18668475,0.13591143,0.16821839,-0.21311519,-0.18668222,0.13605766,0.16836463,-0.00028105683,-0.00011323178,-0.0052861421,-0.0052861421,-0.041169396,-0.01678717,-0.0050251256,-0.01678717,-0.0039184832,-0.0039184832,-0.3770087,-0.1939359,0.094464426,0.12677139,-0.27999032,-0.096917518,0.054636743,0.086943708,-0.097018385,-0.097018385,0.039827683,0.039827683,-0.22535358,-0.0099738097,-0.057190702,-0.057190702,-0.22535358,-0.0099738097,-0.057190702,-0.057190702,0.047327272,0.079802062,-0.052894471,-0.085201435,0.047327272,0.079802062,-0.052894471,-0.085201435,-0.00028105683,-0.00011323178,-0.0052861421,-0.0052861421,-0.22563463,-0.010087041,-0.32968143,-0.11413384,-0.00013723132,-5.5957234e-05,-0.0026123221,-0.0026123221,-0.00092215457,-0.0024052784,-0.0018273989,-0.00026300092,-0.013866958,-0.005652998,-0.013123109,-0.013123109,16.897544,22.173888,-1.079416,-1.079416,27.491833,28.021296,-0.69087749,-0.69087749,0.3171078,0.53265539,-0.322675,-0.53805476,-0.045126927,-0.0020174083,-0.012495369,-0.012495369,0.21163152,0.21163152,-0.16003667,-0.137607,0.0194423,0.0194423,-2.062643e-18,1.0385276e-16,0,1.8364238e-16,0,1.8167758e-15,0,-3.2618256e-17,0,-7.8513685e-16,2.1405033e-05,3.4732469e-06,0.0002010725,0.0002010725
0.31961102,0.52513719,0.31682325,0.11129708,0.63643426,0.63643426,-0.037671065,-0.037671065,0.31682325,0.11129708,-0.20668264,-0.18147041,0.13259028,0.16338259,-0.20666044,-0.18146673,0.13277812,0.16357044,-0.00041196155,-0.000167902,-0.0078383808,-0.0078383808,-0.039271417,-0.016401065,-0.0050251256,-0.016401065,-0.0038283581,-0.0038283581,-0.36323898,-0.18874918,0.092337135,0.12312945,-0.26894959,-0.094459797,0.053654106,0.084446423,-0.094289382,-0.094289382,0.038683029,0.038683029,-0.21529549,-0.010013374,-0.055606354,-0.055606354,-0.21529549,-0.010013374,-0.055606354,-0.055606354,0.046415728,0.077452105,-0.05466607,-0.085458387,0.046415728,0.077452105,-0.05466607,-0.085458387,-0.00041196155,-0.000167902,-0.0078383808,-0.0078383808,-0.21570745,-0.010181276,-0.31682325,-0.11129708,-0.00013090472,-5.4670218e-05,-0.0025522387,-0.0025522387,-0.00091154364,-0.002349957,-0.0017715998,-0.0002569519,-0.013371529,-0.0055802536,-0.015495097,-0.015495097,16.540761,21.576423,-1.2216433,-1.2216433,26.781237,27.317372,-0.75758916,-0.75758916,0.31177263,0.51729881,-0.32002298,-0.52530509,-0.04314149,-0.0020362552,-0.012688947,-0.012688947,0.3138108,0.3138108,-0.23780553,-0.20575906,0.018995127,0.018995127,-3.0602957e-18,1.9020795e-16,0,3.5541673e-16,0,3.4736452e-15,0,-6.1981331e-17,0,-1.4657236e-15,3.052156e-05,5.0659339e-06,0.00025828409,0.00025828409
0.31680303,0.51262735,0.30434987,0.10852556,0.6211529,0.6211529,-0.033861849,-0.033861849,0.30434987,0.10852556,-0.2003936,-0.17637596,0.12934469,0.15867102,-0.20036545,-0.17637119,0.12956019,0.15888651,-0.00053679938,-0.0002213148,-0.010331918,-0.010331918,-0.037451347,-0.016023841,-0.0050251256,-0.016023841,-0.0037403058,-0.0037403058,-0.34986426,-0.18368175,0.090244953,0.11957128,-0.25824111,-0.092058604,0.052680252,0.082006576,-0.091623147,-0.091623147,0.037564702,0.037564702,-0.20556086,-0.010052028,-0.054058446,-0.054058446,-0.20556086,-0.010052028,-0.054058446,-0.054058446,0.045514387,0.075156196,-0.056383105,-0.085709429,0.045514387,0.075156196,-0.056383105,-0.085709429,-0.00053679938,-0.0002213148,-0.010331918,-0.010331918,-0.20609766,-0.010273343,-0.30434987,-0.10852556,-0.00012483782,-5.3412803e-05,-0.0024935372,-0.0024935372,-0.00090134063,-0.002295908,-0.0017170344,-0.00025104201,-0.012895744,-0.0055091823,-0.01781253,-0.01781253,16.1877,20.9927,-1.3605993,-1.3605993,26.087349,26.629639,-0.82276647,-0.82276647,0.30647111,0.50229543,-0.31733983,-0.51284866,-0.041219532,-0.0020546686,-0.012878073,-0.012878073,0.41363995,0.41363995,-0.31412439,-0.27345793,0.018558239,0.018558239,-3.5353759e-18,2.6486905e-16,0,5.1597824e-16,0,5.0019617e-15,0,-8.8414592e-17,0,-2.052814e-15,3.8702095e-05,6.5686936e-06,0.00029630558,0.00029630558
0.31397011,0.50040523,0.2922529,0.10581778,0.60622301,0.60622301,-0.030140244,-0.030140244,0.2922529,0.10581778,-0.19426007,-0.17139865,0.12616956,0.15407747,-0.19422659,-0.17139284,0.1264024,0.15431032,-0.00065582226,-0.00027349911,-0.012768104,-0.012768104,-0.035706866,-0.015655292,-0.0050251256,-0.015655292,-0.0036542788,-0.0036542788,-0.33687575,-0.17873087,0.088187023,0.11609494,-0.24785751,-0.089712639,0.051714927,0.079622846,-0.089018236,-0.089018236,0.036472096,0.036472096,-0.19614259,-0.010089793,-0.05254614,-0.05254614,-0.19614259,-0.010089793,-0.05254614,-0.05254614,0.044622852,0.072913094,-0.058046779,-0.085954697,0.044622852,0.072913094,-0.058046779,-0.085954697,-0.00065582226,-0.00027349911,-0.012768104,-0.012768104,-0.19679841,-0.010363292,-0.2922529,-0.10581778,-0.00011902289,-5.2184308e-05,-0.0024361859,-0.0024361859,-0.00089153498,-0.0022431021,-0.0016636738,-0.00024526804,-0.012439088,-0.0054397456,-0.020076662,-0.020076662,15.838294,20.422402,-1.4963593,-1.4963593,25.409765,25.957723,-0.8864447,-0.8864447,0.30120201,0.48763712,-0.31462593,-0.50067873,-0.039359682,-0.0020726585,-0.013062849,-0.013062849,0.51117303,0.51117303,-0.38902942,-0.34068998,0.0181314,0.0181314,-2.5813384e-18,3.2907581e-16,0,6.6594789e-16,0,6.4092042e-15,0,-1.1221087e-16,0,-2.5563428e-15,4.6028704e-05,7.9857901e-06,0.00032015671,0.00032015671
0.31111239,0.48846422,0.28052412,0.10317228,0.5916365,0.5916365,-0.026504237,-0.026504237,0.28052412,0.10317228,-0.18827856,-0.16653578,0.1230607,0.14959676,-0.18824032,-0.166529,0.12330332,0.14983937,-0.00076927461,-0.00032448318,-0.015148258,-0.015148258,-0.034035704,-0.015295221,-0.0050251256,-0.015295221,-0.0035702304,-0.0035702304,-0.32426485,-0.17389387,0.086162505,0.11269856,-0.23779162,-0.087420631,0.050757885,0.077293941,-0.086473237,-0.086473237,0.03540462,0.03540462,-0.18703373,-0.01012669,-0.051068617,-0.051068617,-0.18703373,-0.01012669,-0.051068617,-0.051068617,0.043740736,0.070721584,-0.059658268,-0.086194324,0.043740736,0.070721584,-0.059658268,-0.086194324,-0.00076927461,-0.00032448318,-0.015148258,-0.015148258,-0.18780301,-0.010451173,-0.28052412,-0.10317228,-0.00011345235,-5.0984069e-05,-0.0023801536,-0.0023801536,-0.00088211639,-0.0021915108,-0.0016114896,-0.00023962688,-0.012001057,-0.005371906,-0.022288718,-0.022288718,15.49248,19.865221,-1.6289969,-1.6289969,24.748092,25.301262,-0.94865833,-0.94865833,0.29596413,0.47331596,-0.31188166,-0.4887887,-0.037560601,-0.0020902346,-0.013243375,-0.013243375,0.60646285,0.60646285,-0.46255596,-0.40744201,0.017714377,0.017714377,-1.7267944e-18,3.839424e-16,0,8.0591426e-16,0,7.7024535e-15,0,-1.3363372e-16,0,-2.9852378e-15,5.2576914e-05,9.3212921e-06,0.0003335922,0.0003335922
0.30822997,0.47679785,0.26915552,0.10058763,0.57738549,0.57738549,-0.022951858,-0.022951858,0.26915552,0.10058763,-0.18244565,-0.16178472,0.12001469,0.14522441,-0.18240316,-0.16177703,0.12026154,0.14547126,-0.0008773934,-0.00037429462,-0.017473668,-0.017473668,-0.032435637,-0.014943431,-0.0050251256,-0.014943431,-0.0034881151,-0.0034881151,-0.31202318,-0.16916811,0.08417058,0.1093803,-0.2280364,-0.085181339,0.049808883,0.075018601,-0.083986773,-0.083986773,0.034361696,0.034361696,-0.17822752,-0.010162738,-0.049625077,-0.049625077,-0.17822752,-0.010162738,-0.049625077,-0.049625077,0.042867661,0.068580478,-0.061218722,-0.08642844,0.042867661,0.068580478,-0.061218722,-0.08642844,-0.0008773934,-0.00037429462,-0.017473668,-0.017473668,-0.17910492,-0.010537032,-0.26915552,-0.10058763,-0.00010811879,-4.9811436e-05,-0.0023254101,-0.0023254101,-0.00087307478,-0.002141106,-0.0015604541,-0.00023411546,-0.011581154,-0.0053056267,-0.024449898,-0.024449898,15.150199,19.320856,-1.7585837,-1.7585837,24.101947,24.659899,-1.009441,-1.009441,0.2907563,0.45932419,-0.30910736,-0.47717215,-0.035820983,-0.0021074065,-0.013419749,-0.013419749,0.699561,0.699561,-0.53473855,-0.47370126,0.017306947,0.017306947,-2.2434168e-18,4.3046998e-16,0,9.3643511e-16,0,8.8884127e-15,0,-1.5292034e-16,0,-3.3475208e-15,5.8416171e-05,1.0579081e-05,0.00033941843,0.00033941843
0.30532298,0.46539981,0.25813927,0.098062431,0.56346225,0.56346225,-0.019481183,-0.019481183,0.25813927,0.098062431,-0.17675799,-0.15714291,0.11702863,0.14095654,-0.17671173,-0.15713435,0.11727571,0.14120362,-0.00098040836,-0.00042296039,-0.019745593,-0.019745593,-0.030904488,-0.014599732,-0.0050251256,-0.014599732,-0.0034078885,-0.0034078885,-0.30014253,-0.16455105,0.082210446,0.10613835,-0.21858503,-0.08299355,0.048867686,0.072795594,-0.081557498,-0.081557498,0.03334276,0.03334276,-0.16971734,-0.010197957,-0.048214738,-0.048214738,-0.16971734,-0.010197957,-0.048214738,-0.048214738,0.042003261,0.066488617,-0.062729262,-0.086657171,0.042003261,0.066488617,-0.062729262,-0.086657171,-0.00098040836,-0.00042296039,-0.019745593,-0.019745593,-0.17069775,-0.010620917,-0.25813927,-0.098062431,-0.00010301496,-4.8665773e-05,-0.0022719256,-0.0022719256,-0.00086440027,-0.0020918606,-0.0015105403,-0.0002287308,-0.011178889,-0.0052408719,-0.02656137,-0.02656137,14.811396,18.789011,-1.8851901,-1.8851901,23.470953,24.033288,-1.0688258,-1.0688258,0.28557739,0.44565422,-0.30630339,-0.46582278,-0.03413955,-0.0021241834,-0.013592066,-0.013592066,0.7905179,0.7905179,-0.60561096,-0.53945544,0.016908887,0.016908887,-2.1844902e-18,4.6955806e-16,0,1.058039e-15,0,9.9734269e-15,0,-1.7028421e-16,0,-3.6503987e-15,6.3610288e-05,1.1762861e-05,0.00033973098,0.00033973098
0.30239152,0.45426393,0.24746772,0.095595308,0.54985924,0.54985924,-0.016090334,-0.016090334,0.24746772,0.095595308,-0.17121233,-0.15260782,0.11410004,0.1367897,-0.17116272,-0.15259846,0.11434447,0.13703413,-0.0010785421,-0.00047050685,-0.021965265,-0.021965265,-0.029440123,-0.014263938,-0.0050251256,-0.014263938,-0.003329507,-0.003329507,-0.2886149,-0.16004018,0.080281318,0.10297097,-0.2094308,-0.080856081,0.04793406,0.070623716,-0.079184096,-0.079184096,0.032347259,0.032347259,-0.16149674,-0.010232365,-0.046836837,-0.046836837,-0.16149674,-0.010232365,-0.046836837,-0.046836837,0.041147178,0.064444869,-0.064190984,-0.086880641,0.041147178,0.064444869,-0.064190984,-0.086880641,-0.0010785421,-0.00047050685,-0.021965265,-0.021965265,-0.16257528,-0.010702872,-0.24746772,-0.095595308,-9.8133745e-05,-4.754646e-05,-0.0022196713,-0.0022196713,-0.00085608321,-0.0020437478,-0.0014617219,-0.00022346999,-0.010793783,-0.0051776064,-0.028624279,-0.028624279,14.47602,18.269398,-2.0088845,-2.0088845,22.854746,23.421088,-1.1268446,-1.1268446,0.28042626,0.43229867,-0.30347006,-0.45473444,-0.032515056,-0.0021405745,-0.01376042,-0.01376042,0.87938279,0.87938279,-0.67520617,-0.6046927,0.016519983,0.016519983,-2.5391553e-18,5.0201468e-16,0,1.1712268e-15,0,1.0963501e-14,0,-1.8591747e-16,0,-3.9003449e-15,6.8217847e-05,1.2876165e-05,0.00033609276,0.00033609276
0.2994357,0.44338417,0.2371334,0.093184929,0.5365691,0.5365691,-0.012777475,-0.012777475,0.2371334,0.093184929,-0.16580547,-0.14817701,0.11122677,0.13272078,-0.1657529,-0.14816689,0.11146653,0.13296054,-0.0011720103,-0.00051695974,-0.024133883,-0.024133883,-0.028040453,-0.013935867,-0.0050251256,-0.013935867,-0.0032529284,-0.0032529284,-0.27743247,-0.15563306,0.078382432,0.099876445,-0.20056718,-0.078767774,0.047007777,0.068501791,-0.076865283,-0.076865283,0.031374654,0.031374654,-0.15355941,-0.010265983,-0.045490628,-0.045490628,-0.15355941,-0.010265983,-0.045490628,-0.045490628,0.040299063,0.062448127,-0.065604957,-0.087098971,0.040299063,0.062448127,-0.065604957,-0.087098971,-0.0011720103,-0.00051695974,-0.024133883,-0.024133883,-0.15473142,-0.010782943,-0.2371334,-0.093184929,-9.3468178e-05,-4.6452891e-05,-0.0021686189,-0.0021686189,-0.00084811416,-0.0019967416,-0.0014139729,-0.00021833018,-0.01042536,-0.005115796,-0.03063974,-0.03063974,14.144023,17.761736,-2.129734,-2.129734,22.25297,22.822969,-1.183529,-1.183529,0.27530181,0.41925029,-0.30060771,-0.44390113,-0.030946283,-0.0021565885,-0.013924902,-0.013924902,0.96620378,0.96620378,-0.74355644,-0.66940167,0.016140023,0.016140023,-2.4958301e-18,5.2856561e-16,0,1.276473e-15,0,1.1864318e-14,0,-1.9999306e-16,0,-4.1031736e-15,7.2292584e-05,1.3922364e-05,0.00032966755,0.00032966755
