e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,chi_H_pie,chi_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,p_H_W_slash_p_H_pie,p_H_W_slash_p_H_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
-5.4728085e-16,-5.4728085e-16,-1.1677099e-16,-1.1677099e-16,-6.6405183e-16,-6.6405183e-16,-2.5867429e-15,-2.5867429e-15,-2.0394621e-15,-2.0394621e-15,-0.07273336,-0.07273336,-6.5245586e-06,-6.5245586e-06,-0.072732611,-0.072732611,-6.5245586e-06,-6.5245586e-06,0,0,0,0,4.3497058e-05,4.3497058e-05,-8.6481193e-16,-8.6481193e-16,3.2381184e-15,3.2381184e-15,3.2219099e-15,3.2219099e-15,-1.2642397e-15,-1.2642397e-15,-3.6972499e-05,-3.6972499e-05,-6.5245586e-06,-6.5245586e-06,-3.6972499e-05,-3.6972499e-05,-6.5245586e-06,-6.5245586e-06,2.1716626e-16,2.1716626e-16,2.9321772e-15,2.9321772e-15,-4.3497058e-05,-4.3497058e-05,3.1509378e-15,3.1509378e-15,0.099956503,0.099956503,3.3052573e-15,3.3052573e-15,3.6972499e-05,3.6972499e-05,6.5245586e-06,6.5245586e-06,3.6972499e-05,3.6972499e-05,6.5245586e-06,6.5245586e-06,4.3497058e-05,4.3497058e-05,-8.7356255e-16,-8.7356255e-16,-2.0383001e-17,-2.0383001e-17,2.5051846e-17,2.5051846e-17,-6.5245586e-06,-6.5245586e-06,4.3497058e-05,4.3497058e-05,-8.5839242e-16,-8.5839242e-16,3.6972499e-05,3.6972499e-05,6.5245586e-06,6.5245586e-06,0.0043497058,0.0043497058,-3.512181e-15,-3.512181e-15,2.8128449,2.8128449,-2.3815552e-13,-2.3815552e-13,0.3010073,0.3010073,-1.2906526e-13,-1.2906526e-13,-1.4208434e-15,-1.4208434e-15,4.3497058e-05,4.3497058e-05,3.2510172e-17,3.2510172e-17,4.5723396e-16,4.5723396e-16,1.788051e-16,1.788051e-16,-1.788051e-16,-1.788051e-16,-3.6883013e-19,-3.6883013e-19,-1.6986035e-18,-1.6986035e-18,-0.1,-0.1,1.7737409e-17,1.7737409e-17,0,0,0,0,1.0301907e-06,1.0301907e-06,1.2157819e-29,1.2157819e-29
4.4711055e-15,4.4711055e-15,-3.3059071e-15,-3.3059071e-15,1.1651984e-15,1.1651984e-15,-1.3141471e-15,-1.3141471e-15,-5.7852526e-15,-5.7852526e-15,-0.069102716,-0.069102716,-1.2702647e-05,-1.2702647e-05,-0.069101302,-0.069101302,-1.2702647e-05,-1.2702647e-05,-3.4997548e-15,-3.4997548e-15,5.7228438e-17,5.7228438e-17,8.4684311e-05,8.4684311e-05,-3.0571807e-15,-3.0571807e-15,5.4408426e-14,5.4408426e-14,2.6812121e-14,2.6812121e-14,-5.6384962e-15,-5.6384962e-15,-7.1981664e-05,-7.1981664e-05,-1.2702647e-05,-1.2702647e-05,-7.1981664e-05,-7.1981664e-05,-1.2702647e-05,-1.2702647e-05,3.1799312e-16,3.1799312e-16,3.4664044e-15,3.4664044e-15,-8.4684311e-05,-8.4684311e-05,3.64542e-15,3.64542e-15,0.094915316,0.094915316,-1.3310814e-14,-1.3310814e-14,7.1981664e-05,7.1981664e-05,1.2702647e-05,1.2702647e-05,7.1981664e-05,7.1981664e-05,1.2702647e-05,1.2702647e-05,8.4684311e-05,8.4684311e-05,-1.7969237e-15,-1.7969237e-15,4.3431242e-15,4.3431242e-15,4.4603806e-15,4.4603806e-15,-1.2702647e-05,-1.2702647e-05,4.1187254e-05,4.1187254e-05,-2.9958265e-15,-2.9958265e-15,3.5009166e-05,3.5009166e-05,6.178088e-06,6.178088e-06,0.0041622224,0.0041622224,-4.5911263e-15,-4.5911263e-15,2.7072308,2.7072308,-3.0661226e-13,-3.0661226e-13,0.3052224,0.3052224,-1.6350892e-13,-1.6350892e-13,2.6741794e-15,2.6741794e-15,8.4684311e-05,8.4684311e-05,8.4913868e-16,8.4913868e-16,1.1780486e-16,1.1780486e-16,9.987187e-17,9.987187e-17,-9.987187e-17,-9.987187e-17,8.426843e-19,8.426843e-19,-2.0008709e-19,-2.0008709e-19,-0.095,-0.095,1.0695073e-17,1.0695073e-17,8.4045057e-18,8.4045057e-18,1.6645481e-19,1.6645481e-19,1.9435731e-06,1.9435731e-06,1.5720547e-28,1.5720547e-28
4.2426679e-15,4.2426679e-15,-2.2498445e-15,-2.2498445e-15,1.9928234e-15,1.9928234e-15,-2.6062575e-16,-2.6062575e-16,-4.5032937e-15,-4.5032937e-15,-0.065653544,-0.065653544,-1.855165e-05,-1.855165e-05,-0.065651542,-0.065651542,-1.855165e-05,-1.855165e-05,-2.4467344e-15,-2.4467344e-15,1.0665095e-16,1.0665095e-16,0.00012367767,0.00012367767,-3.8688759e-15,-3.8688759e-15,5.2742719e-14,5.2742719e-14,2.6500868e-14,2.6500868e-14,-5.3586038e-15,-5.3586038e-15,-0.00010512602,-0.00010512602,-1.855165e-05,-1.855165e-05,-0.00010512602,-0.00010512602,-1.855165e-05,-1.855165e-05,3.1505097e-16,3.1505097e-16,3.2740186e-15,3.2740186e-15,-0.00012367767,-0.00012367767,3.4574363e-15,3.4574363e-15,0.090126322,0.090126322,-2.5484697e-14,-2.5484697e-14,0.00010512602,0.00010512602,1.855165e-05,1.855165e-05,0.00010512602,0.00010512602,1.855165e-05,1.855165e-05,0.00012367767,0.00012367767,-2.6748416e-15,-2.6748416e-15,3.2200805e-15,3.2200805e-15,3.3516484e-15,3.3516484e-15,-1.855165e-05,-1.855165e-05,3.8993358e-05,3.8993358e-05,-2.8467354e-15,-2.8467354e-15,3.3144355e-05,3.3144355e-05,5.8490038e-06,5.8490038e-06,0.0039840202,0.0039840202,-5.3284794e-15,-5.3284794e-15,2.6067887,2.6067887,-3.5217608e-13,-3.5217608e-13,0.30916697,0.30916697,-1.8574185e-13,-1.8574185e-13,1.5678304e-15,1.5678304e-15,0.00012367767,0.00012367767,6.3226659e-16,6.3226659e-16,-8.1986459e-17,-8.1986459e-17,8.9839523e-18,8.9839523e-18,-8.9839523e-18,-8.9839523e-18,1.9689874e-18,1.9689874e-18,1.1045414e-18,1.1045414e-18,-0.09025,-0.09025,4.1806429e-18,4.1806429e-18,1.5291395e-17,1.5291395e-17,3.1020533e-19,3.1020533e-19,2.7520398e-06,2.7520398e-06,2.516185e-28,2.516185e-28
5.0265138e-15,5.0265138e-15,-2.246454e-15,-2.246454e-15,2.7800598e-15,2.7800598e-15,7.4010526e-16,7.4010526e-16,-4.2864086e-15,-4.2864086e-15,-0.062376775,-0.062376775,-2.4088087e-05,-2.4088087e-05,-0.062374254,-0.062374254,-2.4088087e-05,-2.4088087e-05,-2.3859273e-15,-2.3859273e-15,1.4914986e-16,1.4914986e-16,0.00016058724,0.00016058724,-4.6406549e-15,-4.6406549e-15,5.0081723e-14,5.0081723e-14,2.5126626e-14,2.5126626e-14,-5.0926038e-15,-5.0926038e-15,-0.00013649916,-0.00013649916,-2.4088087e-05,-2.4088087e-05,-0.00013649916,-0.00013649916,-2.4088087e-05,-2.4088087e-05,3.1220335e-16,3.1220335e-16,3.0919154e-15,3.0919154e-15,-0.00016058724,-0.00016058724,3.2794614e-15,3.2794614e-15,0.085576913,0.085576913,-3.3847442e-14,-3.3847442e-14,0.00013649916,0.00013649916,2.4088087e-05,2.4088087e-05,0.00013649916,0.00013649916,2.4088087e-05,2.4088087e-05,0.00016058724,0.00016058724,-3.5095225e-15,-3.5095225e-15,3.1531852e-15,3.1531852e-15,3.2982514e-15,3.2982514e-15,-2.4088087e-05,-2.4088087e-05,3.6909575e-05,3.6909575e-05,-2.7050328e-15,-2.7050328e-15,3.1373139e-05,3.1373139e-05,5.5364363e-06,5.5364363e-06,0.0038146352,0.0038146352,-6.0294345e-15,-6.0294345e-15,2.5112603,2.5112603,-3.9549427e-13,-3.9549427e-13,0.31285472,0.31285472,-2.0688116e-13,-2.0688116e-13,1.5169909e-15,1.5169909e-15,0.00016058724,0.00016058724,6.2525502e-16,6.2525502e-16,-2.71813e-16,-2.71813e-16,-9.3173585e-17,-9.3173585e-17,9.3173585e-17,9.3173585e-17,3.0148976e-18,3.0148976e-18,2.2368032e-18,2.2368032e-18,-0.0857375,-0.0857375,-1.8406575e-18,-1.8406575e-18,2.0847085e-17,2.0847085e-17,4.3381791e-19,4.3381791e-19,3.4663009e-06,3.4663009e-06,3.0944771e-28,3.0944771e-28
5.6988105e-15,5.6988105e-15,-2.1699958e-15,-2.1699958e-15,3.5288147e-15,3.5288147e-15,1.690694e-15,1.690694e-15,-4.0081165e-15,-4.0081165e-15,-0.059263792,-0.059263792,-2.9327646e-05,-2.9327646e-05,-0.059260814,-0.059260814,-2.9327646e-05,-2.9327646e-05,-2.2633744e-15,-2.2633744e-15,1.855142e-16,1.855142e-16,0.00019551764,0.00019551764,-5.3744544e-15,-5.3744544e-15,4.7628408e-14,4.7628408e-14,2.389587e-14,2.389587e-14,-4.8398119e-15,-4.8398119e-15,-0.00016619,-0.00016619,-2.9327646e-05,-2.9327646e-05,-0.00016619,-0.00016619,-2.9327646e-05,-2.9327646e-05,3.0944835e-16,3.0944835e-16,2.9195231e-15,2.9195231e-15,-0.00019551764,-0.00019551764,3.1109398e-15,3.1109398e-15,0.081255107,0.081255107,-3.939013e-14,-3.939013e-14,0.00016619,0.00016619,2.9327646e-05,2.9327646e-05,0.00016619,0.00016619,2.9327646e-05,2.9327646e-05,0.00019551764,0.00019551764,-4.3030687e-15,-4.3030687e-15,3.0165215e-15,3.0165215e-15,3.1741916e-15,3.1741916e-15,-2.9327646e-05,-2.9327646e-05,3.4930398e-05,3.4930398e-05,-2.5703561e-15,-2.5703561e-15,2.9690838e-05,2.9690838e-05,5.2395597e-06,5.2395597e-06,0.003653627,0.003653627,-6.6957728e-15,-6.6957728e-15,2.4204004,2.4204004,-4.3667638e-13,-4.3667638e-13,0.31629869,0.31629869,-2.2697999e-13,-2.2697999e-13,1.3957598e-15,1.3957598e-15,0.00019551764,0.00019551764,6.0309648e-16,6.0309648e-16,-4.5217082e-16,-4.5217082e-16,-2.0596247e-16,-2.0596247e-16,2.0596247e-16,2.0596247e-16,3.9849797e-18,3.9849797e-18,3.2159608e-18,3.2159608e-18,-0.081450625,-0.081450625,-7.4014465e-18,-7.4014465e-18,2.5237616e-17,2.5237616e-17,5.395875e-19,5.395875e-19,4.0960001e-06,4.0960001e-06,3.4109684e-28,3.4109684e-28
6.3395904e-15,6.3395904e-15,-2.0985828e-15,-2.0985828e-15,4.2410076e-15,4.2410076e-15,2.5936558e-15,2.5936558e-15,-3.7459346e-15,-3.7459346e-15,-0.056306411,-0.056306411,-3.4285235e-05,-3.4285235e-05,-0.056303029,-0.056303029,-3.4285235e-05,-3.4285235e-05,-2.1514583e-15,-2.1514583e-15,2.1644925e-16,2.1644925e-16,0.00022856824,0.00022856824,-6.0721202e-15,-6.0721202e-15,4.52928e-14,4.52928e-14,2.272174e-14,2.272174e-14,-4.5995771e-15,-4.5995771e-15,-0.000194283,-0.000194283,-3.4285235e-05,-3.4285235e-05,-0.000194283,-0.000194283,-3.4285235e-05,-3.4285235e-05,3.0678359e-16,3.0678359e-16,2.7563038e-15,2.7563038e-15,-0.00022856824,-0.00022856824,2.9513491e-15,2.9513491e-15,0.077149526,0.077149526,-4.2854162e-14,-4.2854162e-14,0.000194283,0.000194283,3.4285235e-05,3.4285235e-05,0.000194283,0.000194283,3.4285235e-05,3.4285235e-05,0.00022856824,0.00022856824,-5.057484e-15,-5.057484e-15,2.8881791e-15,2.8881791e-15,3.0576128e-15,3.0576128e-15,-3.4285235e-05,-3.4285235e-05,3.3050594e-05,3.3050594e-05,-2.4423602e-15,-2.4423602e-15,2.8093005e-05,2.8093005e-05,4.9575891e-06,4.9575891e-06,0.003500577,0.003500577,-7.3291905e-15,-7.3291905e-15,2.3339758,2.3339758,-4.7582677e-13,-4.7582677e-13,0.31951124,0.31951124,-2.4608901e-13,-2.4608901e-13,1.2821661e-15,1.2821661e-15,0.00022856824,0.00022856824,5.81523e-16,5.81523e-16,-6.2353153e-16,-6.2353153e-16,-3.2878743e-16,-3.2878743e-16,3.2878743e-16,3.2878743e-16,4.8835578e-18,4.8835578e-18,4.0592496e-18,4.0592496e-18,-0.077378094,-0.077378094,-1.2532315e-17,-1.2532315e-17,2.8610775e-17,2.8610775e-17,6.2956548e-19,6.2956548e-19,4.6498202e-06,4.6498202e-06,3.5424716e-28,3.5424716e-28
6.9455189e-15,6.9455189e-15,-2.0271142e-15,-2.0271142e-15,4.9184047e-15,4.9184047e-15,3.4513797e-15,3.4513797e-15,-3.4941392e-15,-3.4941392e-15,-0.053496852,-0.053496852,-3.8975014e-05,-3.8975014e-05,-0.053493117,-0.053493117,-3.8975014e-05,-3.8975014e-05,-2.0447662e-15,-2.0447662e-15,2.425852e-16,2.425852e-16,0.00025983343,0.00025983343,-6.7354113e-15,-6.7354113e-15,4.3074617e-14,4.3074617e-14,2.1606993e-14,2.1606993e-14,-4.3712797e-15,-4.3712797e-15,-0.00022085842,-0.00022085842,-3.8975014e-05,-3.8975014e-05,-0.00022085842,-0.00022085842,-3.8975014e-05,-3.8975014e-05,3.0420637e-16,3.0420637e-16,2.6017521e-15,2.6017521e-15,-0.00025983343,-0.00025983343,2.8001976e-15,2.8001976e-15,0.073249356,0.073249356,-4.4793776e-14,-4.4793776e-14,0.00022085842,0.00022085842,3.8975014e-05,3.8975014e-05,0.00022085842,0.00022085842,3.8975014e-05,3.8975014e-05,0.00025983343,0.00025983343,-5.7746773e-15,-5.7746773e-15,2.7627098e-15,2.7627098e-15,2.9432294e-15,2.9432294e-15,-3.8975014e-05,-3.8975014e-05,3.1265193e-05,3.1265193e-05,-2.3207166e-15,-2.3207166e-15,2.6575414e-05,2.6575414e-05,4.689779e-06,4.689779e-06,0.0033550876,0.0033550876,-7.9313027e-15,-7.9313027e-15,2.2517651,2.2517651,-5.1304486e-13,-5.1304486e-13,0.32250413,0.32250413,-2.6425646e-13,-2.6425646e-13,1.1708579e-15,1.1708579e-15,0.00025983343,0.00025983343,5.5960819e-16,5.5960819e-16,-7.8634349e-16,-7.8634349e-16,-4.6109272e-16,-4.6109272e-16,4.6109272e-16,4.6109272e-16,5.7147273e-18,5.7147273e-18,4.7820851e-18,4.7820851e-18,-0.073509189,-0.073509189,-1.7261947e-17,-1.7261947e-17,3.1098006e-17,3.1098006e-17,7.055848e-19,7.055848e-19,5.1355775e-06,5.1355775e-06,3.5454984e-28,3.5454984e-28
7.518962e-15,7.518962e-15,-1.9563249e-15,-1.9563249e-15,5.562637e-15,5.562637e-15,4.266135e-15,4.266135e-15,-3.2528269e-15,-3.2528269e-15,-0.050827728,-0.050827728,-4.3410436e-05,-4.3410436e-05,-0.050823685,-0.050823685,-4.3410436e-05,-4.3410436e-05,-1.9433963e-15,-1.9433963e-15,2.6448485e-16,2.6448485e-16,0.00028940291,0.00028940291,-7.3660039e-15,-7.3660039e-15,4.0967394e-14,4.0967394e-14,2.0548284e-14,2.0548284e-14,-4.1543305e-15,-4.1543305e-15,-0.00024599247,-0.00024599247,-4.3410436e-05,-4.3410436e-05,-0.00024599247,-0.00024599247,-4.3410436e-05,-4.3410436e-05,3.0171369e-16,3.0171369e-16,2.4553919e-15,2.4553919e-15,-0.00028940291,-0.00028940291,2.6570221e-15,2.6570221e-15,0.069544327,0.069544327,-4.5622929e-14,-4.5622929e-14,0.00024599247,0.00024599247,4.3410436e-05,4.3410436e-05,0.00024599247,0.00024599247,4.3410436e-05,4.3410436e-05,0.00028940291,0.00028940291,-6.4564671e-15,-6.4564671e-15,2.6406286e-15,2.6406286e-15,2.8316108e-15,2.8316108e-15,-4.3410436e-05,-4.3410436e-05,2.9569475e-05,2.9569475e-05,-2.2051127e-15,-2.2051127e-15,2.5134054e-05,2.5134054e-05,4.4354213e-06,4.4354213e-06,0.003216781,0.003216781,-8.503647e-15,-8.503647e-15,2.173558,2.173558,-5.4842529e-13,-5.4842529e-13,0.32528853,0.32528853,-2.8152833e-13,-2.8152833e-13,1.0624914e-15,1.0624914e-15,0.00028940291,0.00028940291,5.3758695e-16,5.3758695e-16,-9.4103288e-16,-9.4103288e-16,-6.0235899e-16,-6.0235899e-16,6.0235899e-16,6.0235899e-16,6.4823671e-18,6.4823671e-18,5.3982503e-18,5.3982503e-18,-0.06983373,-0.06983373,-2.1617236e-17,-2.1617236e-17,3.2816119e-17,3.2816119e-17,7.6928243e-19,7.6928243e-19,5.5603074e-06,5.5603074e-06,3.4614399e-28,3.4614399e-28
8.0617635e-15,8.0617635e-15,-1.8863833e-15,-1.8863833e-15,6.1753802e-15,6.1753802e-15,5.0400772e-15,5.0400772e-15,-3.0216863e-15,-3.0216863e-15,-0.048292021,-0.048292021,-4.7604279e-05,-4.7604279e-05,-0.048287708,-0.048287708,-4.7604279e-05,-4.7604279e-05,-1.8471629e-15,-1.8471629e-15,2.8265059e-16,2.8265059e-16,0.00031736186,0.00031736186,-7.9654947e-15,-7.9654947e-15,3.8965763e-14,3.8965763e-14,1.9542619e-14,1.9542619e-14,-3.9481686e-15,-3.9481686e-15,-0.00026975758,-0.00026975758,-4.7604279e-05,-4.7604279e-05,-0.00026975758,-0.00026975758,-4.7604279e-05,-4.7604279e-05,2.9930232e-16,2.9930232e-16,2.3167754e-15,2.3167754e-15,-0.00031736186,-0.00031736186,2.5213864e-15,2.5213864e-15,0.066024681,0.066024681,-4.565045e-14,-4.565045e-14,0.00026975758,0.00026975758,4.7604279e-05,4.7604279e-05,0.00026975758,0.00026975758,4.7604279e-05,4.7604279e-05,0.00031736186,0.00031736186,-7.1045854e-15,-7.1045854e-15,2.5221253e-15,2.5221253e-15,2.7228111e-15,2.7228111e-15,-4.7604279e-05,-4.7604279e-05,2.7958954e-05,2.7958954e-05,-2.0952509e-15,-2.0952509e-15,2.3765111e-05,2.3765111e-05,4.1938431e-06,4.1938431e-06,0.0030852983,0.0030852983,-9.0476869e-15,-9.0476869e-15,2.0991545,2.0991545,-5.8205821e-13,-5.8205821e-13,0.32787504,0.32787504,-2.9794841e-13,-2.9794841e-13,9.5720569e-16,9.5720569e-16,0.00031736186,0.00031736186,5.1559063e-16,5.1559063e-16,-1.0880048e-15,-1.0880048e-15,-7.5210039e-16,-7.5210039e-16,7.5210039e-16,7.5210039e-16,7.1901506e-18,7.1901506e-18,5.9200632e-18,5.9200632e-18,-0.066342043,-0.066342043,-2.5623387e-17,-2.5623387e-17,3.386883e-17,3.386883e-17,8.2211962e-19,8.2211962e-19,5.9303417e-06,5.9303417e-06,3.3204425e-28,3.3204425e-28
8.5760069e-15,8.5760069e-15,-1.8179199e-15,-1.8179199e-15,6.758087e-15,6.758087e-15,5.7752534e-15,5.7752534e-15,-2.8007536e-15,-2.8007536e-15,-0.04588306,-0.04588306,-5.1568684e-05,-5.1568684e-05,-0.045878513,-0.045878513,-5.1568684e-05,-5.1568684e-05,-1.7558525e-15,-1.7558525e-15,2.9753063e-16,2.9753063e-16,0.00034379123,0.00034379123,-8.5354046e-15,-8.5354046e-15,3.7064112e-14,3.7064112e-14,1.8587186e-14,1.8587186e-14,-3.7522606e-15,-3.7522606e-15,-0.00029222254,-0.00029222254,-5.1568684e-05,-5.1568684e-05,-0.00029222254,-0.00029222254,-5.1568684e-05,-5.1568684e-05,2.969689e-16,2.969689e-16,2.1854806e-15,2.1854806e-15,-0.00034379123,-0.00034379123,2.3928797e-15,2.3928797e-15,0.06268115,0.06268115,-4.5106406e-14,-4.5106406e-14,0.00029222254,0.00029222254,5.1568684e-05,5.1568684e-05,0.00029222254,0.00029222254,5.1568684e-05,5.1568684e-05,0.00034379123,0.00034379123,-7.7206818e-15,-7.7206818e-15,2.4076878e-15,2.4076878e-15,2.6173725e-15,2.6173725e-15,-5.1568684e-05,-5.1568684e-05,2.6429369e-05,2.6429369e-05,-1.9908481e-15,-1.9908481e-15,2.2464963e-05,2.2464963e-05,3.9644053e-06,3.9644053e-06,0.0029602987,0.0029602987,-9.5648155e-15,-9.5648155e-15,2.0283649,2.0283649,-6.1402942e-13,-6.1402942e-13,0.33027374,0.33027374,-3.1355841e-13,-3.1355841e-13,8.5529942e-16,8.5529942e-16,0.00034379123,0.00034379123,4.9377414e-16,4.9377414e-16,-1.2276444e-15,-1.2276444e-15,-9.0986198e-16,-9.0986198e-16,9.0986198e-16,9.0986198e-16,7.8415558e-18,7.8415558e-18,6.3585276e-18,6.3585276e-18,-0.063024941,-0.063024941,-2.9304025e-17,-2.9304025e-17,3.4348142e-17,3.4348142e-17,8.6540003e-19,8.6540003e-19,6.2513778e-06,6.2513778e-06,3.1443054e-28,3.1443054e-28
