e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,chi_H_pie,chi_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,p_H_W_slash_p_H_pie,p_H_W_slash_p_H_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
4.6478256e-05,4.6478256e-05,-4.6478256e-05,-4.6478256e-05,-1.1484737e-14,-1.1484737e-14,2.0535392e-15,2.0535392e-15,-4.6478256e-05,-4.6478256e-05,-0.072728047,-0.072728047,7.6299877e-08,7.6299877e-08,-0.07272721,-0.07272721,7.6299877e-08,7.6299877e-08,0,0,0,0,4.596959e-05,4.596959e-05,-1.591186e-16,-1.591186e-16,4.3236599e-05,4.3236599e-05,4.3236599e-05,4.3236599e-05,-2.4877903e-16,-2.4877903e-16,4.3236599e-07,4.3236599e-07,7.6299877e-08,7.6299877e-08,4.3236599e-07,4.3236599e-07,7.6299878e-08,7.6299878e-08,1.7461753e-15,1.7461753e-15,-1.6087892e-15,-1.6087892e-15,5.0866587e-07,5.0866587e-07,1.3754183e-16,1.3754183e-16,0.10000051,0.10000051,4.9977877e-16,4.9977877e-16,4.604589e-05,4.604589e-05,-7.6299879e-08,-7.6299879e-08,4.604589e-05,4.604589e-05,-7.6299879e-08,-7.6299879e-08,4.596959e-05,4.596959e-05,-1.4703617e-16,-1.4703617e-16,4.6478256e-05,4.6478256e-05,4.6478256e-05,4.6478256e-05,7.6299879e-08,7.6299879e-08,4.596959e-05,4.596959e-05,-1.0876019e-16,-1.0876019e-16,4.604589e-05,4.604589e-05,-7.6299879e-08,-7.6299879e-08,0.004596959,0.004596959,-5.9946469e-16,-5.9946469e-16,3.0318565,3.0318565,-2.8164538e-14,-2.8164538e-14,0.38314873,0.38314873,-8.2977508e-15,-8.2977508e-15,4.6478256e-05,4.6478256e-05,-5.0866586e-07,-5.0866586e-07,9.2956512e-06,9.2956512e-06,-4.5365433e-18,-4.5365433e-18,-2.0275225e-15,-2.0275225e-15,2.0274282e-15,2.0274282e-15,-8.3203632e-19,-8.3203632e-19,-2.9732396e-19,-2.9732396e-19,-0.1,-0.1,4.9855512e-18,4.9855512e-18,0,0,0,0,1.1506392e-06,1.1506392e-06,1.9517484e-31,1.9517484e-31
8.9498672e-05,8.9498672e-05,-8.9498672e-05,-8.9498672e-05,-1.227081e-14,-1.227081e-14,2.3079705e-15,2.3079705e-15,-8.9498672e-05,-8.9498672e-05,-0.06909251,-0.06909251,-2.1302466e-08,-2.1302466e-08,-0.069090927,-0.069090927,-2.1302466e-08,-2.1302466e-08,5.0866587e-07,5.0866587e-07,-1.5956054e-22,-1.5956054e-22,8.9640688e-05,8.9640688e-05,-1.5376643e-15,-1.5376643e-15,4.1847186e-05,4.1847186e-05,4.1847186e-05,4.1847186e-05,5.2523519e-16,5.2523519e-16,-1.2071396e-07,-1.2071396e-07,-2.1302466e-08,-2.1302466e-08,-1.2071396e-07,-1.2071396e-07,-2.1302465e-08,-2.1302465e-08,1.327149e-15,1.327149e-15,-9.2972441e-16,-9.2972441e-16,-1.4201642e-07,-1.4201642e-07,2.397111e-16,2.397111e-16,0.094999858,0.094999858,3.5582514e-15,3.5582514e-15,8.9619386e-05,8.9619386e-05,2.1302463e-08,2.1302463e-08,8.9619386e-05,8.9619386e-05,2.1302465e-08,2.1302465e-08,8.9640688e-05,8.9640688e-05,4.8247591e-17,4.8247591e-17,8.9498672e-05,8.9498672e-05,8.9498672e-05,8.9498672e-05,-2.1302465e-08,-2.1302465e-08,4.3671098e-05,4.3671098e-05,1.5143886e-16,1.5143886e-16,4.3573496e-05,4.3573496e-05,9.7602344e-08,9.7602344e-08,0.0044130794,0.0044130794,-6.492313e-16,-6.492313e-16,2.9294611,2.9294611,-3.4673749e-14,-3.4673749e-14,0.3885904,0.3885904,-1.1428802e-14,-1.1428802e-14,8.9498672e-05,8.9498672e-05,1.4201643e-07,1.4201643e-07,1.7899734e-05,1.7899734e-05,-2.8898672e-16,-2.8898672e-16,6.3482386e-17,6.3482386e-17,-6.3476705e-17,-6.3476705e-17,-2.4183155e-18,-2.4183155e-18,-7.8686538e-17,-7.8686538e-17,-0.095,-0.095,6.5045572e-17,6.5045572e-17,1.7607393e-17,1.7607393e-17,-2.9305246e-17,-2.9305246e-17,2.177584e-06,2.177584e-06,5.2478766e-31,5.2478766e-31
0.00013113662,0.00013113662,-0.00013113662,-0.00013113662,-1.2279376e-14,-1.2279376e-14,1.5398957e-15,1.5398957e-15,-0.00013113662,-0.00013113662,-0.065638612,-0.065638612,1.2581487e-09,1.2581487e-09,-0.065636363,-0.065636363,1.2581487e-09,1.2581487e-09,3.6664945e-07,3.6664945e-07,-4.5703413e-22,-4.5703413e-22,0.00013112823,0.00013112823,-1.2499521e-15,-1.2499521e-15,3.9577793e-05,3.9577793e-05,3.9577793e-05,3.9577793e-05,5.6935696e-16,5.6935696e-16,7.1295239e-09,7.1295239e-09,1.2581491e-09,1.2581491e-09,7.1295224e-09,7.1295224e-09,1.2581494e-09,1.2581494e-09,1.317841e-15,1.317841e-15,-5.1210064e-16,-5.1210064e-16,8.3876718e-09,8.3876718e-09,6.5388882e-16,6.5388882e-16,0.090250008,0.090250008,6.0489007e-15,6.0489007e-15,0.00013112949,0.00013112949,-1.2581508e-09,-1.2581508e-09,0.00013112949,0.00013112949,-1.2581489e-09,-1.2581489e-09,0.00013112823,0.00013112823,2.7735015e-16,2.7735015e-16,0.00013113662,0.00013113662,0.00013113662,0.00013113662,1.2581496e-09,1.2581496e-09,4.1487546e-05,4.1487546e-05,1.8698778e-16,1.8698778e-16,4.1510107e-05,4.1510107e-05,-2.2560614e-08,-2.2560614e-08,0.0042383953,0.0042383953,-2.6542563e-16,-2.6542563e-16,2.8321865,2.8321865,-1.2434821e-14,-1.2434821e-14,0.39375999,0.39375999,-1.575107e-15,-1.575107e-15,0.00013113662,0.00013113662,-8.3876658e-09,-8.3876658e-09,2.6227324e-05,2.6227324e-05,-1.7458157e-16,-1.7458157e-16,2.0575903e-15,2.0575903e-15,-2.0573205e-15,-2.0573205e-15,-3.9386694e-18,-3.9386694e-18,-1.4692422e-16,-1.4692422e-16,-0.09025,-0.09025,1.2040368e-16,1.2040368e-16,3.243429e-17,3.243429e-17,-5.5285123e-17,-5.5285123e-17,3.0930105e-06,3.0930105e-06,9.7050384e-31,9.7050384e-31
0.00017051653,0.00017051653,-0.00017051653,-0.00017051653,-1.2347057e-14,-1.2347057e-14,8.0507054e-16,8.0507054e-16,-0.00017051653,-0.00017051653,-0.062357391,-0.062357391,-3.7313947e-09,-3.7313947e-09,-0.062354549,-0.062354549,-3.7313947e-09,-3.7313947e-09,3.7503712e-07,3.7503712e-07,-8.7093602e-22,-8.7093602e-22,0.0001705414,0.0001705414,-9.3676197e-16,-9.3676197e-16,3.7639479e-05,3.7639479e-05,3.7639479e-05,3.7639479e-05,6.0569314e-16,6.0569314e-16,-2.1144557e-08,-2.1144557e-08,-3.7313941e-09,-3.7313941e-09,-2.1144558e-08,-2.1144558e-08,-3.7313941e-09,-3.7313941e-09,1.3119518e-15,1.3119518e-15,-1.4486107e-16,-1.4486107e-16,-2.4875952e-08,-2.4875952e-08,1.0208081e-15,1.0208081e-15,0.085737475,0.085737475,7.839955e-15,7.839955e-15,0.00017053767,0.00017053767,3.7313931e-09,3.7313931e-09,0.00017053767,0.00017053767,3.7313949e-09,3.7313949e-09,0.0001705414,0.0001705414,5.348609e-16,5.348609e-16,0.00017051653,0.00017051653,0.00017051653,0.00017051653,-3.7313941e-09,-3.7313941e-09,3.9413168e-05,3.9413168e-05,2.1703957e-16,2.1703957e-16,3.9408178e-05,3.9408178e-05,4.9895439e-09,4.9895439e-09,0.004072445,0.004072445,1.2789423e-16,1.2789423e-16,2.7397753,2.7397753,1.0655081e-14,1.0655081e-14,0.39867109,0.39867109,8.8591525e-15,8.8591525e-15,0.00017051653,0.00017051653,2.4875959e-08,2.4875959e-08,3.4103305e-05,3.4103305e-05,-6.1559757e-17,-6.1559757e-17,3.9515242e-15,3.9515242e-15,-3.9508505e-15,-3.9508505e-15,-5.3960864e-18,-5.3960864e-18,-2.0614116e-16,-2.0614116e-16,-0.0857375,-0.0857375,1.7137992e-16,1.7137992e-16,4.4809728e-17,4.4809728e-17,-7.8291909e-17,-7.8291909e-17,3.9079055e-06,3.9079055e-06,1.5051298e-30,1.5051298e-30
0.00020796781,0.00020796781,-0.00020796781,-0.00020796781,-1.2465371e-14,-1.2465371e-14,1.0174714e-16,1.0174714e-16,-0.00020796781,-0.00020796781,-0.059240189,-0.059240189,-2.4156698e-09,-2.4156698e-09,-0.05923682,-0.05923682,-2.4156698e-09,-2.4156698e-09,3.5016117e-07,3.5016117e-07,-1.3823146e-21,-1.3823146e-21,0.00020798391,0.00020798391,-6.0271012e-16,-6.0271012e-16,3.5748205e-05,3.5748205e-05,3.5748205e-05,3.5748205e-05,6.3519942e-16,6.3519942e-16,-1.3688783e-08,-1.3688783e-08,-2.415669e-09,-2.415669e-09,-1.3688785e-08,-1.3688785e-08,-2.4156694e-09,-2.4156694e-09,1.3089771e-15,1.3089771e-15,1.7742703e-16,1.7742703e-16,-1.6104454e-08,-1.6104454e-08,1.3454119e-15,1.3454119e-15,0.081450609,0.081450609,9.1064253e-15,9.1064253e-15,0.0002079815,0.0002079815,2.4156688e-09,2.4156688e-09,0.0002079815,0.0002079815,2.4156705e-09,2.4156705e-09,0.00020798391,0.00020798391,8.1601737e-16,8.1601737e-16,0.00020796781,0.00020796781,0.00020796781,0.00020796781,-2.4156694e-09,-2.4156694e-09,3.744251e-05,3.744251e-05,2.4224672e-16,2.4224672e-16,3.7443826e-05,3.7443826e-05,-1.3157245e-09,-1.3157245e-09,0.0039147924,0.0039147924,5.2804312e-16,5.2804312e-16,2.6519848,2.6519848,3.4398614e-14,3.4398614e-14,0.40333664,0.40333664,1.9758264e-14,1.9758264e-14,0.00020796781,0.00020796781,1.6104461e-08,1.6104461e-08,4.1593562e-05,4.1593562e-05,4.9827991e-17,4.9827991e-17,5.7429783e-15,5.7429783e-15,-5.7417842e-15,-5.7417842e-15,-6.7934123e-18,-6.7934123e-18,-2.5734927e-16,-2.5734927e-16,-0.081450625,-0.081450625,2.1827408e-16,2.1827408e-16,5.5027292e-17,5.5027292e-17,-9.8641668e-17,-9.8641668e-17,4.6321836e-06,4.6321836e-06,2.0971246e-30,2.0971246e-30
0.00024353727,0.00024353727,-0.00024353727,-0.00024353727,-1.2626781e-14,-1.2626781e-14,-5.7173487e-16,-5.7173487e-16,-0.00024353727,-0.00024353727,-0.056278816,-0.056278816,-2.5536817e-09,-2.5536817e-09,-0.056274979,-0.056274979,-2.5536817e-09,-2.5536817e-09,3.3405671e-07,3.3405671e-07,-1.9744788e-21,-1.9744788e-21,0.0002435543,0.0002435543,-2.5184212e-16,-2.5184212e-16,3.3962926e-05,3.3962926e-05,3.3962926e-05,3.3962926e-05,6.5872659e-16,6.5872659e-16,-1.4470852e-08,-1.4470852e-08,-2.5536807e-09,-2.5536807e-09,-1.4470853e-08,-1.4470853e-08,-2.5536814e-09,-2.5536814e-09,1.3084714e-15,1.3084714e-15,4.5963588e-16,4.5963588e-16,-1.7024535e-08,-1.7024535e-08,1.6321409e-15,1.6321409e-15,0.077378077,0.077378077,9.9799378e-15,9.9799378e-15,0.00024355174,0.00024355174,2.5536812e-09,2.5536812e-09,0.00024355174,0.00024355174,2.5536829e-09,2.5536829e-09,0.0002435543,0.0002435543,1.1166347e-15,1.1166347e-15,0.00024353727,0.00024353727,0.00024353727,0.00024353727,-2.5536814e-09,-2.5536814e-09,3.5570384e-05,3.5570384e-05,2.6319098e-16,2.6319098e-16,3.5570246e-05,3.5570246e-05,1.3801237e-10,1.3801237e-10,0.0037650223,0.0037650223,9.3269574e-16,9.3269574e-16,2.5685838,2.5685838,5.8624077e-14,5.8624077e-14,0.40776892,0.40776892,3.1021119e-14,3.1021119e-14,0.00024353727,0.00024353727,1.7024542e-08,1.7024542e-08,4.8707454e-05,4.8707454e-05,1.593772e-16,1.593772e-16,7.430488e-15,7.430488e-15,-7.4286788e-15,-7.4286788e-15,-8.133358e-18,-8.133358e-18,-3.014538e-16,-3.014538e-16,-0.077378094,-0.077378094,2.6136693e-16,2.6136693e-16,6.3348786e-17,6.3348786e-17,-1.1661792e-16,-1.1661792e-16,5.2747917e-06,5.2747917e-06,2.7157901e-30,2.7157901e-30
0.00027733038,0.00027733038,-0.00027733038,-0.00027733038,-1.2824594e-14,-1.2824594e-14,-1.2169523e-15,-1.2169523e-15,-0.00027733038,-0.00027733038,-0.05346548,-0.05346548,-2.3666832e-09,-2.3666832e-09,-0.05346123,-0.05346123,-2.3666832e-09,-2.3666832e-09,3.1703218e-07,3.1703218e-07,-2.632754e-21,-2.632754e-21,0.00027734616,0.00027734616,1.1230401e-16,1.1230401e-16,3.2264291e-05,3.2264291e-05,3.2264292e-05,3.2264292e-05,6.7703161e-16,6.7703161e-16,-1.3411194e-08,-1.3411194e-08,-2.3666821e-09,-2.3666821e-09,-1.3411196e-08,-1.3411196e-08,-2.366683e-09,-2.366683e-09,1.3100417e-15,1.3100417e-15,7.0613408e-16,7.0613408e-16,-1.5777879e-08,-1.5777879e-08,1.8849841e-15,1.8849841e-15,0.073509173,0.073509173,1.0559524e-14,1.0559524e-14,0.00027734379,0.00027734379,2.3666832e-09,2.3666832e-09,0.00027734379,0.00027734379,2.3666848e-09,2.3666848e-09,0.00027734616,0.00027734616,1.4330428e-15,1.4330428e-15,0.00027733038,0.00027733038,0.00027733038,0.00027733038,-2.3666831e-09,-2.3666831e-09,3.3791865e-05,3.3791865e-05,2.8039083e-16,2.8039083e-16,3.3792052e-05,3.3792052e-05,-1.8699806e-10,-1.8699806e-10,0.0036227408,0.0036227408,1.3398456e-15,1.3398456e-15,2.4893528,2.4893528,8.3182528e-14,8.3182528e-14,0.41197958,0.41197958,4.2559589e-14,4.2559589e-14,0.00027733038,0.00027733038,1.5777887e-08,1.5777887e-08,5.5466077e-05,5.5466077e-05,2.6692379e-16,2.6692379e-16,9.0133158e-15,9.0133158e-15,-9.0108169e-15,-9.0108169e-15,-9.418505e-18,-9.418505e-18,-3.3926424e-16,-3.3926424e-16,-0.073509189,-0.073509189,3.0092136e-16,3.0092136e-16,7.0007532e-17,7.0007532e-17,-1.3247495e-16,-1.3247495e-16,5.8438029e-06,5.8438029e-06,3.3340563e-30,3.3340563e-30
0.00030943335,0.00030943335,-0.00030943335,-0.00030943335,-1.3053089e-14,-1.3053089e-14,-1.8354023e-15,-1.8354023e-15,-0.00030943335,-0.00030943335,-0.050792784,-0.050792784,-2.2619435e-09,-2.2619435e-09,-0.050788169,-0.050788169,-2.2619435e-09,-2.2619435e-09,3.012543e-07,3.012543e-07,-3.3442626e-21,-3.3442626e-21,0.00030944843,0.00030944843,4.866417e-16,4.866417e-16,3.0651189e-05,3.0651189e-05,3.0651189e-05,3.0651189e-05,6.907874e-16,6.907874e-16,-1.281767e-08,-1.281767e-08,-2.2619422e-09,-2.2619422e-09,-1.2817672e-08,-1.2817672e-08,-2.2619434e-09,-2.2619434e-09,1.3133421e-15,1.3133421e-15,9.2083769e-16,9.2083769e-16,-1.5079615e-08,-1.5079615e-08,2.1075239e-15,2.1075239e-15,0.069833715,0.069833715,1.0919721e-14,1.0919721e-14,0.00030944617,0.00030944617,2.261944e-09,2.261944e-09,0.00030944617,0.00030944617,2.2619455e-09,2.2619455e-09,0.00030944843,0.00030944843,1.7620293e-15,1.7620293e-15,0.00030943335,0.00030943335,0.00030943335,0.00030943335,-2.2619435e-09,-2.2619435e-09,3.2102272e-05,3.2102272e-05,2.9430803e-16,2.9430803e-16,3.2102377e-05,3.2102377e-05,-1.0473928e-10,-1.0473928e-10,0.0034875733,0.0034875733,1.747769e-15,1.747769e-15,2.4140834,2.4140834,1.0794522e-13,1.0794522e-13,0.41597971,0.41597971,5.4297078e-14,5.4297078e-14,0.00030943335,0.00030943335,1.5079623e-08,1.5079623e-08,6.1886671e-05,6.1886671e-05,3.7233896e-16,3.7233896e-16,1.0491349e-14,1.0491349e-14,-1.0488104e-14,-1.0488104e-14,-1.0651313e-17,-1.0651313e-17,-3.7150418e-16,-3.7150418e-16,-0.06983373,-0.06983373,3.3718348e-16,3.3718348e-16,7.5211335e-17,7.5211335e-17,-1.4644074e-16,-1.4644074e-16,6.3465026e-06,6.3465026e-06,3.9297263e-30,3.9297263e-30
0.00033993129,0.00033993129,-0.00033993129,-0.00033993129,-1.3306793e-14,-1.3306793e-14,-2.4285057e-15,-2.4285057e-15,-0.00033993129,-0.00033993129,-0.048253698,-0.048253698,-2.1457306e-09,-2.1457306e-09,-0.04824876,-0.04824876,-2.1457306e-09,-2.1457306e-09,2.8617469e-07,2.8617469e-07,-4.0977283e-21,-4.0977283e-21,0.00033994559,0.00033994559,8.6848557e-16,8.6848557e-16,2.9118604e-05,2.9118604e-05,2.9118604e-05,2.9118604e-05,7.0059168e-16,7.0059168e-16,-1.215913e-08,-1.215913e-08,-2.1457291e-09,-2.1457291e-09,-1.2159132e-08,-1.2159132e-08,-2.1457304e-09,-2.1457304e-09,1.3180681e-15,1.3180681e-15,1.1072561e-15,1.1072561e-15,-1.4304862e-08,-1.4304862e-08,2.3029775e-15,2.3029775e-15,0.066342029,0.066342029,1.111665e-14,1.111665e-14,0.00033994345,0.00033994345,2.1457315e-09,2.1457315e-09,0.00033994345,0.00033994345,2.145733e-09,2.145733e-09,0.00033994559,0.00033994559,2.1007895e-15,2.1007895e-15,0.00033993129,0.00033993129,0.00033993129,0.00033993129,-2.1457306e-09,-2.1457306e-09,3.0497158e-05,3.0497158e-05,3.0535356e-16,3.0535356e-16,3.0497274e-05,3.0497274e-05,-1.1621255e-10,-1.1621255e-10,0.0033591643,0.0033591643,2.1549917e-15,2.1549917e-15,2.3425774,2.3425774,1.3280129e-13,1.3280129e-13,0.41977983,0.41977983,6.6167229e-14,6.6167229e-14,0.00033993129,0.00033993129,1.4304871e-08,1.4304871e-08,6.7986257e-05,6.7986257e-05,4.7552467e-16,4.7552467e-16,1.1865012e-14,1.1865012e-14,-1.186098e-14,-1.186098e-14,-1.1834125e-17,-1.1834125e-17,-3.9882015e-16,-3.9882015e-16,-0.066342043,-0.066342043,3.7038364e-16,3.7038364e-16,7.9145142e-17,7.9145142e-17,-1.5871971e-16,-1.5871971e-16,6.7894643e-06,6.7894643e-06,4.4857678e-30,4.4857678e-30
0.0003689043,0.0003689043,-0.0003689043,-0.0003689043,-1.3581475e-14,-1.3581475e-14,-2.9976112e-15,-2.9976112e-15,-0.0003689043,-0.0003689043,-0.045841543,-0.045841543,-2.0391581e-09,-2.0391581e-09,-0.045836322,-0.045836322,-2.0391581e-09,-2.0391581e-09,2.7186983e-07,2.7186983e-07,-4.8833e-21,-4.8833e-21,0.00036891789,0.00036891789,1.2555064e-15,1.2555064e-15,2.7662679e-05,2.7662679e-05,2.7662679e-05,2.7662679e-05,7.0697494e-16,7.0697494e-16,-1.155522e-08,-1.155522e-08,-2.0391566e-09,-2.0391566e-09,-1.1555222e-08,-1.1555222e-08,-2.0391581e-09,-2.0391581e-09,1.3239528e-15,1.3239528e-15,1.2685335e-15,1.2685335e-15,-1.359438e-08,-1.359438e-08,2.4742331e-15,2.4742331e-15,0.063024927,0.063024927,1.1192583e-14,1.1192583e-14,0.00036891585,0.00036891585,2.0391595e-09,2.0391595e-09,0.00036891585,0.00036891585,2.039161e-09,2.039161e-09,0.00036891789,0.00036891789,2.4468809e-15,2.4468809e-15,0.0003689043,0.0003689043,0.0003689043,0.0003689043,-2.0391582e-09,-2.0391582e-09,2.89723e-05,2.89723e-05,3.1389294e-16,3.1389294e-16,2.8972407e-05,2.8972407e-05,-1.0657201e-10,-1.0657201e-10,0.0032371756,0.0032371756,2.560261e-15,2.560261e-15,2.2746467,2.2746467,1.5765574e-13,1.5765574e-13,0.42338994,0.42338994,7.8112761e-14,7.8112761e-14,0.0003689043,0.0003689043,1.3594389e-08,1.3594389e-08,7.3780859e-05,7.3780859e-05,5.7640956e-16,5.7640956e-16,1.3135182e-14,1.3135182e-14,-1.3130338e-14,-1.3130338e-14,-1.2969172e-17,-1.2969172e-17,-4.2178955e-16,-4.2178955e-16,-0.063024941,-0.063024941,4.0073739e-16,4.0073739e-16,8.1973435e-17,8.1973435e-17,-1.6949505e-16,-1.6949505e-16,7.1786198e-06,7.1786198e-06,4.9900508e-30,4.9900508e-30
