e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,chi_H_pie,chi_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
0.37758885,0.56083984,0.29049585,0.10724486,0.6680847,0.6680847,-0.045560632,-0.045560632,0.29049585,0.10724486,-0.21331432,-0.19082572,0.14716016,0.17464618,-0.21331428,-0.19082572,0.14724596,0.17473197,1.6180744e-17,0,0,0,-1.0886603e-05,-7.1628733e-10,-0.00267382,-0.00267382,-15.592244,-0.016834795,-0.0050251256,-0.016834795,-0.00401073,-0.00401073,-0.34672385,-0.19096976,0.10447334,0.13195936,-0.24691221,-0.091158127,0.063474056,0.090960071,-0.099811632,-0.099811632,0.040999284,0.040999284,-0.18343816,-0.00019805641,-0.058812347,-0.058812347,-0.18343816,-0.00019805641,-0.058812347,-0.058812347,0.056228001,0.083724902,-0.058912708,-0.086398723,0.056228001,0.083724902,-0.058912708,-0.086398723,-1.0886603e-05,-7.1628728e-10,-0.00267382,-0.00267382,-0.18344905,-0.00019805713,-0.29049585,-0.10724486,-1.0886603e-05,-7.1628728e-10,-0.00267382,-0.00267382,0.056228001,0.083724902,-0.058912708,-0.086398723,-0.0010886603,-7.162873e-08,-0.01069528,-0.01069528,28.020204,28.023757,-0.93384058,-0.93384058,31.521298,30.826179,-0.62259533,-0.62259533,0.37491503,0.55816602,-0.37759974,-0.56083984,-0.036689809,-3.9611426e-05,-0.012297233,-0.012297233,0.1070468,0.1070468,-0.077705913,-0.068582821,0.0199,0.0199,1.2887516e-18,-2.3453143e-18,0,0,0,0,0,0,0,0,6.4533124e-08,2.7936523e-16,0.00011796367,0.00011796367
0.37509462,0.5480799,0.27698075,0.10399548,0.65207537,0.65207537,-0.041569956,-0.041569956,0.27698075,0.10399548,-0.20667999,-0.18545203,0.14377675,0.16972196,-0.20667993,-0.18545203,0.14392298,0.16986819,-0.18343816,-0.00019805641,0,-5.7693782e-16,-1.5834012e-05,1.3574387e-06,-0.0052861421,-0.0052861421,-34.142485,-0.016747005,-0.0050251256,-0.016747005,-0.0039184832,-0.0039184832,-0.33243856,-0.18541569,0.10232975,0.12827496,-0.23542018,-0.08839731,0.062502062,0.088447274,-0.097018385,-0.097018385,0.039827683,0.039827683,-0.17291812,4.9964403e-05,-0.057190702,-0.057190702,-0.17291812,4.9964403e-05,-0.057190702,-0.057190702,0.055457813,0.081420217,-0.06075979,-0.086705002,0.055457813,0.081420217,-0.06075979,-0.086705002,-1.5834012e-05,1.3574386e-06,-0.0052861421,-0.0052861421,-0.17293395,5.1321842e-05,-0.27698075,-0.10399548,-4.947409e-06,1.3581549e-06,-0.0026123221,-0.0026123221,-0.00077018773,-0.0023046856,-0.0018470818,-0.00030627838,-0.0005056275,0.00013581477,-0.013123109,-0.013123109,27.743569,27.476423,-1.079416,-1.079416,30.84261,30.136854,-0.69087749,-0.69087749,0.36980848,0.54279375,-0.37511046,-0.54807854,-0.03458679,1.0264368e-05,-0.012495369,-0.012495369,0.21163152,0.21163152,-0.15390324,-0.13670581,0.0194423,0.0194423,-7.3379592e-18,2.90554e-16,0,-1.4035681e-16,0,-6.9475691e-16,0,1.1461856e-16,0,2.0794014e-16,7.7215441e-08,1.0043767e-09,0.0002010725,0.0002010725
0.37257653,0.53531552,0.26385774,0.10111875,0.63643426,0.63643426,-0.037671065,-0.037671065,0.26385774,0.10111875,-0.20020889,-0.18023867,0.14047558,0.16488355,-0.20020883,-0.18023867,0.14066342,0.16507139,-0.35635627,-0.00014809201,0,-1.08406e-15,-1.5116427e-05,4.0370774e-06,-0.0078383808,-0.0078383808,-51.605545,-0.016291529,-0.0050251256,-0.016291529,-0.0038283581,-0.0038283581,-0.31855561,-0.18024375,0.10022244,0.12463041,-0.22426623,-0.085954367,0.061539406,0.085947382,-0.094289382,-0.094289382,0.038683029,0.038683029,-0.16272682,-6.9855966e-06,-0.055606354,-0.055606354,-0.16272682,-6.9855966e-06,-0.055606354,-0.055606354,0.054697873,0.079125002,-0.06255137,-0.086959346,0.054697873,0.079125002,-0.06255137,-0.086959346,-1.5116427e-05,4.0370773e-06,-0.0078383808,-0.0078383808,-0.16274194,-2.9485193e-06,-0.26385774,-0.10111875,7.1758574e-07,2.6796387e-06,-0.0025522387,-0.0025522387,-0.00075994055,-0.0022952151,-0.0017915806,-0.00025434403,5.5924561e-05,0.00026932131,-0.015495097,-0.015495097,27.46966,26.942772,-1.2216433,-1.2216433,30.180714,29.464107,-0.75758916,-0.75758916,0.36473815,0.52747714,-0.37259164,-0.53531148,-0.032548388,-5.8970385e-07,-0.012688947,-0.012688947,0.3138108,0.3138108,-0.228629,-0.20439499,0.018995127,0.018995127,1.3443395e-18,5.4782217e-16,0,-2.711253e-16,0,-1.3057624e-15,0,2.1463693e-16,0,3.8810716e-16,7.6723666e-08,4.9040954e-09,0.00025828409,0.00025828409
0.3700347,0.52291466,0.2511182,0.098238239,0.6211529,0.6211529,-0.033861849,-0.033861849,0.2511182,0.098238239,-0.19389732,-0.17513681,0.13725027,0.16017972,-0.19389725,-0.1751368,0.13746577,0.16039521,-0.5190831,-0.00015507761,0,-1.5286483e-15,-9.0002355e-06,8.0092115e-06,-0.010331918,-0.010331918,-68.015652,-0.015931262,-0.0050251256,-0.015931262,-0.0037403058,-0.0037403058,-0.30506597,-0.17513246,0.098150534,0.12107998,-0.21344282,-0.083509311,0.060585832,0.083515275,-0.091623147,-0.091623147,0.037564702,0.037564702,-0.15285699,5.9642809e-06,-0.054058446,-0.054058446,-0.15285699,5.9642809e-06,-0.054058446,-0.054058446,0.053947767,0.076894219,-0.064288685,-0.087218128,0.053947767,0.076894219,-0.064288685,-0.087218128,-9.0002355e-06,8.0092115e-06,-0.010331918,-0.010331918,-0.15286599,1.3973492e-05,-0.2511182,-0.098238239,6.1161912e-06,3.9721341e-06,-0.0024935372,-0.0024935372,-0.00075010596,-0.0022307825,-0.0017373151,-0.00025878262,0.0005965027,0.00040125049,-0.01781253,-0.01781253,27.198396,26.422925,-1.3605993,-1.3605993,29.535197,28.807558,-0.82276647,-0.82276647,0.35970278,0.51258274,-0.3700437,-0.52290665,-0.030573198,2.7946985e-06,-0.012878073,-0.012878073,0.41363995,0.41363995,-0.30191932,-0.27161072,0.018558239,0.018558239,1.4260771e-17,7.731803e-16,0,-3.9285592e-16,0,-1.8417475e-15,0,3.0157824e-16,0,5.4344976e-16,9.6324974e-08,1.3446093e-08,0.00029630558,0.00029630558
0.36746928,0.51078466,0.23875373,0.095438348,0.60622301,0.60622301,-0.030140244,-0.030140244,0.23875373,0.095438348,-0.18774167,-0.17015422,0.13409572,0.15559138,-0.18774155,-0.17015419,0.13432856,0.15582422,-0.67194009,-0.00014911332,0,-1.9172492e-15,2.2558173e-06,1.3243791e-05,-0.012768104,-0.012768104,-83.406276,-0.015559861,-0.0050251256,-0.015559861,-0.0036542788,-0.0036542788,-0.29196082,-0.17015209,0.096113186,0.11760885,-0.20294259,-0.081133853,0.05964109,0.081136749,-0.089018236,-0.089018236,0.036472096,0.036472096,-0.1433015,2.8958934e-06,-0.05254614,-0.05254614,-0.1433015,2.8958935e-06,-0.05254614,-0.05254614,0.053207093,0.074713741,-0.065972942,-0.087468601,0.053207093,0.074713741,-0.065972942,-0.087468601,2.2558173e-06,1.3243791e-05,-0.012768104,-0.012768104,-0.14329924,1.6139685e-05,-0.23875373,-0.095438348,1.1256053e-05,5.23458e-06,-0.0024361859,-0.0024361859,-0.00074067351,-0.0021804787,-0.0016842563,-0.00025047256,0.001116605,0.00053146721,-0.020076662,-0.020076662,26.929701,25.916464,-1.4963593,-1.4963593,28.905654,28.166834,-0.8864447,-0.8864447,0.35470117,0.49801656,-0.36746702,-0.51077142,-0.028659849,3.227937e-06,-0.013062849,-0.013062849,0.51117303,0.51117303,-0.37380952,-0.33834936,0.0181314,0.0181314,3.7704193e-18,9.6997379e-16,0,-5.0606996e-16,0,-2.3105615e-15,0,3.7681187e-16,0,6.7661783e-16,1.6434918e-07,2.8231383e-08,0.00032015671,0.00032015671
0.36488039,0.49893861,0.22675611,0.092697898,0.5916365,0.5916365,-0.026504237,-0.026504237,0.22675611,0.092697898,-0.18173841,-0.16528579,0.13100775,0.15111629,-0.18173819,-0.16528575,0.13125037,0.1513589,-0.81524158,-0.00014621743,0,-2.255748e-15,1.8400472e-05,1.9711855e-05,-0.015148258,-0.015148258,-97.810147,-0.015201454,-0.0050251256,-0.015201454,-0.0035702304,-0.0035702304,-0.27923157,-0.16528321,0.094109554,0.11421809,-0.19275834,-0.078809968,0.058704934,0.07881347,-0.086473237,-0.086473237,0.03540462,0.03540462,-0.1340534,3.5011032e-06,-0.051068617,-0.051068617,-0.1340534,3.5011033e-06,-0.051068617,-0.051068617,0.05247546,0.072585307,-0.067605318,-0.087713853,0.05247546,0.072585307,-0.067605318,-0.087713853,1.8400472e-05,1.9711855e-05,-0.015148258,-0.015148258,-0.134035,2.3212958e-05,-0.22675611,-0.092697898,1.6144654e-05,6.4680634e-06,-0.0023801536,-0.0023801536,-0.00073163294,-0.0021284334,-0.001632376,-0.00024525214,0.0016167213,0.00066005013,-0.022288718,-0.022288718,26.663505,25.423106,-1.6289969,-1.6289969,28.291694,27.541571,-0.94865833,-0.94865833,0.34973213,0.48379035,-0.36486199,-0.49891889,-0.026807,4.6425916e-06,-0.013243375,-0.013243375,0.60646285,0.60646285,-0.44433406,-0.40459486,0.017714377,0.017714377,-5.5548121e-17,1.1412099e-15,0,-6.1126108e-16,0,-2.7192612e-15,0,4.4156884e-16,0,7.8999241e-16,3.0462954e-07,5.0728686e-08,0.0003335922,0.0003335922
0.36226817,0.48736554,0.21511732,0.09001995,0.57738549,0.57738549,-0.022951858,-0.022951858,0.21511732,0.09001995,-0.17588408,-0.16052944,0.12798294,0.14674931,-0.17588369,-0.16052938,0.12822979,0.14699616,-0.94929499,-0.00014271633,0,-2.5494347e-15,3.9189794e-05,2.7385015e-05,-0.017473668,-0.017473668,-111.25927,-0.01485027,-0.0050251256,-0.01485027,-0.0034881151,-0.0034881151,-0.26686981,-0.16052701,0.092138822,0.1109052,-0.18288303,-0.076540235,0.057777125,0.076543502,-0.083986773,-0.083986773,0.034361696,0.034361696,-0.12510591,3.2666018e-06,-0.049625077,-0.049625077,-0.12510591,3.2666019e-06,-0.049625077,-0.049625077,0.051752486,0.070507058,-0.069186964,-0.08795334,0.051752486,0.070507058,-0.069186964,-0.08795334,3.9189794e-05,2.7385015e-05,-0.017473668,-0.017473668,-0.12506672,3.0651616e-05,-0.21511732,-0.09001995,2.0789323e-05,7.6731598e-06,-0.0023254101,-0.0023254101,-0.00072297424,-0.0020782494,-0.0015816465,-0.00023948747,0.0020973327,0.00078702783,-0.024449898,-0.024449898,26.39974,24.942542,-1.7585837,-1.7585837,27.692932,26.931414,-1.009441,-1.009441,0.3447945,0.46989187,-0.36222898,-0.48733815,-0.025013344,6.1303233e-06,-0.013419749,-0.013419749,0.699561,0.699561,-0.51352665,-0.47033563,0.017306947,0.017306947,-5.6052435e-17,1.2895918e-15,0,-7.0889667e-16,0,-3.0741897e-15,0,4.9695569e-16,0,8.8571268e-16,5.3691393e-07,8.2280133e-08,0.00033941843,0.00033941843
0.35963272,0.47606019,0.20382952,0.087402052,0.56346225,0.56346225,-0.019481183,-0.019481183,0.20382952,0.087402052,-0.17017531,-0.15588248,0.12501837,0.14248672,-0.17017467,-0.15588239,0.12526545,0.1427338,-1.0744009,-0.00013944973,0,-2.8030639e-15,6.4387025e-05,3.6235557e-05,-0.019745593,-0.019745593,-123.78495,-0.014507396,-0.0050251256,-0.014507396,-0.0034078885,-0.0034078885,-0.25486732,-0.15588004,0.090200188,0.10766853,-0.17330982,-0.074322544,0.056857428,0.074325771,-0.081557498,-0.081557498,0.03334276,0.03334276,-0.11645239,3.2267603e-06,-0.048214738,-0.048214738,-0.11645239,3.2267604e-06,-0.048214738,-0.048214738,0.051037799,0.06847799,-0.070719005,-0.088187348,0.051037799,0.06847799,-0.070719005,-0.088187348,6.4387025e-05,3.6235557e-05,-0.019745593,-0.019745593,-0.11638801,3.9462318e-05,-0.20382952,-0.087402052,2.5197231e-05,8.8505428e-06,-0.0022719256,-0.0022719256,-0.0007146876,-0.0020290674,-0.0015320408,-0.00023400765,0.0025589129,0.00091243929,-0.02656137,-0.02656137,26.138342,24.474481,-1.8851901,-1.8851901,27.108994,26.336015,-1.0688258,-1.0688258,0.33988713,0.4563146,-0.35956834,-0.47602396,-0.023277601,7.8924635e-06,-0.013592066,-0.013592066,0.7905179,0.7905179,-0.58142018,-0.53555939,0.016908887,0.016908887,-4.0876323e-17,1.4175488e-15,0,-7.9941923e-16,0,-3.3810482e-15,0,5.4396694e-16,0,9.6570022e-16,8.7724807e-07,1.2410916e-07,0.00033973098,0.00033973098
0.35697418,0.46501618,0.19288506,0.084843055,0.54985924,0.54985924,-0.016090334,-0.016090334,0.19288506,0.084843055,-0.16460879,-0.15134241,0.12211159,0.13832502,-0.16460781,-0.15134228,0.12235603,0.13856946,-1.1908533,-0.00013622297,0,-3.0209086e-15,9.3762426e-05,4.6236403e-05,-0.021965265,-0.021965265,-135.41779,-0.014172356,-0.0050251256,-0.014172356,-0.003329507,-0.003329507,-0.2432161,-0.15133999,0.088292871,0.1045063,-0.164032,-0.072155898,0.055945613,0.072159042,-0.079184096,-0.079184096,0.032347259,0.032347259,-0.10808639,3.1444565e-06,-0.046836837,-0.046836837,-0.10808639,3.1444566e-06,-0.046836837,-0.046836837,0.050331035,0.066496939,-0.072202537,-0.088415967,0.050331035,0.066496939,-0.072202537,-0.088415967,9.3762426e-05,4.6236402e-05,-0.021965265,-0.021965265,-0.10799262,4.9380859e-05,-0.19288506,-0.084843055,2.9375402e-05,1.0000845e-05,-0.0022196713,-0.0022196713,-0.00070676345,-0.0019810515,-0.0014835325,-0.00022861897,0.0030019272,0.0010363201,-0.028624279,-0.028624279,25.87925,24.018634,-2.0088845,-2.0088845,26.539517,25.755034,-1.1268446,-1.1268446,0.33500891,0.44305092,-0.35688042,-0.46496995,-0.021598525,9.8761718e-06,-0.01376042,-0.01376042,0.87938279,0.87938279,-0.64804681,-0.60025466,0.016519983,0.016519983,-1.2719086e-17,1.5272642e-15,0,-8.8324766e-16,0,-3.6449603e-15,0,5.8349634e-16,0,1.0316809e-15,1.3383324e-06,1.7732728e-07,0.00033609276,0.00033609276
0.35429264,0.45422755,0.18227646,0.082341551,0.5365691,0.5365691,-0.012777475,-0.012777475,0.18227646,0.082341551,-0.15918129,-0.14690677,0.11926044,0.13426114,-0.15917989,-0.14690659,0.1195002,0.1345009,-1.2989397,-0.00013307851,0,-3.2068081e-15,0.00012709314,5.7361093e-05,-0.024133883,-0.024133883,-146.18774,-0.013845033,-0.0050251256,-0.013845033,-0.0032529284,-0.0032529284,-0.2319083,-0.14690436,0.086416108,0.1014168,-0.15504302,-0.070039075,0.055041453,0.070042149,-0.076865283,-0.076865283,0.031374654,0.031374654,-0.10000157,3.0739878e-06,-0.045490628,-0.045490628,-0.10000157,3.0739879e-06,-0.045490628,-0.045490628,0.049631843,0.064562807,-0.073638633,-0.088639329,0.049631843,0.064562807,-0.073638633,-0.088639329,0.00012709314,5.7361093e-05,-0.024133883,-0.024133883,-0.099874473,6.0435081e-05,-0.18227646,-0.082341551,3.3330712e-05,1.1124691e-05,-0.0021686189,-0.0021686189,-0.0006991924,-0.001934132,-0.0014360958,-0.00022336222,0.0034268337,0.0011587055,-0.03063974,-0.03063974,25.622411,23.574721,-2.129734,-2.129734,25.984143,25.188141,-1.183529,-1.183529,0.33015876,0.43009367,-0.35416555,-0.45417019,-0.019974895,1.2087016e-05,-0.013924902,-0.013924902,0.96620378,0.96620378,-0.71343796,-0.66441031,0.016140023,0.016140023,-4.2693137e-17,1.6206994e-15,0,-9.6077843e-16,0,-3.87053e-15,0,6.1634697e-16,0,1.0852044e-15,1.9298539e-06,2.4294064e-07,0.00032966755,0.00032966755
