e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,p_H_W_slash_p_H_pie,p_H_W_slash_p_H_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
-0.09078341,-0.09078341,0.09078341,0.09078341,-2.7755576e-15,-2.7755576e-15,0,0,0.09078341,0.09078341,-0.085,-0.085,-0.015,-0.015,-0.085,-0.085,-0.015,-0.015,0,0,0.0092165899,0.0092165899,2.220446e-16,2.220446e-16,0.013824885,0.013824885,0.013824885,0.013824885,3.8163916e-16,3.8163916e-16,-0.085,-0.085,-0.015,-0.015,-0.085,-0.085,-0.015,-0.015,3.6082248e-16,3.6082248e-16,-2.220446e-16,-2.220446e-16,-0.1,-0.1,2.220446e-16,2.220446e-16,-2.220446e-16,-2.220446e-16,2.220446e-16,2.220446e-16,-0.0057834101,-0.0057834101,0.015,0.015,-0.0057834101,-0.0057834101,0.015,0.015,0.0092165899,0.0092165899,2.220446e-16,2.220446e-16,-0.09078341,-0.09078341,-0.09078341,-0.09078341,-0.015,-0.015,0.0092165899,0.0092165899,2.220446e-16,2.220446e-16,-0.0057834101,-0.0057834101,0.015,0.015,0.0092165899,0.0092165899,2.220446e-16,2.220446e-16,0.14746544,0.14746544,4.4408921e-15,4.4408921e-15,0.073732719,0.073732719,2.4424907e-15,2.4424907e-15,-0.09078341,-0.09078341,0.1,0.1,-0.018156682,-0.018156682,8.3266727e-17,8.3266727e-17,-4.1759625e-16,-4.1759625e-16,4.5929237e-16,4.5929237e-16,0,0,0,0,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0
-0.07702765,-0.07702765,0.07702765,0.07702765,-2.8865799e-15,-2.8865799e-15,-4.4408921e-16,-4.4408921e-16,0.07702765,0.07702765,-0.08075,-0.08075,-0.01425,-0.01425,-0.08075,-0.08075,-0.01425,-0.01425,0,0,0.01797235,0.01797235,4.4408921e-16,4.4408921e-16,0.013133641,0.013133641,0.013133641,0.013133641,3.217912e-16,3.217912e-16,-0.08075,-0.08075,-0.01425,-0.01425,-0.08075,-0.08075,-0.01425,-0.01425,3.8857806e-16,3.8857806e-16,0,0,-0.095,-0.095,4.4408921e-16,4.4408921e-16,-1.110223e-16,-1.110223e-16,4.4408921e-16,4.4408921e-16,0.0037223502,0.0037223502,0.01425,0.01425,0.0037223502,0.0037223502,0.01425,0.01425,0.01797235,0.01797235,4.4408921e-16,4.4408921e-16,-0.07702765,-0.07702765,-0.07702765,-0.07702765,-0.01425,-0.01425,0.0087557604,0.0087557604,2.220446e-16,2.220446e-16,0.0095057604,0.0095057604,-0.00075,-0.00075,0.01797235,0.01797235,4.4408921e-16,4.4408921e-16,0.2875576,0.2875576,6.7723605e-15,6.7723605e-15,0.1437788,0.1437788,3.4416914e-15,3.4416914e-15,-0.07702765,-0.07702765,0.095,0.095,-0.01540553,-0.01540553,1.6653345e-16,1.6653345e-16,-9.0016325e-16,-9.0016325e-16,9.7528735e-16,9.7528735e-16,0,0,0,0,-0.095,-0.095,0,0,0,0,0,0,0,0,0,0
-0.063959677,-0.063959677,0.063959677,0.063959677,-3.3306691e-15,-3.3306691e-15,-6.6613381e-16,-6.6613381e-16,0.063959677,0.063959677,-0.0767125,-0.0767125,-0.0135375,-0.0135375,-0.0767125,-0.0767125,-0.0135375,-0.0135375,0,0,0.026290323,0.026290323,4.4408921e-16,4.4408921e-16,0.012476959,0.012476959,0.012476959,0.012476959,3.2612801e-16,3.2612801e-16,-0.0767125,-0.0767125,-0.0135375,-0.0135375,-0.0767125,-0.0767125,-0.0135375,-0.0135375,4.1633363e-16,4.1633363e-16,1.110223e-16,1.110223e-16,-0.09025,-0.09025,4.4408921e-16,4.4408921e-16,-1.110223e-16,-1.110223e-16,4.4408921e-16,4.4408921e-16,0.012752823,0.012752823,0.0135375,0.0135375,0.012752823,0.012752823,0.0135375,0.0135375,0.026290323,0.026290323,6.6613381e-16,6.6613381e-16,-0.063959677,-0.063959677,-0.063959677,-0.063959677,-0.0135375,-0.0135375,0.0083179724,0.0083179724,2.220446e-16,2.220446e-16,0.0090304724,0.0090304724,-0.0007125,-0.0007125,0.026290323,0.026290323,6.6613381e-16,6.6613381e-16,0.42064516,0.42064516,9.2148511e-15,9.2148511e-15,0.21032258,0.21032258,4.6629367e-15,4.6629367e-15,-0.063959677,-0.063959677,0.09025,0.09025,-0.012791935,-0.012791935,1.9428903e-16,1.9428903e-16,-1.4270682e-15,-1.4270682e-15,1.5245798e-15,1.5245798e-15,0,0,0,0,-0.09025,-0.09025,0,0,0,0,0,0,0,0,0,0
-0.051545104,-0.051545104,0.051545104,0.051545104,-3.5527137e-15,-3.5527137e-15,-8.8817842e-16,-8.8817842e-16,0.051545104,0.051545104,-0.072876875,-0.072876875,-0.012860625,-0.012860625,-0.072876875,-0.072876875,-0.012860625,-0.012860625,0,0,0.034192396,0.034192396,6.6613381e-16,6.6613381e-16,0.011853111,0.011853111,0.011853111,0.011853111,3.2786274e-16,3.2786274e-16,-0.072876875,-0.072876875,-0.012860625,-0.012860625,-0.072876875,-0.072876875,-0.012860625,-0.012860625,4.4408921e-16,4.4408921e-16,1.110223e-16,1.110223e-16,-0.0857375,-0.0857375,6.6613381e-16,6.6613381e-16,-1.110223e-16,-1.110223e-16,6.6613381e-16,6.6613381e-16,0.021331771,0.021331771,0.012860625,0.012860625,0.021331771,0.021331771,0.012860625,0.012860625,0.034192396,0.034192396,6.6613381e-16,6.6613381e-16,-0.051545104,-0.051545104,-0.051545104,-0.051545104,-0.012860625,-0.012860625,0.0079020737,0.0079020737,2.220446e-16,2.220446e-16,0.0085789487,0.0085789487,-0.000676875,-0.000676875,0.034192396,0.034192396,6.6613381e-16,6.6613381e-16,0.54707834,0.54707834,1.1435297e-14,1.1435297e-14,0.27353917,0.27353917,5.6621374e-15,5.6621374e-15,-0.051545104,-0.051545104,0.0857375,0.0857375,-0.010309021,-0.010309021,2.4980018e-16,2.4980018e-16,-1.9949631e-15,-1.9949631e-15,2.1033821e-15,2.1033821e-15,0,0,0,0,-0.0857375,-0.0857375,0,0,0,0,0,0,0,0,0,0
-0.039751259,-0.039751259,0.039751259,0.039751259,-3.8857806e-15,-3.8857806e-15,-9.9920072e-16,-9.9920072e-16,0.039751259,0.039751259,-0.069233031,-0.069233031,-0.012217594,-0.012217594,-0.069233031,-0.069233031,-0.012217594,-0.012217594,0,0,0.041699366,0.041699366,6.6613381e-16,6.6613381e-16,0.011260455,0.011260455,0.011260455,0.011260455,3.2786274e-16,3.2786274e-16,-0.069233031,-0.069233031,-0.012217594,-0.012217594,-0.069233031,-0.069233031,-0.012217594,-0.012217594,4.7184479e-16,4.7184479e-16,2.220446e-16,2.220446e-16,-0.081450625,-0.081450625,6.6613381e-16,6.6613381e-16,-2.220446e-16,-2.220446e-16,6.6613381e-16,6.6613381e-16,0.029481773,0.029481773,0.012217594,0.012217594,0.029481773,0.029481773,0.012217594,0.012217594,0.041699366,0.041699366,8.8817842e-16,8.8817842e-16,-0.039751259,-0.039751259,-0.039751259,-0.039751259,-0.012217594,-0.012217594,0.00750697,0.00750697,2.220446e-16,2.220446e-16,0.0081500013,0.0081500013,-0.00064303125,-0.00064303125,0.041699366,0.041699366,8.8817842e-16,8.8817842e-16,0.66718986,0.66718986,1.3322676e-14,1.3322676e-14,0.33359493,0.33359493,6.5503158e-15,6.5503158e-15,-0.039751259,-0.039751259,0.081450625,0.081450625,-0.0079502517,-0.0079502517,2.7755576e-16,2.7755576e-16,-2.600597e-15,-2.600597e-15,2.7082535e-15,2.7082535e-15,0,0,0,0,-0.081450625,-0.081450625,0,0,0,0,0,0,0,0,0,0
-0.028547106,-0.028547106,0.028547106,0.028547106,-4.2188475e-15,-4.2188475e-15,-1.2212453e-15,-1.2212453e-15,0.028547106,0.028547106,-0.06577138,-0.06577138,-0.011606714,-0.011606714,-0.06577138,-0.06577138,-0.011606714,-0.011606714,0,0,0.048830988,0.048830988,8.8817842e-16,8.8817842e-16,0.010697432,0.010697432,0.010697432,0.010697432,3.2526065e-16,3.2526065e-16,-0.06577138,-0.06577138,-0.011606714,-0.011606714,-0.06577138,-0.06577138,-0.011606714,-0.011606714,4.9960036e-16,4.9960036e-16,2.220446e-16,2.220446e-16,-0.077378094,-0.077378094,6.6613381e-16,6.6613381e-16,-2.220446e-16,-2.220446e-16,6.6613381e-16,6.6613381e-16,0.037224274,0.037224274,0.011606714,0.011606714,0.037224274,0.037224274,0.011606714,0.011606714,0.048830988,0.048830988,8.8817842e-16,8.8817842e-16,-0.028547106,-0.028547106,-0.028547106,-0.028547106,-0.011606714,-0.011606714,0.0071316215,0.0071316215,2.220446e-16,2.220446e-16,0.0077425012,0.0077425012,-0.00061087969,-0.00061087969,0.048830988,0.048830988,8.8817842e-16,8.8817842e-16,0.78129581,0.78129581,1.4765966e-14,1.4765966e-14,0.3906479,0.3906479,7.327472e-15,7.327472e-15,-0.028547106,-0.028547106,0.077378094,0.077378094,-0.0057094212,-0.0057094212,3.0531133e-16,3.0531133e-16,-3.2408225e-15,-3.2408225e-15,3.3360573e-15,3.3360573e-15,0,0,0,0,-0.077378094,-0.077378094,0,0,0,0,0,0,0,0,0,0
-0.017903161,-0.017903161,0.017903161,0.017903161,-4.3298698e-15,-4.3298698e-15,-1.3322676e-15,-1.3322676e-15,0.017903161,0.017903161,-0.062482811,-0.062482811,-0.011026378,-0.011026378,-0.062482811,-0.062482811,-0.011026378,-0.011026378,0,0,0.055606028,0.055606028,8.8817842e-16,8.8817842e-16,0.010162561,0.010162561,0.010162561,0.010162561,3.217912e-16,3.217912e-16,-0.062482811,-0.062482811,-0.011026378,-0.011026378,-0.062482811,-0.062482811,-0.011026378,-0.011026378,5.2735594e-16,5.2735594e-16,3.3306691e-16,3.3306691e-16,-0.073509189,-0.073509189,8.8817842e-16,8.8817842e-16,-2.220446e-16,-2.220446e-16,8.8817842e-16,8.8817842e-16,0.04457965,0.04457965,0.011026378,0.011026378,0.04457965,0.04457965,0.011026378,0.011026378,0.055606028,0.055606028,1.110223e-15,1.110223e-15,-0.017903161,-0.017903161,-0.017903161,-0.017903161,-0.011026378,-0.011026378,0.0067750405,0.0067750405,2.220446e-16,2.220446e-16,0.0073553762,0.0073553762,-0.0005803357,-0.0005803357,0.055606028,0.055606028,1.110223e-15,1.110223e-15,0.88969645,0.88969645,1.5987212e-14,1.5987212e-14,0.44484823,0.44484823,7.8825835e-15,7.8825835e-15,-0.017903161,-0.017903161,0.073509189,0.073509189,-0.0035806321,-0.0035806321,3.3306691e-16,3.3306691e-16,-3.9126005e-15,-3.9126005e-15,3.9839254e-15,3.9839254e-15,0,0,0,0,-0.073509189,-0.073509189,0,0,0,0,0,0,0,0,0,0
-0.0077914128,-0.0077914128,0.0077914128,0.0077914128,-4.5519144e-15,-4.5519144e-15,-1.4432899e-15,-1.4432899e-15,0.0077914128,0.0077914128,-0.05935867,-0.05935867,-0.010475059,-0.010475059,-0.05935867,-0.05935867,-0.010475059,-0.010475059,0,0,0.062042317,0.062042317,8.8817842e-16,8.8817842e-16,0.0096544327,0.0096544327,0.0096544327,0.0096544327,3.1658703e-16,3.1658703e-16,-0.05935867,-0.05935867,-0.010475059,-0.010475059,-0.05935867,-0.05935867,-0.010475059,-0.010475059,5.2735594e-16,5.2735594e-16,3.3306691e-16,3.3306691e-16,-0.06983373,-0.06983373,8.8817842e-16,8.8817842e-16,-2.220446e-16,-2.220446e-16,8.8817842e-16,8.8817842e-16,0.051567257,0.051567257,0.010475059,0.010475059,0.051567257,0.051567257,0.010475059,0.010475059,0.062042317,0.062042317,1.110223e-15,1.110223e-15,-0.0077914128,-0.0077914128,-0.0077914128,-0.0077914128,-0.010475059,-0.010475059,0.0064362884,0.0064362884,2.220446e-16,2.220446e-16,0.0069876074,0.0069876074,-0.00055131892,-0.00055131892,0.062042317,0.062042317,1.110223e-15,1.110223e-15,0.99267707,0.99267707,1.687539e-14,1.687539e-14,0.49633853,0.49633853,8.2156504e-15,8.2156504e-15,-0.0077914128,-0.0077914128,0.06983373,0.06983373,-0.0015582826,-0.0015582826,3.6082248e-16,3.6082248e-16,-4.6130037e-15,-4.6130037e-15,4.6492277e-15,4.6492277e-15,0,0,0,0,-0.06983373,-0.06983373,0,0,0,0,0,0,0,0,0,0
0.0018147477,0.0018147477,-0.0018147477,-0.0018147477,-4.6629367e-15,-4.6629367e-15,-1.5543122e-15,-1.5543122e-15,-0.0018147477,-0.0018147477,-0.056390737,-0.056390737,-0.0099513065,-0.0099513065,-0.056390737,-0.056390737,-0.0099513065,-0.0099513065,0,0,0.068156791,0.068156791,1.110223e-15,1.110223e-15,0.009171711,0.009171711,0.009171711,0.009171711,3.1138286e-16,3.1138286e-16,-0.056390737,-0.056390737,-0.0099513065,-0.0099513065,-0.056390737,-0.056390737,-0.0099513065,-0.0099513065,5.5511151e-16,5.5511151e-16,4.4408921e-16,4.4408921e-16,-0.066342043,-0.066342043,8.8817842e-16,8.8817842e-16,-2.220446e-16,-2.220446e-16,8.8817842e-16,8.8817842e-16,0.058205484,0.058205484,0.0099513065,0.0099513065,0.058205484,0.058205484,0.0099513065,0.0099513065,0.068156791,0.068156791,1.110223e-15,1.110223e-15,0.0018147477,0.0018147477,0.0018147477,0.0018147477,-0.0099513065,-0.0099513065,0.006114474,0.006114474,2.220446e-16,2.220446e-16,0.006638227,0.006638227,-0.00052375297,-0.00052375297,0.068156791,0.068156791,1.110223e-15,1.110223e-15,1.0905087,1.0905087,1.7430501e-14,1.7430501e-14,0.54525433,0.54525433,8.5487173e-15,8.5487173e-15,0.0018147477,0.0018147477,0.066342043,0.066342043,0.00036294954,0.00036294954,3.8857806e-16,3.8857806e-16,-5.3392189e-15,-5.3392189e-15,5.3295471e-15,5.3295471e-15,0,0,0,0,-0.066342043,-0.066342043,0,0,0,0,0,0,0,0,0,0
0.0109406,0.0109406,-0.0109406,-0.0109406,-4.773959e-15,-4.773959e-15,-1.5543122e-15,-1.5543122e-15,-0.0109406,-0.0109406,-0.0535712,-0.0535712,-0.0094537411,-0.0094537411,-0.0535712,-0.0535712,-0.0094537411,-0.0094537411,0,0,0.073965541,0.073965541,1.110223e-15,1.110223e-15,0.0087131255,0.0087131255,0.0087131255,0.0087131255,3.0444397e-16,3.0444397e-16,-0.0535712,-0.0535712,-0.0094537411,-0.0094537411,-0.0535712,-0.0535712,-0.0094537411,-0.0094537411,5.5511151e-16,5.5511151e-16,4.4408921e-16,4.4408921e-16,-0.063024941,-0.063024941,8.8817842e-16,8.8817842e-16,-2.220446e-16,-2.220446e-16,1.110223e-15,1.110223e-15,0.0645118,0.0645118,0.0094537411,0.0094537411,0.0645118,0.0645118,0.0094537411,0.0094537411,0.073965541,0.073965541,1.110223e-15,1.110223e-15,0.0109406,0.0109406,0.0109406,0.0109406,-0.0094537411,-0.0094537411,0.0058087503,0.0058087503,2.220446e-16,2.220446e-16,0.0063063156,0.0063063156,-0.00049756532,-0.00049756532,0.073965541,0.073965541,1.110223e-15,1.110223e-15,1.1834487,1.1834487,1.7652546e-14,1.7652546e-14,0.59172433,0.59172433,8.5487173e-15,8.5487173e-15,0.0109406,0.0109406,0.063024941,0.063024941,0.00218812,0.00218812,3.8857806e-16,3.8857806e-16,-6.0885487e-15,-6.0885487e-15,6.0226572e-15,6.0226572e-15,0,0,0,0,-0.063024941,-0.063024941,0,0,0,0,0,0,0,0,0,0
