e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
0.57362084,0.57362084,0.089410888,0.089410888,0.66303173,0.66303173,-0.050613603,-0.050613603,0.089410888,-0.62423444,-0.18343929,-0.18343929,0.18343929,0.18343929,-0.18343929,-0.18343929,0.18343929,0.18343929,0,0,-0.035887488,-0.035887488,-0.0029097963,-0.0029097963,-0.053831232,-0.053831232,-0.053831232,-0.053831232,-0.0043646945,-0.0043646945,-0.14451318,-0.14451318,0.14451318,0.14451318,-0.04549489,-0.04549489,0.099018289,0.099018289,-0.099018289,-0.099018289,0.04549489,0.04549489,0.0535234,0.0535234,-0.0535234,-0.0535234,0.0535234,0.0535234,-0.0535234,-0.0535234,0.055102292,0.055102292,-0.093899576,-0.093899576,0.055102292,0.055102292,-0.093899576,-0.093899576,-0.035887488,-0.035887488,-0.0029097963,-0.0029097963,0.017635912,0.017635912,-0.089410888,-0.089410888,-0.035887488,-0.035887488,-0.0029097963,-0.0029097963,0.055102292,0.055102292,-0.093899576,-0.093899576,-0.035887488,-0.035887488,-0.0029097963,-0.0029097963,-0.49634759,-0.49634759,-0.12440896,-0.12440896,-0.20146246,-0.20146246,-0.10891581,-0.10891581,0.57071104,0.57071104,-0.60950833,-0.60950833,0.0035271824,0.0035271824,-0.011286639,-0.011286639,0.1070468,0.1070468,-0.068025789,-0.068025789,0.0199,0.0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.52440163,0.52440163,0.12297296,0.12297296,0.6473746,0.6473746,-0.046270732,-0.046270732,0.12297296,-0.57067237,-0.17829838,-0.17829838,0.17829838,0.17829838,-0.17829838,-0.17829838,0.17829838,0.17829838,0,0,-0.070949564,-0.070949564,-0.0057526673,-0.0057526673,-0.052593113,-0.052593113,-0.052593113,-0.052593113,-0.0042643065,-0.0042643065,-0.14046318,-0.14046318,0.14046318,0.14046318,-0.04421989,-0.04421989,0.096243289,0.096243289,-0.096243289,-0.096243289,0.04421989,0.04421989,0.0520234,0.0520234,-0.0520234,-0.0520234,0.0520234,0.0520234,-0.0520234,-0.0520234,0.017490216,0.017490216,-0.094192447,-0.094192447,0.017490216,0.017490216,-0.094192447,-0.094192447,-0.070949564,-0.070949564,-0.0057526673,-0.0057526673,-0.018926164,-0.018926164,-0.12297296,-0.12297296,-0.035062076,-0.035062076,-0.002842871,-0.002842871,-0.037612076,-0.037612076,-0.000292871,-0.000292871,-0.070949564,-0.070949564,-0.0057526673,-0.0057526673,-1.0595226,-1.0595226,-0.16771308,-0.16771308,-0.48435907,-0.48435907,-0.12925878,-0.12925878,0.51864897,0.51864897,-0.5953512,-0.5953512,-0.0037852328,-0.0037852328,-0.011555213,-0.011555213,0.21163152,0.21163152,-0.13882924,-0.13882924,0.0194423,0.0194423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.47631447,0.47631447,0.15576311,0.15576311,0.63207758,0.63207758,-0.042027747,-0.042027747,0.15576311,-0.51834222,-0.17327571,-0.17327571,0.17327571,0.17327571,-0.17327571,-0.17327571,0.17327571,0.17327571,0,0,-0.10520521,-0.10520521,-0.0085301523,-0.0085301523,-0.051383472,-0.051383472,-0.051383472,-0.051383472,-0.0041662274,-0.0041662274,-0.13650633,-0.13650633,0.13650633,0.13650633,-0.042974215,-0.042974215,0.093532114,0.093532114,-0.093532114,-0.093532114,0.042974215,0.042974215,0.0505579,0.0505579,-0.0505579,-0.0505579,0.0505579,0.0505579,-0.0505579,-0.0505579,-0.019256782,-0.019256782,-0.094478582,-0.094478582,-0.019256782,-0.019256782,-0.094478582,-0.094478582,-0.10520521,-0.10520521,-0.0085301523,-0.0085301523,-0.054647312,-0.054647312,-0.15576311,-0.15576311,-0.034255648,-0.034255648,-0.002777485,-0.002777485,-0.036746998,-0.036746998,-0.00028613497,-0.00028613497,-0.10520521,-0.10520521,-0.0085301523,-0.0085301523,-1.6097446,-1.6097446,-0.2100212,-0.2100212,-0.76074905,-0.76074905,-0.14913386,-0.14913386,0.46778432,0.46778432,-0.58151968,-0.58151968,-0.010929462,-0.010929462,-0.01181761,-0.01181761,0.3138108,0.3138108,-0.21256365,-0.21256365,0.018995127,0.018995127,0,0,-1.110223e-16,-1.110223e-16,0,0,0,0,0,0,0,0,0,0
0.42933331,0.42933331,0.18779909,0.18779909,0.6171324,0.6171324,-0.037882351,-0.037882351,0.18779909,-0.46721566,-0.16836856,-0.16836856,0.16836856,0.16836856,-0.16836856,-0.16836856,0.16836856,0.16836856,0,0,-0.13867298,-0.13867298,-0.011243755,-0.011243755,-0.050201652,-0.050201652,-0.050201652,-0.050201652,-0.0040704042,-0.0040704042,-0.13264049,-0.13264049,0.13264049,0.13264049,-0.04175719,-0.04175719,0.090883296,0.090883296,-0.090883296,-0.090883296,0.04175719,0.04175719,0.049126106,0.049126106,-0.049126106,-0.049126106,0.049126106,0.049126106,-0.049126106,-0.049126106,-0.055158599,-0.055158599,-0.094758136,-0.094758136,-0.055158599,-0.055158599,-0.094758136,-0.094758136,-0.13867298,-0.13867298,-0.011243755,-0.011243755,-0.089546873,-0.089546873,-0.18779909,-0.18779909,-0.033467768,-0.033467768,-0.0027136028,-0.0027136028,-0.035901817,-0.035901817,-0.00027955386,-0.00027955386,-0.13867298,-0.13867298,-0.011243755,-0.011243755,-2.1473115,-2.1473115,-0.25135624,-0.25135624,-1.0307821,-1.0307821,-0.16855181,-0.16855181,0.41808956,0.41808956,-0.56800629,-0.56800629,-0.017909375,-0.017909375,-0.012073972,-0.012073972,0.41363995,0.41363995,-0.28939362,-0.28939362,0.018558239,0.018558239,-1.110223e-16,-1.110223e-16,-2.220446e-16,-2.220446e-16,0,0,0,0,0,0,0,0,0,0
0.38343272,0.38343272,0.21909823,0.21909823,0.60253095,0.60253095,-0.033832299,-0.033832299,0.21909823,-0.41726502,-0.16357428,-0.16357428,0.16357428,0.16357428,-0.16357428,-0.16357428,0.16357428,0.16357428,0,0,-0.17137099,-0.17137099,-0.013894945,-0.013894945,-0.049047014,-0.049047014,-0.049047014,-0.049047014,-0.0039767849,-0.0039767849,-0.12886356,-0.12886356,0.12886356,0.12886356,-0.040568157,-0.040568157,0.088295401,0.088295401,-0.088295401,-0.088295401,0.040568157,0.040568157,0.047727244,0.047727244,-0.047727244,-0.047727244,0.047727244,0.047727244,-0.047727244,-0.047727244,-0.090234674,-0.090234674,-0.09503126,-0.09503126,-0.090234674,-0.090234674,-0.09503126,-0.09503126,-0.17137099,-0.17137099,-0.013894945,-0.013894945,-0.12364374,-0.12364374,-0.21909823,-0.21909823,-0.032698009,-0.032698009,-0.0026511899,-0.0026511899,-0.035076075,-0.035076075,-0.00027312412,-0.00027312412,-0.17137099,-0.17137099,-0.013894945,-0.013894945,-2.6725144,-2.6725144,-0.29174057,-0.29174057,-1.2946043,-1.2946043,-0.18752315,-0.18752315,0.36953778,0.36953778,-0.55480371,-0.55480371,-0.024728749,-0.024728749,-0.012324438,-0.012324438,0.51117303,0.51117303,-0.36949612,-0.36949612,0.0181314,0.0181314,-1.110223e-16,-1.110223e-16,-3.3306691e-16,-3.3306691e-16,0,0,0,0,0,0,0,0,0,0
0.33858784,0.33858784,0.2496775,0.2496775,0.58826534,0.58826534,-0.029875398,-0.029875398,0.2496775,-0.36846324,-0.15889027,-0.15889027,0.15889027,0.15889027,-0.15889027,-0.15889027,0.15889027,0.15889027,0,0,-0.20331694,-0.20331694,-0.016485158,-0.016485158,-0.047918933,-0.047918933,-0.047918933,-0.047918933,-0.0038853189,-0.0038853189,-0.1251735,-0.1251735,0.1251735,0.1251735,-0.039406472,-0.039406472,0.085767028,0.085767028,-0.085767028,-0.085767028,0.039406472,0.039406472,0.046360556,0.046360556,-0.046360556,-0.046360556,0.046360556,0.046360556,-0.046360556,-0.046360556,-0.124504,-0.124504,-0.095298102,-0.095298102,-0.124504,-0.124504,-0.095298102,-0.095298102,-0.20331694,-0.20331694,-0.016485158,-0.016485158,-0.15695639,-0.15695639,-0.2496775,-0.2496775,-0.031945955,-0.031945955,-0.0025902126,-0.0025902126,-0.034269325,-0.034269325,-0.00026684227,-0.00026684227,-0.20331694,-0.20331694,-0.016485158,-0.016485158,-3.1856376,-3.1856376,-0.33119606,-0.33119606,-1.5523587,-1.5523587,-0.20605815,-0.20605815,0.32210269,0.32210269,-0.54190479,-0.54190479,-0.031391278,-0.031391278,-0.012569143,-0.012569143,0.60646285,0.60646285,-0.45306167,-0.45306167,0.017714377,0.017714377,-2.220446e-16,-2.220446e-16,-4.4408921e-16,-4.4408921e-16,0,0,0,0,0,0,0,0,0,0
0.2947744,0.2947744,0.27955344,0.27955344,0.57432784,0.57432784,-0.026009506,-0.026009506,0.27955344,-0.3207839,-0.15431399,-0.15431399,0.15431399,0.15431399,-0.15431399,-0.15431399,0.15431399,0.15431399,0,0,-0.23452814,-0.23452814,-0.019015795,-0.019015795,-0.046816797,-0.046816797,-0.046816797,-0.046816797,-0.0037959565,-0.0037959565,-0.12156831,-0.12156831,0.12156831,0.12156831,-0.038271506,-0.038271506,0.083296807,0.083296807,-0.083296807,-0.083296807,0.038271506,0.038271506,0.045025301,0.045025301,-0.045025301,-0.045025301,0.045025301,0.045025301,-0.045025301,-0.045025301,-0.15798513,-0.15798513,-0.095558807,-0.095558807,-0.15798513,-0.15798513,-0.095558807,-0.095558807,-0.23452814,-0.23452814,-0.019015795,-0.019015795,-0.18950284,-0.18950284,-0.27955344,-0.27955344,-0.031211198,-0.031211198,-0.0025306377,-0.0025306377,-0.033481131,-0.033481131,-0.0002607049,-0.0002607049,-0.23452814,-0.23452814,-0.019015795,-0.019015795,-3.6869589,-3.6869589,-0.36974407,-0.36974407,-1.8041847,-1.8041847,-0.22416684,-0.22416684,0.2757586,0.2757586,-0.52930254,-0.52930254,-0.037900568,-0.037900568,-0.012808219,-0.012808219,0.699561,0.699561,-0.54029567,-0.54029567,0.017306947,0.017306947,-2.220446e-16,-2.220446e-16,-6.6613381e-16,-6.6613381e-16,0,0,0,0,0,0,0,0,0,0
0.25196866,0.25196866,0.30874224,0.30874224,0.5607109,0.5607109,-0.022232529,-0.022232529,0.30874224,-0.27420119,-0.14984296,-0.14984296,0.14984296,0.14984296,-0.14984296,-0.14984296,0.14984296,0.14984296,0,0,-0.26502148,-0.26502148,-0.021488228,-0.021488228,-0.045740011,-0.045740011,-0.045740011,-0.045740011,-0.0037086495,-0.0037086495,-0.11804604,-0.11804604,0.11804604,0.11804604,-0.037162644,-0.037162644,0.080883401,0.080883401,-0.080883401,-0.080883401,0.037162644,0.037162644,0.043720757,0.043720757,-0.043720757,-0.043720757,0.043720757,0.043720757,-0.043720757,-0.043720757,-0.1906962,-0.1906962,-0.095813516,-0.095813516,-0.1906962,-0.1906962,-0.095813516,-0.095813516,-0.26502148,-0.26502148,-0.021488228,-0.021488228,-0.22130073,-0.22130073,-0.30874224,-0.30874224,-0.030493341,-0.030493341,-0.002472433,-0.002472433,-0.032711065,-0.032711065,-0.00025470868,-0.00025470868,-0.26502148,-0.26502148,-0.021488228,-0.021488228,-4.1767499,-4.1767499,-0.40740548,-0.40740548,-2.0502187,-2.0502187,-0.24185904,-0.24185904,0.23048043,0.23048043,-0.51699014,-0.51699014,-0.044260145,-0.044260145,-0.013041797,-0.013041797,0.7905179,0.7905179,-0.63141988,-0.63141988,0.016908887,0.016908887,-3.3306691e-16,-3.3306691e-16,-7.7715612e-16,-7.7715612e-16,0,0,0,0,0,0,0,0,0,0
0.21014746,0.21014746,0.33725969,0.33725969,0.54740715,0.54740715,-0.018542423,-0.018542423,0.33725969,-0.22868988,-0.14547477,-0.14547477,0.14547477,0.14547477,-0.14547477,-0.14547477,0.14547477,0.14547477,0,0,-0.29481348,-0.29481348,-0.023903795,-0.023903795,-0.044687991,-0.044687991,-0.044687991,-0.044687991,-0.0036233506,-0.0036233506,-0.11460479,-0.11460479,0.11460479,0.11460479,-0.036079285,-0.036079285,0.078525503,0.078525503,-0.078525503,-0.078525503,0.036079285,0.036079285,0.042446218,0.042446218,-0.042446218,-0.042446218,0.042446218,0.042446218,-0.042446218,-0.042446218,-0.22265491,-0.22265491,-0.096062366,-0.096062366,-0.22265491,-0.22265491,-0.096062366,-0.096062366,-0.29481348,-0.29481348,-0.023903795,-0.023903795,-0.25236726,-0.25236726,-0.33725969,-0.33725969,-0.029791994,-0.029791994,-0.0024155671,-0.0024155671,-0.03195871,-0.03195871,-0.00024885038,-0.00024885038,-0.29481348,-0.29481348,-0.023903795,-0.023903795,-4.6552757,-4.6552757,-0.44420068,-0.44420068,-2.2905939,-2.2905939,-0.25914431,-0.25914431,0.18624366,0.18624366,-0.50496093,-0.50496093,-0.050473452,-0.050473452,-0.013270003,-0.013270003,0.87938279,0.87938279,-0.72667408,-0.72667408,0.016519983,0.016519983,-4.4408921e-16,-4.4408921e-16,-9.9920072e-16,-9.9920072e-16,0,0,0,0,0,0,0,0,0,0
0.16928814,0.16928814,0.36512125,0.36512125,0.53440939,0.53440939,-0.014937189,-0.014937189,0.36512125,-0.18422533,-0.14120704,-0.14120704,0.14120704,0.14120704,-0.14120704,-0.14120704,0.14120704,0.14120704,0,0,-0.32392025,-0.32392025,-0.026263804,-0.026263804,-0.043660167,-0.043660167,-0.043660167,-0.043660167,-0.0035400135,-0.0035400135,-0.11124268,-0.11124268,0.11124268,0.11124268,-0.035020844,-0.035020844,0.076221837,0.076221837,-0.076221837,-0.076221837,0.035020844,0.035020844,0.041200993,0.041200993,-0.041200993,-0.041200993,0.041200993,0.041200993,-0.041200993,-0.041200993,-0.25387857,-0.25387857,-0.096305493,-0.096305493,-0.25387857,-0.25387857,-0.096305493,-0.096305493,-0.32392025,-0.32392025,-0.026263804,-0.026263804,-0.28271926,-0.28271926,-0.36512125,-0.36512125,-0.029106778,-0.029106778,-0.002360009,-0.002360009,-0.03122366,-0.03122366,-0.00024312682,-0.00024312682,-0.32392025,-0.32392025,-0.026263804,-0.026263804,-5.1227954,-5.1227954,-0.48014959,-0.48014959,-2.5254404,-2.5254404,-0.27603202,-0.27603202,0.14302433,0.14302433,-0.49320839,-0.49320839,-0.056543852,-0.056543852,-0.01349296,-0.01349296,0.96620378,0.96620378,-0.82631795,-0.82631795,0.016140023,0.016140023,-5.5511151e-16,-5.5511151e-16,-1.2212453e-15,-1.2212453e-15,2.220446e-16,2.220446e-16,0,0,0,0,0,0,0,0
