e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,p_H_W_slash_p_H_pie,p_H_W_slash_p_H_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,y_H_potential_pie,y_H_potential_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
-0.087904106,-0.087904106,0.087904106,0.087904106,2.220446e-16,2.220446e-16,-1.4391456e-16,-1.4391456e-16,0.087904106,0.087904106,-0.083515524,-0.083515524,-0.013185641,-0.013185641,-0.083515524,-0.083515524,-0.013185641,-0.013185641,0,0,1.6496083e-07,1.6496083e-07,4.3415728e-17,4.3415728e-17,0.0024191458,0.0024191458,0.0024191458,0.0024191458,2.2358008e-17,2.2358008e-17,-0.07471863,-0.07471863,-0.013185641,-0.013185641,-0.07471863,-0.07471863,-0.013185641,-0.013185641,-3.6593689e-17,-3.6593689e-17,1.028925e-16,1.028925e-16,-0.087904271,-0.087904271,7.0042045e-17,7.0042045e-17,0.012095729,0.012095729,1.1202795e-16,1.1202795e-16,-0.013185476,-0.013185476,0.013185641,0.013185641,-0.013185476,-0.013185476,0.013185641,0.013185641,1.6496083e-07,1.6496083e-07,8.1266292e-19,8.1266292e-19,-0.087904106,-0.087904106,-0.087904106,-0.087904106,-0.013185641,-0.013185641,1.6496083e-07,1.6496083e-07,7.6887264e-18,7.6887264e-18,-0.013185476,-0.013185476,0.013185641,0.013185641,1.6496083e-05,1.6496083e-05,5.3469412e-18,5.3469412e-18,-0.0016499604,-0.0016499604,5.5290804e-17,5.5290804e-17,-0.012407759,-0.012407759,-1.440907e-16,-1.440907e-16,-0.087904106,-0.087904106,0.087904271,0.087904271,-0.017580821,-0.017580821,2.2630253e-17,2.2630253e-17,3.7205975e-16,3.7205975e-16,-4.0791736e-16,-4.0791736e-16,-2.6018223e-19,-2.6018223e-19,-1.3233652e-18,-1.3233652e-18,-0.1,-0.1,8.2022741e-18,8.2022741e-18,0,0,0,0,-0.1,-0.1,1.4816975e-11,1.4816975e-11,9.7542247e-34,9.7542247e-34
-0.085497056,-0.085497056,0.085497056,0.085497056,1.2490009e-16,1.2490009e-16,-1.2051567e-16,-1.2051567e-16,0.085497056,0.085497056,-0.079583733,-0.079583733,-0.012824562,-0.012824562,-0.079583733,-0.079583733,-0.012824562,-0.012824562,0.012095729,0.012095729,2.4791268e-08,2.4791268e-08,-4.1736453e-18,-4.1736453e-18,0.0026263276,0.0026263276,0.0026263276,0.0026263276,-1.3617278e-17,-1.3617278e-17,-0.072672519,-0.072672519,-0.012824562,-0.012824562,-0.072672519,-0.072672519,-0.012824562,-0.012824562,-3.3126996e-17,-3.3126996e-17,1.0660023e-16,1.0660023e-16,-0.085497081,-0.085497081,7.2864099e-17,7.2864099e-17,0.0095029192,0.0095029192,1.4339919e-16,1.4339919e-16,-0.012824537,-0.012824537,0.012824562,0.012824562,-0.012824537,-0.012824537,0.012824562,0.012824562,2.4791268e-08,2.4791268e-08,4.2817039e-18,4.2817039e-18,-0.085497056,-0.085497056,-0.085497056,-0.085497056,-0.012824562,-0.012824562,-1.4016956e-07,-1.4016956e-07,3.0937583e-18,3.0937583e-18,0.00036093837,0.00036093837,-0.00036107854,-0.00036107854,-1.3851995e-05,-1.3851995e-05,-7.3128975e-18,-7.3128975e-18,-0.019538488,-0.019538488,-9.2809361e-16,-9.2809361e-16,-0.01259741,-0.01259741,-7.104756e-16,-7.104756e-16,-0.085497056,-0.085497056,0.085497081,0.085497081,-0.017099411,-0.017099411,1.7040658e-17,1.7040658e-17,5.1293413e-16,5.1293413e-16,-5.6088844e-16,-5.6088844e-16,-5.0231577e-19,-5.0231577e-19,2.2977411e-18,2.2977411e-18,-0.095,-0.095,2.6990925e-17,2.6990925e-17,1.871332e-18,1.871332e-18,3.1676889e-18,3.1676889e-18,0,0,2.5366872e-11,2.5366872e-11,8.8949397e-34,8.8949397e-34
-0.08288386,-0.08288386,0.08288386,0.08288386,8.3266727e-17,8.3266727e-17,-9.3701887e-17,-9.3701887e-17,0.08288386,0.08288386,-0.07580843,-0.07580843,-0.012432526,-0.012432526,-0.07580843,-0.07580843,-0.012432526,-0.012432526,0.021598648,0.021598648,-3.5645733e-07,-3.5645733e-07,-8.4329753e-19,-8.4329753e-19,0.0027692182,0.0027692182,0.0027692182,0.0027692182,-1.688963e-17,-1.688963e-17,-0.070450978,-0.070450978,-0.012432526,-0.012432526,-0.070450978,-0.070450978,-0.012432526,-0.012432526,-2.682187e-17,-2.682187e-17,8.1097649e-17,8.1097649e-17,-0.082883504,-0.082883504,5.3944741e-17,5.3944741e-17,0.0073664964,0.0073664964,1.3168689e-16,1.3168689e-16,-0.012432882,-0.012432882,0.012432526,0.012432526,-0.012432882,-0.012432882,0.012432526,0.012432526,-3.5645733e-07,-3.5645733e-07,4.7472441e-18,4.7472441e-18,-0.08288386,-0.08288386,-0.08288386,-0.08288386,-0.012432526,-0.012432526,-3.812486e-07,-3.812486e-07,-1.0543875e-18,-1.0543875e-18,0.00039165533,0.00039165533,-0.00039203658,-0.00039203658,-3.8100069e-05,-3.8100069e-05,-1.51663e-17,-1.51663e-17,-0.033867633,-0.033867633,-1.28019e-15,-1.28019e-15,-0.012788801,-0.012788801,-8.0131555e-16,-8.0131555e-16,-0.08288386,-0.08288386,0.082883504,0.082883504,-0.016576772,-0.016576772,1.6612616e-17,1.6612616e-17,6.4066322e-16,6.4066322e-16,-6.985628e-16,-6.985628e-16,-7.2632436e-19,-7.2632436e-19,5.426715e-18,5.426715e-18,-0.09025,-0.09025,4.3950602e-17,4.3950602e-17,3.4837103e-18,3.4837103e-18,5.8643667e-18,5.8643667e-18,0,0,1.0425655e-10,1.0425655e-10,6.8546407e-34,6.8546407e-34
-0.080128488,-0.080128488,0.080128488,0.080128488,2.7755576e-17,2.7755576e-17,-6.8637971e-17,-6.8637971e-17,0.080128488,0.080128488,-0.072188383,-0.072188383,-0.012019134,-0.012019134,-0.072188383,-0.072188383,-0.012019134,-0.012019134,0.028965145,0.028965145,-9.2595599e-07,-9.2595599e-07,-7.8787962e-19,-7.8787962e-19,0.0028598963,0.0028598963,0.0028598963,0.0028598963,-1.984383e-17,-1.984383e-17,-0.068108428,-0.068108428,-0.012019134,-0.012019134,-0.068108428,-0.068108428,-0.012019134,-0.012019134,-2.0786099e-17,-2.0786099e-17,5.9828573e-17,5.9828573e-17,-0.080127562,-0.080127562,3.8934032e-17,3.8934032e-17,0.005609938,0.005609938,1.0952958e-16,1.0952958e-16,-0.01202006,-0.01202006,0.012019134,0.012019134,-0.01202006,-0.01202006,0.012019134,0.012019134,-9.2595599e-07,-9.2595599e-07,2.4932249e-18,2.4932249e-18,-0.080128488,-0.080128488,-0.080128488,-0.080128488,-0.012019134,-0.012019134,-5.6949866e-07,-5.6949866e-07,-4.6911353e-18,-4.6911353e-18,0.00041282174,0.00041282174,-0.00041339124,-0.00041339124,-5.7306323e-05,-5.7306323e-05,-2.4893e-17,-2.4893e-17,-0.045253372,-0.045253372,-1.7668978e-15,-1.7668978e-15,-0.01298,-0.01298,-9.6942613e-16,-9.6942613e-16,-0.080128488,-0.080128488,0.080127562,0.080127562,-0.016025698,-0.016025698,1.588227e-17,1.588227e-17,7.560833e-16,7.560833e-16,-8.2194446e-16,-8.2194446e-16,-9.33317e-19,-9.33317e-19,8.1118937e-18,8.1118937e-18,-0.0857375,-0.0857375,5.9208037e-17,5.9208037e-17,4.8646138e-18,4.8646138e-18,8.1316149e-18,8.1316149e-18,0,0,2.7981097e-10,2.7981097e-10,8.7720943e-34,8.7720943e-34
-0.077282891,-0.077282891,0.077282891,0.077282891,-1.3877788e-17,-1.3877788e-17,-4.49404e-17,-4.49404e-17,0.077282891,0.077282891,-0.068721336,-0.068721336,-0.011592188,-0.011592188,-0.068721335,-0.068721335,-0.011592188,-0.011592188,0.034575083,0.034575083,-1.6402188e-06,-1.6402188e-06,-3.6412993e-18,-3.6412993e-18,0.0029083798,0.0029083798,0.0029083798,0.0029083798,-2.2486942e-17,-2.2486942e-17,-0.065689063,-0.065689063,-0.011592188,-0.011592188,-0.065689063,-0.065689063,-0.011592188,-0.011592188,-1.5045461e-17,-1.5045461e-17,4.2162892e-17,4.2162892e-17,-0.077281251,-0.077281251,2.7185697e-17,2.7185697e-17,0.004169374,0.004169374,8.1845541e-17,8.1845541e-17,-0.011593828,-0.011593828,0.011592188,0.011592188,-0.011593828,-0.011593828,0.011592188,0.011592188,-1.6402188e-06,-1.6402188e-06,-2.2097665e-18,-2.2097665e-18,-0.077282891,-0.077282891,-0.077282891,-0.077282891,-0.011592188,-0.011592188,-7.1426285e-07,-7.1426285e-07,-7.8691899e-18,-7.8691899e-18,0.00042623239,0.00042623239,-0.00042694666,-0.00042694666,-7.2352241e-05,-7.2352241e-05,-3.6266964e-17,-3.6266964e-17,-0.054208889,-0.054208889,-2.37233e-15,-2.37233e-15,-0.013169476,-0.013169476,-1.2058631e-15,-1.2058631e-15,-0.077282891,-0.077282891,0.077281251,0.077281251,-0.015456578,-0.015456578,1.4833432e-17,1.4833432e-17,8.5999895e-16,8.5999895e-16,-9.3202883e-16,-9.3202883e-16,-1.124332e-18,-1.124332e-18,1.0398037e-17,1.0398037e-17,-0.081450625,-0.081450625,7.2883374e-17,7.2883374e-17,6.0390242e-18,6.0390242e-18,1.0009308e-17,1.0009308e-17,0,0,5.548012e-10,5.548012e-10,1.6796555e-33,1.6796555e-33
-0.074389053,-0.074389053,0.074389053,0.074389053,-4.1633363e-17,-4.1633363e-17,-2.2302768e-17,-2.2302768e-17,0.074389053,0.074389053,-0.065404241,-0.065404241,-0.011157988,-0.011157988,-0.065404241,-0.065404241,-0.011157988,-0.011157988,0.038744457,0.038744457,-2.4635345e-06,-2.4635345e-06,-9.068131e-18,-9.068131e-18,0.0029229682,0.0029229682,0.0029229682,0.0029229682,-2.483003e-17,-2.483003e-17,-0.063228601,-0.063228601,-0.011157988,-0.011157988,-0.063228601,-0.063228601,-0.011157988,-0.011157988,-9.6159024e-18,-9.6159024e-18,2.7560913e-17,2.7560913e-17,-0.07438659,-0.07438659,1.8152105e-17,1.8152105e-17,0.0029915039,0.0029915039,5.1961196e-17,5.1961196e-17,-0.011160452,-0.011160452,0.011157988,0.011157988,-0.011160452,-0.011160452,0.011157988,0.011157988,-2.4635345e-06,-2.4635345e-06,-9.1059015e-18,-9.1059015e-18,-0.074389053,-0.074389053,-0.074389053,-0.074389053,-0.011157988,-0.011157988,-8.233157e-07,-8.233157e-07,-1.0636094e-17,-1.0636094e-17,0.00043337586,0.00043337586,-0.00043419918,-0.00043419918,-8.3971789e-05,-8.3971789e-05,-4.9080121e-17,-4.9080121e-17,-0.061161555,-0.061161555,-3.0818822e-15,-3.0818822e-15,-0.013356027,-0.013356027,-1.5024166e-15,-1.5024166e-15,-0.074389053,-0.074389053,0.07438659,0.07438659,-0.014877811,-0.014877811,1.3461496e-17,1.3461496e-17,9.5317933e-16,9.5317933e-16,-1.029784e-15,-1.029784e-15,-1.3003426e-18,-1.3003426e-18,1.2326424e-17,1.2326424e-17,-0.077378094,-0.077378094,8.509026e-17,8.509026e-17,7.0296092e-18,7.0296092e-18,1.1535303e-17,1.1535303e-17,0,0,9.1834183e-10,9.1834183e-10,3.1263289e-33,3.1263289e-33
-0.0714807,-0.0714807,0.0714807,0.0714807,-5.5511151e-17,-5.5511151e-17,-4.820031e-19,-4.820031e-19,0.0714807,0.0714807,-0.062233448,-0.062233448,-0.0107216,-0.0107216,-0.062233447,-0.062233447,-0.0107216,-0.0107216,0.041735961,0.041735961,-3.3666571e-06,-3.3666571e-06,-1.6761808e-17,-1.6761808e-17,0.0029105288,0.0029105288,0.0029105288,0.0029105288,-2.688698e-17,-2.688698e-17,-0.060755733,-0.060755733,-0.0107216,-0.0107216,-0.060755733,-0.060755733,-0.0107216,-0.0107216,-4.5056055e-18,-4.5056055e-18,1.5560301e-17,1.5560301e-17,-0.071477333,-0.071477333,1.1369406e-17,1.1369406e-17,0.0020318557,0.0020318557,2.2065732e-17,2.2065732e-17,-0.010724967,-0.010724967,0.0107216,0.0107216,-0.010724967,-0.010724967,0.0107216,0.0107216,-3.3666571e-06,-3.3666571e-06,-1.7954927e-17,-1.7954927e-17,-0.0714807,-0.0714807,-0.0714807,-0.0714807,-0.0107216,-0.0107216,-9.0312253e-07,-9.0312253e-07,-1.3034727e-17,-1.3034727e-17,0.00043548535,0.00043548535,-0.00043638847,-0.00043638847,-9.2775787e-05,-9.2775787e-05,-6.3141599e-17,-6.3141599e-17,-0.0664671,-0.0664671,-3.8821712e-15,-3.8821712e-15,-0.013538723,-0.013538723,-1.8515731e-15,-1.8515731e-15,-0.0714807,-0.0714807,0.071477333,0.071477333,-0.01429614,-0.01429614,1.177063e-17,1.177063e-17,1.0363559e-15,1.0363559e-15,-1.1161382e-15,-1.1161382e-15,-1.4622621e-18,-1.4622621e-18,1.3934981e-17,1.3934981e-17,-0.073509189,-0.073509189,9.5935986e-17,9.5935986e-17,7.8568991e-18,7.8568991e-18,1.2745245e-17,1.2745245e-17,0,0,1.3532691e-09,1.3532691e-09,5.1481645e-33,5.1481645e-33
-0.068584724,-0.068584724,0.068584724,0.068584724,-6.9388939e-17,-6.9388939e-17,2.0713081e-17,2.0713081e-17,0.068584724,0.068584724,-0.059204854,-0.059204854,-0.01028706,-0.01028706,-0.059204852,-0.059204852,-0.01028706,-0.01028706,0.043767816,0.043767816,-4.3257133e-06,-4.3257133e-06,-2.6442792e-17,-2.6442792e-17,0.0028767353,0.0028767353,0.0028767353,0.0028767353,-2.8673564e-17,-2.8673564e-17,-0.058293338,-0.058293338,-0.01028706,-0.01028706,-0.058293338,-0.058293338,-0.01028706,-0.01028706,2.8332174e-19,2.8332174e-19,5.7649565e-18,5.7649565e-18,-0.068580398,-0.068580398,6.4449428e-18,6.4449428e-18,0.0012533315,0.0012533315,-6.4568829e-18,-6.4568829e-18,-0.010291385,-0.010291385,0.01028706,0.01028706,-0.010291385,-0.010291385,0.01028706,0.01028706,-4.3257133e-06,-4.3257133e-06,-2.8532529e-17,-2.8532529e-17,-0.068584724,-0.068584724,-0.068584724,-0.068584724,-0.01028706,-0.01028706,-9.5905627e-07,-9.5905627e-07,-1.5103753e-17,-1.5103753e-17,0.00043358122,0.00043358122,-0.00043454028,-0.00043454028,-9.9272284e-05,-9.9272284e-05,-7.8276872e-17,-7.8276872e-17,-0.070421461,-0.070421461,-4.7609702e-15,-4.7609702e-15,-0.013716856,-0.013716856,-2.246475e-15,-2.246475e-15,-0.068584724,-0.068584724,0.068580398,0.068580398,-0.013716945,-0.013716945,9.7715163e-18,9.7715163e-18,1.1102211e-15,1.1102211e-15,-1.1919722e-15,-1.1919722e-15,-1.6109479e-18,-1.6109479e-18,1.5258446e-17,1.5258446e-17,-0.06983373,-0.06983373,1.0552167e-16,1.0552167e-16,8.5394563e-18,8.5394563e-18,1.367246e-17,1.367246e-17,0,0,1.8405615e-09,1.8405615e-09,7.6251589e-33,7.6251589e-33
-0.065722372,-0.065722372,0.065722372,0.065722372,-1.110223e-16,-1.110223e-16,4.143129e-17,4.143129e-17,0.065722372,0.065722372,-0.056314035,-0.056314035,-0.0098575576,-0.0098575576,-0.056314033,-0.056314033,-0.0098575576,-0.0098575576,0.045021148,0.045021148,-5.3212918e-06,-5.3212918e-06,-3.7856752e-17,-3.7856752e-17,0.0028262673,0.0028262673,0.0028262673,0.0028262673,-3.0206708e-17,-3.0206708e-17,-0.055859493,-0.055859493,-0.0098575576,-0.0098575576,-0.055859493,-0.055859493,-0.0098575576,-0.0098575576,4.7534688e-18,4.7534688e-18,-2.1644659e-18,-2.1644659e-18,-0.065717051,-0.065717051,3.0465753e-18,3.0465753e-18,0.00062499215,0.00062499215,-3.2786439e-17,-3.2786439e-17,-0.0098628789,-0.0098628789,0.0098575576,0.0098575576,-0.0098628789,-0.0098628789,0.0098575576,0.0098575576,-5.3212918e-06,-5.3212918e-06,-4.0630344e-17,-4.0630344e-17,-0.065722372,-0.065722372,-0.065722372,-0.065722372,-0.0098575576,-0.0098575576,-9.9557844e-07,-9.9557844e-07,-1.6878031e-17,-1.6878031e-17,0.0004285065,0.0004285065,-0.00042950208,-0.00042950208,-0.00010388356,-0.00010388356,-9.4326845e-17,-9.4326845e-17,-0.073270674,-0.073270674,-5.70714e-15,-5.70714e-15,-0.013889905,-0.013889905,-2.6808797e-15,-2.6808797e-15,-0.065722372,-0.065722372,0.065717051,0.065717051,-0.013144474,-0.013144474,7.479544e-18,7.479544e-18,1.1754284e-15,1.1754284e-15,-1.2581146e-15,-1.2581146e-15,-1.7472062e-18,-1.7472062e-18,1.6328531e-17,1.6328531e-17,-0.066342043,-0.066342043,1.1394245e-16,1.1394245e-16,9.0940362e-18,9.0940362e-18,1.4347916e-17,1.4347916e-17,0,0,2.3618514e-09,2.3618514e-09,1.041919e-32,1.041919e-32
-0.062910236,-0.062910236,0.062910236,0.062910236,-9.7144515e-17,-9.7144515e-17,6.178693e-17,6.178693e-17,0.062910236,0.062910236,-0.053556347,-0.053556347,-0.0094355848,-0.0094355848,-0.053556345,-0.053556345,-0.0094355848,-0.0094355848,0.04564614,0.04564614,-6.3376822e-06,-6.3376822e-06,-5.0772785e-17,-5.0772785e-17,0.0027629769,0.0027629769,0.0027629769,0.0027629769,-3.1503915e-17,-3.1503915e-17,-0.053468314,-0.053468314,-0.0094355848,-0.0094355848,-0.053468314,-0.053468314,-0.0094355848,-0.0094355848,8.9110036e-18,8.9110036e-18,-8.5186555e-18,-8.5186555e-18,-0.062903899,-0.062903899,8.9362022e-19,8.9362022e-19,0.00012104234,0.00012104234,-5.6491721e-17,-5.6491721e-17,-0.0094419225,-0.0094419225,0.0094355848,0.0094355848,-0.0094419225,-0.0094419225,0.0094355848,0.0094355848,-6.3376822e-06,-6.3376822e-06,-5.4055705e-17,-5.4055705e-17,-0.062910236,-0.062910236,-0.062910236,-0.062910236,-0.0094355848,-0.0094355848,-1.0163904e-06,-1.0163904e-06,-1.8388978e-17,-1.8388978e-17,0.00042095646,0.00042095646,-0.00042197285,-0.00042197285,-0.00010696033,-0.00010696033,-1.1114692e-16,-1.1114692e-16,-0.075219139,-0.075219139,-6.7105602e-15,-6.7105602e-15,-0.014057494,-0.014057494,-3.1491184e-15,-3.1491184e-15,-0.062910236,-0.062910236,0.062903899,0.062903899,-0.012582047,-0.012582047,4.9133631e-18,4.9133631e-18,1.2325919e-15,1.2325919e-15,-1.3153403e-15,-1.3153403e-15,-1.8717952e-18,-1.8717952e-18,1.7174117e-17,1.7174117e-17,-0.063024941,-0.063024941,1.2128773e-16,1.2128773e-16,9.535739e-18,9.535739e-18,1.4800235e-17,1.4800235e-17,0,0,2.9007284e-09,2.9007284e-09,1.3393942e-32,1.3393942e-32
