e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,p_H_W_slash_p_H_pie,p_H_W_slash_p_H_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,y_H_potential_pie,y_H_potential_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
0.39584934,0.56755656,0.27223535,0.10052813,0.6680847,0.6680847,-0.045560632,-0.045560632,-0.44140998,-0.61311719,-0.21107906,-0.19000805,0.14989262,0.17564663,-0.21107863,-0.19000717,0.14997842,0.17573242,0,0,3.3207798e-05,4.7068925e-05,-0.00267382,-0.00267382,-0.043749032,-0.0094103607,-0.0050251256,-0.0094103607,-0.00401073,-0.00401073,-0.33123991,-0.18530055,0.1072058,0.1329598,-0.23142828,-0.085488923,0.066206515,0.091960519,-0.099811632,-0.099811632,0.040999284,0.040999284,-0.16522176,0.0064715964,-0.058812347,-0.058812347,-0.16522176,0.0064715964,-0.058812347,-0.058812347,0.059004555,0.08477242,-0.061645167,-0.087399171,0.059004555,0.08477242,-0.061645167,-0.087399171,3.3207798e-05,4.7068925e-05,-0.00267382,-0.00267382,-0.16518855,0.0065186653,-0.27223535,-0.10052813,0.058971347,0.084725351,3.3207798e-05,4.7068925e-05,-0.00267382,-0.00267382,0.059004555,0.08477242,-0.061645167,-0.087399171,0.0033207798,0.0047068925,-0.01069528,-0.01069528,31.416125,31.463602,-0.93384058,-0.93384058,32.425331,31.587476,-0.62259533,-0.62259533,0.39317552,0.56488274,-0.39581614,-0.56750949,-0.033037711,0.0013037331,-0.012297233,-0.012297233,0.1070468,0.1070468,-0.076689365,-0.068288955,0.0199,0.0199,1.4742194e-18,-4.0621298e-17,0,0,0,-1.7708801e-16,0,0,0,0,0.0535234,0.0535234,6.0045163e-07,1.2063309e-06,0.00011796367,0.00011796367
0.39344688,0.56218393,0.2586285,0.089891443,0.65207537,0.65207537,-0.041569956,-0.041569956,-0.43501683,-0.60375389,-0.20443944,-0.18373444,0.14651639,0.17182343,-0.2044384,-0.18373264,0.14666263,0.17196967,-0.21874516,-0.047051803,7.2115589e-05,9.5564545e-05,-0.0052861421,-0.0052861421,-0.054513944,-0.010469622,-0.0050251256,-0.010469622,-0.0039184832,-0.0039184832,-0.3169139,-0.17350734,0.10506939,0.13037643,-0.21989552,-0.076488956,0.065241708,0.090548748,-0.097018385,-0.097018385,0.039827683,0.039827683,-0.15465381,0.014059792,-0.057190702,-0.057190702,-0.15465381,0.014059792,-0.057190702,-0.057190702,0.058285409,0.083615898,-0.063499435,-0.088806476,0.058285409,0.083615898,-0.063499435,-0.088806476,7.2115589e-05,9.5564545e-05,-0.0052861421,-0.0052861421,-0.1545817,0.014155356,-0.2586285,-0.089891443,0.058213293,0.083520334,3.8907791e-05,4.849562e-05,-0.0026123221,-0.0026123221,-0.00071914662,-0.0011565219,-0.0018542677,-0.0014073046,0.0039239869,0.0048966309,-0.013123109,-0.013123109,31.163415,30.957861,-1.079416,-1.079416,31.760006,30.909322,-0.69087749,-0.69087749,0.38816074,0.55689779,-0.39337476,-0.56208837,-0.030916339,0.0028310713,-0.012495369,-0.012495369,0.21163152,0.21163152,-0.15187628,-0.13547158,0.0194423,0.0194423,2.3036494e-17,-3.3994833e-17,0,9.2598737e-17,0,-1.767912e-16,0,7.6846162e-17,0,-6.7822035e-17,0,0,1.41872e-06,2.4748364e-06,0.0002010725,0.0002010725
0.391021,0.55566555,0.24541326,0.080768717,0.63643426,0.63643426,-0.037671065,-0.037671065,-0.42869207,-0.59333661,-0.19796314,-0.17776126,0.14322251,0.16791487,-0.19796134,-0.1777585,0.14341036,0.16810272,-0.42569133,-0.085284373,0.00011644676,0.00014526414,-0.0078383808,-0.0078383808,-0.064642189,-0.011294626,-0.0050251256,-0.011294626,-0.0038283581,-0.0038283581,-0.30298963,-0.16306627,0.10296937,0.12766173,-0.20870025,-0.068776884,0.064286343,0.088978702,-0.094289382,-0.094289382,0.038683029,0.038683029,-0.14441391,0.020201818,-0.055606354,-0.055606354,-0.14441391,0.020201818,-0.055606354,-0.055606354,0.057576373,0.082297549,-0.065298307,-0.089990666,0.057576373,0.082297549,-0.065298307,-0.089990666,0.00011644676,0.00014526414,-0.0078383808,-0.0078383808,-0.14429746,0.020347082,-0.24541326,-0.080768717,0.057459926,0.082152285,4.4331172e-05,4.9699599e-05,-0.0025522387,-0.0025522387,-0.00070903564,-0.0013183486,-0.0017988719,-0.0011841905,0.0045052327,0.0050655245,-0.015495097,-0.015495097,30.91301,30.454829,-1.2216433,-1.2216433,31.111319,30.247534,-0.75758916,-0.75758916,0.38318262,0.54782717,-0.39090456,-0.55552028,-0.028859492,0.0040694165,-0.012688947,-0.012688947,0.3138108,0.3138108,-0.22559745,-0.20172125,0.018995127,0.018995127,2.0732844e-17,-2.7524375e-17,0,1.7801103e-16,0,-1.7527801e-16,0,1.4499383e-16,0,-1.3058455e-16,0,0,2.474613e-06,3.7950303e-06,0.00025828409,0.00025828409
0.38857186,0.54823661,0.23258104,0.07291629,0.6211529,0.6211529,-0.033861849,-0.033861849,-0.42243371,-0.58209846,-0.19164645,-0.17205592,0.14000461,0.16394981,-0.1916437,-0.17205217,0.1402201,0.16416531,-0.62119488,-0.11617219,0.00016593248,0.00019598134,-0.010331918,-0.010331918,-0.07415356,-0.011925258,-0.0050251256,-0.011925258,-0.0037403058,-0.0037403058,-0.28945807,-0.15376858,0.10090487,0.12485007,-0.19783493,-0.062145431,0.063340166,0.087285372,-0.091623147,-0.091623147,0.037564702,0.037564702,-0.13449476,0.025139941,-0.054058446,-0.054058446,-0.13449476,0.025139941,-0.054058446,-0.054058446,0.056877034,0.080852288,-0.06704302,-0.090988225,0.056877034,0.080852288,-0.06704302,-0.090988225,0.00016593248,0.00019598134,-0.010331918,-0.010331918,-0.13432883,0.025335922,-0.23258104,-0.07291629,0.056711101,0.080656307,4.9485719e-05,5.0717198e-05,-0.0024935372,-0.0024935372,-0.00069933899,-0.0014452615,-0.0017447125,-0.00099755856,0.0050650187,0.0052169839,-0.01781253,-0.01781253,30.664827,29.956149,-1.3605993,-1.3605993,30.478856,29.601728,-0.82276647,-0.82276647,0.37823994,0.53790469,-0.38840593,-0.54804063,-0.026865766,0.0050671845,-0.012878073,-0.012878073,0.41363995,0.41363995,-0.29788876,-0.26716843,0.018558239,0.018558239,7.5367565e-18,-2.1211347e-17,0,2.5665449e-16,0,-1.7263371e-16,0,2.0534735e-16,0,-1.887413e-16,0,0,3.7832583e-06,5.1576615e-06,0.00029630558,0.00029630558
0.38609959,0.54009258,0.22012342,0.066130425,0.60622301,0.60622301,-0.030140244,-0.030140244,-0.41623983,-0.57023283,-0.18548576,-0.16659084,0.13685756,0.15995242,-0.18548187,-0.16658607,0.1370904,0.16018526,-0.80560422,-0.14094683,0.00022031153,0.00024756013,-0.012768104,-0.012768104,-0.083067409,-0.012394817,-0.0050251256,-0.012394817,-0.0036542788,-0.0036542788,-0.27631041,-0.14543952,0.098875024,0.12196989,-0.18729217,-0.056421288,0.062402928,0.08549779,-0.089018236,-0.089018236,0.036472096,0.036472096,-0.12488924,0.029076502,-0.05254614,-0.05254614,-0.12488924,0.029076502,-0.05254614,-0.05254614,0.056186988,0.079309098,-0.06873478,-0.091829642,0.056186988,0.079309098,-0.06873478,-0.091829642,0.00022031153,0.00024756013,-0.012768104,-0.012768104,-0.12466893,0.029324063,-0.22012342,-0.066130425,0.055966676,0.079061538,5.4379048e-05,5.1578784e-05,-0.0024361859,-0.0024361859,-0.00069004623,-0.0015431901,-0.0016917606,-0.00084141701,0.0056038373,0.0053538597,-0.020076662,-0.020076662,30.418787,29.463146,-1.4963593,-1.4963593,29.862215,28.971531,-0.8864447,-0.8864447,0.37333149,0.52732448,-0.38587928,-0.53984502,-0.024933786,0.0058648125,-0.013062849,-0.013062849,0.51117303,0.51117303,-0.36878521,-0.33191058,0.0181314,0.0181314,1.4469468e-17,-1.5055766e-17,0,3.2892488e-16,0,-1.6893935e-16,0,2.5871935e-16,0,-2.4270435e-16,0,0,5.3555562e-06,6.5546569e-06,0.00032015671,0.00032015671
0.38360432,0.53139575,0.20803218,0.060240756,0.5916365,0.5916365,-0.026504237,-0.026504237,-0.41010856,-0.55789998,-0.17947751,-0.16134256,0.1337772,0.15594284,-0.17947228,-0.16133676,0.13401982,0.15618545,-0.97926,-0.16063686,0.00027933014,0.00029986987,-0.015148258,-0.015148258,-0.091402661,-0.012731097,-0.0050251256,-0.012731097,-0.0035702304,-0.0035702304,-0.26353802,-0.13793277,0.096879005,0.11904464,-0.17706478,-0.051459532,0.061474385,0.083640017,-0.086473237,-0.086473237,0.03540462,0.03540462,-0.1155904,0.032180485,-0.051068617,-0.051068617,-0.1155904,0.032180485,-0.051068617,-0.051068617,0.055505841,0.077692013,-0.070374768,-0.0925404,0.055505841,0.077692013,-0.070374768,-0.0925404,0.00027933014,0.00029986987,-0.015148258,-0.015148258,-0.11531107,0.032480355,-0.20803218,-0.060240756,0.05522651,0.077392143,5.9018614e-05,5.2309741e-05,-0.0023801536,-0.0023801536,-0.00068114712,-0.0016170851,-0.0016399879,-0.00071075875,0.0061221729,0.0054785342,-0.022288718,-0.022288718,30.174815,28.976878,-1.6289969,-1.6289969,29.261001,28.356578,-0.94865833,-0.94865833,0.36845607,0.51624749,-0.38332499,-0.53109588,-0.023062214,0.006496071,-0.013243375,-0.013243375,0.60646285,0.60646285,-0.43832101,-0.39601968,0.017714377,0.017714377,-6.9929007e-18,-9.0565585e-18,0,3.9519713e-16,0,-1.6427184e-16,0,3.0584002e-16,0,-2.9284769e-16,0,0,7.1986013e-06,7.9790305e-06,0.0003335922,0.0003335922
0.38108619,0.52228069,0.1962993,0.055104803,0.57738549,0.57738549,-0.022951858,-0.022951858,-0.40403805,-0.54523254,-0.17361824,-0.15629113,0.13076011,0.15193777,-0.17361146,-0.15628428,0.13100696,0.15218462,-1.1424953,-0.17610129,0.00034274185,0.00035280115,-0.017473668,-0.017473668,-0.099177821,-0.012957293,-0.0050251256,-0.012957293,-0.0034881151,-0.0034881151,-0.25113251,-0.13112574,0.094915992,0.11609366,-0.16714573,-0.047138964,0.060554296,0.081731961,-0.083986773,-0.083986773,0.034361696,0.034361696,-0.10659144,0.034592998,-0.049625077,-0.049625077,-0.10659144,0.034592998,-0.049625077,-0.049625077,0.054833209,0.076020934,-0.071964135,-0.0931418,0.054833209,0.076020934,-0.071964135,-0.0931418,0.00034274185,0.00035280115,-0.017473668,-0.017473668,-0.1062487,0.034945799,-0.1962993,-0.055104803,0.054490467,0.075668132,6.341171e-05,5.2931286e-05,-0.0023254101,-0.0023254101,-0.00067263169,-0.0016710792,-0.0015893667,-0.00060139955,0.0066205012,0.0055929985,-0.024449898,-0.024449898,29.932839,28.498186,-1.7585837,-1.7585837,28.674831,27.756514,-1.009441,-1.009441,0.36361252,0.50480702,-0.38074345,-0.52192788,-0.021249739,0.0069891598,-0.013419749,-0.013419749,0.699561,0.699561,-0.50652958,-0.45954797,0.017306947,0.017306947,4.5197214e-18,-3.2118103e-18,0,4.5582638e-16,0,-1.5870408e-16,0,3.4736543e-16,0,-3.3951068e-16,0,0,9.3160743e-06,9.4247773e-06,0.00033941843,0.00033941843
0.37854531,0.51285885,0.18491694,0.050603393,0.56346225,0.56346225,-0.019481183,-0.019481183,-0.39802649,-0.53234004,-0.16790455,-0.15141952,0.12780337,0.14795101,-0.16789603,-0.1514116,0.12805045,0.14819809,-1.2956358,-0.18805737,0.00041030733,0.00040626231,-0.019745593,-0.019745593,-0.10641098,-0.01309276,-0.0050251256,-0.01309276,-0.0034078885,-0.0034078885,-0.23908565,-0.12491571,0.092985188,0.11313283,-0.15752816,-0.043358207,0.059642428,0.079790066,-0.081557498,-0.081557498,0.03334276,0.03334276,-0.097885729,0.036431859,-0.048214738,-0.048214738,-0.097885729,0.036431859,-0.048214738,-0.048214738,0.054168719,0.074312312,-0.073504005,-0.093651643,0.054168719,0.074312312,-0.073504005,-0.093651643,0.00041030733,0.00040626231,-0.019745593,-0.019745593,-0.097475422,0.036838121,-0.18491694,-0.050603393,0.053758411,0.07390605,6.7565481e-05,5.3461156e-05,-0.0022719256,-0.0022719256,-0.00066449015,-0.0017086217,-0.00153987,-0.00050984279,0.00709929,0.0056989167,-0.02656137,-0.02656137,29.692793,28.027727,-1.8851901,-1.8851901,28.10333,27.170995,-1.0688258,-1.0688258,0.35879972,0.49311326,-0.378135,-0.51245259,-0.019495084,0.0073676242,-0.013592066,-0.013592066,0.7905179,0.7905179,-0.57344354,-0.52253249,0.016908887,0.016908887,-3.2665695e-17,2.4810251e-18,0,5.1114893e-16,0,-1.5230513e-16,0,3.8388506e-16,0,-3.8300118e-16,0,0,1.1708607e-05,1.0886762e-05,0.00033973098,0.00033973098
0.3759818,0.50322241,0.17387744,0.046636833,0.54985924,0.54985924,-0.016090334,-0.016090334,-0.39207214,-0.51931274,-0.16233314,-0.14671313,0.12490453,0.14399387,-0.16232268,-0.14670414,0.12514896,0.1442383,-1.439,-0.19710396,0.00048179425,0.00046017648,-0.021965265,-0.021965265,-0.11311985,-0.013153641,-0.0050251256,-0.013153641,-0.003329507,-0.003329507,-0.22738944,-0.11921655,0.09108581,0.11017514,-0.14820535,-0.040032458,0.058738551,0.077827884,-0.079184096,-0.079184096,0.032347259,0.032347259,-0.089466794,0.037795426,-0.046836837,-0.046836837,-0.089466794,0.037795426,-0.046836837,-0.046836837,0.053512006,0.072579721,-0.074995476,-0.094084809,0.053512006,0.072579721,-0.074995476,-0.094084809,0.00048179425,0.00046017648,-0.021965265,-0.021965265,-0.088985,0.038255603,-0.17387744,-0.046636833,0.053030212,0.072119545,7.1486917e-05,5.3914176e-05,-0.0022196713,-0.0022196713,-0.00065671294,-0.0017325907,-0.0014914715,-0.00043316644,0.0075589991,0.0057976799,-0.028624279,-0.028624279,29.454612,27.566006,-2.0088845,-2.0088845,27.546134,26.599682,-1.1268446,-1.1268446,0.35401654,0.48125714,-0.37550001,-0.50276223,-0.017797,0.0076511206,-0.01376042,-0.01376042,0.87938279,0.87938279,-0.63909478,-0.58499846,0.016519983,0.016519983,-4.6411674e-17,8.0249616e-18,0,5.6148321e-16,0,-1.451403e-16,0,4.1592851e-16,0,-4.2359835e-16,0,0,1.4374123e-05,1.2360614e-05,0.00033609276,0.00033609276
0.37339578,0.49344739,0.16317332,0.043121708,0.5365691,0.5365691,-0.012777475,-0.012777475,-0.38617326,-0.50622487,-0.15690076,-0.14215942,0.12206143,0.14007555,-0.15688817,-0.14214935,0.12230119,0.14031531,-1.5728992,-0.20374098,0.00055697711,0.00051447923,-0.024133883,-0.024133883,-0.11932172,-0.013153398,-0.0050251256,-0.013153398,-0.0032529284,-0.0032529284,-0.21603604,-0.11395604,0.089217096,0.10723121,-0.13917075,-0.037090759,0.057842442,0.075856558,-0.076865283,-0.076865283,0.031374654,0.031374654,-0.081328311,0.038765799,-0.045490628,-0.045490628,-0.081328311,0.038765799,-0.045490628,-0.045490628,0.052862715,0.070834334,-0.076439621,-0.094453738,0.052862715,0.070834334,-0.076439621,-0.094453738,0.00055697711,0.00051447923,-0.024133883,-0.024133883,-0.080771334,0.039280278,-0.16317332,-0.043121708,0.052305738,0.070319854,7.5182865e-05,5.4302743e-05,-0.0021686189,-0.0021686189,-0.00064929072,-0.0017453875,-0.0014441453,-0.00036892866,0.0080000807,0.0058904508,-0.03063974,-0.03063974,29.218239,27.113402,-2.129734,-2.129734,27.002887,26.042245,-1.183529,-1.183529,0.3492619,0.46931351,-0.3728388,-0.49293291,-0.016154267,0.0078560556,-0.013924902,-0.013924902,0.96620378,0.96620378,-0.70351445,-0.64696205,0.016140023,0.016140023,-4.1568527e-17,1.3423347e-17,0,6.0713065e-16,0,-1.3727135e-16,0,4.4397154e-16,0,-4.6155534e-16,0,0,1.7308148e-05,1.3842623e-05,0.00032966755,0.00032966755
