e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,chi_H_pie,chi_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,p_H_W_slash_p_H_pie,p_H_W_slash_p_H_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
-0.083163511,-0.083163511,0.083163511,0.083163511,7.7715612e-16,7.7715612e-16,-3.2593262e-16,-3.2593262e-16,0.083163511,0.083163511,-0.082933803,-0.082933803,-0.012474648,-0.012474648,-0.082933803,-0.082933803,-0.012474648,-0.012474648,-1.5944659e-20,-1.5944659e-20,2.0468252e-20,2.0468252e-20,8.0945105e-07,8.0945105e-07,4.8598654e-17,4.8598654e-17,8.0945105e-05,8.0945105e-05,8.0945105e-05,8.0945105e-05,7.7195385e-17,7.7195385e-17,-0.070689673,-0.070689673,-0.012474648,-0.012474648,-0.070689673,-0.070689673,-0.012474648,-0.012474648,-1.229723e-16,-1.229723e-16,2.3479074e-16,2.3479074e-16,-0.083164321,-0.083164321,1.1058537e-16,1.1058537e-16,0.016835679,0.016835679,1.4293461e-16,1.4293461e-16,-0.012473839,-0.012473839,0.012474648,0.012474648,-0.012473839,-0.012473839,0.012474648,0.012474648,8.0945105e-07,8.0945105e-07,4.5274503e-17,4.5274503e-17,-0.083163511,-0.083163511,-0.083163511,-0.083163511,-0.012474648,-0.012474648,8.0945105e-07,8.0945105e-07,5.0775116e-17,5.0775116e-17,-0.012473839,-0.012473839,0.012474648,0.012474648,8.0945105e-05,8.0945105e-05,1.8140137e-16,1.8140137e-16,0.047266398,0.047266398,1.0206674e-14,1.0206674e-14,1.4910033e-05,1.4910033e-05,4.3636274e-15,4.3636274e-15,-0.083163511,-0.083163511,0.083164321,0.083164321,-0.016632702,-0.016632702,3.1794402e-17,3.1794402e-17,1.7722953e-16,1.7722953e-16,-1.9330549e-16,-1.9330549e-16,-1.9129106e-20,-1.9129106e-20,-2.3319072e-18,-2.3319072e-18,-0.1,-0.1,1.3124967e-17,1.3124967e-17,0,0,0,0,3.5676239e-10,3.5676239e-10,4.2538854e-32,4.2538854e-32
-0.083082971,-0.083082971,0.083082971,0.083082971,8.5223495e-14,8.5223495e-14,-3.9997107e-16,-3.9997107e-16,0.083082971,0.083082971,-0.079287603,-0.079287603,-0.012462625,-0.012462625,-0.079287602,-0.079287602,-0.012462625,-0.012462625,8.0945105e-07,8.0945105e-07,1.2929571e-20,1.2929571e-20,1.1971142e-06,1.1971142e-06,1.313483e-15,1.313483e-15,0.00052443694,0.00052443694,0.00052443694,0.00052443694,6.9788476e-17,6.9788476e-17,-0.070621543,-0.070621543,-0.012462625,-0.012462625,-0.070621543,-0.070621543,-0.012462625,-0.012462625,-1.2708893e-14,-1.2708893e-14,-9.4950667e-16,-9.4950667e-16,-0.083084168,-0.083084168,-1.3536711e-14,-1.3536711e-14,0.011915832,0.011915832,-1.3519733e-14,-1.3519733e-14,-0.012461428,-0.012461428,0.012462625,0.012462625,-0.012461428,-0.012461428,0.012462625,0.012462625,1.1971141e-06,1.1971141e-06,9.1600156e-17,9.1600156e-17,-0.083082971,-0.083082971,-0.083082971,-0.083082971,-0.012462625,-0.012462625,3.876631e-07,3.876631e-07,4.1531803e-17,4.1531803e-17,1.2410571e-05,1.2410571e-05,-1.2022908e-05,-1.2022908e-05,3.9575761e-05,3.9575761e-05,2.1710256e-16,2.1710256e-16,0.023110691,0.023110691,1.2454375e-14,1.2454375e-14,8.5624325e-06,8.5624325e-06,5.5098073e-15,5.5098073e-15,-0.083082971,-0.083082971,0.083084168,0.083084168,-0.016616594,-0.016616594,-2.4446748e-15,-2.4446748e-15,3.3570562e-16,3.3570562e-16,-3.6612432e-16,-3.6612432e-16,-3.2987485e-20,-3.2987485e-20,-2.0985592e-18,-2.0985592e-18,-0.095,-0.095,1.2465082e-17,1.2465082e-17,-6.9984157e-20,-6.9984157e-20,4.2491254e-21,4.2491254e-21,4.3502369e-10,4.3502369e-10,6.0364836e-32,6.0364836e-32
-0.082561156,-0.082561156,0.082561156,0.082561156,8.3613672e-14,8.3613672e-14,-4.3254369e-16,-4.3254369e-16,0.082561156,0.082561156,-0.075769027,-0.075769027,-0.012384366,-0.012384366,-0.075769027,-0.075769027,-0.012384366,-0.012384366,2.0065652e-06,2.0065652e-06,6.6955112e-21,6.6955112e-21,1.2853164e-06,1.2853164e-06,1.3359437e-15,1.3359437e-15,0.0011318142,0.0011318142,0.0011318142,0.0011318142,6.6302377e-17,6.6302377e-17,-0.070178075,-0.070178075,-0.012384366,-0.012384366,-0.070178075,-0.070178075,-0.012384366,-0.012384366,-1.2477659e-14,-1.2477659e-14,-9.3819745e-16,-9.3819745e-16,-0.082562441,-0.082562441,-1.3296374e-14,-1.3296374e-14,0.0076875585,0.0076875585,-1.3289969e-14,-1.3289969e-14,-0.012383081,-0.012383081,0.012384366,0.012384366,-0.012383081,-0.012383081,0.012384366,0.012384366,1.2853164e-06,1.2853164e-06,1.3558423e-16,1.3558423e-16,-0.082561156,-0.082561156,-0.082561156,-0.082561156,-0.012384366,-0.012384366,8.8202277e-08,8.8202277e-08,3.9428634e-17,3.9428634e-17,7.8347185e-05,7.8347185e-05,-7.8258983e-05,-7.8258983e-05,1.0017342e-05,1.0017342e-05,2.546041e-16,2.546041e-16,0.0058468279,0.0058468279,1.4877905e-14,1.4877905e-14,-1.0298774e-06,-1.0298774e-06,6.7559574e-15,6.7559574e-15,-0.082561156,-0.082561156,0.082562441,0.082562441,-0.016512231,-0.016512231,-2.3921118e-15,-2.3921118e-15,4.8728826e-16,4.8728826e-16,-5.3113977e-16,-5.3113977e-16,-4.5807454e-20,-4.5807454e-20,-1.888564e-18,-1.888564e-18,-0.09025,-0.09025,1.1838299e-17,1.1838299e-17,-1.2939222e-19,-1.2939222e-19,7.8493354e-21,7.8493354e-21,4.3490946e-10,4.3490946e-10,7.0924811e-32,7.0924811e-32
-0.081435001,-0.081435001,0.081435001,0.081435001,8.1476492e-14,8.1476492e-14,-4.6217195e-16,-4.6217195e-16,0.081435001,0.081435001,-0.072348986,-0.072348986,-0.012215427,-0.012215427,-0.072348986,-0.072348986,-0.012215427,-0.012215427,3.2918816e-06,3.2918816e-06,1.5144958e-21,1.5144958e-21,1.1795065e-06,1.1795065e-06,1.3483153e-15,1.3483153e-15,0.0017638915,0.0017638915,0.0017638915,0.0017638915,6.2924243e-17,6.2924243e-17,-0.069220753,-0.069220753,-0.012215427,-0.012215427,-0.069220753,-0.069220753,-0.012215427,-0.012215427,-1.2167256e-14,-1.2167256e-14,-9.197302e-16,-9.197302e-16,-0.08143618,-0.08143618,-1.2970451e-14,-1.2970451e-14,0.0043013195,0.0043013195,-1.2971427e-14,-1.2971427e-14,-0.012214248,-0.012214248,0.012215427,0.012215427,-0.012214248,-0.012214248,0.012215427,0.012215427,1.1795065e-06,1.1795065e-06,1.7731073e-16,1.7731073e-16,-0.081435001,-0.081435001,-0.081435001,-0.081435001,-0.012215427,-0.012215427,-1.0580994e-07,-1.0580994e-07,3.7393147e-17,3.7393147e-17,0.00016883334,0.00016883334,-0.00016893915,-0.00016893915,-9.2956774e-06,-9.2956774e-06,2.9010098e-16,2.9010098e-16,-0.0054369225,-0.0054369225,1.7174975e-14,1.7174975e-14,-1.1484096e-05,-1.1484096e-05,7.9388439e-15,7.9388439e-15,-0.081435001,-0.081435001,0.08143618,0.08143618,-0.016287,-0.016287,-2.3244496e-15,-2.3244496e-15,6.3195283e-16,6.3195283e-16,-6.8797834e-16,-6.8797834e-16,-5.7650716e-20,-5.7650716e-20,-1.6995834e-18,-1.6995834e-18,-0.0857375,-0.0857375,1.1242983e-17,1.1242983e-17,-1.7981159e-19,-1.7981159e-19,1.088251e-20,1.088251e-20,4.3665645e-10,4.3665645e-10,7.6264691e-32,7.6264691e-32
-0.079679929,-0.079679929,0.079679929,0.079679929,7.8867468e-14,7.8867468e-14,-4.8910683e-16,-4.8910683e-16,0.079679929,0.079679929,-0.069015837,-0.069015837,-0.011952134,-0.011952134,-0.069015837,-0.069015837,-0.011952134,-0.011952134,4.4713881e-06,4.4713881e-06,-2.8165027e-21,-2.8165027e-21,9.6436372e-07,9.6436372e-07,1.351447e-15,1.351447e-15,0.0023321304,0.0023321304,0.0023321304,0.0023321304,5.9673339e-17,5.9673339e-17,-0.067728759,-0.067728759,-0.011952134,-0.011952134,-0.067728759,-0.067728759,-0.011952134,-0.011952134,-1.1785152e-14,-1.1785152e-14,-8.9466771e-16,-8.9466771e-16,-0.079680893,-0.079680893,-1.2566912e-14,-1.2566912e-14,0.0017697317,0.0017697317,-1.2572994e-14,-1.2572994e-14,-0.01195117,-0.01195117,0.011952134,0.011952134,-0.01195117,-0.01195117,0.011952134,0.011952134,9.6436372e-07,9.6436372e-07,2.1687329e-16,2.1687329e-16,-0.079679929,-0.079679929,-0.079679929,-0.079679929,-0.011952134,-0.011952134,-2.1514277e-07,-2.1514277e-07,3.5438008e-17,3.5438008e-17,0.00026307793,0.00026307793,-0.00026329307,-0.00026329307,-2.033477e-05,-2.033477e-05,3.2371531e-16,3.2371531e-16,-0.011890015,-0.011890015,1.9352632e-14,1.9352632e-14,-2.1237651e-05,-2.1237651e-05,9.0616005e-15,9.0616005e-15,-0.079679929,-0.079679929,0.079680893,0.079680893,-0.015935986,-0.015935986,-2.2431121e-15,-2.2431121e-15,7.6973437e-16,7.6973437e-16,-8.3637681e-16,-8.3637681e-16,-6.8575258e-20,-6.8575258e-20,-1.5295131e-18,-1.5295131e-18,-0.081450625,-0.081450625,1.0677574e-17,1.0677574e-17,-2.2248673e-19,-2.2248673e-19,1.3419882e-20,1.3419882e-20,4.5749284e-10,4.5749284e-10,7.7920083e-32,7.7920083e-32
-0.077359459,-0.077359459,0.077359459,0.077359459,7.584211e-14,7.584211e-14,-5.1366541e-16,-5.1366541e-16,0.077359459,0.077359459,-0.065769179,-0.065769179,-0.011604024,-0.011604024,-0.065769179,-0.065769179,-0.011604024,-0.011604024,5.4357518e-06,5.4357518e-06,-6.4570892e-21,-6.4570892e-21,7.0337479e-07,7.0337479e-07,1.3468477e-15,1.3468477e-15,0.0027882134,0.0027882134,0.0027882134,0.0027882134,5.6563423e-17,5.6563423e-17,-0.065756138,-0.065756138,-0.011604024,-0.011604024,-0.065756138,-0.065756138,-0.011604024,-0.011604024,-1.1345576e-14,-1.1345576e-14,-8.6419285e-16,-8.6419285e-16,-0.077360163,-0.077360163,-1.2101036e-14,-1.2101036e-14,1.793117e-05,1.793117e-05,-1.2110613e-14,-1.2110613e-14,-0.011603321,-0.011603321,0.011604024,0.011604024,-0.011603321,-0.011603321,0.011604024,0.011604024,7.0337478e-07,7.0337478e-07,2.5437187e-16,2.5437187e-16,-0.077359459,-0.077359459,-0.077359459,-0.077359459,-0.011604024,-0.011604024,-2.6098894e-07,-2.6098894e-07,3.3571752e-17,3.3571752e-17,0.00034784863,0.00034784863,-0.00034810961,-0.00034810961,-2.513453e-05,-2.513453e-05,3.5556288e-16,3.5556288e-16,-0.014699355,-0.014699355,2.1417571e-14,2.1417571e-14,-2.9391971e-05,-2.9391971e-05,1.0127213e-14,1.0127213e-14,-0.077359459,-0.077359459,0.077360163,0.077360163,-0.015471892,-0.015471892,-2.1508536e-15,-2.1508536e-15,9.007339e-16,9.007339e-16,-9.7625658e-16,-9.7625658e-16,-7.8635566e-20,-7.8635566e-20,-1.3764598e-18,-1.3764598e-18,-0.077378094,-0.077378094,1.0140584e-17,1.0140584e-17,-2.5840297e-19,-2.5840297e-19,1.5523425e-20,1.5523425e-20,4.9000665e-10,4.9000665e-10,7.7036594e-32,7.7036594e-32
-0.074585187,-0.074585187,0.074585187,0.074585187,7.2594708e-14,7.2594708e-14,-5.3618044e-16,-5.3618044e-16,0.074585187,0.074585187,-0.062614919,-0.062614919,-0.011187844,-0.011187844,-0.062614919,-0.062614919,-0.011187844,-0.011187844,6.1391266e-06,6.1391266e-06,-9.5301508e-21,-9.5301508e-21,4.4062078e-07,4.4062078e-07,1.3362893e-15,1.3362893e-15,0.0031136254,0.0031136254,0.0031136254,0.0031136254,5.3602702e-17,5.3602702e-17,-0.063397783,-0.063397783,-0.011187844,-0.011187844,-0.063397783,-0.063397783,-0.011187844,-0.011187844,-1.0865479e-14,-1.0865479e-14,-8.2975269e-16,-8.2975269e-16,-0.074585627,-0.074585627,-1.1591065e-14,-1.1591065e-14,-0.0010764384,-0.0010764384,-1.1602995e-14,-1.1602995e-14,-0.011187404,-0.011187404,0.011187844,0.011187844,-0.011187404,-0.011187404,0.011187844,0.011187844,4.4062078e-07,4.4062078e-07,2.8990944e-16,2.8990944e-16,-0.074585187,-0.074585187,-0.074585187,-0.074585187,-0.011187844,-0.011187844,-2.6275401e-07,-2.6275401e-07,3.1799037e-17,3.1799037e-17,0.00041591751,0.00041591751,-0.00041618026,-0.00041618026,-2.5572026e-05,-2.5572026e-05,3.8575173e-16,3.8575173e-16,-0.014960348,-0.014960348,2.3376095e-14,2.3376095e-14,-3.5550448e-05,-3.5550448e-05,1.1138536e-14,1.1138536e-14,-0.074585187,-0.074585187,0.074585627,0.074585627,-0.014917037,-0.014917037,-2.050968e-15,-2.050968e-15,1.0251143e-15,1.0251143e-15,-1.1077349e-15,-1.1077349e-15,-8.7882858e-20,-8.7882858e-20,-1.2387195e-18,-1.2387195e-18,-0.073509189,-0.073509189,9.6305961e-18,9.6305961e-18,-2.8835577e-19,-2.8835577e-19,1.7247144e-20,1.7247144e-20,5.2269868e-10,5.2269868e-10,7.4461895e-32,7.4461895e-32
-0.07148713,-0.07148713,0.07148713,0.07148713,6.9166894e-14,6.9166894e-14,-5.5696704e-16,-5.5696704e-16,0.07148713,0.07148713,-0.059561613,-0.059561613,-0.0107231,-0.0107231,-0.059561612,-0.059561612,-0.0107231,-0.0107231,6.5797474e-06,6.5797474e-06,-1.212897e-20,-1.212897e-20,2.0377472e-07,2.0377472e-07,1.321533e-15,1.321533e-15,0.0033102512,0.0033102512,0.0033102512,0.0033102512,5.07944e-17,5.07944e-17,-0.060764233,-0.060764233,-0.0107231,-0.0107231,-0.060764233,-0.060764233,-0.0107231,-0.0107231,-1.0361749e-14,-1.0361749e-14,-7.9281063e-16,-7.9281063e-16,-0.071487333,-0.071487333,-1.105519e-14,-1.105519e-14,-0.0016536038,-0.0016536038,-1.1068665e-14,-1.1068665e-14,-0.010722896,-0.010722896,0.0107231,0.0107231,-0.010722896,-0.010722896,0.0107231,0.0107231,2.0377472e-07,2.0377472e-07,3.2358926e-16,3.2358926e-16,-0.07148713,-0.07148713,-0.07148713,-0.07148713,-0.0107231,-0.0107231,-2.3684606e-07,-2.3684606e-07,3.0121207e-17,3.0121207e-17,0.00046450727,0.00046450727,-0.00046474412,-0.00046474412,-2.3243985e-05,-2.3243985e-05,4.1438159e-16,4.1438159e-16,-0.013605065,-0.013605065,2.5234111e-14,2.5234111e-14,-3.9668458e-05,-3.9668458e-05,1.20983e-14,1.20983e-14,-0.07148713,-0.07148713,0.071487333,0.071487333,-0.014297426,-0.014297426,-1.9467414e-15,-1.9467414e-15,1.1430901e-15,1.1430901e-15,-1.2310977e-15,-1.2310977e-15,-9.6365326e-20,-9.6365326e-20,-1.1147595e-18,-1.1147595e-18,-0.06983373,-0.06983373,9.1462593e-18,9.1462593e-18,-3.1300499e-19,-3.1300499e-19,1.8638234e-20,1.8638234e-20,5.48016e-10,5.48016e-10,7.0816659e-32,7.0816659e-32
-0.06819343,-0.06819343,0.06819343,0.06819343,6.5711325e-14,6.5711325e-14,-5.7630337e-16,-5.7630337e-16,0.06819343,0.06819343,-0.056617954,-0.056617954,-0.010229016,-0.010229016,-0.056617953,-0.056617953,-0.010229016,-0.010229016,6.7835221e-06,6.7835221e-06,-1.4323969e-20,-1.4323969e-20,7.5661012e-09,7.5661012e-09,1.3041593e-15,1.3041593e-15,0.0033925177,0.0033925177,0.0033925177,0.0033925177,4.8137626e-17,4.8137626e-17,-0.057964422,-0.057964422,-0.010229016,-0.010229016,-0.057964422,-0.057964422,-0.010229016,-0.010229016,-9.849482e-15,-9.849482e-15,-7.5469012e-16,-7.5469012e-16,-0.068193437,-0.068193437,-1.0509687e-14,-1.0509687e-14,-0.0018513941,-0.0018513941,-1.0524132e-14,-1.0524132e-14,-0.010229008,-0.010229008,0.010229016,0.010229016,-0.010229008,-0.010229008,0.010229016,0.010229016,7.5660977e-09,7.5660977e-09,3.555126e-16,3.555126e-16,-0.06819343,-0.06819343,-0.06819343,-0.06819343,-0.010229016,-0.010229016,-1.9620862e-07,-1.9620862e-07,2.8536996e-17,2.8536996e-17,0.00049388821,0.00049388821,-0.00049408442,-0.00049408442,-1.9417087e-05,-1.9417087e-05,4.4154396e-16,4.4154396e-16,-0.011373112,-0.011373112,2.6997137e-14,2.6997137e-14,-4.1925441e-05,-4.1925441e-05,1.3009121e-14,1.3009121e-14,-0.06819343,-0.06819343,0.068193437,0.068193437,-0.013638686,-0.013638686,-1.8411129e-15,-1.8411129e-15,1.2549145e-15,1.2549145e-15,-1.3467543e-15,-1.3467543e-15,-1.0412836e-19,-1.0412836e-19,-1.0032003e-18,-1.0032003e-18,-0.066342043,-0.066342043,8.6862876e-18,8.6862876e-18,-3.3291532e-19,-3.3291532e-19,1.9738091e-20,1.9738091e-20,5.634979e-10,5.634979e-10,6.6549436e-32,6.6549436e-32
-0.064817875,-0.064817875,0.064817875,0.064817875,6.2269634e-14,6.2269634e-14,-5.9442185e-16,-5.9442185e-16,0.064817875,0.064817875,-0.053791225,-0.053791225,-0.0097226598,-0.0097226598,-0.053791224,-0.053791224,-0.0097226598,-0.0097226598,6.7910882e-06,6.7910882e-06,-1.6168639e-20,-1.6168639e-20,-1.427978e-07,-1.427978e-07,1.2854793e-15,1.2854793e-15,0.0033812643,0.0033812643,0.0033812643,0.0033812643,4.5628362e-17,4.5628362e-17,-0.055095072,-0.055095072,-0.0097226598,-0.0097226598,-0.055095072,-0.055095072,-0.0097226598,-0.0097226598,-9.3410788e-15,-9.3410788e-15,-7.1649084e-16,-7.1649084e-16,-0.064817732,-0.064817732,-9.9679381e-15,-9.9679381e-15,-0.0017927909,-0.0017927909,-9.9829374e-15,-9.9829374e-15,-0.0097228026,-0.0097228026,0.0097226598,0.0097226598,-0.0097228026,-0.0097228026,0.0097226598,0.0097226598,-1.4279781e-07,-1.4279781e-07,3.8577714e-16,3.8577714e-16,-0.064817875,-0.064817875,-0.064817875,-0.064817875,-0.0097226598,-0.0097226598,-1.503639e-07,-1.503639e-07,2.7043238e-17,2.7043238e-17,0.00050620545,0.00050620545,-0.00050635582,-0.00050635582,-1.5028824e-05,-1.5028824e-05,4.6732262e-16,4.6732262e-16,-0.0088120359,-0.0088120359,2.8670323e-14,2.8670323e-14,-4.2623186e-05,-4.2623186e-05,1.3873499e-14,1.3873499e-14,-0.064817875,-0.064817875,0.064817732,0.064817732,-0.012963575,-0.012963575,-1.7364966e-15,-1.7364966e-15,1.3608665e-15,1.3608665e-15,-1.4551887e-15,-1.4551887e-15,-1.1121476e-19,-1.1121476e-19,-9.0280119e-19,-9.0280119e-19,-0.063024941,-0.063024941,8.2494573e-18,8.2494573e-18,-3.4858484e-19,-3.4858484e-19,2.0583165e-20,2.0583165e-20,5.7017369e-10,5.7017369e-10,6.1979133e-32,6.1979133e-32
