e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,chi_H_pie,chi_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,p_H_W_slash_p_H_pie,p_H_W_slash_p_H_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
0.37088057,0.54926731,0.29720413,0.11881739,0.6680847,0.6680847,-0.045560632,-0.045560632,-0.4164412,-0.59482794,-0.2141328,-0.19224558,0.14616162,0.1729108,-0.21413126,-0.19224558,0.14624742,0.17299659,9.9849994e-19,3.6573161e-19,-7.2779916e-18,-1.4332266e-18,-6.2240446e-05,-3.3089613e-06,-0.00267382,-0.00267382,-0.0062240446,-0.00033089613,-0.0050251256,-0.00033089613,-0.00401073,-0.00401073,-0.35238224,-0.2008036,0.1034748,0.13022397,-0.25257061,-0.10099197,0.062475516,0.089224688,-0.099811632,-0.099811632,0.040999284,0.040999284,-0.19009509,-0.01176728,-0.058812347,-0.058812347,-0.19009509,-0.01176728,-0.058812347,-0.058812347,0.055178107,0.081986211,-0.057914168,-0.08466334,0.055178107,0.081986211,-0.057914168,-0.08466334,-6.2240446e-05,-3.3089613e-06,-0.00267382,-0.00267382,-0.19015733,-0.011770589,-0.29720413,-0.11881739,0.055240348,0.08198952,-6.2240446e-05,-3.3089613e-06,-0.00267382,-0.00267382,0.055178107,0.081986211,-0.057914168,-0.08466334,-0.0062240446,-0.00033089613,-0.01069528,-0.01069528,23.20234,26.67654,-0.93384058,-0.93384058,29.519285,29.556675,-0.62259533,-0.62259533,0.36820675,0.54659349,-0.37094281,-0.54927062,-0.038031467,-0.0023541177,-0.012297233,-0.012297233,0.1070468,0.1070468,-0.07808616,-0.069095113,0.0199,0.0199,1.5709096e-19,3.2241678e-17,0,0,0,-1.2124497e-16,0,0,0,0,2.1093239e-06,5.9618528e-09,0.00011796367,0.00011796367
0.36835263,0.55292874,0.28372275,0.09914663,0.65207537,0.65207537,-0.041569956,-0.041569956,-0.40992258,-0.5944987,-0.20749752,-0.18485617,0.14278087,0.17045024,-0.20749474,-0.18485617,0.1429271,0.17059647,-6.2240446e-05,-3.3089613e-06,-1.3521907e-17,-2.2822251e-18,-0.00011863137,-4.9830341e-06,-0.0052861421,-0.0052861421,-0.04298336,-0.002152784,-0.0050251256,-0.002152784,-0.0039184832,-0.0039184832,-0.33808188,-0.18128878,0.10133387,0.12900324,-0.2410635,-0.0842704,0.061506182,0.089175552,-0.097018385,-0.097018385,0.039827683,0.039827683,-0.17955731,0.0049051528,-0.057190702,-0.057190702,-0.17955731,0.0049051528,-0.057190702,-0.057190702,0.054359136,0.082142155,-0.05976391,-0.08743328,0.054359136,0.082142155,-0.05976391,-0.08743328,-0.00011863137,-4.9830342e-06,-0.0052861421,-0.0052861421,-0.17967595,0.0049001698,-0.28372275,-0.09914663,0.054477768,0.082147138,-5.6390925e-05,-1.674073e-06,-0.0026123221,-0.0026123221,-0.00081897121,0.00015594392,-0.0018497418,-0.0027699401,-0.0057013329,-0.00017071626,-0.013123109,-0.013123109,22.863249,26.125896,-1.079416,-1.079416,28.810631,28.84811,-0.69087749,-0.69087749,0.36306649,0.5476426,-0.36847126,-0.55293373,-0.035935189,0.00098003396,-0.012495369,-0.012495369,0.21163152,0.21163152,-0.15466154,-0.13627897,0.0194423,0.0194423,-1.1896124e-18,1.3543511e-17,0,-8.9673479e-21,0,-9.4965048e-17,0,-8.78872e-19,0,9.3512202e-17,3.819706e-06,7.4282066e-09,0.0002010725,0.0002010725
0.36580065,0.55468561,0.27063361,0.08174865,0.63643426,0.63643426,-0.037671065,-0.037671065,-0.40347172,-0.59235668,-0.20102525,-0.17786027,0.13948234,0.16779049,-0.20102148,-0.17786026,0.13967019,0.16797834,-0.00018087182,-8.2919955e-06,-4.6498751e-18,-3.0242367e-18,-0.00016944787,-5.4736717e-06,-0.0078383808,-0.0078383808,-0.1073807,-0.0046933649,-0.0050251256,-0.0046933649,-0.0038283581,-0.0038283581,-0.32418392,-0.16377108,0.099229203,0.12753735,-0.22989454,-0.0694817,0.060546174,0.088854323,-0.094289382,-0.094289382,0.038683029,0.038683029,-0.16934837,0.019372623,-0.055606354,-0.055606354,-0.16934837,0.019372623,-0.055606354,-0.055606354,0.05355031,0.082022432,-0.061558138,-0.089866287,0.05355031,0.082022432,-0.061558138,-0.089866287,-0.00016944787,-5.4736718e-06,-0.0078383808,-0.0078383808,-0.16951781,0.01936715,-0.27063361,-0.08174865,0.053719758,0.082027906,-5.0816503e-05,-4.9063761e-07,-0.0025522387,-0.0025522387,-0.00080882643,-0.00011972225,-0.0017942288,-0.0024330071,-0.0052002816,-5.4046795e-05,-0.015495097,-0.015495097,22.526745,25.564682,-1.2216433,-1.2216433,28.118731,28.155855,-0.75758916,-0.75758916,0.35796227,0.54684723,-0.3659701,-0.55469109,-0.033903563,0.0038734299,-0.012688947,-0.012688947,0.3138108,0.3138108,-0.22976325,-0.2018484,0.018995127,0.018995127,-4.3622964e-19,-3.2727632e-18,0,-1.7690825e-20,0,-7.0015077e-17,0,-1.6587545e-18,0,1.7759724e-16,5.1875805e-06,7.4849994e-09,0.00025828409,0.00025828409
0.36322477,0.55382493,0.25792813,0.067327968,0.6211529,0.6211529,-0.033861849,-0.033861849,-0.39708662,-0.58768678,-0.19471229,-0.17134165,0.13625968,0.16481823,-0.19470774,-0.17134164,0.13647517,0.16503373,-0.00035031969,-1.3765667e-05,-6.0531069e-17,-3.6700855e-18,-0.00021495724,-5.1779488e-06,-0.010331918,-0.010331918,-0.19665557,-0.0074006285,-0.0050251256,-0.0074006285,-0.0037403058,-0.0037403058,-0.31067934,-0.14884752,0.097159939,0.1257185,-0.21905619,-0.057224371,0.059595237,0.088153794,-0.091623147,-0.091623147,0.037564702,0.037564702,-0.15946096,0.030929423,-0.054058446,-0.054058446,-0.15946096,0.030929423,-0.054058446,-0.054058446,0.052751215,0.081519551,-0.06329809,-0.091856647,0.052751215,0.081519551,-0.06329809,-0.091856647,-0.00021495724,-5.1779488e-06,-0.010331918,-0.010331918,-0.15967591,0.030924245,-0.25792813,-0.067327968,0.052966172,0.081524729,-4.5509372e-05,2.9572296e-07,-0.0024935372,-0.0024935372,-0.00079909514,-0.00050288149,-0.0017399515,-0.00199036,-0.004720385,2.4098625e-05,-0.01781253,-0.01781253,22.192747,24.995457,-1.3605993,-1.3605993,27.443172,27.479528,-0.82276647,-0.82276647,0.35289286,0.54349301,-0.36343973,-0.55383011,-0.031935183,0.0061848489,-0.012878073,-0.012878073,0.41363995,0.41363995,-0.30342755,-0.26620756,0.018558239,0.018558239,8.0355788e-19,-1.839562e-17,0,-2.6188717e-20,0,-4.6328293e-17,0,-2.3483674e-18,0,2.5319954e-16,6.2634202e-06,7.4577671e-09,0.00029630558,0.00029630558
0.36062513,0.55018291,0.24559788,0.056040096,0.60622301,0.60622301,-0.030140244,-0.030140244,-0.39076537,-0.58032316,-0.18855505,-0.16531679,0.13310775,0.16150377,-0.18854989,-0.16531679,0.13334059,0.16173661,-0.00056527693,-1.8943616e-05,-4.1163656e-17,-4.2295813e-18,-0.00025541913,-4.4204578e-06,-0.012768104,-0.012768104,-0.30818038,-0.0099138538,-0.0050251256,-0.0099138538,-0.0036542788,-0.0036542788,-0.29755933,-0.13664856,0.095125215,0.12352123,-0.20854109,-0.047630325,0.058653119,0.087049136,-0.089018236,-0.089018236,0.036472096,0.036472096,-0.14988797,0.039418812,-0.05254614,-0.05254614,-0.14988797,0.039418812,-0.05254614,-0.05254614,0.051961448,0.080608464,-0.064984971,-0.093380988,0.051961448,0.080608464,-0.064984971,-0.093380988,-0.00025541913,-4.4204579e-06,-0.012768104,-0.012768104,-0.15014339,0.039414391,-0.24559788,-0.056040096,0.052216867,0.080612884,-4.0461889e-05,7.5749092e-07,-0.0024361859,-0.0024361859,-0.00078976687,-0.00091108717,-0.0016868809,-0.0015243412,-0.0042611461,7.0571144e-05,-0.020076662,-0.020076662,21.861179,24.421884,-1.4963593,-1.4963593,26.783552,26.818756,-0.8864447,-0.8864447,0.34785703,0.53741481,-0.36088055,-0.55018733,-0.030028678,0.0078828783,-0.013062849,-0.013062849,0.51117303,0.51117303,-0.37568983,-0.32975014,0.0181314,0.0181314,7.232021e-19,-3.1994681e-17,0,-3.4474532e-20,0,-2.3841257e-17,0,-2.9562302e-18,0,3.2116908e-16,7.0922221e-06,7.6956194e-09,0.00032015671,0.00032015671
0.35800185,0.54395463,0.23363465,0.047681869,0.5916365,0.5916365,-0.026504237,-0.026504237,-0.38450609,-0.57045887,-0.18255,-0.15975822,0.1300224,0.15787217,-0.18254439,-0.15975821,0.13026501,0.15811478,-0.00082069607,-2.3364074e-05,-3.2490538e-18,-4.7116229e-18,-0.00029108571,-3.4490001e-06,-0.015148258,-0.015148258,-0.4394566,-0.012026937,-0.0050251256,-0.012026937,-0.0035702304,-0.0035702304,-0.28481527,-0.12699989,0.093124197,0.12097397,-0.19834203,-0.040526657,0.057719576,0.085569348,-0.086473237,-0.086473237,0.03540462,0.03540462,-0.14062245,0.045042691,-0.051068617,-0.051068617,-0.14062245,0.045042691,-0.051068617,-0.051068617,0.051180616,0.079318025,-0.06661996,-0.094469731,0.051180616,0.079318025,-0.06661996,-0.094469731,-0.00029108571,-3.4490002e-06,-0.015148258,-0.015148258,-0.14091354,0.045039242,-0.23363465,-0.047681869,0.051471702,0.079321474,-3.5666573e-05,9.7145774e-07,-0.0023801536,-0.0023801536,-0.00078083139,-0.0012904389,-0.0016349888,-0.0010887433,-0.0038220764,9.2725316e-05,-0.022288718,-0.022288718,21.53197,23.847927,-1.6289969,-1.6289969,26.139477,26.173177,-0.94865833,-0.94865833,0.34285359,0.52880638,-0.35829294,-0.54395808,-0.028182708,0.0090078484,-0.013243375,-0.013243375,0.60646285,0.60646285,-0.4465847,-0.39279836,0.017714377,0.017714377,8.2137294e-19,-4.4222597e-17,0,-4.2558037e-20,0,-2.493689e-18,0,-3.4905024e-18,0,3.8227079e-16,7.7139607e-06,8.1325243e-09,0.0003335922,0.0003335922
0.35535506,0.53554021,0.22203043,0.041845277,0.57738549,0.57738549,-0.022951858,-0.022951858,-0.37830692,-0.55849207,-0.1766937,-0.15461338,0.12700018,0.15397999,-0.17668777,-0.15461338,0.12724703,0.15422684,-0.0011117818,-2.6813074e-05,2.0272005e-19,-5.1242828e-18,-0.00032220181,-2.4393255e-06,-0.017473668,-0.017473668,-0.58811107,-0.01365047,-0.0050251256,-0.01365047,-0.0034881151,-0.0034881151,-0.27243876,-0.11955318,0.091156065,0.11813587,-0.18845199,-0.035566412,0.056794368,0.083774176,-0.083986773,-0.083986773,0.034361696,0.034361696,-0.13165762,0.048207764,-0.049625077,-0.049625077,-0.13165762,0.048207764,-0.049625077,-0.049625077,0.050408338,0.077707908,-0.068204207,-0.095184015,0.050408338,0.077707908,-0.068204207,-0.095184015,-0.00032220181,-2.4393256e-06,-0.017473668,-0.017473668,-0.13197982,0.048205325,-0.22203043,-0.041845277,0.050730539,0.077710347,-3.1116099e-05,1.0096746e-06,-0.0023254101,-0.0023254101,-0.00077227867,-0.0016101167,-0.0015842475,-0.00071428364,-0.0034026956,9.7518458e-05,-0.024449898,-0.024449898,21.205051,23.277328,-1.7585837,-1.7585837,25.510564,25.54244,-1.009441,-1.009441,0.33788139,0.51806654,-0.35567726,-0.53554265,-0.026395965,0.009641065,-0.013419749,-0.013419749,0.699561,0.699561,-0.51614593,-0.45557973,0.017306947,0.017306947,5.5791098e-19,-5.5216748e-17,0,-5.044625e-20,0,1.7771687e-17,0,-3.9588578e-18,0,4.3719308e-16,8.1640123e-06,8.6062856e-09,0.00033941843,0.00033941843
0.35268488,0.52542867,0.21077737,0.038033578,0.56346225,0.56346225,-0.019481183,-0.019481183,-0.37216606,-0.54490985,-0.17098279,-0.14981891,0.12403821,0.14989765,-0.17097663,-0.1498189,0.12428528,0.15014473,-0.0014339836,-2.92524e-05,-3.9540914e-18,-5.4748785e-18,-0.0003490051,-1.505077e-06,-0.019745593,-0.019745593,-0.7518923,-0.014776708,-0.0050251256,-0.014776708,-0.0034078885,-0.0034078885,-0.2604216,-0.11388476,0.08922002,0.11507946,-0.17886411,-0.032327262,0.05587726,0.081736704,-0.081557498,-0.081557498,0.03334276,0.03334276,-0.12298685,0.049409442,-0.048214738,-0.048214738,-0.12298685,0.049409442,-0.048214738,-0.048214738,0.049644239,0.075851182,-0.069738837,-0.09559828,0.049644239,0.075851182,-0.069738837,-0.09559828,-0.0003490051,-1.5050771e-06,-0.019745593,-0.019745593,-0.12333585,0.049407937,-0.21077737,-0.038033578,0.049993244,0.075852687,-2.6803298e-05,9.3424847e-07,-0.0022719256,-0.0022719256,-0.00076409893,-0.0018567261,-0.00153463,-0.00041426524,-0.0030025316,9.0985521e-05,-0.02656137,-0.02656137,20.880357,22.713299,-1.8851901,-1.8851901,24.89644,24.926203,-1.0688258,-1.0688258,0.33293929,0.50568308,-0.35303389,-0.52543017,-0.02466717,0.0098815874,-0.013592066,-0.013592066,0.7905179,0.7905179,-0.58440655,-0.51822672,0.016908887,0.016908887,1.2715807e-18,-6.5100767e-17,0,-5.8144314e-20,0,3.7009293e-17,0,-4.3684007e-18,0,4.8655547e-16,8.4735502e-06,8.9954734e-09,0.00033973098,0.00033973098
0.34999142,0.51411669,0.19986782,0.035742545,0.54985924,0.54985924,-0.016090334,-0.016090334,-0.36608176,-0.53020703,-0.16541397,-0.14531055,0.121134,0.14569714,-0.16540766,-0.14531055,0.12137844,0.14594157,-0.0017829887,-3.0757477e-05,6.8415461e-18,-5.7700348e-18,-0.00037172625,-7.1002813e-07,-0.021965265,-0.021965265,-0.92866697,-0.015449741,-0.0050251256,-0.015449741,-0.003329507,-0.003329507,-0.24875577,-0.10956466,0.087315281,0.11187842,-0.16957168,-0.03038056,0.054968022,0.079531161,-0.079184096,-0.079184096,0.032347259,0.032347259,-0.11460366,0.049150601,-0.046836837,-0.046836837,-0.11460366,0.049150601,-0.046836837,-0.046836837,0.048887956,0.073822111,-0.071224947,-0.095788085,0.048887956,0.073822111,-0.071224947,-0.095788085,-0.00037172625,-7.1002819e-07,-0.021965265,-0.021965265,-0.11497538,0.049149891,-0.19986782,-0.035742545,0.049259682,0.073822821,-2.2721149e-05,7.950489e-07,-0.0022196713,-0.0022196713,-0.00075628258,-0.0020290712,-0.0014861099,-0.00018980513,-0.00262112,7.7999813e-05,-0.028624279,-0.028624279,20.55783,22.158381,-2.0088845,-2.0088845,24.29674,24.324132,-1.1268446,-1.1268446,0.32802616,0.49215143,-0.35036315,-0.5141174,-0.022995076,0.0098299781,-0.01376042,-0.01376042,0.87938279,0.87938279,-0.6513988,-0.58078931,0.016519983,0.016519983,3.8071476e-19,-7.3985919e-17,0,-6.5656199e-20,0,5.5270834e-17,0,-4.7256191e-18,0,5.3091552e-16,8.6699131e-06,9.2496986e-09,0.00033609276,0.00033609276
0.34727479,0.50205706,0.18929431,0.03451204,0.5365691,0.5365691,-0.012777475,-0.012777475,-0.36005227,-0.51483454,-0.15998402,-0.14102957,0.11828542,0.14144418,-0.15997764,-0.14102956,0.11852518,0.14168394,-0.0021547149,-3.1467505e-05,2.8488743e-17,-6.0157404e-18,-0.00039058903,-8.0570185e-08,-0.024133883,-0.024133883,-1.1164164,-0.01574181,-0.0050251256,-0.01574181,-0.0032529284,-0.0032529284,-0.23743344,-0.10620045,0.085441083,0.10859985,-0.16056816,-0.029335166,0.054066429,0.077225192,-0.076865283,-0.076865283,0.031374654,0.031374654,-0.10650173,0.047890027,-0.045490628,-0.045490628,-0.10650173,0.047890027,-0.045490628,-0.045490628,0.048139136,0.071688408,-0.072663608,-0.095822372,0.048139136,0.071688408,-0.072663608,-0.095822372,-0.00039058903,-8.0570245e-08,-0.024133883,-0.024133883,-0.10689232,0.047889946,-0.18929431,-0.03451204,0.048529725,0.071688489,-1.8862776e-05,6.2945794e-07,-0.0021686189,-0.0021686189,-0.00074882025,-0.0021337028,-0.0014386614,-3.4286692e-05,-0.0022580039,6.2235766e-05,-0.03063974,-0.03063974,20.237412,21.614425,-2.129734,-2.129734,23.711109,23.735904,-1.183529,-1.183529,0.32314091,0.47792318,-0.34766538,-0.50205714,-0.021378464,0.0095779892,-0.013924902,-0.013924902,0.96620378,0.96620378,-0.7171542,-0.64325371,0.016140023,0.016140023,5.5448106e-19,-8.1972334e-17,0,-7.2985252e-20,0,7.2605432e-17,0,-5.0363729e-18,0,5.7077497e-16,8.7769494e-06,9.3729419e-09,0.00032966755,0.00032966755
