e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,p_H_W_slash_p_H_pie,p_H_W_slash_p_H_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
-0.077165899,-0.077165899,0.077165899,0.077165899,7.1054274e-15,7.1054274e-15,-1.110223e-15,-1.110223e-15,0.077165899,0.077165899,-0.085,-0.085,-0.015,-0.015,-0.085,-0.085,-0.015,-0.015,0,0,0.022834101,0.022834101,4.4408921e-16,4.4408921e-16,0.011751152,0.011751152,0.011751152,0.011751152,6.3143935e-16,6.3143935e-16,-0.085,-0.085,-0.015,-0.015,-0.085,-0.085,-0.015,-0.015,-1.1379786e-15,-1.1379786e-15,5.5511151e-16,5.5511151e-16,-0.1,-0.1,-5.5511151e-16,-5.5511151e-16,6.6613381e-16,6.6613381e-16,-5.5511151e-16,-5.5511151e-16,0.0078341014,0.0078341014,0.015,0.015,0.0078341014,0.0078341014,0.015,0.015,0.022834101,0.022834101,4.4408921e-16,4.4408921e-16,-0.077165899,-0.077165899,-0.077165899,-0.077165899,-0.015,-0.015,0.022834101,0.022834101,4.4408921e-16,4.4408921e-16,0.0078341014,0.0078341014,0.015,0.015,0.022834101,0.022834101,4.4408921e-16,4.4408921e-16,0.36534562,0.36534562,5.7731597e-15,5.7731597e-15,0.18267281,0.18267281,2.3314684e-15,2.3314684e-15,-0.077165899,-0.077165899,0.1,0.1,-0.01543318,-0.01543318,-2.7755576e-17,-2.7755576e-17,1.2159589e-15,1.2159589e-15,-1.3176354e-15,-1.3176354e-15,0,0,0,0,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0
-0.065473502,-0.065473502,0.065473502,0.065473502,6.5503158e-15,6.5503158e-15,-1.6653345e-15,-1.6653345e-15,0.065473502,0.065473502,-0.08075,-0.08075,-0.01425,-0.01425,-0.08075,-0.08075,-0.01425,-0.01425,0,0,0.029526498,0.029526498,4.4408921e-16,4.4408921e-16,0.011163594,0.011163594,0.011163594,0.011163594,3.3219955e-16,3.3219955e-16,-0.08075,-0.08075,-0.01425,-0.01425,-0.08075,-0.08075,-0.01425,-0.01425,-1.0547119e-15,-1.0547119e-15,9.9920072e-16,9.9920072e-16,-0.095,-0.095,-1.110223e-16,-1.110223e-16,8.8817842e-16,8.8817842e-16,-1.110223e-16,-1.110223e-16,0.015276498,0.015276498,0.01425,0.01425,0.015276498,0.015276498,0.01425,0.01425,0.029526498,0.029526498,6.6613381e-16,6.6613381e-16,-0.065473502,-0.065473502,-0.065473502,-0.065473502,-0.01425,-0.01425,0.0066923963,0.0066923963,2.220446e-16,2.220446e-16,0.0074423963,0.0074423963,-0.00075,-0.00075,0.029526498,0.029526498,6.6613381e-16,6.6613381e-16,0.47242396,0.47242396,7.7715612e-15,7.7715612e-15,0.23621198,0.23621198,2.8865799e-15,2.8865799e-15,-0.065473502,-0.065473502,0.095,0.095,-0.0130947,-0.0130947,5.5511151e-17,5.5511151e-17,2.345759e-15,2.345759e-15,-2.5101044e-15,-2.5101044e-15,0,0,0,0,-0.095,-0.095,-1.110223e-16,-1.110223e-16,0,0,-2.7755576e-17,-2.7755576e-17,0,0,0,0
-0.054365726,-0.054365726,0.054365726,0.054365726,6.1062266e-15,6.1062266e-15,-1.8873791e-15,-1.8873791e-15,0.054365726,0.054365726,-0.0767125,-0.0767125,-0.0135375,-0.0135375,-0.0767125,-0.0767125,-0.0135375,-0.0135375,0,0,0.035884274,0.035884274,6.6613381e-16,6.6613381e-16,0.010605415,0.010605415,0.010605415,0.010605415,3.6862874e-16,3.6862874e-16,-0.0767125,-0.0767125,-0.0135375,-0.0135375,-0.0767125,-0.0767125,-0.0135375,-0.0135375,-1.0547119e-15,-1.0547119e-15,9.9920072e-16,9.9920072e-16,-0.09025,-0.09025,0,0,1.110223e-15,1.110223e-15,0,0,0.022346774,0.022346774,0.0135375,0.0135375,0.022346774,0.022346774,0.0135375,0.0135375,0.035884274,0.035884274,8.8817842e-16,8.8817842e-16,-0.054365726,-0.054365726,-0.054365726,-0.054365726,-0.0135375,-0.0135375,0.0063577765,0.0063577765,2.220446e-16,2.220446e-16,0.0070702765,0.0070702765,-0.0007125,-0.0007125,0.035884274,0.035884274,8.8817842e-16,8.8817842e-16,0.57414839,0.57414839,1.0769163e-14,1.0769163e-14,0.28707419,0.28707419,4.2188475e-15,4.2188475e-15,-0.054365726,-0.054365726,0.09025,0.09025,-0.010873145,-0.010873145,5.5511151e-17,5.5511151e-17,3.4457348e-15,3.4457348e-15,-3.6438345e-15,-3.6438345e-15,0,0,0,0,-0.09025,-0.09025,-1.110223e-16,-1.110223e-16,0,0,-8.3266727e-17,-8.3266727e-17,0,0,0,0
-0.043813338,-0.043813338,0.043813338,0.043813338,5.9952043e-15,5.9952043e-15,-2.220446e-15,-2.220446e-15,0.043813338,0.043813338,-0.072876875,-0.072876875,-0.012860625,-0.012860625,-0.072876875,-0.072876875,-0.012860625,-0.012860625,0,0,0.041924162,0.041924162,8.8817842e-16,8.8817842e-16,0.010075144,0.010075144,0.010075144,0.010075144,4.0505793e-16,4.0505793e-16,-0.072876875,-0.072876875,-0.012860625,-0.012860625,-0.072876875,-0.072876875,-0.012860625,-0.012860625,-1.0269563e-15,-1.0269563e-15,1.110223e-15,1.110223e-15,-0.0857375,-0.0857375,0,0,1.110223e-15,1.110223e-15,2.220446e-16,2.220446e-16,0.029063537,0.029063537,0.012860625,0.012860625,0.029063537,0.029063537,0.012860625,0.012860625,0.041924162,0.041924162,1.110223e-15,1.110223e-15,-0.043813338,-0.043813338,-0.043813338,-0.043813338,-0.012860625,-0.012860625,0.0060398877,0.0060398877,2.220446e-16,2.220446e-16,0.0067167627,0.0067167627,-0.000676875,-0.000676875,0.041924162,0.041924162,1.110223e-15,1.110223e-15,0.67078659,0.67078659,1.3877788e-14,1.3877788e-14,0.33539329,0.33539329,5.7731597e-15,5.7731597e-15,-0.043813338,-0.043813338,0.0857375,0.0857375,-0.0087626676,-0.0087626676,5.5511151e-17,5.5511151e-17,4.5168774e-15,4.5168774e-15,-4.7238448e-15,-4.7238448e-15,0,0,0,0,-0.0857375,-0.0857375,-2.220446e-16,-2.220446e-16,0,0,-1.110223e-16,-1.110223e-16,0,0,0,0
-0.03378857,-0.03378857,0.03378857,0.03378857,5.5511151e-15,5.5511151e-15,-2.4424907e-15,-2.4424907e-15,0.03378857,0.03378857,-0.069233031,-0.069233031,-0.012217594,-0.012217594,-0.069233031,-0.069233031,-0.012217594,-0.012217594,0,0,0.047662055,0.047662055,1.110223e-15,1.110223e-15,0.0095713868,0.0095713868,0.0095713868,0.0095713868,4.4235449e-16,4.4235449e-16,-0.069233031,-0.069233031,-0.012217594,-0.012217594,-0.069233031,-0.069233031,-0.012217594,-0.012217594,-1.0269563e-15,-1.0269563e-15,1.110223e-15,1.110223e-15,-0.081450625,-0.081450625,0,0,1.110223e-15,1.110223e-15,2.220446e-16,2.220446e-16,0.035444461,0.035444461,0.012217594,0.012217594,0.035444461,0.035444461,0.012217594,0.012217594,0.047662055,0.047662055,1.3322676e-15,1.3322676e-15,-0.03378857,-0.03378857,-0.03378857,-0.03378857,-0.012217594,-0.012217594,0.0057378933,0.0057378933,2.220446e-16,2.220446e-16,0.0063809245,0.0063809245,-0.00064303125,-0.00064303125,0.047662055,0.047662055,1.3322676e-15,1.3322676e-15,0.76259288,0.76259288,1.7319479e-14,1.7319479e-14,0.38129644,0.38129644,7.4384943e-15,7.4384943e-15,-0.03378857,-0.03378857,0.081450625,0.081450625,-0.006757714,-0.006757714,5.5511151e-17,5.5511151e-17,5.5600541e-15,5.5600541e-15,-5.7544901e-15,-5.7544901e-15,0,0,0,0,-0.081450625,-0.081450625,-3.3306691e-16,-3.3306691e-16,0,0,-1.6653345e-16,-1.6653345e-16,0,0,0,0
-0.02426504,-0.02426504,0.02426504,0.02426504,5.4400928e-15,5.4400928e-15,-2.6645353e-15,-2.6645353e-15,0.02426504,0.02426504,-0.06577138,-0.06577138,-0.011606714,-0.011606714,-0.06577138,-0.06577138,-0.011606714,-0.011606714,0,0,0.053113054,0.053113054,1.3322676e-15,1.3322676e-15,0.0090928175,0.0090928175,0.0090928175,0.0090928175,4.8138576e-16,4.8138576e-16,-0.06577138,-0.06577138,-0.011606714,-0.011606714,-0.06577138,-0.06577138,-0.011606714,-0.011606714,-1.0269563e-15,-1.0269563e-15,1.110223e-15,1.110223e-15,-0.077378094,-0.077378094,0,0,1.3322676e-15,1.3322676e-15,4.4408921e-16,4.4408921e-16,0.04150634,0.04150634,0.011606714,0.011606714,0.04150634,0.04150634,0.011606714,0.011606714,0.053113054,0.053113054,1.5543122e-15,1.5543122e-15,-0.02426504,-0.02426504,-0.02426504,-0.02426504,-0.011606714,-0.011606714,0.0054509986,0.0054509986,2.220446e-16,2.220446e-16,0.0060618783,0.0060618783,-0.00061087969,-0.00061087969,0.053113054,0.053113054,1.5543122e-15,1.5543122e-15,0.84980886,0.84980886,2.1094237e-14,2.1094237e-14,0.42490443,0.42490443,9.2148511e-15,9.2148511e-15,-0.02426504,-0.02426504,0.077378094,0.077378094,-0.004853008,-0.004853008,5.5511151e-17,5.5511151e-17,6.5760252e-15,6.5760252e-15,-6.7395609e-15,-6.7395609e-15,0,0,0,0,-0.077378094,-0.077378094,-4.4408921e-16,-4.4408921e-16,0,0,-2.220446e-16,-2.220446e-16,0,0,0,0
-0.015217687,-0.015217687,0.015217687,0.015217687,5.2180482e-15,5.2180482e-15,-2.8865799e-15,-2.8865799e-15,0.015217687,0.015217687,-0.062482811,-0.062482811,-0.011026378,-0.011026378,-0.062482811,-0.062482811,-0.011026378,-0.011026378,0,0,0.058291502,0.058291502,1.5543122e-15,1.5543122e-15,0.0086381766,0.0086381766,0.0086381766,0.0086381766,5.1954968e-16,5.1954968e-16,-0.062482811,-0.062482811,-0.011026378,-0.011026378,-0.062482811,-0.062482811,-0.011026378,-0.011026378,-9.9920072e-16,-9.9920072e-16,1.110223e-15,1.110223e-15,-0.073509189,-0.073509189,2.220446e-16,2.220446e-16,1.3322676e-15,1.3322676e-15,4.4408921e-16,4.4408921e-16,0.047265124,0.047265124,0.011026378,0.011026378,0.047265124,0.047265124,0.011026378,0.011026378,0.058291502,0.058291502,1.7763568e-15,1.7763568e-15,-0.015217687,-0.015217687,-0.015217687,-0.015217687,-0.011026378,-0.011026378,0.0051784487,0.0051784487,2.220446e-16,2.220446e-16,0.0057587844,0.0057587844,-0.0005803357,-0.0005803357,0.058291502,0.058291502,1.7763568e-15,1.7763568e-15,0.93266404,0.93266404,2.4980018e-14,2.4980018e-14,0.46633202,0.46633202,1.1213253e-14,1.1213253e-14,-0.015217687,-0.015217687,0.073509189,0.073509189,-0.0030435373,-0.0030435373,5.5511151e-17,5.5511151e-17,7.5654579e-15,7.5654579e-15,-7.6823658e-15,-7.6823658e-15,0,0,0,0,-0.073509189,-0.073509189,-5.5511151e-16,-5.5511151e-16,0,0,-2.7755576e-16,-2.7755576e-16,0,0,0,0
-0.0066227009,-0.0066227009,0.0066227009,0.0066227009,4.773959e-15,4.773959e-15,-3.2196468e-15,-3.2196468e-15,0.0066227009,0.0066227009,-0.05935867,-0.05935867,-0.010475059,-0.010475059,-0.05935867,-0.05935867,-0.010475059,-0.010475059,0,0,0.063211029,0.063211029,1.7763568e-15,1.7763568e-15,0.0082062678,0.0082062678,0.0082062678,0.0082062678,5.5858096e-16,5.5858096e-16,-0.05935867,-0.05935867,-0.010475059,-0.010475059,-0.05935867,-0.05935867,-0.010475059,-0.010475059,-9.9920072e-16,-9.9920072e-16,1.110223e-15,1.110223e-15,-0.06983373,-0.06983373,2.220446e-16,2.220446e-16,1.3322676e-15,1.3322676e-15,6.6613381e-16,6.6613381e-16,0.052735969,0.052735969,0.010475059,0.010475059,0.052735969,0.052735969,0.010475059,0.010475059,0.063211029,0.063211029,1.9984014e-15,1.9984014e-15,-0.0066227009,-0.0066227009,-0.0066227009,-0.0066227009,-0.010475059,-0.010475059,0.0049195263,0.0049195263,4.4408921e-16,4.4408921e-16,0.0054708452,0.0054708452,-0.00055131892,-0.00055131892,0.063211029,0.063211029,1.9984014e-15,1.9984014e-15,1.0113765,1.0113765,2.9309888e-14,2.9309888e-14,0.50568823,0.50568823,1.3211654e-14,1.3211654e-14,-0.0066227009,-0.0066227009,0.06983373,0.06983373,-0.0013245402,-0.0013245402,5.5511151e-17,5.5511151e-17,8.5289399e-15,8.5289399e-15,-8.5858011e-15,-8.5858011e-15,0,0,0,0,-0.06983373,-0.06983373,-6.6613381e-16,-6.6613381e-16,0,0,-3.3306691e-16,-3.3306691e-16,0,0,0,0
0.0015425355,0.0015425355,-0.0015425355,-0.0015425355,4.4408921e-15,4.4408921e-15,-3.4416914e-15,-3.4416914e-15,-0.0015425355,-0.0015425355,-0.056390737,-0.056390737,-0.0099513065,-0.0099513065,-0.056390737,-0.056390737,-0.0099513065,-0.0099513065,0,0,0.067884579,0.067884579,1.9984014e-15,1.9984014e-15,0.0077959544,0.0077959544,0.0077959544,0.0077959544,5.9761224e-16,5.9761224e-16,-0.056390737,-0.056390737,-0.0099513065,-0.0099513065,-0.056390737,-0.056390737,-0.0099513065,-0.0099513065,-9.9920072e-16,-9.9920072e-16,1.110223e-15,1.110223e-15,-0.066342043,-0.066342043,2.220446e-16,2.220446e-16,1.3322676e-15,1.3322676e-15,6.6613381e-16,6.6613381e-16,0.057933272,0.057933272,0.0099513065,0.0099513065,0.057933272,0.057933272,0.0099513065,0.0099513065,0.067884579,0.067884579,2.220446e-15,2.220446e-15,0.0015425355,0.0015425355,0.0015425355,0.0015425355,-0.0099513065,-0.0099513065,0.0046735499,0.0046735499,4.4408921e-16,4.4408921e-16,0.0051973029,0.0051973029,-0.00052375297,-0.00052375297,0.067884579,0.067884579,2.220446e-15,2.220446e-15,1.0861533,1.0861533,3.3861802e-14,3.3861802e-14,0.54307663,0.54307663,1.54321e-14,1.54321e-14,0.0015425355,0.0015425355,0.066342043,0.066342043,0.00030850711,0.00030850711,5.5511151e-17,5.5511151e-17,9.46699e-15,9.46699e-15,-9.4524094e-15,-9.4524094e-15,0,0,0,0,-0.066342043,-0.066342043,-7.7715612e-16,-7.7715612e-16,0,0,-3.8857806e-16,-3.8857806e-16,0,0,0,0
0.0092995102,0.0092995102,-0.0092995102,-0.0092995102,4.1078252e-15,4.1078252e-15,-3.7747583e-15,-3.7747583e-15,-0.0092995102,-0.0092995102,-0.0535712,-0.0535712,-0.0094537411,-0.0094537411,-0.0535712,-0.0535712,-0.0094537411,-0.0094537411,0,0,0.072324451,0.072324451,2.220446e-15,2.220446e-15,0.0074061567,0.0074061567,0.0074061567,0.0074061567,6.3664352e-16,6.3664352e-16,-0.0535712,-0.0535712,-0.0094537411,-0.0094537411,-0.0535712,-0.0535712,-0.0094537411,-0.0094537411,-9.9920072e-16,-9.9920072e-16,1.110223e-15,1.110223e-15,-0.063024941,-0.063024941,2.220446e-16,2.220446e-16,1.5543122e-15,1.5543122e-15,8.8817842e-16,8.8817842e-16,0.06287071,0.06287071,0.0094537411,0.0094537411,0.06287071,0.06287071,0.0094537411,0.0094537411,0.072324451,0.072324451,2.6645353e-15,2.6645353e-15,0.0092995102,0.0092995102,0.0092995102,0.0092995102,-0.0094537411,-0.0094537411,0.0044398724,0.0044398724,4.4408921e-16,4.4408921e-16,0.0049374378,0.0049374378,-0.00049756532,-0.00049756532,0.072324451,0.072324451,2.6645353e-15,2.6645353e-15,1.1571912,1.1571912,3.8635761e-14,3.8635761e-14,0.57859561,0.57859561,1.7874591e-14,1.7874591e-14,0.0092995102,0.0092995102,0.063024941,0.063024941,0.001859902,0.001859902,5.5511151e-17,5.5511151e-17,1.0380069e-14,1.0380069e-14,-1.0284428e-14,-1.0284428e-14,0,0,0,0,-0.063024941,-0.063024941,-8.8817842e-16,-8.8817842e-16,0,0,-4.4408921e-16,-4.4408921e-16,0,0,0,0
