e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,p_H_W_slash_p_H_pie,p_H_W_slash_p_H_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,y_H_potential_pie,y_H_potential_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
-0.0053100717,-0.0053100717,0.0053100717,0.0053100717,1.5541388e-14,1.5541388e-14,-1.1974577e-15,-1.1974577e-15,0.0053100717,0.0053100717,-0.073379868,-0.073379868,-0.00079759172,-0.00079759172,-0.073379848,-0.073379848,-0.00079759172,-0.00079759172,0,0,7.2063866e-06,7.2063866e-06,-3.2671138e-17,-3.2671138e-17,-0.0036521243,-0.0036521243,-0.0036521243,-0.0036521243,-8.2122986e-18,-8.2122986e-18,-0.0045196864,-0.0045196864,-0.00079759172,-0.00079759172,-0.0045196864,-0.0045196864,-0.00079759172,-0.00079759172,-2.3169043e-15,-2.3169043e-15,1.0411457e-15,1.0411457e-15,-0.0053172781,-0.0053172781,-1.2901999e-15,-1.2901999e-15,0.094682722,0.094682722,-1.3150079e-15,-1.3150079e-15,-0.00079038533,-0.00079038533,0.00079759172,0.00079759172,-0.00079038533,-0.00079038533,0.00079759172,0.00079759172,7.2063866e-06,7.2063866e-06,-4.4182067e-18,-4.4182067e-18,-0.0053100717,-0.0053100717,-0.0053100717,-0.0053100717,-0.00079759172,-0.00079759172,7.2063866e-06,7.2063866e-06,-9.9782317e-18,-9.9782317e-18,-0.00079038533,-0.00079038533,0.00079759172,0.00079759172,0.00072063866,0.00072063866,-2.5917464e-17,-2.5917464e-17,0.22110195,0.22110195,-8.6297832e-15,-8.6297832e-15,-0.2195391,-0.2195391,-8.4973265e-15,-8.4973265e-15,-0.0053100717,-0.0053100717,0.0053172781,0.0053172781,-0.0010620143,-0.0010620143,-2.6456402e-16,-2.6456402e-16,2.5159876e-15,2.5159876e-15,-2.529419e-15,-2.529419e-15,5.4064465e-20,5.4064465e-20,-5.5601564e-20,-5.5601564e-20,-0.1,-0.1,-2.9973217e-19,-2.9973217e-19,0,0,0,0,-0.1,-0.1,2.8276978e-08,2.8276978e-08,1.6428243e-33,1.6428243e-33
-0.0089439354,-0.0089439354,0.0089439354,0.0089439354,1.534016e-14,1.534016e-14,-1.179607e-15,-1.179607e-15,0.0089439354,0.0089439354,-0.070190083,-0.070190083,-0.0013433984,-0.0013433984,-0.070190053,-0.070190053,-0.0013433984,-0.0013433984,0,0,1.2054003e-05,1.2054003e-05,-4.0317049e-18,-4.0317049e-18,-0.003297219,-0.003297219,-0.003297219,-0.003297219,-1.0120564e-17,-1.0120564e-17,-0.007612591,-0.007612591,-0.0013433984,-0.0013433984,-0.007612591,-0.007612591,-0.0013433984,-0.0013433984,-2.3095543e-15,-2.3095543e-15,1.0067125e-15,1.0067125e-15,-0.0089559894,-0.0089559894,-1.2951102e-15,-1.2951102e-15,0.086044011,0.086044011,-1.308735e-15,-1.308735e-15,-0.0013313444,-0.0013313444,0.0013433984,0.0013433984,-0.0013313444,-0.0013313444,0.0013433984,0.0013433984,1.2054003e-05,1.2054003e-05,-8.6868193e-18,-8.6868193e-18,-0.0089439354,-0.0089439354,-0.0089439354,-0.0089439354,-0.0013433984,-0.0013433984,4.8476168e-06,4.8476168e-06,-4.9112581e-18,-4.9112581e-18,-0.00054095908,-0.00054095908,0.00054580669,0.00054580669,0.00049196807,0.00049196807,-2.231058e-17,-2.231058e-17,0.084530052,0.084530052,-8.3461297e-15,-8.3461297e-15,-0.22292955,-0.22292955,-8.3356398e-15,-8.3356398e-15,-0.0089439354,-0.0089439354,0.0089559894,0.0089559894,-0.0017887871,-0.0017887871,-2.5942093e-16,-2.5942093e-16,5.0120272e-15,5.0120272e-15,-5.057259e-15,-5.057259e-15,8.1376813e-19,8.1376813e-19,-1.2236969e-19,-1.2236969e-19,-0.095,-0.095,-7.8053852e-18,-7.8053852e-18,-7.8674182e-18,-7.8674182e-18,3.9836051e-19,3.9836051e-19,-0.095,-0.095,4.0789626e-08,4.0789626e-08,1.6301057e-33,1.6301057e-33
-0.012224668,-0.012224668,0.012224668,0.012224668,1.5341894e-14,1.5341894e-14,-1.1695047e-15,-1.1695047e-15,0.012224668,0.012224668,-0.067138506,-0.067138506,-0.0018359127,-0.0018359127,-0.067138474,-0.067138474,-0.0018359127,-0.0018359127,0,0,1.4749512e-05,1.4749512e-05,-1.2062258e-17,-1.2062258e-17,-0.0029677084,-0.0029677084,-0.0029677084,-0.0029677084,-1.0348141e-17,-1.0348141e-17,-0.010403505,-0.010403505,-0.0018359127,-0.0018359127,-0.010403505,-0.010403505,-0.0018359127,-0.0018359127,-2.3089576e-15,-2.3089576e-15,1.0044943e-15,1.0044943e-15,-0.012239418,-0.012239418,-1.2971833e-15,-1.2971833e-15,0.078010582,0.078010582,-1.300142e-15,-1.300142e-15,-0.0018211632,-0.0018211632,0.0018359127,0.0018359127,-0.0018211632,-0.0018211632,0.0018359127,0.0018359127,1.4749512e-05,1.4749512e-05,-1.1735575e-17,-1.1735575e-17,-0.012224668,-0.012224668,-0.012224668,-0.012224668,-0.0018359127,-0.0018359127,2.6955085e-06,2.6955085e-06,-4.8759912e-18,-4.8759912e-18,-0.00048981876,-0.00048981876,0.00049251427,0.00049251427,0.00028160486,0.00028160486,-2.5873543e-17,-2.5873543e-17,-0.041437223,-0.041437223,-8.5913112e-15,-8.5913112e-15,-0.22641082,-0.22641082,-8.4636231e-15,-8.4636231e-15,-0.012224668,-0.012224668,0.012239418,0.012239418,-0.0024449337,-0.0024449337,-2.5934088e-16,-2.5934088e-16,7.5285008e-15,7.5285008e-15,-7.6216733e-15,-7.6216733e-15,1.5390757e-18,1.5390757e-18,-2.2296478e-19,-2.2296478e-19,-0.09025,-0.09025,-1.4137746e-17,-1.4137746e-17,-1.500094e-17,-1.500094e-17,2.4992298e-18,2.4992298e-18,-0.09025,-0.09025,4.4337939e-08,4.4337939e-08,1.6148716e-33,1.6148716e-33
-0.015177538,-0.015177538,0.015177538,0.015177538,1.5331486e-14,1.5331486e-14,-1.1602121e-15,-1.1602121e-15,0.015177538,0.015177538,-0.064219176,-0.064219176,-0.0022789535,-0.0022789535,-0.064219144,-0.064219144,-0.0022789535,-0.0022789535,0,0,1.5485302e-05,1.5485302e-05,-1.8566124e-17,-1.8566124e-17,-0.0026619831,-0.0026619831,-0.0026619831,-0.0026619831,-1.0486036e-17,-1.0486036e-17,-0.01291407,-0.01291407,-0.0022789535,-0.0022789535,-0.01291407,-0.01291407,-0.0022789535,-0.0022789535,-2.306324e-15,-2.306324e-15,1.0016954e-15,1.0016954e-15,-0.015193024,-0.015193024,-1.2977751e-15,-1.2977751e-15,0.070544476,0.070544476,-1.2906003e-15,-1.2906003e-15,-0.0022634682,-0.0022634682,0.0022789535,0.0022789535,-0.0022634682,-0.0022634682,0.0022789535,0.0022789535,1.5485302e-05,1.5485302e-05,-1.3629214e-17,-1.3629214e-17,-0.015177538,-0.015177538,-0.015177538,-0.015177538,-0.0022789535,-0.0022789535,7.3578985e-07,7.3578985e-07,-4.7899434e-18,-4.7899434e-18,-0.00044230506,-0.00044230506,0.00044304085,0.00044304085,8.8328497e-05,8.8328497e-05,-2.812275e-17,-2.812275e-17,-0.15749774,-0.15749774,-8.752967e-15,-8.752967e-15,-0.22996682,-0.22996682,-8.5500188e-15,-8.5500188e-15,-0.015177538,-0.015177538,0.015193024,0.015193024,-0.0030355076,-0.0030355076,-2.5726478e-16,-2.5726478e-16,1.00626e-14,1.00626e-14,-1.0217679e-14,-1.0217679e-14,2.2313401e-18,2.2313401e-18,-3.5420367e-19,-3.5420367e-19,-0.0857375,-0.0857375,-1.9416376e-17,-1.9416376e-17,-2.145597e-17,-2.145597e-17,5.9945547e-18,5.9945547e-18,-0.0857375,-0.0857375,4.4189345e-08,4.4189345e-08,1.5897224e-33,1.5897224e-33
-0.017826211,-0.017826211,0.017826211,0.017826211,1.5303731e-14,1.5303731e-14,-1.1517192e-15,-1.1517192e-15,0.017826211,0.017826211,-0.061426385,-0.061426385,-0.0026760978,-0.0026760978,-0.061426353,-0.061426353,-0.0026760978,-0.0026760978,0,0,1.4440379e-05,1.4440379e-05,-2.3633064e-17,-2.3633064e-17,-0.0023785293,-0.0023785293,-0.0023785293,-0.0023785293,-1.054882e-17,-1.054882e-17,-0.015164554,-0.015164554,-0.0026760978,-0.0026760978,-0.015164554,-0.015164554,-0.0026760978,-0.0026760978,-2.3018218e-15,-2.3018218e-15,9.9838192e-16,9.9838192e-16,-0.017840652,-0.017840652,-1.2969891e-15,-1.2969891e-15,0.063609973,0.063609973,-1.2802426e-15,-1.2802426e-15,-0.0026616574,-0.0026616574,0.0026760978,0.0026760978,-0.0026616574,-0.0026616574,0.0026760978,0.0026760978,1.4440379e-05,1.4440379e-05,-1.4433483e-17,-1.4433483e-17,-0.017826211,-0.017826211,-0.017826211,-0.017826211,-0.0026760978,-0.0026760978,-1.0449229e-06,-1.0449229e-06,-4.6623944e-18,-4.6623944e-18,-0.00039818917,-0.00039818917,0.00039714424,0.00039714424,-8.9006983e-05,-8.9006983e-05,-2.9151002e-17,-2.9151002e-17,-0.26430705,-0.26430705,-8.8363952e-15,-8.8363952e-15,-0.23358277,-0.23358277,-8.5971034e-15,-8.5971034e-15,-0.017826211,-0.017826211,0.017840652,0.017840652,-0.0035652423,-0.0035652423,-2.534994e-16,-2.534994e-16,1.2611735e-14,1.2611735e-14,-1.2840635e-14,-1.2840635e-14,2.8918674e-18,2.8918674e-18,-5.1311273e-19,-5.1311273e-19,-0.081450625,-0.081450625,-2.3750884e-17,-2.3750884e-17,-2.7283952e-17,-2.7283952e-17,1.0616228e-17,1.0616228e-17,-0.081450625,-0.081450625,4.4341971e-08,4.4341971e-08,1.5509675e-33,1.5509675e-33
-0.020192848,-0.020192848,0.020192848,0.020192848,1.5269036e-14,1.5269036e-14,-1.1440083e-15,-1.1440083e-15,0.020192848,0.020192848,-0.058754671,-0.058754671,-0.0030306944,-0.0030306944,-0.058754636,-0.058754636,-0.0030306944,-0.0030306944,0,0,1.1781202e-05,1.1781202e-05,-2.7351639e-17,-2.7351639e-17,-0.0021159234,-0.0021159234,-0.0021159234,-0.0021159234,-1.0549102e-17,-1.0549102e-17,-0.017173935,-0.017173935,-0.0030306944,-0.0030306944,-0.017173935,-0.017173935,-0.0030306944,-0.0030306944,-2.2956082e-15,-2.2956082e-15,9.9461244e-16,9.9461244e-16,-0.020204629,-0.020204629,-1.2949251e-15,-1.2949251e-15,0.057173464,0.057173464,-1.2691753e-15,-1.2691753e-15,-0.0030189132,-0.0030189132,0.0030306944,0.0030306944,-0.0030189132,-0.0030189132,0.0030306944,0.0030306944,1.1781202e-05,1.1781202e-05,-1.4214367e-17,-1.4214367e-17,-0.020192848,-0.020192848,-0.020192848,-0.020192848,-0.0030306944,-0.0030306944,-2.6591768e-06,-2.6591768e-06,-4.5013356e-18,-4.5013356e-18,-0.0003572558,-0.0003572558,0.00035459663,0.00035459663,-0.0002514773,-0.0002514773,-2.9047568e-17,-2.9047568e-17,-0.36248078,-0.36248078,-8.8467762e-15,-8.8467762e-15,-0.2372451,-0.2372451,-8.6071607e-15,-8.6071607e-15,-0.020192848,-0.020192848,0.020204629,0.020204629,-0.0040385696,-0.0040385696,-2.4831513e-16,-2.4831513e-16,1.517352e-14,1.517352e-14,-1.5486232e-14,-1.5486232e-14,3.5219186e-18,3.5219186e-18,-6.9691681e-19,-6.9691681e-19,-0.077378094,-0.077378094,-2.724166e-17,-2.724166e-17,-3.2532658e-17,-3.2532658e-17,1.6131535e-17,1.6131535e-17,-0.077378094,-0.077378094,4.7748831e-08,4.7748831e-08,1.497549e-33,1.497549e-33
-0.022298192,-0.022298192,0.022298192,0.022298192,1.5213525e-14,1.5213525e-14,-1.1370557e-15,-1.1370557e-15,0.022298192,0.022298192,-0.056198806,-0.056198806,-0.0033458782,-0.0033458782,-0.056198765,-0.056198765,-0.0033458782,-0.0033458782,0,0,7.6624699e-06,7.6624699e-06,-2.9808654e-17,-2.9808654e-17,-0.0018728265,-0.0018728265,-0.0018728265,-0.0018728265,-1.0497764e-17,-1.0497764e-17,-0.018959976,-0.018959976,-0.0033458782,-0.0033458782,-0.018959976,-0.018959976,-0.0033458782,-0.0033458782,-2.2878301e-15,-2.2878301e-15,9.9043915e-16,9.9043915e-16,-0.022305854,-0.022305854,-1.2916793e-15,-1.2916793e-15,0.051203335,0.051203335,-1.2574853e-15,-1.2574853e-15,-0.0033382157,-0.0033382157,0.0033458782,0.0033458782,-0.0033382157,-0.0033382157,0.0033458782,0.0033458782,7.6624699e-06,7.6624699e-06,-1.3037456e-17,-1.3037456e-17,-0.022298192,-0.022298192,-0.022298192,-0.022298192,-0.0033458782,-0.0033458782,-4.1187322e-06,-4.1187322e-06,-4.313628e-18,-4.313628e-18,-0.00031930249,-0.00031930249,0.00031518375,0.00031518375,-0.00040009202,-0.00040009202,-2.7898007e-17,-2.7898007e-17,-0.45259701,-0.45259701,-8.7891483e-15,-8.7891483e-15,-0.24094143,-0.24094143,-8.5824605e-15,-8.5824605e-15,-0.022298192,-0.022298192,0.022305854,0.022305854,-0.0044596384,-0.0044596384,-2.4194993e-16,-2.4194993e-16,1.7745762e-14,1.7745762e-14,-1.8150485e-14,-1.8150485e-14,4.1227105e-18,4.1227105e-18,-9.0302847e-19,-9.0302847e-19,-0.073509189,-0.073509189,-2.9980564e-17,-2.9980564e-17,-3.7246449e-17,-3.7246449e-17,2.2339094e-17,2.2339094e-17,-0.073509189,-0.073509189,5.6508217e-08,5.6508217e-08,1.4301836e-33,1.4301836e-33
-0.024161654,-0.024161654,0.024161654,0.024161654,1.5154544e-14,1.5154544e-14,-1.1308331e-15,-1.1308331e-15,0.024161654,0.024161654,-0.053753787,-0.053753787,-0.0036245823,-0.0036245823,-0.053753734,-0.053753734,-0.0036245823,-0.0036245823,0,0,2.2278611e-06,2.2278611e-06,-3.1088709e-17,-3.1088709e-17,-0.00164798,-0.00164798,-0.00164798,-0.00164798,-1.0404174e-17,-1.0404174e-17,-0.0205393,-0.0205393,-0.0036245823,-0.0036245823,-0.0205393,-0.0205393,-0.0036245823,-0.0036245823,-2.2786247e-15,-2.2786247e-15,9.8590841e-16,9.8590841e-16,-0.024163882,-0.024163882,-1.2873435e-15,-1.2873435e-15,0.045669847,0.045669847,-1.2452448e-15,-1.2452448e-15,-0.0036223545,-0.0036223545,0.0036245823,0.0036245823,-0.0036223545,-0.0036223545,0.0036245823,0.0036245823,2.2278611e-06,2.2278611e-06,-1.0967419e-17,-1.0967419e-17,-0.024161654,-0.024161654,-0.024161654,-0.024161654,-0.0036245823,-0.0036245823,-5.4346087e-06,-5.4346087e-06,-4.1051417e-18,-4.1051417e-18,-0.00028413877,-0.00028413877,0.00027870416,0.00027870416,-0.00053579841,-0.00053579841,-2.5784059e-17,-2.5784059e-17,-0.5351984,-0.5351984,-8.6683882e-15,-8.6683882e-15,-0.2446604,-0.2446604,-8.5252417e-15,-8.5252417e-15,-0.024161654,-0.024161654,0.024163882,0.024163882,-0.0048323308,-0.0048323308,-2.3461279e-16,-2.3461279e-16,2.0326444e-14,2.0326444e-14,-2.0829725e-14,-2.0829725e-14,4.6954174e-18,4.6954174e-18,-1.1290377e-18,-1.1290377e-18,-0.06983373,-0.06983373,-3.2051567e-17,-3.2051567e-17,-4.1466525e-17,-4.1466525e-17,2.9065224e-17,2.9065224e-17,-0.06983373,-0.06983373,7.2024927e-08,7.2024927e-08,1.3506988e-33,1.3506988e-33
-0.025801394,-0.025801394,0.025801394,0.025801394,1.5085155e-14,1.5085155e-14,-1.1253084e-15,-1.1253084e-15,0.025801394,0.025801394,-0.051414824,-0.051414824,-0.0038695508,-0.0038695508,-0.051414755,-0.051414755,-0.0038695508,-0.0038695508,0,0,-4.389268e-06,-4.389268e-06,-3.1273845e-17,-3.1273845e-17,-0.0014402009,-0.0014402009,-0.0014402009,-0.0014402009,-1.0276371e-17,-1.0276371e-17,-0.021927454,-0.021927454,-0.0038695508,-0.0038695508,-0.021927454,-0.021927454,-0.0038695508,-0.0038695508,-2.2681202e-15,-2.2681202e-15,9.8106144e-16,9.8106144e-16,-0.025797005,-0.025797005,-1.2820058e-15,-1.2820058e-15,0.040545038,0.040545038,-1.2325153e-15,-1.2325153e-15,-0.00387394,-0.00387394,0.0038695508,0.0038695508,-0.00387394,-0.00387394,0.0038695508,0.0038695508,-4.389268e-06,-4.389268e-06,-8.0675691e-18,-8.0675691e-18,-0.025801394,-0.025801394,-0.025801394,-0.025801394,-0.0038695508,-0.0038695508,-6.6171291e-06,-6.6171291e-06,-3.8808797e-18,-3.8808797e-18,-0.00025158558,-0.00025158558,0.00024496845,0.00024496845,-0.00065948505,-0.00065948505,-2.2783579e-17,-2.2783579e-17,-0.61079429,-0.61079429,-8.4891959e-15,-8.4891959e-15,-0.24839168,-0.24839168,-8.4376977e-15,-8.4376977e-15,-0.025801394,-0.025801394,0.025797005,0.025797005,-0.0051602789,-0.0051602789,-2.2648692e-16,-2.2648692e-16,2.2913716e-14,2.2913716e-14,-2.352058e-14,-2.352058e-14,5.2411719e-18,5.2411719e-18,-1.3727022e-18,-1.3727022e-18,-0.066342043,-0.066342043,-3.3531343e-17,-3.3531343e-17,-4.5231147e-17,-4.5231147e-17,3.6160712e-17,3.6160712e-17,-0.066342043,-0.066342043,9.5146371e-08,9.5146371e-08,1.2615344e-33,1.2615344e-33
-0.027234394,-0.027234394,0.027234394,0.027234394,1.5012297e-14,1.5012297e-14,-1.1204472e-15,-1.1204472e-15,0.027234394,0.027234394,-0.049177335,-0.049177335,-0.0040833494,-0.0040833494,-0.049177243,-0.049177243,-0.0040833494,-0.0040833494,0,0,-1.2065229e-05,-1.2065229e-05,-3.0443263e-17,-3.0443263e-17,-0.0012483771,-0.0012483771,-0.0012483771,-0.0012483771,-1.0121235e-17,-1.0121235e-17,-0.02313898,-0.02313898,-0.0040833494,-0.0040833494,-0.02313898,-0.02313898,-0.0040833494,-0.0040833494,-2.2564359e-15,-2.2564359e-15,9.759349e-16,9.759349e-16,-0.027222329,-0.027222329,-1.2757499e-15,-1.2757499e-15,0.035802612,0.035802612,-1.2193498e-15,-1.2193498e-15,-0.0040954146,-0.0040954146,0.0040833494,0.0040833494,-0.0040954146,-0.0040954146,0.0040833494,0.0040833494,-1.2065229e-05,-1.2065229e-05,-4.3995206e-18,-4.3995206e-18,-0.027234394,-0.027234394,-0.027234394,-0.027234394,-0.0040833494,-0.0040833494,-7.6759606e-06,-7.6759606e-06,-3.6450877e-18,-3.6450877e-18,-0.00022147455,-0.00022147455,0.00021379859,0.00021379859,-0.00077198533,-0.00077198533,-1.8970514e-17,-1.8970514e-17,-0.67986261,-0.67986261,-8.2560835e-15,-8.2560835e-15,-0.25212585,-0.25212585,-8.3219651e-15,-8.3219651e-15,-0.027234394,-0.027234394,0.027222329,0.027222329,-0.0054468789,-0.0054468789,-2.1773256e-16,-2.1773256e-16,2.5505883e-14,2.5505883e-14,-2.6219968e-14,-2.6219968e-14,5.7610662e-18,5.7610662e-18,-1.6319376e-18,-1.6319376e-18,-0.063024941,-0.063024941,-3.4489829e-17,-3.4489829e-17,-4.8575851e-17,-4.8575851e-17,4.3497927e-17,4.3497927e-17,-0.063024941,-0.063024941,1.2627705e-07,1.2627705e-07,1.1653807e-33,1.1653807e-33
