e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,p_H_W_slash_p_H_pie,p_H_W_slash_p_H_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,y_H_potential_pie,y_H_potential_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
0.034675485,0.034675485,0.63340921,0.63340921,0.6680847,0.6680847,-0.045560632,-0.045560632,0.63340921,0.63340921,-0.2553987,-0.2553987,0.095723753,0.095723753,-0.25539861,-0.25539861,0.095809545,0.095809545,0,0,-1.4843109e-05,-1.4843109e-05,-0.00267382,-0.00267382,0.021487614,0.021487614,0.021487614,0.021487614,-0.00401073,-0.00401073,-0.63819684,-0.63819684,0.053036928,0.053036928,-0.53838521,-0.53838521,0.012037644,0.012037644,-0.099811632,-0.099811632,0.040999284,0.040999284,-0.52634757,-0.52634757,-0.058812347,-0.058812347,-0.52634757,-0.52634757,-0.058812347,-0.058812347,0.0047876332,0.0047876332,-0.0074762963,-0.0074762963,0.0047876332,0.0047876332,-0.0074762963,-0.0074762963,-1.4843109e-05,-1.4843109e-05,-0.00267382,-0.00267382,-0.52636241,-0.52636241,-0.63340921,-0.63340921,0.0048024763,0.0048024763,-1.4843109e-05,-1.4843109e-05,-0.00267382,-0.00267382,0.0047876332,0.0047876332,-0.0074762963,-0.0074762963,-0.0014843109,-0.0014843109,-0.01069528,-0.01069528,29.37709,29.37709,-0.93384058,-0.93384058,33.267936,33.267936,-0.62259533,-0.62259533,0.032001665,0.032001665,-0.034690329,-0.034690329,-0.10527248,-0.10527248,-0.012297233,-0.012297233,0.1070468,0.1070468,-0.1034593,-0.1034593,0.0199,0.0199,4.6262892e-18,4.6262892e-18,0,0,2.1536065e-17,2.1536065e-17,0,0,0,0,0.0535234,0.0535234,1.1996309e-07,1.1996309e-07,0.00011796367,0.00011796367
0.060046337,0.060046337,0.59202904,0.59202904,0.65207537,0.65207537,-0.041569956,-0.041569956,0.59202904,0.59202904,-0.24534513,-0.24534513,0.096519394,0.096519394,-0.24534504,-0.24534504,0.096665629,0.096665629,0,0,-1.5093073e-05,-1.5093073e-05,-0.0052861421,-0.0052861421,0.019829353,0.019829353,0.019829353,0.019829353,-0.0039184832,-0.0039184832,-0.60023024,-0.60023024,0.055072391,0.055072391,-0.50321185,-0.50321185,0.015244708,0.015244708,-0.097018385,-0.097018385,0.039827683,0.039827683,-0.48796714,-0.48796714,-0.057190702,-0.057190702,-0.48796714,-0.48796714,-0.057190702,-0.057190702,0.0082012002,0.0082012002,-0.013502435,-0.013502435,0.0082012002,0.0082012002,-0.013502435,-0.013502435,-1.5093073e-05,-1.5093073e-05,-0.0052861421,-0.0052861421,-0.48798224,-0.48798224,-0.59202904,-0.59202904,0.0082162932,0.0082162932,-2.4996359e-07,-2.4996359e-07,-0.0026123221,-0.0026123221,0.003413567,0.003413567,-0.0060261391,-0.0060261391,-3.9839468e-05,-3.9839468e-05,-0.013123109,-0.013123109,29.62746,29.62746,-1.079416,-1.079416,32.615789,32.615789,-0.69087749,-0.69087749,0.054760195,0.054760195,-0.06006143,-0.06006143,-0.097596447,-0.097596447,-0.012495369,-0.012495369,0.21163152,0.21163152,-0.19964365,-0.19964365,0.0194423,0.0194423,9.9601952e-18,9.9601952e-18,-2.1835543e-17,-2.1835543e-17,3.0866754e-17,3.0866754e-17,2.1771654e-19,2.1771654e-19,-3.5405532e-18,-3.5405532e-18,0.052292361,0.052292361,1.1879748e-07,1.1879748e-07,0.0002010725,0.0002010725
0.083675434,0.083675434,0.55275883,0.55275883,0.63643426,0.63643426,-0.037671065,-0.037671065,0.55275883,0.55275883,-0.23566668,-0.23566668,0.097138398,0.097138398,-0.23566652,-0.23566652,0.097326241,0.097326241,0,0,-1.6853267e-06,-1.6853267e-06,-0.0078383808,-0.0078383808,0.018260944,0.018260944,0.018260944,0.018260944,-0.0038283581,-0.0038283581,-0.56413296,-0.56413296,0.056885257,0.056885257,-0.46984357,-0.46984357,0.018202228,0.018202228,-0.094289382,-0.094289382,0.038683029,0.038683029,-0.45164135,-0.45164135,-0.055606354,-0.055606354,-0.45164135,-0.45164135,-0.055606354,-0.055606354,0.011374125,0.011374125,-0.019214192,-0.019214192,0.011374125,0.011374125,-0.019214192,-0.019214192,-1.6853267e-06,-1.6853267e-06,-0.0078383808,-0.0078383808,-0.45164303,-0.45164303,-0.55275883,-0.55275883,0.011375811,0.011375811,1.3407746e-05,1.3407746e-05,-0.0025522387,-0.0025522387,0.0031729253,0.0031729253,-0.0057117563,-0.0057117563,0.0013256815,0.0013256815,-0.015495097,-0.015495097,29.847338,29.847338,-1.2216433,-1.2216433,31.980798,31.980798,-0.75758916,-0.75758916,0.075837053,0.075837053,-0.083677119,-0.083677119,-0.090328606,-0.090328606,-0.012688947,-0.012688947,0.3138108,0.3138108,-0.28958006,-0.28958006,0.018995127,0.018995127,1.5021977e-17,1.5021977e-17,-4.1685928e-17,-4.1685928e-17,3.8082804e-17,3.8082804e-17,3.948305e-19,3.948305e-19,-9.1963762e-18,-9.1963762e-18,0.051089637,0.051089637,2.15493e-07,2.15493e-07,0.00025828409,0.00025828409
0.10565429,0.10565429,0.51549861,0.51549861,0.6211529,0.6211529,-0.033861849,-0.033861849,0.51549861,0.51549861,-0.22634847,-0.22634847,0.097588187,0.097588187,-0.22634805,-0.22634805,0.097803682,0.097803682,0,0,2.4492837e-05,2.4492837e-05,-0.010331918,-0.010331918,0.016778024,0.016778024,0.016778024,0.016778024,-0.0037403058,-0.0037403058,-0.52981779,-0.52981779,0.058488448,0.058488448,-0.43819464,-0.43819464,0.020923747,0.020923747,-0.091623147,-0.091623147,0.037564702,0.037564702,-0.41727089,-0.41727089,-0.054058446,-0.054058446,-0.41727089,-0.41727089,-0.054058446,-0.054058446,0.014319175,0.014319175,-0.0246266,-0.0246266,0.014319175,0.014319175,-0.0246266,-0.0246266,2.4492837e-05,2.4492837e-05,-0.010331918,-0.010331918,-0.4172464,-0.4172464,-0.51549861,-0.51549861,0.014294682,0.014294682,2.6178163e-05,2.6178163e-05,-0.0024935372,-0.0024935372,0.0029450492,0.0029450492,-0.0054124082,-0.0054124082,0.002616131,0.002616131,-0.01781253,-0.01781253,30.038559,30.038559,-1.3605993,-1.3605993,31.362491,31.362491,-0.82276647,-0.82276647,0.095322371,0.095322371,-0.1056298,-0.1056298,-0.08344928,-0.08344928,-0.012878073,-0.012878073,0.41363995,0.41363995,-0.37411328,-0.37411328,0.018558239,0.018558239,1.9831195e-17,1.9831195e-17,-5.9687179e-17,-5.9687179e-17,4.3339286e-17,4.3339286e-17,5.3719402e-19,5.3719402e-19,-1.6678678e-17,-1.6678678e-17,0.049914576,0.049914576,5.8648187e-07,5.8648187e-07,0.00029630558,0.00029630558
0.12607003,0.12607003,0.48015298,0.48015298,0.60622301,0.60622301,-0.030140244,-0.030140244,0.48015298,0.48015298,-0.21737623,-0.21737623,0.09787678,0.09787678,-0.21737523,-0.21737523,0.098109621,0.098109621,0,0,6.2599979e-05,6.2599979e-05,-0.012768104,-0.012768104,0.015376435,0.015376435,0.015376435,0.015376435,-0.0036542788,-0.0036542788,-0.49720148,-0.49720148,0.059894247,0.059894247,-0.40818324,-0.40818324,0.023422151,0.023422151,-0.089018236,-0.089018236,0.036472096,0.036472096,-0.38476109,-0.38476109,-0.05254614,-0.05254614,-0.38476109,-0.38476109,-0.05254614,-0.05254614,0.017048499,0.017048499,-0.029754003,-0.029754003,0.017048499,0.017048499,-0.029754003,-0.029754003,6.2599979e-05,6.2599979e-05,-0.012768104,-0.012768104,-0.38469849,-0.38469849,-0.48015298,-0.48015298,0.016985899,0.016985899,3.8107142e-05,3.8107142e-05,-0.0024361859,-0.0024361859,0.002729324,0.002729324,-0.0051274027,-0.0051274027,0.0038352071,0.0038352071,-0.020076662,-0.020076662,30.202865,30.202865,-1.4963593,-1.4963593,30.76041,30.76041,-0.8864447,-0.8864447,0.11330192,0.11330192,-0.12600743,-0.12600743,-0.076939698,-0.076939698,-0.013062849,-0.013062849,0.51117303,0.51117303,-0.45394426,-0.45394426,0.0181314,0.0181314,2.4405704e-17,2.4405704e-17,-7.5966953e-17,-7.5966953e-17,4.6781882e-17,4.6781882e-17,6.4997541e-19,6.4997541e-19,-2.573024e-17,-2.573024e-17,0.04876654,0.04876654,1.3713151e-06,1.3713151e-06,0.00032015671,0.00032015671
0.14500559,0.14500559,0.44663092,0.44663092,0.5916365,0.5916365,-0.026504237,-0.026504237,0.44663092,0.44663092,-0.20873624,-0.20873624,0.098012518,0.098012518,-0.20873429,-0.20873429,0.09825513,0.09825513,0,0,0.00011183833,0.00011183833,-0.015148258,-0.015148258,0.014052207,0.014052207,0.014052207,0.014052207,-0.0035702304,-0.0035702304,-0.46620458,-0.46620458,0.061114318,0.061114318,-0.37973134,-0.37973134,0.025709698,0.025709698,-0.086473237,-0.086473237,0.03540462,0.03540462,-0.35402164,-0.35402164,-0.051068617,-0.051068617,-0.35402164,-0.35402164,-0.051068617,-0.051068617,0.019573662,0.019573662,-0.034610081,-0.034610081,0.019573662,0.019573662,-0.034610081,-0.034610081,0.00011183833,0.00011183833,-0.015148258,-0.015148258,-0.3539098,-0.3539098,-0.44663092,-0.44663092,0.019461824,0.019461824,4.9238352e-05,4.9238352e-05,-0.0023801536,-0.0023801536,0.0025251635,0.0025251635,-0.0048560788,-0.0048560788,0.0049864352,0.0049864352,-0.022288718,-0.022288718,30.341909,30.341909,-1.6289969,-1.6289969,30.174108,30.174108,-0.94865833,-0.94865833,0.12985733,0.12985733,-0.14489375,-0.14489375,-0.070781961,-0.070781961,-0.013243375,-0.013243375,0.60646285,0.60646285,-0.52965929,-0.52965929,0.017714377,0.017714377,2.8761818e-17,2.8761818e-17,-9.0645019e-17,-9.0645019e-17,4.8547411e-17,4.8547411e-17,7.3773232e-19,7.3773232e-19,-3.6122157e-17,-3.6122157e-17,0.04764491,0.04764491,2.677696e-06,2.677696e-06,0.0003335922,0.0003335922
0.16253991,0.16253991,0.41484557,0.41484557,0.57738549,0.57738549,-0.022951858,-0.022951858,0.41484557,0.41484557,-0.20041536,-0.20041536,0.098003859,0.098003859,-0.20041203,-0.20041203,0.098250709,0.098250709,0,0,0.00017145171,0.00017145171,-0.017473668,-0.017473668,0.012801559,0.012801559,0.012801559,0.012801559,-0.0034881151,-0.0034881151,-0.43675125,-0.43675125,0.062159744,0.062159744,-0.35276447,-0.35276447,0.027798048,0.027798048,-0.083986773,-0.083986773,0.034361696,0.034361696,-0.32496642,-0.32496642,-0.049625077,-0.049625077,-0.32496642,-0.32496642,-0.049625077,-0.049625077,0.021905671,0.021905671,-0.039207887,-0.039207887,0.021905671,0.021905671,-0.039207887,-0.039207887,0.00017145171,0.00017145171,-0.017473668,-0.017473668,-0.32479497,-0.32479497,-0.41484557,-0.41484557,0.021734219,0.021734219,5.9613378e-05,5.9613378e-05,-0.0023254101,-0.0023254101,0.0023320087,0.0023320087,-0.0045978053,-0.0045978053,0.0060731761,0.0060731761,-0.024449898,-0.024449898,30.457263,30.457263,-1.7585837,-1.7585837,29.603157,29.603157,-1.009441,-1.009441,0.14506625,0.14506625,-0.16236846,-0.16236846,-0.064958995,-0.064958995,-0.013419749,-0.013419749,0.699561,0.699561,-0.60175224,-0.60175224,0.017306947,0.017306947,3.2914455e-17,3.2914455e-17,-1.0383372e-16,-1.0383372e-16,4.8764334e-17,4.8764334e-17,8.0447742e-19,8.0447742e-19,-4.7650904e-17,-4.7650904e-17,0.046549077,0.046549077,4.5859386e-06,4.5859386e-06,0.00033941843,0.00033941843
0.17874814,0.17874814,0.38471411,0.38471411,0.56346225,0.56346225,-0.019481183,-0.019481183,0.38471411,0.38471411,-0.19240099,-0.19240099,0.097859237,0.097859237,-0.19239578,-0.19239578,0.098106314,0.098106314,0,0,0.00024072353,0.00024072353,-0.019745593,-0.019745593,0.011620884,0.011620884,0.011620884,0.011620884,-0.0034078885,-0.0034078885,-0.4087691,-0.4087691,0.06304105,0.06304105,-0.32721161,-0.32721161,0.02969829,0.02969829,-0.081557498,-0.081557498,0.03334276,0.03334276,-0.29751332,-0.29751332,-0.048214738,-0.048214738,-0.29751332,-0.29751332,-0.048214738,-0.048214738,0.024054997,0.024054997,-0.043559867,-0.043559867,0.024054997,0.024054997,-0.043559867,-0.043559867,0.00024072353,0.00024072353,-0.019745593,-0.019745593,-0.29727259,-0.29727259,-0.38471411,-0.38471411,0.023814273,0.023814273,6.9271818e-05,6.9271818e-05,-0.0022719256,-0.0022719256,0.0021493261,0.0021493261,-0.0043519799,-0.0043519799,0.0070986336,0.0070986336,-0.02656137,-0.02656137,30.550415,30.550415,-1.8851901,-1.8851901,29.047136,29.047136,-1.0688258,-1.0688258,0.15900255,0.15900255,-0.17850742,-0.17850742,-0.059454518,-0.059454518,-0.013592066,-0.013592066,0.7905179,0.7905179,-0.67064191,-0.67064191,0.016908887,0.016908887,3.6877267e-17,3.6877267e-17,-1.1563841e-16,-1.1563841e-16,4.7553224e-17,4.7553224e-17,8.5373728e-19,8.5373728e-19,-6.0135707e-17,-6.0135707e-17,0.045478448,0.045478448,7.1529086e-06,7.1529086e-06,0.00033973098,0.00033973098
0.19370177,0.19370177,0.35615747,0.35615747,0.54985924,0.54985924,-0.016090334,-0.016090334,0.35615747,0.35615747,-0.18468101,-0.18468101,0.097586951,0.097586951,-0.18467343,-0.18467343,0.097831382,0.097831382,0,0,0.0003189749,0.0003189749,-0.021965265,-0.021965265,0.010506743,0.010506743,0.010506743,0.010506743,-0.003329507,-0.003329507,-0.38218907,-0.38218907,0.063768228,0.063768228,-0.30300498,-0.30300498,0.031420969,0.031420969,-0.079184096,-0.079184096,0.032347259,0.032347259,-0.27158401,-0.27158401,-0.046836837,-0.046836837,-0.27158401,-0.27158401,-0.046836837,-0.046836837,0.026031604,0.026031604,-0.047677894,-0.047677894,0.026031604,0.026031604,-0.047677894,-0.047677894,0.0003189749,0.0003189749,-0.021965265,-0.021965265,-0.27126503,-0.27126503,-0.35615747,-0.35615747,0.025712629,0.025712629,7.8251374e-05,7.8251374e-05,-0.0022196713,-0.0022196713,0.0019766073,0.0019766073,-0.0041180273,-0.0041180273,0.0080658609,0.0080658609,-0.028624279,-0.028624279,30.622779,30.622779,-2.0088845,-2.0088845,28.505641,28.505641,-1.1268446,-1.1268446,0.1717365,0.1717365,-0.19338279,-0.19338279,-0.054253007,-0.054253007,-0.01376042,-0.01376042,0.87938279,0.87938279,-0.7366855,-0.7366855,0.016519983,0.016519983,4.0662759e-17,4.0662759e-17,-1.2615785e-16,-1.2615785e-16,4.5027213e-17,4.5027213e-17,8.8860514e-19,8.8860514e-19,-7.3416179e-17,-7.3416179e-17,0.044432444,0.044432444,1.0415504e-05,1.0415504e-05,0.00033609276,0.00033609276
0.20746884,0.20746884,0.32910026,0.32910026,0.5365691,0.5365691,-0.012777475,-0.012777475,0.32910026,0.32910026,-0.17724382,-0.17724382,0.097195102,0.097195102,-0.17723335,-0.17723335,0.09743486,0.09743486,0,0,0.00040556284,0.00040556284,-0.024133883,-0.024133883,0.009455858,0.009455858,0.009455858,0.009455858,-0.0032529284,-0.0032529284,-0.35694523,-0.35694523,0.064350767,0.064350767,-0.28007995,-0.28007995,0.032976112,0.032976112,-0.076865283,-0.076865283,0.031374654,0.031374654,-0.24710384,-0.24710384,-0.045490628,-0.045490628,-0.24710384,-0.24710384,-0.045490628,-0.045490628,0.027844972,0.027844972,-0.051573292,-0.051573292,0.027844972,0.027844972,-0.051573292,-0.051573292,0.00040556284,0.00040556284,-0.024133883,-0.024133883,-0.24669828,-0.24669828,-0.32910026,-0.32910026,0.027439409,0.027439409,8.6587936e-05,8.6587936e-05,-0.0021686189,-0.0021686189,0.0018133673,0.0018133673,-0.0038953983,-0.0038953983,0.0089777685,0.0089777685,-0.03063974,-0.03063974,30.675697,30.675697,-2.129734,-2.129734,27.978279,27.978279,-1.183529,-1.183529,0.18333495,0.18333495,-0.20706327,-0.20706327,-0.049339655,-0.049339655,-0.013924902,-0.013924902,0.96620378,0.96620378,-0.80018941,-0.80018941,0.016140023,0.016140023,4.4282396e-17,4.4282396e-17,-1.3548463e-16,-1.3548463e-16,4.1292418e-17,4.1292418e-17,9.1178823e-19,9.1178823e-19,-8.7350188e-17,-8.7350188e-17,0.043410498,0.043410498,1.4393722e-05,1.4393722e-05,0.00032966755,0.00032966755
0.22011408,0.22011408,0.30347056,0.30347056,0.52358464,0.52358464,-0.0095408109,-0.0095408109,0.30347056,0.30347056,-0.17007829,-0.17007829,0.096691535,0.096691535,-0.1700644,-0.1700644,0.096925222,0.096925222,0,0,0.00049987851,0.00049987851,-0.026252624,-0.026252624,0.0084651026,0.0084651026,0.0084651026,0.0084651026,-0.003178111,-0.003178111,-0.33297467,-0.33297467,0.064797672,0.064797672,-0.25837487,-0.25837487,0.034373252,0.034373252,-0.074599802,-0.074599802,0.03042442,0.03042442,-0.22400162,-0.22400162,-0.044175382,-0.044175382,-0.22400162,-0.22400162,-0.044175382,-0.044175382,0.029504115,0.029504115,-0.055256861,-0.055256861,0.029504115,0.029504115,-0.055256861,-0.055256861,0.00049987851,0.00049987851,-0.026252624,-0.026252624,-0.22350174,-0.22350174,-0.30347056,-0.30347056,0.029004237,0.029004237,9.4315672e-05,9.4315672e-05,-0.0021187407,-0.0021187407,0.0016591436,0.0016591436,-0.0036835686,-0.0036835686,0.00983713,0.00983713,-0.032608846,-0.032608846,30.710441,30.710441,-2.2478039,-2.2478039,27.464666,27.464666,-1.2389097,-1.2389097,0.19386146,0.19386146,-0.2196142,-0.2196142,-0.044700348,-0.044700348,-0.014085601,-0.014085601,1.0510279,1.0510279,-0.86141772,-0.86141772,0.015768802,0.015768802,4.7746697e-17,4.7746697e-17,-1.4370548e-16,-1.4370548e-16,3.644834e-17,3.644834e-17,9.2565017e-19,9.2565017e-19,-1.0181195e-16,-1.0181195e-16,0.042412056,0.042412056,1.9093355e-05,1.9093355e-05,0.00032132019,0.00032132019
