e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
-0.09078341,-0.09078341,0.09078341,0.09078341,-1.254552e-13,-1.254552e-13,1.0436096e-14,1.0436096e-14,0.09078341,0.09078341,-0.085,-0.085,-0.015,-0.015,-0.085,-0.085,-0.015,-0.015,0,0,0.0092165899,0.0092165899,-2.220446e-16,-2.220446e-16,0.013824885,0.013824885,0.013824885,0.013824885,-2.9663771e-16,-2.9663771e-16,-0.085,-0.085,-0.015,-0.015,-0.085,-0.085,-0.015,-0.015,1.8846036e-14,1.8846036e-14,-8.6597396e-15,-8.6597396e-15,-0.1,-0.1,1.0214052e-14,1.0214052e-14,-1.010303e-14,-1.010303e-14,1.0214052e-14,1.0214052e-14,-0.0057834101,-0.0057834101,0.015,0.015,-0.0057834101,-0.0057834101,0.015,0.015,0.0092165899,0.0092165899,-2.220446e-16,-2.220446e-16,-0.09078341,-0.09078341,-0.09078341,-0.09078341,0.0092165899,0.0092165899,-2.220446e-16,-2.220446e-16,-0.0057834101,-0.0057834101,0.015,0.015,0.0092165899,0.0092165899,-2.220446e-16,-2.220446e-16,0.14746544,0.14746544,1.1546319e-14,1.1546319e-14,0.073732719,0.073732719,1.4654944e-14,1.4654944e-14,-0.09078341,-0.09078341,0.1,0.1,-0.018156682,-0.018156682,1.9984014e-15,1.9984014e-15,-2.0377761e-14,-2.0377761e-14,2.2412438e-14,2.2412438e-14,0,0,0,0,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0
-0.07702765,-0.07702765,0.07702765,0.07702765,-1.2501111e-13,-1.2501111e-13,1.0658141e-14,1.0658141e-14,0.07702765,0.07702765,-0.08075,-0.08075,-0.01425,-0.01425,-0.08075,-0.08075,-0.01425,-0.01425,0,0,0.01797235,0.01797235,-4.4408921e-16,-4.4408921e-16,0.013133641,0.013133641,0.013133641,0.013133641,-3.9464959e-16,-3.9464959e-16,-0.08075,-0.08075,-0.01425,-0.01425,-0.08075,-0.08075,-0.01425,-0.01425,1.8846036e-14,1.8846036e-14,-8.6597396e-15,-8.6597396e-15,-0.095,-0.095,1.0214052e-14,1.0214052e-14,-1.0547119e-14,-1.0547119e-14,1.0214052e-14,1.0214052e-14,0.0037223502,0.0037223502,0.01425,0.01425,0.0037223502,0.0037223502,0.01425,0.01425,0.01797235,0.01797235,-4.4408921e-16,-4.4408921e-16,-0.07702765,-0.07702765,-0.07702765,-0.07702765,0.0087557604,0.0087557604,-2.220446e-16,-2.220446e-16,0.0095057604,0.0095057604,-0.00075,-0.00075,0.01797235,0.01797235,-4.4408921e-16,-4.4408921e-16,0.2875576,0.2875576,7.5495166e-15,7.5495166e-15,0.1437788,0.1437788,1.2767565e-14,1.2767565e-14,-0.07702765,-0.07702765,0.095,0.095,-0.01540553,-0.01540553,1.9428903e-15,1.9428903e-15,-4.084821e-14,-4.084821e-14,4.4257241e-14,4.4257241e-14,0,0,0,0,-0.095,-0.095,0,0,0,0,0,0,0,0,0,0
-0.063959677,-0.063959677,0.063959677,0.063959677,-1.2467805e-13,-1.2467805e-13,1.0880186e-14,1.0880186e-14,0.063959677,0.063959677,-0.0767125,-0.0767125,-0.0135375,-0.0135375,-0.0767125,-0.0767125,-0.0135375,-0.0135375,0,0,0.026290323,0.026290323,-7.7715612e-16,-7.7715612e-16,0.012476959,0.012476959,0.012476959,0.012476959,-4.8919202e-16,-4.8919202e-16,-0.0767125,-0.0767125,-0.0135375,-0.0135375,-0.0767125,-0.0767125,-0.0135375,-0.0135375,1.8846036e-14,1.8846036e-14,-8.6597396e-15,-8.6597396e-15,-0.09025,-0.09025,1.0214052e-14,1.0214052e-14,-1.0658141e-14,-1.0658141e-14,1.0214052e-14,1.0214052e-14,0.012752823,0.012752823,0.0135375,0.0135375,0.012752823,0.012752823,0.0135375,0.0135375,0.026290323,0.026290323,-7.7715612e-16,-7.7715612e-16,-0.063959677,-0.063959677,-0.063959677,-0.063959677,0.0083179724,0.0083179724,-3.3306691e-16,-3.3306691e-16,0.0090304724,0.0090304724,-0.0007125,-0.0007125,0.026290323,0.026290323,-7.7715612e-16,-7.7715612e-16,0.42064516,0.42064516,2.553513e-15,2.553513e-15,0.21032258,0.21032258,1.0325074e-14,1.0325074e-14,-0.063959677,-0.063959677,0.09025,0.09025,-0.012791935,-0.012791935,1.8873791e-15,1.8873791e-15,-6.1421733e-14,-6.1421733e-14,6.5618683e-14,6.5618683e-14,0,0,0,0,-0.09025,-0.09025,0,0,0,0,0,0,0,0,0,0
-0.051545104,-0.051545104,0.051545104,0.051545104,-1.2434498e-13,-1.2434498e-13,1.1324275e-14,1.1324275e-14,0.051545104,0.051545104,-0.072876875,-0.072876875,-0.012860625,-0.012860625,-0.072876875,-0.072876875,-0.012860625,-0.012860625,0,0,0.034192396,0.034192396,-1.110223e-15,-1.110223e-15,0.011853111,0.011853111,0.011853111,0.011853111,-5.8633653e-16,-5.8633653e-16,-0.072876875,-0.072876875,-0.012860625,-0.012860625,-0.072876875,-0.072876875,-0.012860625,-0.012860625,1.8846036e-14,1.8846036e-14,-8.6597396e-15,-8.6597396e-15,-0.0857375,-0.0857375,1.0214052e-14,1.0214052e-14,-1.0880186e-14,-1.0880186e-14,1.0214052e-14,1.0214052e-14,0.021331771,0.021331771,0.012860625,0.012860625,0.021331771,0.021331771,0.012860625,0.012860625,0.034192396,0.034192396,-1.110223e-15,-1.110223e-15,-0.051545104,-0.051545104,-0.051545104,-0.051545104,0.0079020737,0.0079020737,-3.3306691e-16,-3.3306691e-16,0.0085789487,0.0085789487,-0.000676875,-0.000676875,0.034192396,0.034192396,-1.110223e-15,-1.110223e-15,0.54707834,0.54707834,-3.4416914e-15,-3.4416914e-15,0.27353917,0.27353917,7.327472e-15,7.327472e-15,-0.051545104,-0.051545104,0.0857375,0.0857375,-0.010309021,-0.010309021,1.8041124e-15,1.8041124e-15,-8.2096571e-14,-8.2096571e-14,8.6558224e-14,8.6558224e-14,0,0,0,0,-0.0857375,-0.0857375,0,0,0,0,0,0,0,0,0,0
-0.039751259,-0.039751259,0.039751259,0.039751259,-1.2378987e-13,-1.2378987e-13,1.1768364e-14,1.1768364e-14,0.039751259,0.039751259,-0.069233031,-0.069233031,-0.012217594,-0.012217594,-0.069233031,-0.069233031,-0.012217594,-0.012217594,0,0,0.041699366,0.041699366,-1.5543122e-15,-1.5543122e-15,0.011260455,0.011260455,0.011260455,0.011260455,-6.8434841e-16,-6.8434841e-16,-0.069233031,-0.069233031,-0.012217594,-0.012217594,-0.069233031,-0.069233031,-0.012217594,-0.012217594,1.881828e-14,1.881828e-14,-8.5487173e-15,-8.5487173e-15,-0.081450625,-0.081450625,1.0214052e-14,1.0214052e-14,-1.0991208e-14,-1.0991208e-14,1.0214052e-14,1.0214052e-14,0.029481773,0.029481773,0.012217594,0.012217594,0.029481773,0.029481773,0.012217594,0.012217594,0.041699366,0.041699366,-1.5543122e-15,-1.5543122e-15,-0.039751259,-0.039751259,-0.039751259,-0.039751259,0.00750697,0.00750697,-4.4408921e-16,-4.4408921e-16,0.0081500013,0.0081500013,-0.00064303125,-0.00064303125,0.041699366,0.041699366,-1.5543122e-15,-1.5543122e-15,0.66718986,0.66718986,-1.0658141e-14,-1.0658141e-14,0.33359493,0.33359493,3.7747583e-15,3.7747583e-15,-0.039751259,-0.039751259,0.081450625,0.081450625,-0.0079502517,-0.0079502517,1.7208457e-15,1.7208457e-15,-1.0287064e-13,-1.0287064e-13,1.0712916e-13,1.0712916e-13,0,0,0,0,-0.081450625,-0.081450625,0,0,0,0,0,0,0,0,0,0
-0.028547106,-0.028547106,0.028547106,0.028547106,-1.2334578e-13,-1.2334578e-13,1.2212453e-14,1.2212453e-14,0.028547106,0.028547106,-0.06577138,-0.06577138,-0.011606714,-0.011606714,-0.06577138,-0.06577138,-0.011606714,-0.011606714,0,0,0.048830988,0.048830988,-2.1094237e-15,-2.1094237e-15,0.010697432,0.010697432,0.010697432,0.010697432,-7.8409501e-16,-7.8409501e-16,-0.06577138,-0.06577138,-0.011606714,-0.011606714,-0.06577138,-0.06577138,-0.011606714,-0.011606714,1.881828e-14,1.881828e-14,-8.5487173e-15,-8.5487173e-15,-0.077378094,-0.077378094,1.0214052e-14,1.0214052e-14,-1.110223e-14,-1.110223e-14,1.0214052e-14,1.0214052e-14,0.037224274,0.037224274,0.011606714,0.011606714,0.037224274,0.037224274,0.011606714,0.011606714,0.048830988,0.048830988,-2.1094237e-15,-2.1094237e-15,-0.028547106,-0.028547106,-0.028547106,-0.028547106,0.0071316215,0.0071316215,-5.5511151e-16,-5.5511151e-16,0.0077425012,0.0077425012,-0.00061087969,-0.00061087969,0.048830988,0.048830988,-2.1094237e-15,-2.1094237e-15,0.78129581,0.78129581,-1.8984814e-14,-1.8984814e-14,0.3906479,0.3906479,-3.3306691e-16,-3.3306691e-16,-0.028547106,-0.028547106,0.077378094,0.077378094,-0.0057094212,-0.0057094212,1.6098234e-15,1.6098234e-15,-1.2374157e-13,-1.2374157e-13,1.2737784e-13,1.2737784e-13,0,0,1.110223e-16,1.110223e-16,-0.077378094,-0.077378094,0,0,0,0,0,0,0,0,0,0
-0.017903161,-0.017903161,0.017903161,0.017903161,-1.2267964e-13,-1.2267964e-13,1.2878587e-14,1.2878587e-14,0.017903161,0.017903161,-0.062482811,-0.062482811,-0.011026378,-0.011026378,-0.062482811,-0.062482811,-0.011026378,-0.011026378,0,0,0.055606028,0.055606028,-2.6645353e-15,-2.6645353e-15,0.010162561,0.010162561,0.010162561,0.010162561,-8.8384161e-16,-8.8384161e-16,-0.062482811,-0.062482811,-0.011026378,-0.011026378,-0.062482811,-0.062482811,-0.011026378,-0.011026378,1.8790525e-14,1.8790525e-14,-8.5487173e-15,-8.5487173e-15,-0.073509189,-0.073509189,1.0214052e-14,1.0214052e-14,-1.1213253e-14,-1.1213253e-14,1.0214052e-14,1.0214052e-14,0.04457965,0.04457965,0.011026378,0.011026378,0.04457965,0.04457965,0.011026378,0.011026378,0.055606028,0.055606028,-2.6645353e-15,-2.6645353e-15,-0.017903161,-0.017903161,-0.017903161,-0.017903161,0.0067750405,0.0067750405,-5.5511151e-16,-5.5511151e-16,0.0073553762,0.0073553762,-0.0005803357,-0.0005803357,0.055606028,0.055606028,-2.6645353e-15,-2.6645353e-15,0.88969645,0.88969645,-2.8421709e-14,-2.8421709e-14,0.44484823,0.44484823,-4.9960036e-15,-4.9960036e-15,-0.017903161,-0.017903161,0.073509189,0.073509189,-0.0035806321,-0.0035806321,1.4988011e-15,1.4988011e-15,-1.4470681e-13,-1.4470681e-13,1.4734475e-13,1.4734475e-13,0,0,1.110223e-16,1.110223e-16,-0.073509189,-0.073509189,0,0,0,0,0,0,0,0,0,0
-0.0077914128,-0.0077914128,0.0077914128,0.0077914128,-1.2179147e-13,-1.2179147e-13,1.3322676e-14,1.3322676e-14,0.0077914128,0.0077914128,-0.05935867,-0.05935867,-0.010475059,-0.010475059,-0.05935867,-0.05935867,-0.010475059,-0.010475059,0,0,0.062042317,0.062042317,-3.3306691e-15,-3.3306691e-15,0.0096544327,0.0096544327,0.0096544327,0.0096544327,-9.8272085e-16,-9.8272085e-16,-0.05935867,-0.05935867,-0.010475059,-0.010475059,-0.05935867,-0.05935867,-0.010475059,-0.010475059,1.8790525e-14,1.8790525e-14,-8.5487173e-15,-8.5487173e-15,-0.06983373,-0.06983373,1.0214052e-14,1.0214052e-14,-1.1324275e-14,-1.1324275e-14,1.0214052e-14,1.0214052e-14,0.051567257,0.051567257,0.010475059,0.010475059,0.051567257,0.051567257,0.010475059,0.010475059,0.062042317,0.062042317,-3.3306691e-15,-3.3306691e-15,-0.0077914128,-0.0077914128,-0.0077914128,-0.0077914128,0.0064362884,0.0064362884,-6.6613381e-16,-6.6613381e-16,0.0069876074,0.0069876074,-0.00055131892,-0.00055131892,0.062042317,0.062042317,-3.3306691e-15,-3.3306691e-15,0.99267707,0.99267707,-3.8968828e-14,-3.8968828e-14,0.49633853,0.49633853,-1.0214052e-14,-1.0214052e-14,-0.0077914128,-0.0077914128,0.06983373,0.06983373,-0.0015582826,-0.0015582826,1.3877788e-15,1.3877788e-15,-1.657636e-13,-1.657636e-13,1.6706528e-13,1.6706528e-13,0,0,1.110223e-16,1.110223e-16,-0.06983373,-0.06983373,0,0,0,0,0,0,0,0,0,0
0.0018147477,0.0018147477,-0.0018147477,-0.0018147477,-1.2101431e-13,-1.2101431e-13,1.4210855e-14,1.4210855e-14,-0.0018147477,-0.0018147477,-0.056390737,-0.056390737,-0.0099513065,-0.0099513065,-0.056390737,-0.056390737,-0.0099513065,-0.0099513065,0,0,0.068156791,0.068156791,-4.1078252e-15,-4.1078252e-15,0.009171711,0.009171711,0.009171711,0.009171711,-1.0816001e-15,-1.0816001e-15,-0.056390737,-0.056390737,-0.0099513065,-0.0099513065,-0.056390737,-0.056390737,-0.0099513065,-0.0099513065,1.8762769e-14,1.8762769e-14,-8.5487173e-15,-8.5487173e-15,-0.066342043,-0.066342043,1.0214052e-14,1.0214052e-14,-1.1435297e-14,-1.1435297e-14,1.0214052e-14,1.0214052e-14,0.058205484,0.058205484,0.0099513065,0.0099513065,0.058205484,0.058205484,0.0099513065,0.0099513065,0.068156791,0.068156791,-4.1078252e-15,-4.1078252e-15,0.0018147477,0.0018147477,0.0018147477,0.0018147477,0.006114474,0.006114474,-7.7715612e-16,-7.7715612e-16,0.006638227,0.006638227,-0.00052375297,-0.00052375297,0.068156791,0.068156791,-4.1078252e-15,-4.1078252e-15,1.0905087,1.0905087,-5.0515148e-14,-5.0515148e-14,0.54525433,0.54525433,-1.6098234e-14,-1.6098234e-14,0.0018147477,0.0018147477,0.066342043,0.066342043,0.00036294954,0.00036294954,1.2212453e-15,1.2212453e-15,-1.8690908e-13,-1.8690908e-13,1.865705e-13,1.865705e-13,0,0,1.110223e-16,1.110223e-16,-0.066342043,-0.066342043,0,0,0,0,0,0,0,0,0,0
0.0109406,0.0109406,-0.0109406,-0.0109406,-1.2001511e-13,-1.2001511e-13,1.4876989e-14,1.4876989e-14,-0.0109406,-0.0109406,-0.0535712,-0.0535712,-0.0094537411,-0.0094537411,-0.0535712,-0.0535712,-0.0094537411,-0.0094537411,0,0,0.073965541,0.073965541,-4.8849813e-15,-4.8849813e-15,0.0087131255,0.0087131255,0.0087131255,0.0087131255,-1.1787446e-15,-1.1787446e-15,-0.0535712,-0.0535712,-0.0094537411,-0.0094537411,-0.0535712,-0.0535712,-0.0094537411,-0.0094537411,1.8735014e-14,1.8735014e-14,-8.5487173e-15,-8.5487173e-15,-0.063024941,-0.063024941,1.0214052e-14,1.0214052e-14,-1.1546319e-14,-1.1546319e-14,1.0214052e-14,1.0214052e-14,0.0645118,0.0645118,0.0094537411,0.0094537411,0.0645118,0.0645118,0.0094537411,0.0094537411,0.073965541,0.073965541,-4.8849813e-15,-4.8849813e-15,0.0109406,0.0109406,0.0109406,0.0109406,0.0058087503,0.0058087503,-7.7715612e-16,-7.7715612e-16,0.0063063156,0.0063063156,-0.00049756532,-0.00049756532,0.073965541,0.073965541,-4.8849813e-15,-4.8849813e-15,1.1834487,1.1834487,-6.3282712e-14,-6.3282712e-14,0.59172433,0.59172433,-2.2426505e-14,-2.2426505e-14,0.0109406,0.0109406,0.063024941,0.063024941,0.00218812,0.00218812,1.0824674e-15,1.0824674e-15,-2.0814027e-13,-2.0814027e-13,2.0588773e-13,2.0588773e-13,0,0,1.110223e-16,1.110223e-16,-0.063024941,-0.063024941,0,0,0,0,0,0,0,0,0,0
