e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,p_H_W_slash_p_H_pie,p_H_W_slash_p_H_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,y_H_potential_pie,y_H_potential_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
-0.095150298,-0.095150298,0.095150298,0.095150298,-3.0531133e-16,-3.0531133e-16,-1.6574515e-18,-1.6574515e-18,0.095150298,0.095150298,-0.084404903,-0.084404903,-0.014272659,-0.014272659,-0.084404903,-0.084404903,-0.014272659,-0.014272659,0,0,7.6009779e-07,7.6009779e-07,1.1436326e-17,1.1436326e-17,0.0028511778,0.0028511778,0.0028511778,0.0028511778,1.7596563e-17,1.7596563e-17,-0.080878399,-0.080878399,-0.014272659,-0.014272659,-0.080878399,-0.080878399,-0.014272659,-0.014272659,4.9001022e-17,4.9001022e-17,-5.3845733e-18,-5.3845733e-18,-0.095151058,-0.095151058,3.7331359e-17,3.7331359e-17,0.0048489419,0.0048489419,4.1642734e-17,4.1642734e-17,-0.014271899,-0.014271899,0.014272659,0.014272659,-0.014271899,-0.014271899,0.014272659,0.014272659,7.6009779e-07,7.6009779e-07,1.1097028e-17,1.1097028e-17,-0.095150298,-0.095150298,-0.095150298,-0.095150298,-0.014272659,-0.014272659,7.6009779e-07,7.6009779e-07,1.1863316e-17,1.1863316e-17,-0.014271899,-0.014271899,0.014272659,0.014272659,7.6009779e-05,7.6009779e-05,4.6062249e-17,4.6062249e-17,0.049129418,0.049129418,2.578735e-15,2.578735e-15,0.0052334047,0.0052334047,1.0911157e-15,1.0911157e-15,-0.095150298,-0.095150298,0.095151058,0.095151058,-0.01903006,-0.01903006,9.7432567e-18,9.7432567e-18,-5.9293743e-17,-5.9293743e-17,6.5528831e-17,6.5528831e-17,1.1421579e-19,1.1421579e-19,2.2023447e-19,2.2023447e-19,-0.1,-0.1,-2.5210277e-18,-2.5210277e-18,0,0,0,0,-0.1,-0.1,3.1458414e-10,3.1458414e-10,2.3221816e-33,2.3221816e-33
-0.092313376,-0.092313376,0.092313376,0.092313376,-3.1918912e-16,-3.1918912e-16,-2.7630312e-17,-2.7630312e-17,0.092313376,0.092313376,-0.08042045,-0.08042045,-0.013847217,-0.013847217,-0.08042045,-0.08042045,-0.013847217,-0.013847217,0,0,1.401362e-06,1.401362e-06,-1.3784256e-17,-1.3784256e-17,0.0038598531,0.0038598531,0.0038598531,0.0038598531,3.4895759e-17,3.4895759e-17,-0.078467561,-0.078467561,-0.013847217,-0.013847217,-0.078467561,-0.078467561,-0.013847217,-0.013847217,4.1935348e-17,4.1935348e-17,2.7251686e-17,2.7251686e-17,-0.092314777,-0.092314777,6.2821243e-17,6.2821243e-17,0.0026852225,0.0026852225,6.3570746e-17,6.3570746e-17,-0.013845815,-0.013845815,0.013847217,0.013847217,-0.013845815,-0.013845815,0.013847217,0.013847217,1.401362e-06,1.401362e-06,3.1841443e-17,3.1841443e-17,-0.092313376,-0.092313376,-0.092313376,-0.092313376,-0.013847217,-0.013847217,6.4126425e-07,6.4126425e-07,1.0422837e-17,1.0422837e-17,0.00042608336,0.00042608336,-0.0004254421,-0.0004254421,6.4886522e-05,6.4886522e-05,5.8933636e-17,5.8933636e-17,0.042702655,0.042702655,3.1362771e-15,3.1362771e-15,0.0053066584,0.0053066584,1.2814343e-15,1.2814343e-15,-0.092313376,-0.092313376,0.092314777,0.092314777,-0.018462675,-0.018462675,1.8988728e-17,1.8988728e-17,-1.4867295e-16,-1.4867295e-16,1.6379326e-16,1.6379326e-16,2.540168e-19,2.540168e-19,-6.9915738e-19,-6.9915738e-19,-0.095,-0.095,7.1732576e-18,7.1732576e-18,-1.9092949e-18,-1.9092949e-18,9.2708638e-18,9.2708638e-18,-0.095,-0.095,5.353475e-10,5.353475e-10,3.5341224e-33,3.5341224e-33
-0.088472822,-0.088472822,0.088472822,0.088472822,-3.469447e-16,-3.469447e-16,-5.5890617e-17,-5.5890617e-17,0.088472822,0.088472822,-0.076494635,-0.076494635,-0.01327122,-0.01327122,-0.076494635,-0.076494635,-0.01327122,-0.01327122,0,0,1.9779265e-06,1.9779265e-06,8.7606452e-18,8.7606452e-18,0.0041317,0.0041317,0.0041317,0.0041317,3.3690996e-17,3.3690996e-17,-0.07520358,-0.07520358,-0.01327122,-0.01327122,-0.07520358,-0.07520358,-0.01327122,-0.01327122,4.1627061e-17,4.1627061e-17,3.2578522e-17,3.2578522e-17,-0.0884748,-0.0884748,6.8179922e-17,6.8179922e-17,0.0017751998,0.0017751998,6.693779e-17,6.693779e-17,-0.013269242,-0.013269242,0.01327122,0.01327122,-0.013269242,-0.013269242,0.01327122,0.01327122,1.9779265e-06,1.9779265e-06,5.1852129e-17,5.1852129e-17,-0.088472822,-0.088472822,-0.088472822,-0.088472822,-0.01327122,-0.01327122,5.7656445e-07,5.7656445e-07,1.0586864e-17,1.0586864e-17,0.00057657316,0.00057657316,-0.00057599659,-0.00057599659,5.9057807e-05,5.9057807e-05,7.8833569e-17,7.8833569e-17,0.039362931,0.039362931,4.3782557e-15,4.3782557e-15,0.005375816,0.005375816,1.8910446e-15,1.8910446e-15,-0.088472822,-0.088472822,0.0884748,0.0884748,-0.017694564,-0.017694564,3.2442607e-17,3.2442607e-17,-2.3504257e-16,-2.3504257e-16,2.5785581e-16,2.5785581e-16,3.832095e-19,3.832095e-19,-1.4855455e-18,-1.4855455e-18,-0.09025,-0.09025,1.5904605e-17,1.5904605e-17,-3.5276278e-18,-3.5276278e-18,1.7139504e-17,1.7139504e-17,-0.09025,-0.09025,7.1100029e-10,7.1100029e-10,4.4999397e-33,4.4999397e-33
-0.084361781,-0.084361781,0.084361781,0.084361781,-3.6082248e-16,-3.6082248e-16,-8.2525771e-17,-8.2525771e-17,0.084361781,0.084361781,-0.072708346,-0.072708346,-0.012654644,-0.012654644,-0.072708345,-0.072708345,-0.012654644,-0.012654644,0,0,2.5124849e-06,2.5124849e-06,3.0359264e-17,3.0359264e-17,0.0041128055,0.0041128055,0.0041128055,0.0041128055,3.2490835e-17,3.2490835e-17,-0.071709649,-0.071709649,-0.012654644,-0.012654644,-0.071709649,-0.071709649,-0.012654644,-0.012654644,4.1407847e-17,4.1407847e-17,3.7264831e-17,3.7264831e-17,-0.084364293,-0.084364293,7.2962562e-17,7.2962562e-17,0.0013732067,0.0013732067,6.9583503e-17,6.9583503e-17,-0.012652132,-0.012652132,0.012654644,0.012654644,-0.012652132,-0.012652132,0.012654644,0.012654644,2.5124849e-06,2.5124849e-06,7.1147424e-17,7.1147424e-17,-0.084361781,-0.084361781,-0.084361781,-0.084361781,-0.012654644,-0.012654644,5.3455839e-07,5.3455839e-07,1.0515987e-17,1.0515987e-17,0.00061711059,0.00061711059,-0.00061657604,-0.00061657604,5.5433765e-05,5.5433765e-05,9.7782344e-17,9.7782344e-17,0.037306913,0.037306913,5.567804e-15,5.567804e-15,0.0054413406,0.0054413406,2.4795127e-15,2.4795127e-15,-0.084361781,-0.084361781,0.084364293,0.084364293,-0.016872356,-0.016872356,4.4352986e-17,4.4352986e-17,-3.18584e-16,-3.18584e-16,3.4793655e-16,3.4793655e-16,5.0249615e-19,5.0249615e-19,-2.1540087e-18,-2.1540087e-18,-0.0857375,-0.0857375,2.3744646e-17,2.3744646e-17,-4.8892276e-18,-4.8892276e-18,2.3769339e-17,2.3769339e-17,-0.0857375,-0.0857375,8.5948261e-10,8.5948261e-10,5.1996235e-33,5.1996235e-33
-0.080269539,-0.080269539,0.080269539,0.080269539,-3.7470027e-16,-3.7470027e-16,-1.0757718e-16,-1.0757718e-16,0.080269539,0.080269539,-0.069088451,-0.069088451,-0.012040883,-0.012040883,-0.06908845,-0.06908845,-0.012040883,-0.012040883,0,0,3.0149945e-06,3.0149945e-06,5.1083819e-17,5.1083819e-17,0.00398295,0.00398295,0.00398295,0.00398295,3.1283514e-17,3.1283514e-17,-0.068231671,-0.068231671,-0.012040883,-0.012040883,-0.068231671,-0.068231671,-0.012040883,-0.012040883,4.1246522e-17,4.1246522e-17,4.1311479e-17,4.1311479e-17,-0.080272554,-0.080272554,7.714459e-17,7.714459e-17,0.0011780707,0.0011780707,7.1123986e-17,7.1123986e-17,-0.012037868,-0.012037868,0.012040883,0.012040883,-0.012037868,-0.012037868,0.012040883,0.012040883,3.0149945e-06,3.0149945e-06,8.9725887e-17,8.9725887e-17,-0.080269539,-0.080269539,-0.080269539,-0.080269539,-0.012040883,-0.012040883,5.0250959e-07,5.0250959e-07,1.0327315e-17,1.0327315e-17,0.00061426336,0.00061426336,-0.00061376085,-0.00061376085,5.2763444e-05,5.2763444e-05,1.1584478e-16,1.1584478e-16,0.035804601,0.035804601,6.7070792e-15,6.7070792e-15,0.0055035183,0.0055035183,3.0465167e-15,3.0465167e-15,-0.080269539,-0.080269539,0.080272554,0.080272554,-0.016053908,-0.016053908,5.4875658e-17,5.4875658e-17,-3.9951769e-16,-3.9951769e-16,4.3438563e-16,4.3438563e-16,6.1248712e-19,6.1248712e-19,-2.718193e-18,-2.718193e-18,-0.081450625,-0.081450625,3.0760509e-17,3.0760509e-17,-6.0245655e-18,-6.0245655e-18,2.9306619e-17,2.9306619e-17,-0.081450625,-0.081450625,9.8838269e-10,9.8838269e-10,5.6594994e-33,5.6594994e-33
-0.076306504,-0.076306504,0.076306504,0.076306504,-3.8857806e-16,-3.8857806e-16,-1.3110279e-16,-1.3110279e-16,0.076306504,0.076306504,-0.065640296,-0.065640296,-0.011446499,-0.011446499,-0.065640295,-0.065640295,-0.011446499,-0.011446499,0,0,3.4902301e-06,3.4902301e-06,7.0962112e-17,7.0962112e-17,0.0038144025,0.0038144025,0.0038144025,0.0038144025,3.0070502e-17,3.0070502e-17,-0.064863495,-0.064863495,-0.011446499,-0.011446499,-0.064863495,-0.064863495,-0.011446499,-0.011446499,4.1126328e-17,4.1126328e-17,4.4755538e-17,4.4755538e-17,-0.076309994,-0.076309994,8.074909e-17,8.074909e-17,0.0010680995,0.0010680995,7.1637393e-17,7.1637393e-17,-0.011443009,-0.011443009,0.011446499,0.011446499,-0.011443009,-0.011443009,0.011446499,0.011446499,3.4902301e-06,3.4902301e-06,1.0758238e-16,1.0758238e-16,-0.076306504,-0.076306504,-0.076306504,-0.076306504,-0.011446499,-0.011446499,4.7523567e-07,4.7523567e-07,1.0073126e-17,1.0073126e-17,0.00059485924,0.00059485924,-0.000594384,-0.000594384,5.0538562e-05,5.0538562e-05,1.3305773e-16,1.3305773e-16,0.034559468,0.034559468,7.7972277e-15,7.7972277e-15,0.0055625586,0.0055625586,3.5918209e-15,3.5918209e-15,-0.076306504,-0.076306504,0.076309994,0.076309994,-0.015261301,-0.015261301,6.4151456e-17,6.4151456e-17,-4.7806669e-16,-4.7806669e-16,5.1755988e-16,5.1755988e-16,7.1373826e-19,7.1373826e-19,-3.1903531e-18,-3.1903531e-18,-0.077378094,-0.077378094,3.7014942e-17,3.7014942e-17,-6.9607942e-18,-6.9607942e-18,3.3881987e-17,3.3881987e-17,-0.077378094,-0.077378094,1.1014736e-09,1.1014736e-09,5.9188442e-33,5.9188442e-33
-0.072511174,-0.072511174,0.072511174,0.072511174,-4.1633363e-16,-4.1633363e-16,-1.5316692e-16,-1.5316692e-16,0.072511174,0.072511174,-0.062360812,-0.062360812,-0.010877267,-0.010877267,-0.062360811,-0.062360811,-0.010877267,-0.010877267,0,0,3.9408365e-06,3.9408365e-06,9.0007496e-17,9.0007496e-17,0.0036360379,0.0036360379,0.0036360379,0.0036360379,2.8857657e-17,2.8857657e-17,-0.061637847,-0.061637847,-0.010877267,-0.010877267,-0.061637847,-0.061637847,-0.010877267,-0.010877267,4.1036893e-17,4.1036893e-17,4.7645499e-17,4.7645499e-17,-0.072515114,-0.072515114,8.3815719e-17,8.3815719e-17,0.00099407462,0.00099407462,7.1328819e-17,7.1328819e-17,-0.010873326,-0.010873326,0.010877267,0.010877267,-0.010873326,-0.010873326,0.010877267,0.010877267,3.9408365e-06,3.9408365e-06,1.2471391e-16,1.2471391e-16,-0.072511174,-0.072511174,-0.072511174,-0.072511174,-0.010877267,-0.010877267,4.506064e-07,4.506064e-07,9.7788412e-18,9.7788412e-18,0.00056968258,0.00056968258,-0.00056923198,-0.00056923198,4.855087e-05,4.855087e-05,1.4944837e-16,1.4944837e-16,0.033450104,0.033450104,8.8391359e-15,8.8391359e-15,0.0056186354,0.0056186354,4.1153271e-15,4.1153271e-15,-0.072511174,-0.072511174,0.072515114,0.072515114,-0.014502235,-0.014502235,7.2307555e-17,7.2307555e-17,-5.5444308e-16,-5.5444308e-16,5.977895e-16,5.977895e-16,8.0676693e-19,8.0676693e-19,-3.5814537e-18,-3.5814537e-18,-0.073509189,-0.073509189,4.2566521e-17,4.2566521e-17,-7.7221121e-18,-7.7221121e-18,3.7612006e-17,3.7612006e-17,-0.073509189,-0.073509189,1.2010175e-09,1.2010175e-09,6.0169578e-33,6.0169578e-33
-0.068893316,-0.068893316,0.068893316,0.068893316,-4.3021142e-16,-4.3021142e-16,-1.7383605e-16,-1.7383605e-16,0.068893316,0.068893316,-0.059243793,-0.059243793,-0.010334653,-0.010334653,-0.059243792,-0.059243792,-0.010334653,-0.010334653,0,0,4.3685624e-06,4.3685624e-06,1.0823041e-16,1.0823041e-16,0.0034592248,0.0034592248,0.0034592248,0.0034592248,2.7651773e-17,2.7651773e-17,-0.058563032,-0.058563032,-0.010334653,-0.010334653,-0.058563032,-0.058563032,-0.010334653,-0.010334653,4.0970923e-17,4.0970923e-17,5.003153e-17,5.003153e-17,-0.068897685,-0.068897685,8.6388378e-17,8.6388378e-17,0.0009360451,0.0009360451,7.0409912e-17,7.0409912e-17,-0.010330284,-0.010330284,0.010334653,0.010334653,-0.010330284,-0.010330284,0.010334653,0.010334653,4.3685624e-06,4.3685624e-06,1.4112144e-16,1.4112144e-16,-0.068893316,-0.068893316,-0.068893316,-0.068893316,-0.010334653,-0.010334653,4.2772581e-07,4.2772581e-07,9.4584433e-18,9.4584433e-18,0.00054304222,0.00054304222,-0.00054261449,-0.00054261449,4.6713418e-05,4.6713418e-05,1.6504123e-16,1.6504123e-16,0.032425891,0.032425891,9.8337081e-15,9.8337081e-15,0.0056719037,0.0056719037,4.61708e-15,4.61708e-15,-0.068893316,-0.068893316,0.068897685,0.068897685,-0.013778663,-0.013778663,7.9458744e-17,7.9458744e-17,-6.2884365e-16,-6.2884365e-16,6.7537228e-16,6.7537228e-16,8.9205928e-19,8.9205928e-19,-3.9012856e-18,-3.9012856e-18,-0.06983373,-0.06983373,4.7469884e-17,4.7469884e-17,-8.3300779e-18,-8.3300779e-18,4.0600587e-17,4.0600587e-17,-0.06983373,-0.06983373,1.2886233e-09,1.2886233e-09,5.9888438e-33,5.9888438e-33
-0.065451387,-0.065451387,0.065451387,0.065451387,-4.4408921e-16,-4.4408921e-16,-1.9317679e-16,-1.9317679e-16,0.065451387,0.065451387,-0.056282016,-0.056282016,-0.0098184243,-0.0098184243,-0.056282015,-0.056282015,-0.0098184243,-0.0098184243,0,0,4.7747604e-06,4.7747604e-06,1.2564258e-16,1.2564258e-16,0.0032882779,0.0032882779,0.0032882779,0.0032882779,2.6459286e-17,2.6459286e-17,-0.055637738,-0.055637738,-0.0098184243,-0.0098184243,-0.055637738,-0.055637738,-0.0098184243,-0.0098184243,4.0922802e-17,4.0922802e-17,5.1961806e-17,5.1961806e-17,-0.065456162,-0.065456162,8.851042e-17,8.851042e-17,0.00088588111,0.00088588111,6.9061463e-17,6.9061463e-17,-0.0098136495,-0.0098136495,0.0098184243,0.0098184243,-0.0098136495,-0.0098136495,0.0098184243,0.0098184243,4.7747604e-06,4.7747604e-06,1.568101e-16,1.568101e-16,-0.065451387,-0.065451387,-0.065451387,-0.065451387,-0.0098184243,-0.0098184243,4.0619809e-07,4.0619809e-07,9.1207662e-18,9.1207662e-18,0.00051663457,0.00051663457,-0.00051622837,-0.00051622837,4.4988372e-05,4.4988372e-05,1.7986077e-16,1.7986077e-16,0.031464873,0.031464873,1.0781956e-14,1.0781956e-14,0.0057225066,0.0057225066,5.0972548e-15,5.0972548e-15,-0.065451387,-0.065451387,0.065456162,0.065456162,-0.013090277,-0.013090277,8.5708606e-17,8.5708606e-17,-7.0144912e-16,-7.0144912e-16,7.5057532e-16,7.5057532e-16,9.7007404e-19,9.7007404e-19,-4.1585805e-18,-4.1585805e-18,-0.066342043,-0.066342043,5.1775969e-17,5.1775969e-17,-8.8038895e-18,-8.8038895e-18,4.2940289e-17,4.2940289e-17,-0.066342043,-0.066342043,1.3655778e-09,1.3655778e-09,5.8642411e-33,5.8642411e-33
-0.062179551,-0.062179551,0.062179551,0.062179551,-4.510281e-16,-4.510281e-16,-2.11255e-16,-2.11255e-16,0.062179551,0.062179551,-0.053468082,-0.053468082,-0.0093277067,-0.0093277067,-0.053468081,-0.053468081,-0.0093277067,-0.0093277067,0,0,5.1605915e-06,5.1605915e-06,1.4225823e-16,1.4225823e-16,0.0031246774,0.0031246774,0.0031246774,0.0031246774,2.5285848e-17,2.5285848e-17,-0.052857005,-0.052857005,-0.0093277067,-0.0093277067,-0.052857005,-0.052857005,-0.0093277067,-0.0093277067,4.088798e-17,4.088798e-17,5.3481249e-17,5.3481249e-17,-0.062184711,-0.062184711,9.0222899e-17,9.0222899e-17,0.00084022966,0.00084022966,6.7426703e-17,6.7426703e-17,-0.0093225461,-0.0093225461,0.0093277067,0.0093277067,-0.0093225461,-0.0093225461,0.0093277067,0.0093277067,5.1605915e-06,5.1605915e-06,1.7178887e-16,1.7178887e-16,-0.062179551,-0.062179551,-0.062179551,-0.062179551,-0.0093277067,-0.0093277067,3.8583108e-07,3.8583108e-07,8.7721005e-18,8.7721005e-18,0.00049110344,0.00049110344,-0.00049071761,-0.00049071761,4.3357869e-05,4.3357869e-05,1.9393215e-16,1.9393215e-16,0.030556746,0.030556746,1.1685015e-14,1.1685015e-14,0.0057705787,0.0057705787,5.5561398e-15,5.5561398e-15,-0.062179551,-0.062179551,0.062184711,0.062184711,-0.01243591,-0.01243591,9.1150594e-17,9.1150594e-17,-7.7242479e-16,-7.7242479e-16,8.2363824e-16,8.2363824e-16,1.0412448e-18,1.0412448e-18,-4.3611188e-18,-4.3611188e-18,-0.063024941,-0.063024941,5.5532242e-17,5.5532242e-17,-9.1606307e-18,-9.1606307e-18,4.4713499e-17,4.4713499e-17,-0.063024941,-0.063024941,1.4329794e-09,1.4329794e-09,5.6678516e-33,5.6678516e-33
