e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,p_H_W_slash_p_H_pie,p_H_W_slash_p_H_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,y_H_potential_pie,y_H_potential_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
0.34832457,0.59649555,0.31976013,0.071589146,0.6680847,0.6680847,-0.045560632,-0.045560632,0.31976013,-0.64205618,-0.21690115,-0.18645577,0.14277799,0.17998811,-0.21689969,-0.18645505,0.14286379,0.1800739,0,0,-6.0700821e-05,4.2820223e-05,-0.00267382,-0.00267382,-0.1565115,-0.010647837,-0.0050251256,-0.010647837,-0.00401073,-0.00401073,-0.37155615,-0.1606988,0.10009117,0.13730129,-0.27174451,-0.060887171,0.059091885,0.096302004,-0.099811632,-0.099811632,0.040999284,0.040999284,-0.21265263,0.035414833,-0.058812347,-0.058812347,-0.21265263,0.035414833,-0.058812347,-0.058812347,0.051796016,0.089109657,-0.054530537,-0.091740657,0.051796016,0.089109657,-0.054530537,-0.091740657,-6.0700821e-05,4.2820223e-05,-0.00267382,-0.00267382,-0.21271333,0.035457653,-0.31976013,-0.071589146,0.051856717,0.089066837,-6.0700821e-05,4.2820223e-05,-0.00267382,-0.00267382,0.051796016,0.089109657,-0.054530537,-0.091740657,-0.0060700821,0.0042820223,-0.01069528,-0.01069528,24.45246,31.085743,-0.93384058,-0.93384058,30.795551,31.444657,-0.62259533,-0.62259533,0.34565075,0.59382173,-0.34838527,-0.59645273,-0.042542666,0.0070915307,-0.012297233,-0.012297233,0.1070468,0.1070468,-0.079392456,-0.06705111,0.0199,0.0199,1.5968317e-17,-3.4016814e-18,0,0,0,3.7276824e-18,0,0,0,0,0.0535234,0.0535234,2.0062591e-06,9.9837966e-07,0.00011796367,0.00011796367
0.34568328,0.58989163,0.30639209,0.062183744,0.65207537,0.65207537,-0.041569956,-0.041569956,0.30639209,-0.63146159,-0.21027995,-0.18033249,0.13937992,0.17598098,-0.21027734,-0.18033102,0.13952615,0.17612721,0,0,-0.0001149738,8.6313675e-05,-0.0052861421,-0.0052861421,-0.27486854,-0.014701454,-0.0050251256,-0.014701454,-0.0039184832,-0.0039184832,-0.35735393,-0.14994793,0.097932915,0.13453397,-0.26033555,-0.052929549,0.058105232,0.094706291,-0.097018385,-0.097018385,0.039827683,0.039827683,-0.20223032,0.041776742,-0.057190702,-0.057190702,-0.20223032,0.041776742,-0.057190702,-0.057190702,0.050961844,0.08776419,-0.056362959,-0.092964018,0.050961844,0.08776419,-0.056362959,-0.092964018,-0.0001149738,8.6313675e-05,-0.0052861421,-0.0052861421,-0.20234529,0.041863055,-0.30639209,-0.062183744,0.051076817,0.087677876,-5.4272975e-05,4.3493453e-05,-0.0026123221,-0.0026123221,-0.00083417297,-0.0013454671,-0.0018324221,-0.0012233616,-0.0054879983,0.0043921655,-0.013123109,-0.013123109,24.165626,30.531598,-1.079416,-1.079416,30.106254,30.76437,-0.69087749,-0.69087749,0.34039714,0.58460549,-0.34579826,-0.58980532,-0.040469058,0.0083726111,-0.012495369,-0.012495369,0.21163152,0.21163152,-0.15726696,-0.13311066,0.0194423,0.0194423,-1.4729008e-17,2.5282631e-18,0,-1.2523567e-16,0,5.6354801e-17,0,-1.2067203e-15,0,5.2224567e-17,0.052292361,0.052292361,3.5900516e-06,2.0184159e-06,0.0002010725,0.0002010725
0.34301739,0.57916257,0.29341687,0.057271691,0.63643426,0.63643426,-0.037671065,-0.037671065,0.29341687,-0.61683364,-0.20382188,-0.17487515,0.1360639,0.17144167,-0.20381838,-0.17487293,0.13625174,0.17162952,0,0,-0.0001630882,0.00013028488,-0.0078383808,-0.0078383808,-0.36291267,-0.016098142,-0.0050251256,-0.016098142,-0.0038283581,-0.0038283581,-0.3435551,-0.14308106,0.09581076,0.13118853,-0.24926572,-0.048791679,0.057127731,0.092505503,-0.094289382,-0.094289382,0.038683029,0.038683029,-0.19213799,0.043713824,-0.055606354,-0.055606354,-0.19213799,0.043713824,-0.055606354,-0.055606354,0.050138226,0.085809371,-0.058139695,-0.093517467,0.050138226,0.085809371,-0.058139695,-0.093517467,-0.0001630882,0.00013028488,-0.0078383808,-0.0078383808,-0.19230107,0.043844109,-0.29341687,-0.057271691,0.050301315,0.085679086,-4.81144e-05,4.39712e-05,-0.0025522387,-0.0025522387,-0.00082361709,-0.0019548187,-0.001776736,-0.00055344883,-0.0049264138,0.0044834337,-0.015495097,-0.015495097,23.882307,29.98132,-1.2216433,-1.2216433,29.433988,30.100458,-0.75758916,-0.75758916,0.33517901,0.57132419,-0.34318048,-0.57903229,-0.038460215,0.0087688217,-0.012688947,-0.012688947,0.3138108,0.3138108,-0.23366101,-0.19871975,0.018995127,0.018995127,-3.0730018e-18,7.8828526e-18,0,-2.4189638e-16,0,1.0752486e-16,0,-2.2668894e-15,0,9.9849562e-17,0.051089637,0.051089637,4.8146662e-06,3.0510042e-06,0.00025828409,0.00025828409
0.34032702,0.56695414,0.28082588,0.054198762,0.6211529,0.6211529,-0.033861849,-0.033861849,0.28082588,-0.60081599,-0.19752327,-0.16975538,0.13282357,0.16676064,-0.1975191,-0.1697524,0.13303906,0.16697614,0,0,-0.00020530543,0.00017465016,-0.010331918,-0.010331918,-0.4269125,-0.016427549,-0.0050251256,-0.016427549,-0.0037403058,-0.0037403058,-0.33015063,-0.13784055,0.093723828,0.1276609,-0.23852749,-0.0462174,0.056159127,0.090096201,-0.091623147,-0.091623147,0.037564702,0.037564702,-0.18236836,0.043878801,-0.054058446,-0.054058446,-0.18236836,0.043878801,-0.054058446,-0.054058446,0.049324756,0.083641786,-0.05986198,-0.093799054,0.049324756,0.083641786,-0.05986198,-0.093799054,-0.00020530543,0.00017465016,-0.010331918,-0.010331918,-0.18257366,0.044053451,-0.28082588,-0.054198762,0.049530062,0.083467136,-4.2217231e-05,4.4365281e-05,-0.0024935372,-0.0024935372,-0.00081347013,-0.0021675853,-0.0017222843,-0.00028158667,-0.0043848113,0.0045668129,-0.01781253,-0.01781253,23.602431,29.440979,-1.3605993,-1.3605993,28.778339,29.452541,-0.82276647,-0.82276647,0.32999511,0.55662222,-0.34053233,-0.56677949,-0.036514733,0.0088106902,-0.012878073,-0.012878073,0.41363995,0.41363995,-0.30861121,-0.26397706,0.018558239,0.018558239,6.606808e-18,1.2719064e-17,0,-3.5046936e-16,0,1.5728241e-16,0,-3.1957829e-15,0,1.4331974e-16,0.049914576,0.049914576,5.736979e-06,4.0922216e-06,0.00029630558,0.00029630558
0.33761232,0.55433033,0.26861069,0.051892676,0.60622301,0.60622301,-0.030140244,-0.030140244,0.26861069,-0.58447058,-0.19138051,-0.16483899,0.1296538,0.16209231,-0.19137585,-0.16483525,0.12988664,0.16232515,0,0,-0.00024187919,0.00021937111,-0.012768104,-0.012768104,-0.47187835,-0.01633141,-0.0050251256,-0.01633141,-0.0036542788,-0.0036542788,-0.31713173,-0.13331348,0.091671262,0.12410978,-0.22811349,-0.04429524,0.055199166,0.087637681,-0.089018236,-0.089018236,0.036472096,0.036472096,-0.17291432,0.043342441,-0.05254614,-0.05254614,-0.17291432,0.043342441,-0.05254614,-0.05254614,0.048521035,0.0814208,-0.061531018,-0.093969532,0.048521035,0.0814208,-0.061531018,-0.093969532,-0.00024187919,0.00021937111,-0.012768104,-0.012768104,-0.1731562,0.043561812,-0.26861069,-0.051892676,0.048762914,0.081201429,-3.6573766e-05,4.4720951e-05,-0.0024361859,-0.0024361859,-0.00080372158,-0.0022209861,-0.0016690381,-0.00017047883,-0.0038626821,0.0046467453,-0.020076662,-0.020076662,23.325927,28.912833,-1.4963593,-1.4963593,28.138904,28.820253,-0.8864447,-0.8864447,0.32484421,0.54156223,-0.3378542,-0.55411096,-0.034631241,0.0087123624,-0.013062849,-0.013062849,0.51117303,0.51117303,-0.38215335,-0.32887027,0.0181314,0.0181314,5.9203437e-18,1.7088218e-17,0,-4.5141462e-16,0,2.0567006e-16,0,-4.0071344e-15,0,1.8303563e-16,0.04876654,0.04876654,6.4079544e-06,5.1402795e-06,0.00032015671,0.00032015671
0.3348734,0.54171659,0.25676311,0.049919916,0.5916365,0.5916365,-0.026504237,-0.026504237,0.25676311,-0.56822082,-0.1853901,-0.16007026,0.12655042,0.15749628,-0.1853851,-0.16006576,0.12679304,0.15773889,0,0,-0.00027305566,0.0002644277,-0.015148258,-0.015148258,-0.50181402,-0.016068716,-0.0050251256,-0.016068716,-0.0035702304,-0.0035702304,-0.30448978,-0.12912993,0.089652224,0.12059808,-0.21801654,-0.042656692,0.054247603,0.085193459,-0.086473237,-0.086473237,0.03540462,0.03540462,-0.16376894,0.042536767,-0.051068617,-0.051068617,-0.16376894,0.042536767,-0.051068617,-0.051068617,0.047726674,0.079210013,-0.063147987,-0.094093843,0.047726674,0.079210013,-0.063147987,-0.094093843,-0.00027305566,0.0002644277,-0.015148258,-0.015148258,-0.164042,0.042801195,-0.25676311,-0.049919916,0.047999729,0.078945585,-3.1176465e-05,4.5056593e-05,-0.0023801536,-0.0023801536,-0.00079436114,-0.0022107867,-0.0016169689,-0.0001243103,-0.0033595257,0.0047250304,-0.022288718,-0.022288718,23.052729,28.397606,-1.6289969,-1.6289969,27.515289,28.203233,-0.94865833,-0.94865833,0.31972514,0.52656833,-0.33514645,-0.54145216,-0.032808399,0.008560239,-0.013243375,-0.013243375,0.60646285,0.60646285,-0.45432237,-0.39336857,0.017714377,0.017714377,6.0220048e-18,2.1036527e-17,0,-5.4516731e-16,0,2.5272879e-16,0,-4.7132899e-15,0,2.1935805e-16,0.04764491,0.04764491,6.8731135e-06,6.1942642e-06,0.0003335922,0.0003335922
0.33211038,0.52928059,0.2452751,0.048104894,0.57738549,0.57738549,-0.022951858,-0.022951858,0.2452751,-0.55223245,-0.17954858,-0.1554252,0.12351001,0.15299421,-0.17954336,-0.15541992,0.12375686,0.15324106,0,0,-0.0002990736,0.00030980743,-0.017473668,-0.017473668,-0.51991823,-0.01574392,-0.0050251256,-0.01574392,-0.0034881151,-0.0034881151,-0.2922164,-0.12513927,0.087665894,0.11715009,-0.20822963,-0.041152496,0.053304197,0.082788397,-0.083986773,-0.083986773,0.034361696,0.034361696,-0.15492543,0.041635901,-0.049625077,-0.049625077,-0.15492543,0.041635901,-0.049625077,-0.049625077,0.046941295,0.077034375,-0.064714036,-0.094198235,0.046941295,0.077034375,-0.064714036,-0.094198235,-0.0002990736,0.00030980743,-0.017473668,-0.017473668,-0.1552245,0.041945708,-0.2452751,-0.048104894,0.047240368,0.076724568,-2.6017942e-05,4.537973e-05,-0.0023254101,-0.0023254101,-0.00078537875,-0.0021756377,-0.0015660493,-0.00010439268,-0.0028748498,0.0048024007,-0.024449898,-0.024449898,22.782776,27.895405,-1.7585837,-1.7585837,26.907111,27.60113,-1.009441,-1.009441,0.31463672,0.51180693,-0.33240946,-0.52897079,-0.031044901,0.0083891416,-0.013419749,-0.013419749,0.699561,0.699561,-0.52515243,-0.4574445,0.017306947,0.017306947,-3.824836e-18,2.4605597e-17,0,-6.3213935e-16,0,2.9849808e-16,0,-5.3253473e-15,0,2.5261204e-16,0.046549077,0.046549077,7.1729726e-06,7.2536213e-06,0.00033941843,0.00033941843
0.32932339,0.51708607,0.23413885,0.046376178,0.56346225,0.56346225,-0.019481183,-0.019481183,0.23413885,-0.53656725,-0.1738526,-0.15089263,0.12052966,0.14859271,-0.17384726,-0.15088658,0.12077674,0.14883979,0,0,-0.00032016457,0.00035550093,-0.019745593,-0.019745593,-0.52874569,-0.01539908,-0.0050251256,-0.01539908,-0.0034078885,-0.0034078885,-0.28030338,-0.12127943,0.085711471,0.11377452,-0.19874588,-0.039721927,0.052368711,0.080431763,-0.081557498,-0.081557498,0.03334276,0.03334276,-0.14637717,0.040709835,-0.048214738,-0.048214738,-0.14637717,0.040709835,-0.048214738,-0.048214738,0.04616453,0.074903247,-0.066230288,-0.094293339,0.04616453,0.074903247,-0.066230288,-0.094293339,-0.00032016457,0.00035550093,-0.019745593,-0.019745593,-0.14669734,0.041065336,-0.23413885,-0.046376178,0.046484695,0.074547746,-2.1090966e-05,4.5693503e-05,-0.0022719256,-0.0022719256,-0.00077676456,-0.0021311283,-0.001516252,-9.5103855e-05,-0.0024081702,0.0048791577,-0.02656137,-0.02656137,22.51601,27.406097,-1.8851901,-1.8851901,26.313994,27.013602,-1.0688258,-1.0688258,0.3095778,0.49734047,-0.32964356,-0.51673057,-0.029339467,0.0082130673,-0.013592066,-0.013592066,0.7905179,0.7905179,-0.59467689,-0.5210765,0.016908887,0.016908887,1.5698274e-17,2.7832889e-17,0,-7.1272076e-16,0,3.4301606e-16,0,-5.853281e-15,0,2.8309047e-16,0.045478448,0.045478448,7.3434522e-06,8.3179445e-06,0.00033973098,0.00033973098
0.32651254,0.50515483,0.2233467,0.044704407,0.54985924,0.54985924,-0.016090334,-0.016090334,0.2233467,-0.52124517,-0.16829887,-0.1464666,0.1176069,0.14429253,-0.16829348,-0.14645977,0.11785133,0.14453696,0,0,-0.00033655302,0.00040150021,-0.021965265,-0.021965265,-0.53033604,-0.015051062,-0.0050251256,-0.015051062,-0.003329507,-0.003329507,-0.26874272,-0.11752412,0.083788173,0.11047381,-0.18955862,-0.038340021,0.051440914,0.07812655,-0.079184096,-0.079184096,0.032347259,0.032347259,-0.13811771,0.039786529,-0.046836837,-0.046836837,-0.13811771,0.039786529,-0.046836837,-0.046836837,0.045396021,0.07281971,-0.067697839,-0.094383475,0.045396021,0.07281971,-0.067697839,-0.094383475,-0.00033655302,0.00040150021,-0.021965265,-0.021965265,-0.13845426,0.040188029,-0.2233467,-0.044704407,0.045732574,0.07241821,-1.6388457e-05,4.5999279e-05,-0.0022196713,-0.0022196713,-0.00076850896,-0.0020835367,-0.0014675508,-9.0135349e-05,-0.0019590103,0.0049554288,-0.028624279,-0.028624279,22.252377,26.929448,-2.0088845,-2.0088845,25.735574,26.440312,-1.1268446,-1.1268446,0.30454728,0.48318957,-0.32684909,-0.50475333,-0.027690852,0.0080376058,-0.01376042,-0.01376042,0.87938279,0.87938279,-0.66292836,-0.58424739,0.016519983,0.016519983,6.4457336e-18,3.0752127e-17,0,-7.8728084e-16,0,3.8631954e-16,0,-6.3060554e-15,0,3.1105722e-16,0.044432444,0.044432444,7.4162603e-06,9.386891e-06,0.00033609276,0.00033609276
0.32367793,0.49349188,0.21289117,0.043077216,0.5365691,0.5365691,-0.012777475,-0.012777475,0.21289117,-0.50626936,-0.16288418,-0.14214331,0.11473957,0.14009222,-0.16287879,-0.14213571,0.11497933,0.14033198,0,0,-0.0003484565,0.00044779792,-0.024133883,-0.024133883,-0.52631695,-0.014706563,-0.0050251256,-0.014706563,-0.0032529284,-0.0032529284,-0.25752659,-0.11386154,0.081895233,0.10724789,-0.18066131,-0.036996262,0.050520579,0.075873234,-0.076865283,-0.076865283,0.031374654,0.031374654,-0.13014073,0.038876972,-0.045490628,-0.045490628,-0.13014073,0.038876972,-0.045490628,-0.045490628,0.044635419,0.070784328,-0.069117759,-0.094470414,0.044635419,0.070784328,-0.069117759,-0.094470414,-0.0003484565,0.00044779792,-0.024133883,-0.024133883,-0.13048919,0.03932477,-0.21289117,-0.043077216,0.044983875,0.07033653,-1.1903479e-05,4.6297708e-05,-0.0021686189,-0.0021686189,-0.0007606025,-0.0020353819,-0.0014199199,-8.6939291e-05,-0.0015269009,0.005031271,-0.03063974,-0.03063974,21.991826,26.465197,-2.129734,-2.129734,25.171494,25.880934,-1.183529,-1.183529,0.29954405,0.469358,-0.32402639,-0.49304409,-0.026097837,0.007864954,-0.013924902,-0.013924902,0.96620378,0.96620378,-0.72993873,-0.64694277,0.016140023,0.016140023,2.2922029e-17,3.3393674e-17,0,-8.5616927e-16,0,4.2844408e-16,0,-6.6917255e-15,0,3.3675013e-16,0.043410498,0.043410498,7.4192494e-06,1.0460146e-05,0.00032966755,0.00032966755
