e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
-0.077165899,-0.077165899,0.077165899,0.077165899,-1.2700951e-13,-1.2700951e-13,9.547918e-15,9.547918e-15,0.077165899,0.077165899,-0.085,-0.085,-0.015,-0.015,-0.085,-0.085,-0.015,-0.015,0,0,0.022834101,0.022834101,6.6613381e-16,6.6613381e-16,0.011751152,0.011751152,0.011751152,0.011751152,9.2547497e-16,9.2547497e-16,-0.085,-0.085,-0.015,-0.015,-0.085,-0.085,-0.015,-0.015,1.8957058e-14,1.8957058e-14,-8.6597396e-15,-8.6597396e-15,-0.1,-0.1,1.0214052e-14,1.0214052e-14,-1.0214052e-14,-1.0214052e-14,1.0214052e-14,1.0214052e-14,0.0078341014,0.0078341014,0.015,0.015,0.0078341014,0.0078341014,0.015,0.015,0.022834101,0.022834101,6.6613381e-16,6.6613381e-16,-0.077165899,-0.077165899,-0.077165899,-0.077165899,0.022834101,0.022834101,6.6613381e-16,6.6613381e-16,0.0078341014,0.0078341014,0.015,0.015,0.022834101,0.022834101,6.6613381e-16,6.6613381e-16,0.36534562,0.36534562,2.4757973e-14,2.4757973e-14,0.18267281,0.18267281,2.1316282e-14,2.1316282e-14,-0.077165899,-0.077165899,0.1,0.1,-0.01543318,-0.01543318,2.1926905e-15,2.1926905e-15,-2.0523487e-14,-2.0523487e-14,2.2239628e-14,2.2239628e-14,0,0,0,0,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0
-0.065473502,-0.065473502,0.065473502,0.065473502,-1.2811974e-13,-1.2811974e-13,8.6597396e-15,8.6597396e-15,0.065473502,0.065473502,-0.08075,-0.08075,-0.01425,-0.01425,-0.08075,-0.08075,-0.01425,-0.01425,0,0,0.029526498,0.029526498,8.8817842e-16,8.8817842e-16,0.011163594,0.011163594,0.011163594,0.011163594,3.8337389e-16,3.8337389e-16,-0.08075,-0.08075,-0.01425,-0.01425,-0.08075,-0.08075,-0.01425,-0.01425,1.906808e-14,1.906808e-14,-8.1046281e-15,-8.1046281e-15,-0.095,-0.095,1.110223e-14,1.110223e-14,-1.1324275e-14,-1.1324275e-14,1.0880186e-14,1.0880186e-14,0.015276498,0.015276498,0.01425,0.01425,0.015276498,0.015276498,0.01425,0.01425,0.029526498,0.029526498,8.8817842e-16,8.8817842e-16,-0.065473502,-0.065473502,-0.065473502,-0.065473502,0.0066923963,0.0066923963,2.220446e-16,2.220446e-16,0.0074423963,0.0074423963,-0.00075,-0.00075,0.029526498,0.029526498,8.8817842e-16,8.8817842e-16,0.47242396,0.47242396,2.8643754e-14,2.8643754e-14,0.23621198,0.23621198,2.2537527e-14,2.2537527e-14,-0.065473502,-0.065473502,0.095,0.095,-0.0130947,-0.0130947,2.3592239e-15,2.3592239e-15,-4.1364425e-14,-4.1364425e-14,4.4262442e-14,4.4262442e-14,0,0,0,0,-0.095,-0.095,0,0,0,0,0,0,0,0,0,0
-0.054365726,-0.054365726,0.054365726,0.054365726,-1.2856383e-13,-1.2856383e-13,8.2156504e-15,8.2156504e-15,0.054365726,0.054365726,-0.0767125,-0.0767125,-0.0135375,-0.0135375,-0.0767125,-0.0767125,-0.0135375,-0.0135375,0,0,0.035884274,0.035884274,1.110223e-15,1.110223e-15,0.010605415,0.010605415,0.010605415,0.010605415,3.1225023e-16,3.1225023e-16,-0.0767125,-0.0767125,-0.0135375,-0.0135375,-0.0767125,-0.0767125,-0.0135375,-0.0135375,1.9095836e-14,1.9095836e-14,-7.8825835e-15,-7.8825835e-15,-0.09025,-0.09025,1.110223e-14,1.110223e-14,-1.1546319e-14,-1.1546319e-14,1.110223e-14,1.110223e-14,0.022346774,0.022346774,0.0135375,0.0135375,0.022346774,0.022346774,0.0135375,0.0135375,0.035884274,0.035884274,1.110223e-15,1.110223e-15,-0.054365726,-0.054365726,-0.054365726,-0.054365726,0.0063577765,0.0063577765,2.220446e-16,2.220446e-16,0.0070702765,0.0070702765,-0.0007125,-0.0007125,0.035884274,0.035884274,1.110223e-15,1.110223e-15,0.57414839,0.57414839,3.2751579e-14,3.2751579e-14,0.28707419,0.28707419,2.4424907e-14,2.4424907e-14,-0.054365726,-0.054365726,0.09025,0.09025,-0.010873145,-0.010873145,2.4424907e-15,2.4424907e-15,-6.2329344e-14,-6.2329344e-14,6.5912738e-14,6.5912738e-14,0,0,0,0,-0.09025,-0.09025,0,0,0,0,0,0,0,0,0,0
-0.043813338,-0.043813338,0.043813338,0.043813338,-1.2878587e-13,-1.2878587e-13,7.9936058e-15,7.9936058e-15,0.043813338,0.043813338,-0.072876875,-0.072876875,-0.012860625,-0.012860625,-0.072876875,-0.072876875,-0.012860625,-0.012860625,0,0,0.041924162,0.041924162,1.3322676e-15,1.3322676e-15,0.010075144,0.010075144,0.010075144,0.010075144,2.3939184e-16,2.3939184e-16,-0.072876875,-0.072876875,-0.012860625,-0.012860625,-0.072876875,-0.072876875,-0.012860625,-0.012860625,1.9123592e-14,1.9123592e-14,-7.7715612e-15,-7.7715612e-15,-0.0857375,-0.0857375,1.1324275e-14,1.1324275e-14,-1.1657342e-14,-1.1657342e-14,1.110223e-14,1.110223e-14,0.029063537,0.029063537,0.012860625,0.012860625,0.029063537,0.029063537,0.012860625,0.012860625,0.041924162,0.041924162,1.3322676e-15,1.3322676e-15,-0.043813338,-0.043813338,-0.043813338,-0.043813338,0.0060398877,0.0060398877,2.220446e-16,2.220446e-16,0.0067167627,0.0067167627,-0.000676875,-0.000676875,0.041924162,0.041924162,1.3322676e-15,1.3322676e-15,0.67078659,0.67078659,3.6082248e-14,3.6082248e-14,0.33539329,0.33539329,2.5979219e-14,2.5979219e-14,-0.043813338,-0.043813338,0.0857375,0.0857375,-0.0087626676,-0.0087626676,2.4980018e-15,2.4980018e-15,-8.3410938e-14,-8.3410938e-14,8.7232903e-14,8.7232903e-14,0,0,0,0,-0.0857375,-0.0857375,0,0,0,0,0,0,0,0,0,0
-0.03378857,-0.03378857,0.03378857,0.03378857,-1.2900792e-13,-1.2900792e-13,7.5495166e-15,7.5495166e-15,0.03378857,0.03378857,-0.069233031,-0.069233031,-0.012217594,-0.012217594,-0.069233031,-0.069233031,-0.012217594,-0.012217594,0,0,0.047662055,0.047662055,1.3322676e-15,1.3322676e-15,0.0095713868,0.0095713868,0.0095713868,0.0095713868,1.6566609e-16,1.6566609e-16,-0.069233031,-0.069233031,-0.012217594,-0.012217594,-0.069233031,-0.069233031,-0.012217594,-0.012217594,1.9123592e-14,1.9123592e-14,-7.6605389e-15,-7.6605389e-15,-0.081450625,-0.081450625,1.1324275e-14,1.1324275e-14,-1.1768364e-14,-1.1768364e-14,1.1324275e-14,1.1324275e-14,0.035444461,0.035444461,0.012217594,0.012217594,0.035444461,0.035444461,0.012217594,0.012217594,0.047662055,0.047662055,1.5543122e-15,1.5543122e-15,-0.03378857,-0.03378857,-0.03378857,-0.03378857,0.0057378933,0.0057378933,2.220446e-16,2.220446e-16,0.0063809245,0.0063809245,-0.00064303125,-0.00064303125,0.047662055,0.047662055,1.5543122e-15,1.5543122e-15,0.76259288,0.76259288,3.8635761e-14,3.8635761e-14,0.38129644,0.38129644,2.7089442e-14,2.7089442e-14,-0.03378857,-0.03378857,0.081450625,0.081450625,-0.006757714,-0.006757714,2.553513e-15,2.553513e-15,-1.0460208e-13,-1.0460208e-13,1.0826003e-13,1.0826003e-13,0,0,1.110223e-16,1.110223e-16,-0.081450625,-0.081450625,0,0,0,0,0,0,0,0,0,0
-0.02426504,-0.02426504,0.02426504,0.02426504,-1.2911894e-13,-1.2911894e-13,7.327472e-15,7.327472e-15,0.02426504,0.02426504,-0.06577138,-0.06577138,-0.011606714,-0.011606714,-0.06577138,-0.06577138,-0.011606714,-0.011606714,0,0,0.053113054,0.053113054,1.5543122e-15,1.5543122e-15,0.0090928175,0.0090928175,0.0090928175,0.0090928175,9.1072982e-17,9.1072982e-17,-0.06577138,-0.06577138,-0.011606714,-0.011606714,-0.06577138,-0.06577138,-0.011606714,-0.011606714,1.9123592e-14,1.9123592e-14,-7.5495166e-15,-7.5495166e-15,-0.077378094,-0.077378094,1.1546319e-14,1.1546319e-14,-1.1879386e-14,-1.1879386e-14,1.1324275e-14,1.1324275e-14,0.04150634,0.04150634,0.011606714,0.011606714,0.04150634,0.04150634,0.011606714,0.011606714,0.053113054,0.053113054,1.7763568e-15,1.7763568e-15,-0.02426504,-0.02426504,-0.02426504,-0.02426504,0.0054509986,0.0054509986,0,0,0.0060618783,0.0060618783,-0.00061087969,-0.00061087969,0.053113054,0.053113054,1.7763568e-15,1.7763568e-15,0.84980886,0.84980886,4.0412118e-14,4.0412118e-14,0.42490443,0.42490443,2.7866598e-14,2.7866598e-14,-0.02426504,-0.02426504,0.077378094,0.077378094,-0.004853008,-0.004853008,2.6090241e-15,2.6090241e-15,-1.2589583e-13,-1.2589583e-13,1.2902666e-13,1.2902666e-13,0,0,1.110223e-16,1.110223e-16,-0.077378094,-0.077378094,0,0,0,0,0,0,0,0,0,0
-0.015217687,-0.015217687,0.015217687,0.015217687,-1.2911894e-13,-1.2911894e-13,7.1054274e-15,7.1054274e-15,0.015217687,0.015217687,-0.062482811,-0.062482811,-0.011026378,-0.011026378,-0.062482811,-0.062482811,-0.011026378,-0.011026378,0,0,0.058291502,0.058291502,1.5543122e-15,1.5543122e-15,0.0086381766,0.0086381766,0.0086381766,0.0086381766,1.7347235e-17,1.7347235e-17,-0.062482811,-0.062482811,-0.011026378,-0.011026378,-0.062482811,-0.062482811,-0.011026378,-0.011026378,1.9123592e-14,1.9123592e-14,-7.4384943e-15,-7.4384943e-15,-0.073509189,-0.073509189,1.1546319e-14,1.1546319e-14,-1.1879386e-14,-1.1879386e-14,1.1324275e-14,1.1324275e-14,0.047265124,0.047265124,0.011026378,0.011026378,0.047265124,0.047265124,0.011026378,0.011026378,0.058291502,0.058291502,1.7763568e-15,1.7763568e-15,-0.015217687,-0.015217687,-0.015217687,-0.015217687,0.0051784487,0.0051784487,0,0,0.0057587844,0.0057587844,-0.0005803357,-0.0005803357,0.058291502,0.058291502,1.7763568e-15,1.7763568e-15,0.93266404,0.93266404,4.1411319e-14,4.1411319e-14,0.46633202,0.46633202,2.8199665e-14,2.8199665e-14,-0.015217687,-0.015217687,0.073509189,0.073509189,-0.0030435373,-0.0030435373,2.6367797e-15,2.6367797e-15,-1.4728546e-13,-1.4728546e-13,1.4956144e-13,1.4956144e-13,0,0,1.110223e-16,1.110223e-16,-0.073509189,-0.073509189,0,0,0,0,0,0,0,0,0,0
-0.0066227009,-0.0066227009,0.0066227009,0.0066227009,-1.2900792e-13,-1.2900792e-13,7.1054274e-15,7.1054274e-15,0.0066227009,0.0066227009,-0.05935867,-0.05935867,-0.010475059,-0.010475059,-0.05935867,-0.05935867,-0.010475059,-0.010475059,0,0,0.063211029,0.063211029,1.5543122e-15,1.5543122e-15,0.0082062678,0.0082062678,0.0082062678,0.0082062678,-5.6378513e-17,-5.6378513e-17,-0.05935867,-0.05935867,-0.010475059,-0.010475059,-0.05935867,-0.05935867,-0.010475059,-0.010475059,1.9123592e-14,1.9123592e-14,-7.327472e-15,-7.327472e-15,-0.06983373,-0.06983373,1.1768364e-14,1.1768364e-14,-1.1990409e-14,-1.1990409e-14,1.1546319e-14,1.1546319e-14,0.052735969,0.052735969,0.010475059,0.010475059,0.052735969,0.052735969,0.010475059,0.010475059,0.063211029,0.063211029,1.7763568e-15,1.7763568e-15,-0.0066227009,-0.0066227009,-0.0066227009,-0.0066227009,0.0049195263,0.0049195263,0,0,0.0054708452,0.0054708452,-0.00055131892,-0.00055131892,0.063211029,0.063211029,1.7763568e-15,1.7763568e-15,1.0113765,1.0113765,4.1744386e-14,4.1744386e-14,0.50568823,0.50568823,2.8310687e-14,2.8310687e-14,-0.0066227009,-0.0066227009,0.06983373,0.06983373,-0.0013245402,-0.0013245402,2.6645353e-15,2.6645353e-15,-1.6876447e-13,-1.6876447e-13,1.6988959e-13,1.6988959e-13,0,0,1.110223e-16,1.110223e-16,-0.06983373,-0.06983373,0,0,0,0,0,0,0,0,0,0
0.0015425355,0.0015425355,-0.0015425355,-0.0015425355,-1.2900792e-13,-1.2900792e-13,6.8833828e-15,6.8833828e-15,-0.0015425355,-0.0015425355,-0.056390737,-0.056390737,-0.0099513065,-0.0099513065,-0.056390737,-0.056390737,-0.0099513065,-0.0099513065,0,0,0.067884579,0.067884579,1.5543122e-15,1.5543122e-15,0.0077959544,0.0077959544,0.0077959544,0.0077959544,-1.2836954e-16,-1.2836954e-16,-0.056390737,-0.056390737,-0.0099513065,-0.0099513065,-0.056390737,-0.056390737,-0.0099513065,-0.0099513065,1.9095836e-14,1.9095836e-14,-7.2164497e-15,-7.2164497e-15,-0.066342043,-0.066342043,1.1768364e-14,1.1768364e-14,-1.2101431e-14,-1.2101431e-14,1.1546319e-14,1.1546319e-14,0.057933272,0.057933272,0.0099513065,0.0099513065,0.057933272,0.057933272,0.0099513065,0.0099513065,0.067884579,0.067884579,1.7763568e-15,1.7763568e-15,0.0015425355,0.0015425355,0.0015425355,0.0015425355,0.0046735499,0.0046735499,-1.110223e-16,-1.110223e-16,0.0051973029,0.0051973029,-0.00052375297,-0.00052375297,0.067884579,0.067884579,1.7763568e-15,1.7763568e-15,1.0861533,1.0861533,4.1189274e-14,4.1189274e-14,0.54307663,0.54307663,2.7866598e-14,2.7866598e-14,0.0015425355,0.0015425355,0.066342043,0.066342043,0.00030850711,0.00030850711,2.6645353e-15,2.6645353e-15,-1.9032656e-13,-1.9032656e-13,1.9003343e-13,1.9003343e-13,0,0,1.110223e-16,1.110223e-16,-0.066342043,-0.066342043,0,0,0,0,0,0,0,0,0,0
0.0092995102,0.0092995102,-0.0092995102,-0.0092995102,-1.2867485e-13,-1.2867485e-13,6.8833828e-15,6.8833828e-15,-0.0092995102,-0.0092995102,-0.0535712,-0.0535712,-0.0094537411,-0.0094537411,-0.0535712,-0.0535712,-0.0094537411,-0.0094537411,0,0,0.072324451,0.072324451,1.3322676e-15,1.3322676e-15,0.0074061567,0.0074061567,0.0074061567,0.0074061567,-2.0036056e-16,-2.0036056e-16,-0.0535712,-0.0535712,-0.0094537411,-0.0094537411,-0.0535712,-0.0535712,-0.0094537411,-0.0094537411,1.906808e-14,1.906808e-14,-7.1054274e-15,-7.1054274e-15,-0.063024941,-0.063024941,1.1990409e-14,1.1990409e-14,-1.2101431e-14,-1.2101431e-14,1.1546319e-14,1.1546319e-14,0.06287071,0.06287071,0.0094537411,0.0094537411,0.06287071,0.06287071,0.0094537411,0.0094537411,0.072324451,0.072324451,1.7763568e-15,1.7763568e-15,0.0092995102,0.0092995102,0.0092995102,0.0092995102,0.0044398724,0.0044398724,-1.110223e-16,-1.110223e-16,0.0049374378,0.0049374378,-0.00049756532,-0.00049756532,0.072324451,0.072324451,1.7763568e-15,1.7763568e-15,1.1571912,1.1571912,3.9968029e-14,3.9968029e-14,0.57859561,0.57859561,2.7200464e-14,2.7200464e-14,0.0092995102,0.0092995102,0.063024941,0.063024941,0.001859902,0.001859902,2.6645353e-15,2.6645353e-15,-2.119657e-13,-2.119657e-13,2.1001268e-13,2.1001268e-13,0,0,1.110223e-16,1.110223e-16,-0.063024941,-0.063024941,0,0,0,0,0,0,0,0,0,0
