e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
0.48757771,0.48757771,0.17545401,0.17545401,0.66303173,0.66303173,-0.050613603,-0.050613603,0.17545401,-0.53819132,-0.18343929,-0.18343929,0.18343929,0.18343929,-0.18343929,-0.18343929,0.18343929,0.18343929,0,0,-0.12193061,-0.12193061,-0.0029097963,-0.0029097963,-0.046411251,-0.046411251,-0.046411251,-0.046411251,-0.0043646945,-0.0043646945,-0.14451318,-0.14451318,0.14451318,0.14451318,-0.04549489,-0.04549489,0.099018289,0.099018289,-0.099018289,-0.099018289,0.04549489,0.04549489,0.0535234,0.0535234,-0.0535234,-0.0535234,0.0535234,0.0535234,-0.0535234,-0.0535234,-0.030940834,-0.030940834,-0.093899576,-0.093899576,-0.030940834,-0.030940834,-0.093899576,-0.093899576,-0.12193061,-0.12193061,-0.0029097963,-0.0029097963,-0.068407214,-0.068407214,-0.17545401,-0.17545401,-0.12193061,-0.12193061,-0.0029097963,-0.0029097963,-0.030940834,-0.030940834,-0.093899576,-0.093899576,-0.12193061,-0.12193061,-0.0029097963,-0.0029097963,-1.8730376,-1.8730376,-0.12440896,-0.12440896,-0.88980747,-0.88980747,-0.10891581,-0.10891581,0.48466792,0.48466792,-0.60950833,-0.60950833,-0.013681443,-0.013681443,-0.011286639,-0.011286639,0.1070468,0.1070468,-0.071960475,-0.071960475,0.0199,0.0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.44574139,0.44574139,0.20163321,0.20163321,0.6473746,0.6473746,-0.046270732,-0.046270732,0.20163321,-0.49201212,-0.17829838,-0.17829838,0.17829838,0.17829838,-0.17829838,-0.17829838,0.17829838,0.17829838,0,0,-0.14960981,-0.14960981,-0.0057526673,-0.0057526673,-0.045343792,-0.045343792,-0.045343792,-0.045343792,-0.0042643065,-0.0042643065,-0.14046318,-0.14046318,0.14046318,0.14046318,-0.04421989,-0.04421989,0.096243289,0.096243289,-0.096243289,-0.096243289,0.04421989,0.04421989,0.0520234,0.0520234,-0.0520234,-0.0520234,0.0520234,0.0520234,-0.0520234,-0.0520234,-0.061170029,-0.061170029,-0.094192447,-0.094192447,-0.061170029,-0.061170029,-0.094192447,-0.094192447,-0.14960981,-0.14960981,-0.0057526673,-0.0057526673,-0.097586409,-0.097586409,-0.20163321,-0.20163321,-0.027679195,-0.027679195,-0.002842871,-0.002842871,-0.030229195,-0.030229195,-0.000292871,-0.000292871,-0.14960981,-0.14960981,-0.0057526673,-0.0057526673,-2.3180865,-2.3180865,-0.16771308,-0.16771308,-1.113641,-1.113641,-0.12925878,-0.12925878,0.43998872,0.43998872,-0.5953512,-0.5953512,-0.019517282,-0.019517282,-0.011555213,-0.011555213,0.21163152,0.21163152,-0.1463827,-0.1463827,0.0194423,0.0194423,-1.110223e-16,-1.110223e-16,0,0,0,0,0,0,0,0,0,0,0,0
0.4048673,0.4048673,0.22721028,0.22721028,0.63207758,0.63207758,-0.042027747,-0.042027747,0.22721028,-0.44689505,-0.17327571,-0.17327571,0.17327571,0.17327571,-0.17327571,-0.17327571,0.17327571,0.17327571,0,0,-0.17665238,-0.17665238,-0.0085301523,-0.0085301523,-0.044300885,-0.044300885,-0.044300885,-0.044300885,-0.0041662274,-0.0041662274,-0.13650633,-0.13650633,0.13650633,0.13650633,-0.042974215,-0.042974215,0.093532114,0.093532114,-0.093532114,-0.093532114,0.042974215,0.042974215,0.0505579,0.0505579,-0.0505579,-0.0505579,0.0505579,0.0505579,-0.0505579,-0.0505579,-0.090703953,-0.090703953,-0.094478582,-0.094478582,-0.090703953,-0.090703953,-0.094478582,-0.094478582,-0.17665238,-0.17665238,-0.0085301523,-0.0085301523,-0.12609448,-0.12609448,-0.22721028,-0.22721028,-0.027042573,-0.027042573,-0.002777485,-0.002777485,-0.029533923,-0.029533923,-0.00028613497,-0.00028613497,-0.17665238,-0.17665238,-0.0085301523,-0.0085301523,-2.7528993,-2.7528993,-0.2100212,-0.2100212,-1.3323264,-1.3323264,-0.14913386,-0.14913386,0.39633715,0.39633715,-0.58151968,-0.58151968,-0.025218896,-0.025218896,-0.01181761,-0.01181761,0.3138108,0.3138108,-0.22337398,-0.22337398,0.018995127,0.018995127,-1.110223e-16,-1.110223e-16,0,0,0,0,0,0,0,0,0,0,0,0
0.36493332,0.36493332,0.25219908,0.25219908,0.6171324,0.6171324,-0.037882351,-0.037882351,0.25219908,-0.40281567,-0.16836856,-0.16836856,0.16836856,0.16836856,-0.16836856,-0.16836856,0.16836856,0.16836856,0,0,-0.20307298,-0.20307298,-0.011243755,-0.011243755,-0.043281965,-0.043281965,-0.043281965,-0.043281965,-0.0040704042,-0.0040704042,-0.13264049,-0.13264049,0.13264049,0.13264049,-0.04175719,-0.04175719,0.090883296,0.090883296,-0.090883296,-0.090883296,0.04175719,0.04175719,0.049126106,0.049126106,-0.049126106,-0.049126106,0.049126106,0.049126106,-0.049126106,-0.049126106,-0.1195586,-0.1195586,-0.094758136,-0.094758136,-0.1195586,-0.1195586,-0.094758136,-0.094758136,-0.20307298,-0.20307298,-0.011243755,-0.011243755,-0.15394687,-0.15394687,-0.25219908,-0.25219908,-0.026420594,-0.026420594,-0.0027136028,-0.0027136028,-0.028854643,-0.028854643,-0.00027955386,-0.00027955386,-0.20307298,-0.20307298,-0.011243755,-0.011243755,-3.1777115,-3.1777115,-0.25135624,-0.25135624,-1.545982,-1.545982,-0.16855181,-0.16855181,0.35368956,0.35368956,-0.56800629,-0.56800629,-0.030789374,-0.030789374,-0.012073972,-0.012073972,0.41363995,0.41363995,-0.30304773,-0.30304773,0.018558239,0.018558239,-2.220446e-16,-2.220446e-16,0,0,-1.110223e-16,-1.110223e-16,0,0,0,0,0,0,0,0
0.32591781,0.32591781,0.27661314,0.27661314,0.60253095,0.60253095,-0.033832299,-0.033832299,0.27661314,-0.35975011,-0.16357428,-0.16357428,0.16357428,0.16357428,-0.16357428,-0.16357428,0.16357428,0.16357428,0,0,-0.2288859,-0.2288859,-0.013894945,-0.013894945,-0.04228648,-0.04228648,-0.04228648,-0.04228648,-0.0039767849,-0.0039767849,-0.12886356,-0.12886356,0.12886356,0.12886356,-0.040568157,-0.040568157,0.088295401,0.088295401,-0.088295401,-0.088295401,0.040568157,0.040568157,0.047727244,0.047727244,-0.047727244,-0.047727244,0.047727244,0.047727244,-0.047727244,-0.047727244,-0.14774958,-0.14774958,-0.09503126,-0.09503126,-0.14774958,-0.14774958,-0.09503126,-0.09503126,-0.2288859,-0.2288859,-0.013894945,-0.013894945,-0.18115865,-0.18115865,-0.27661314,-0.27661314,-0.025812921,-0.025812921,-0.0026511899,-0.0026511899,-0.028190986,-0.028190986,-0.00027312412,-0.00027312412,-0.2288859,-0.2288859,-0.013894945,-0.013894945,-3.5927529,-3.5927529,-0.29174057,-0.29174057,-1.7547236,-1.7547236,-0.18752315,-0.18752315,0.31202287,0.31202287,-0.55480371,-0.55480371,-0.036231731,-0.036231731,-0.012324438,-0.012324438,0.51117303,0.51117303,-0.38552392,-0.38552392,0.0181314,0.0181314,-3.3306691e-16,-3.3306691e-16,0,0,-1.110223e-16,-1.110223e-16,0,0,0,0,0,0,0,0
0.28779967,0.28779967,0.30046568,0.30046568,0.58826534,0.58826534,-0.029875398,-0.029875398,0.30046568,-0.31767506,-0.15889027,-0.15889027,0.15889027,0.15889027,-0.15889027,-0.15889027,0.15889027,0.15889027,0,0,-0.25410512,-0.25410512,-0.016485158,-0.016485158,-0.041313891,-0.041313891,-0.041313891,-0.041313891,-0.0038853189,-0.0038853189,-0.1251735,-0.1251735,0.1251735,0.1251735,-0.039406472,-0.039406472,0.085767028,0.085767028,-0.085767028,-0.085767028,0.039406472,0.039406472,0.046360556,0.046360556,-0.046360556,-0.046360556,0.046360556,0.046360556,-0.046360556,-0.046360556,-0.17529218,-0.17529218,-0.095298102,-0.095298102,-0.17529218,-0.17529218,-0.095298102,-0.095298102,-0.25410512,-0.25410512,-0.016485158,-0.016485158,-0.20774456,-0.20774456,-0.30046568,-0.30046568,-0.025219223,-0.025219223,-0.0025902126,-0.0025902126,-0.027542594,-0.027542594,-0.00026684227,-0.00026684227,-0.25410512,-0.25410512,-0.016485158,-0.016485158,-3.9982484,-3.9982484,-0.33119606,-0.33119606,-1.9586641,-1.9586641,-0.20605815,-0.20605815,0.27131451,0.27131451,-0.54190479,-0.54190479,-0.041548913,-0.041548913,-0.012569143,-0.012569143,0.60646285,0.60646285,-0.4709295,-0.4709295,0.017714377,0.017714377,-3.3306691e-16,-3.3306691e-16,0,0,-1.110223e-16,-1.110223e-16,0,0,0,0,0,0,0,0
0.25055824,0.25055824,0.3237696,0.3237696,0.57432784,0.57432784,-0.026009506,-0.026009506,0.3237696,-0.27656774,-0.15431399,-0.15431399,0.15431399,0.15431399,-0.15431399,-0.15431399,0.15431399,0.15431399,0,0,-0.2787443,-0.2787443,-0.019015795,-0.019015795,-0.040363671,-0.040363671,-0.040363671,-0.040363671,-0.0037959565,-0.0037959565,-0.12156831,-0.12156831,0.12156831,0.12156831,-0.038271506,-0.038271506,0.083296807,0.083296807,-0.083296807,-0.083296807,0.038271506,0.038271506,0.045025301,0.045025301,-0.045025301,-0.045025301,0.045025301,0.045025301,-0.045025301,-0.045025301,-0.20220129,-0.20220129,-0.095558807,-0.095558807,-0.20220129,-0.20220129,-0.095558807,-0.095558807,-0.2787443,-0.2787443,-0.019015795,-0.019015795,-0.233719,-0.233719,-0.3237696,-0.3237696,-0.024639181,-0.024639181,-0.0025306377,-0.0025306377,-0.026909114,-0.026909114,-0.0002607049,-0.0002607049,-0.2787443,-0.2787443,-0.019015795,-0.019015795,-4.3944175,-4.3944175,-0.36974407,-0.36974407,-2.1579139,-2.1579139,-0.22416684,-0.22416684,0.23154244,0.23154244,-0.52930254,-0.52930254,-0.0467438,-0.0467438,-0.012808219,-0.012808219,0.699561,0.699561,-0.55939898,-0.55939898,0.017306947,0.017306947,-4.4408921e-16,-4.4408921e-16,0,0,-1.110223e-16,-1.110223e-16,0,0,0,0,0,0,0,0
0.21417336,0.21417336,0.34653754,0.34653754,0.5607109,0.5607109,-0.022232529,-0.022232529,0.34653754,-0.23640589,-0.14984296,-0.14984296,0.14984296,0.14984296,-0.14984296,-0.14984296,0.14984296,0.14984296,0,0,-0.30281678,-0.30281678,-0.021488228,-0.021488228,-0.039435307,-0.039435307,-0.039435307,-0.039435307,-0.0037086495,-0.0037086495,-0.11804604,-0.11804604,0.11804604,0.11804604,-0.037162644,-0.037162644,0.080883401,0.080883401,-0.080883401,-0.080883401,0.037162644,0.037162644,0.043720757,0.043720757,-0.043720757,-0.043720757,0.043720757,0.043720757,-0.043720757,-0.043720757,-0.22849149,-0.22849149,-0.095813516,-0.095813516,-0.22849149,-0.22849149,-0.095813516,-0.095813516,-0.30281678,-0.30281678,-0.021488228,-0.021488228,-0.25909602,-0.25909602,-0.34653754,-0.34653754,-0.02407248,-0.02407248,-0.002472433,-0.002472433,-0.026290204,-0.026290204,-0.00025470868,-0.00025470868,-0.30281678,-0.30281678,-0.021488228,-0.021488228,-4.7814747,-4.7814747,-0.40740548,-0.40740548,-2.352581,-2.352581,-0.24185904,-0.24185904,0.19268513,0.19268513,-0.51699014,-0.51699014,-0.051819205,-0.051819205,-0.013041797,-0.013041797,0.7905179,0.7905179,-0.65107498,-0.65107498,0.016908887,0.016908887,-5.5511151e-16,-5.5511151e-16,0,0,-2.220446e-16,-2.220446e-16,0,0,0,0,0,0,0,0
0.17862534,0.17862534,0.36878181,0.36878181,0.54740715,0.54740715,-0.018542423,-0.018542423,0.36878181,-0.19716776,-0.14547477,-0.14547477,0.14547477,0.14547477,-0.14547477,-0.14547477,0.14547477,0.14547477,0,0,-0.32633559,-0.32633559,-0.023903795,-0.023903795,-0.038528295,-0.038528295,-0.038528295,-0.038528295,-0.0036233506,-0.0036233506,-0.11460479,-0.11460479,0.11460479,0.11460479,-0.036079285,-0.036079285,0.078525503,0.078525503,-0.078525503,-0.078525503,0.036079285,0.036079285,0.042446218,0.042446218,-0.042446218,-0.042446218,0.042446218,0.042446218,-0.042446218,-0.042446218,-0.25417702,-0.25417702,-0.096062366,-0.096062366,-0.25417702,-0.25417702,-0.096062366,-0.096062366,-0.32633559,-0.32633559,-0.023903795,-0.023903795,-0.28388938,-0.28388938,-0.36878181,-0.36878181,-0.023518813,-0.023518813,-0.0024155671,-0.0024155671,-0.02568553,-0.02568553,-0.00024885038,-0.00024885038,-0.32633559,-0.32633559,-0.023903795,-0.023903795,-5.1596296,-5.1596296,-0.44420068,-0.44420068,-2.5427708,-2.5427708,-0.25914431,-0.25914431,0.15472154,0.15472154,-0.50496093,-0.50496093,-0.056777875,-0.056777875,-0.013270003,-0.013270003,0.87938279,0.87938279,-0.74610884,-0.74610884,0.016519983,0.016519983,-5.5511151e-16,-5.5511151e-16,0,0,-2.220446e-16,-2.220446e-16,0,0,0,0,0,0,0,0
0.14389492,0.14389492,0.39051447,0.39051447,0.53440939,0.53440939,-0.014937189,-0.014937189,0.39051447,-0.15883211,-0.14120704,-0.14120704,0.14120704,0.14120704,-0.14120704,-0.14120704,0.14120704,0.14120704,0,0,-0.34931348,-0.34931348,-0.026263804,-0.026263804,-0.037642144,-0.037642144,-0.037642144,-0.037642144,-0.0035400135,-0.0035400135,-0.11124268,-0.11124268,0.11124268,0.11124268,-0.035020844,-0.035020844,0.076221837,0.076221837,-0.076221837,-0.076221837,0.035020844,0.035020844,0.041200993,0.041200993,-0.041200993,-0.041200993,0.041200993,0.041200993,-0.041200993,-0.041200993,-0.27927179,-0.27927179,-0.096305493,-0.096305493,-0.27927179,-0.27927179,-0.096305493,-0.096305493,-0.34931348,-0.34931348,-0.026263804,-0.026263804,-0.30811248,-0.30811248,-0.39051447,-0.39051447,-0.02297788,-0.02297788,-0.002360009,-0.002360009,-0.025094763,-0.025094763,-0.00024312682,-0.00024312682,-0.34931348,-0.34931348,-0.026263804,-0.026263804,-5.5290869,-5.5290869,-0.48014959,-0.48014959,-2.7285862,-2.7285862,-0.27603202,-0.27603202,0.11763111,0.11763111,-0.49320839,-0.49320839,-0.061622496,-0.061622496,-0.01349296,-0.01349296,0.96620378,0.96620378,-0.84466131,-0.84466131,0.016140023,0.016140023,-6.6613381e-16,-6.6613381e-16,0,0,-2.220446e-16,-2.220446e-16,0,0,0,0,0,0,0,0
