e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,y_H_potential_pie,y_H_potential_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
-0.0041036085,-0.0041036085,0.0041036085,0.0041036085,4.0767736e-14,4.0767736e-14,-3.2685361e-15,-3.2685361e-15,0.0041036085,0.0041036085,-0.073236644,-0.073236644,-0.00062173844,-0.00062173844,-0.073235968,-0.073235968,-0.00062173844,-0.00062173844,0,0,4.131437e-05,4.131437e-05,-5.5805896e-17,-5.5805896e-17,-4.9531807e-05,-4.9531807e-05,-4.9531807e-05,-4.9531807e-05,-8.4071618e-17,-8.4071618e-17,-0.0035231845,-0.0035231845,-0.00062173844,-0.00062173844,-0.0035231845,-0.0035231845,-0.00062173844,-0.00062173844,-6.1039413e-15,-6.1039413e-15,2.8258857e-15,2.8258857e-15,-0.0041449229,-0.0041449229,-3.2805774e-15,-3.2805774e-15,0.095855077,0.095855077,-3.2254152e-15,-3.2254152e-15,-0.00058042407,-0.00058042407,0.00062173844,0.00062173844,-0.00058042407,-0.00058042407,0.00062173844,0.00062173844,4.131437e-05,4.131437e-05,-6.1553988e-17,-6.1553988e-17,-0.0041036085,-0.0041036085,-0.0041036085,-0.0041036085,4.131437e-05,4.131437e-05,-5.7204051e-17,-5.7204051e-17,-0.00058042407,-0.00058042407,0.00062173844,0.00062173844,0.004131437,0.004131437,-2.5292407e-16,-2.5292407e-16,2.7055832,2.7055832,-3.3925232e-14,-3.3925232e-14,0.3231787,0.3231787,-2.7738141e-14,-2.7738141e-14,-0.0041036085,-0.0041036085,0.0041449229,0.0041449229,-0.00082072171,-0.00082072171,-6.6731755e-16,-6.6731755e-16,6.5775791e-15,6.5775791e-15,-6.6046821e-15,-6.6046821e-15,-2.7012818e-19,-2.7012818e-19,9.635986e-20,9.635986e-20,-0.1,-0.1,-7.2056379e-19,-7.2056379e-19,0,0,0,0,-0.1,-0.1,9.293946e-07,9.293946e-07,5.3993006e-32,5.3993006e-32
-0.0077496447,-0.0077496447,0.0077496447,0.0077496447,3.8910715e-14,3.8910715e-14,-3.0255067e-15,-3.0255067e-15,0.0077496447,0.0077496447,-0.070052864,-0.070052864,-0.0011742325,-0.0011742325,-0.070051645,-0.070051645,-0.0011742325,-0.0011742325,0,0,7.8571754e-05,7.8571754e-05,-9.8899868e-17,-9.8899868e-17,0.00012462447,0.00012462447,0.00012462447,0.00012462447,-1.0677332e-16,-1.0677332e-16,-0.006653984,-0.006653984,-0.0011742325,-0.0011742325,-0.006653984,-0.006653984,-0.0011742325,-0.0011742325,-5.8251959e-15,-5.8251959e-15,2.6594631e-15,2.6594631e-15,-0.0078282165,-0.0078282165,-3.1582285e-15,-3.1582285e-15,0.087171784,0.087171784,-1.0813587e-15,-1.0813587e-15,-0.0010956607,-0.0010956607,0.0011742325,0.0011742325,-0.0010956607,-0.0010956607,0.0011742325,0.0011742325,7.8571754e-05,7.8571754e-05,-1.3203749e-16,-1.3203749e-16,-0.0077496447,-0.0077496447,-0.0077496447,-0.0077496447,3.7257384e-05,3.7257384e-05,1.766247e-16,1.766247e-16,-0.00051523665,-0.00051523665,0.00055249404,0.00055249404,0.0037670528,0.0037670528,-3.0689852e-16,-3.0689852e-16,2.4817697,2.4817697,-3.5780939e-14,-3.5780939e-14,0.31096964,0.31096964,-2.7878842e-14,-2.7878842e-14,-0.0077496447,-0.0077496447,0.0078282165,0.0078282165,-0.0015499289,-0.0015499289,-6.514629e-16,-6.514629e-16,1.2845697e-14,1.2845697e-14,-1.2946024e-14,-1.2946024e-14,1.9105415e-19,1.9105415e-19,5.1295601e-20,5.1295601e-20,-0.095,-0.095,-3.4561533e-19,-3.4561533e-19,3.5844901e-18,3.5844901e-18,-1.8043609e-20,-1.8043609e-20,-0.095,-0.095,1.675928e-06,1.675928e-06,5.5523347e-31,5.5523347e-31
-0.011042558,-0.011042558,0.011042558,0.011042558,3.6456949e-14,3.6456949e-14,-2.7606501e-15,-2.7606501e-15,0.011042558,0.011042558,-0.067006991,-0.067006991,-0.0016731932,-0.0016731932,-0.06700534,-0.06700534,-0.0016731932,-0.0016731932,0,0,0.00011206341,0.00011206341,-1.647428e-16,-1.647428e-16,0.00028245105,0.00028245105,0.00028245105,0.00028245105,-9.7222298e-17,-9.7222298e-17,-0.0094814281,-0.0094814281,-0.0016731932,-0.0016731932,-0.0094814281,-0.0094814281,-0.0016731932,-0.0016731932,-5.4475981e-15,-5.4475981e-15,2.4900943e-15,2.4900943e-15,-0.011154621,-0.011154621,-2.9502288e-15,-2.9502288e-15,0.079095379,0.079095379,4.6752517e-16,4.6752517e-16,-0.0015611298,-0.0015611298,0.0016731932,0.0016731932,-0.0015611298,-0.0015611298,0.0016731932,0.0016731932,0.00011206341,0.00011206341,-1.9544402e-16,-1.9544402e-16,-0.011042558,-0.011042558,-0.011042558,-0.011042558,3.3491652e-05,3.3491652e-05,1.6240925e-16,1.6240925e-16,-0.00046546906,-0.00046546906,0.00049896071,0.00049896071,0.003427737,0.003427737,-3.5221713e-16,-3.5221713e-16,2.2729093,2.2729093,-3.7613083e-14,-3.7613083e-14,0.29911161,0.29911161,-2.8168601e-14,-2.8168601e-14,-0.011042558,-0.011042558,0.011154621,0.011154621,-0.0022085116,-0.0022085116,-6.2304628e-16,-6.2304628e-16,1.8741302e-14,1.8741302e-14,-1.8950565e-14,-1.8950565e-14,6.1723575e-19,6.1723575e-19,1.2509181e-20,1.2509181e-20,-0.09025,-0.09025,-2.3306326e-20,-2.3306326e-20,6.1313727e-18,6.1313727e-18,-3.3380677e-20,-3.3380677e-20,-0.09025,-0.09025,2.2699294e-06,2.2699294e-06,8.5164169e-31,8.5164169e-31
-0.014007588,-0.014007588,0.014007588,0.014007588,3.4137623e-14,3.4137623e-14,-2.5131681e-15,-2.5131681e-15,0.014007588,0.014007588,-0.064093084,-0.064093084,-0.0021224475,-0.0021224475,-0.064091093,-0.064091093,-0.0021224475,-0.0021224475,0,0,0.00014206209,0.00014206209,-2.238613e-16,-2.238613e-16,0.00042510281,0.00042510281,0.00042510281,0.00042510281,-8.8327531e-17,-8.8327531e-17,-0.012027202,-0.012027202,-0.0021224475,-0.0021224475,-0.012027202,-0.012027202,-0.0021224475,-0.0021224475,-5.0905273e-15,-5.0905273e-15,2.3297891e-15,2.3297891e-15,-0.01414965,-0.01414965,-2.7536882e-15,-2.7536882e-15,0.07158785,0.07158785,1.5063601e-15,1.5063601e-15,-0.0019803854,-0.0019803854,0.0021224475,0.0021224475,-0.0019803854,-0.0019803854,0.0021224475,0.0021224475,0.00014206209,0.00014206209,-2.5227954e-16,-2.5227954e-16,-0.014007588,-0.014007588,-0.014007588,-0.014007588,2.9998687e-05,2.9998687e-05,1.4913242e-16,1.4913242e-16,-0.00041925561,-0.00041925561,0.00044925429,0.00044925429,0.0031119321,0.0031119321,-3.9226942e-16,-3.9226942e-16,2.0780874,2.0780874,-3.9166779e-14,-3.9166779e-14,0.28759859,0.28759859,-2.8352055e-14,-2.8352055e-14,-0.014007588,-0.014007588,0.01414965,0.01414965,-0.0028015176,-0.0028015176,-5.9557418e-16,-5.9557418e-16,2.4284456e-14,2.4284456e-14,-2.4629455e-14,-2.4629455e-14,1.0105176e-18,1.0105176e-18,-2.0715753e-20,-2.0715753e-20,-0.0857375,-0.0857375,2.523844e-19,2.523844e-19,7.801932e-18,7.801932e-18,-4.6326967e-20,-4.6326967e-20,-0.0857375,-0.0857375,2.7372372e-06,2.7372372e-06,1.0056991e-30,1.0056991e-30
-0.016668376,-0.016668376,0.016668376,0.016668376,3.1936259e-14,3.1936259e-14,-2.2820187e-15,-2.2820187e-15,0.016668376,0.016668376,-0.061305456,-0.061305456,-0.0025255798,-0.0025255798,-0.061303202,-0.061303202,-0.0025255798,-0.0025255798,0,0,0.00016882319,0.00016882319,-2.7673831e-16,-2.7673831e-16,0.00055366183,0.00055366183,0.00055366183,0.00055366183,-8.0048225e-17,-8.0048225e-17,-0.014311619,-0.014311619,-0.0025255798,-0.0025255798,-0.014311619,-0.014311619,-0.0025255798,-0.0025255798,-4.7528889e-15,-4.7528889e-15,2.1780717e-15,2.1780717e-15,-0.016837199,-0.016837199,-2.5679873e-15,-2.5679873e-15,0.064613426,0.064613426,2.1715686e-15,2.1715686e-15,-0.0023567567,-0.0023567567,0.0025255798,0.0025255798,-0.0023567567,-0.0023567567,0.0025255798,0.0025255798,0.00016882319,0.00016882319,-3.030179e-16,-3.030179e-16,-0.016668376,-0.016668376,-0.016668376,-0.016668376,2.6761098e-05,2.6761098e-05,1.367372e-16,1.367372e-16,-0.00037637127,-0.00037637127,0.00040313236,0.00040313236,0.0028181719,0.0028181719,-4.2744616e-16,-4.2744616e-16,1.8964423,1.8964423,-4.0463899e-14,-4.0463899e-14,0.27642433,0.27642433,-2.843843e-14,-2.843843e-14,-0.016668376,-0.016668376,0.016837199,0.016837199,-0.0033336752,-0.0033336752,-5.6901965e-16,-5.6901965e-16,2.9494154e-14,2.9494154e-14,-2.9994107e-14,-2.9994107e-14,1.3728841e-18,1.3728841e-18,-4.9019494e-20,-4.9019494e-20,-0.081450625,-0.081450625,4.8683806e-19,4.8683806e-19,8.7374015e-18,8.7374015e-18,-5.716441e-20,-5.716441e-20,-0.081450625,-0.081450625,3.0998119e-06,3.0998119e-06,1.0627759e-30,1.0627759e-30
-0.019047059,-0.019047059,0.019047059,0.019047059,2.985806e-14,2.985806e-14,-2.0662196e-15,-2.0662196e-15,0.019047059,0.019047059,-0.058638662,-0.058638662,-0.0028859467,-0.0028859467,-0.058636206,-0.058636206,-0.0028859467,-0.0028859467,0,0,0.00019258572,0.00019258572,-3.238261e-16,-3.238261e-16,0.00066914176,0.00066914176,0.00066914176,0.00066914176,-7.234598e-17,-7.234598e-17,-0.016353698,-0.016353698,-0.0028859467,-0.0028859467,-0.016353698,-0.016353698,-0.0028859467,-0.0028859467,-4.4336456e-15,-4.4336456e-15,2.034491e-15,2.034491e-15,-0.019239645,-0.019239645,-2.3925401e-15,-2.3925401e-15,0.058138449,0.058138449,2.5648987e-15,2.5648987e-15,-0.002693361,-0.002693361,0.0028859467,0.0028859467,-0.002693361,-0.002693361,0.0028859467,0.0028859467,0.00019258572,0.00019258572,-3.4810281e-16,-3.4810281e-16,-0.019047059,-0.019047059,-0.019047059,-0.019047059,2.3762533e-05,2.3762533e-05,1.2516988e-16,1.2516988e-16,-0.00033660437,-0.00033660437,0.00036036691,0.00036036691,0.0025450765,0.0025450765,-4.5811289e-16,-4.5811289e-16,1.7271628,1.7271628,-4.1524865e-14,-4.1524865e-14,0.26558241,0.26558241,-2.8436321e-14,-2.8436321e-14,-0.019047059,-0.019047059,0.019239645,0.019239645,-0.0038094119,-0.0038094119,-5.4335619e-16,-5.4335619e-16,3.4388379e-14,3.4388379e-14,-3.5056094e-14,-3.5056094e-14,1.7062094e-18,1.7062094e-18,-7.2974094e-20,-7.2974094e-20,-0.077378094,-0.077378094,6.8486174e-19,6.8486174e-19,9.0612115e-18,9.0612115e-18,-6.6144602e-20,-6.6144602e-20,-0.077378094,-0.077378094,3.3762701e-06,3.3762701e-06,1.0555957e-30,1.0555957e-30
-0.021164361,-0.021164361,0.021164361,0.021164361,2.7890884e-14,2.7890884e-14,-1.8648448e-15,-1.8648448e-15,0.021164361,0.021164361,-0.056087489,-0.056087489,-0.0032066902,-0.0032066902,-0.056084884,-0.056084884,-0.0032066902,-0.0032066902,0,0,0.00021357334,0.00021357334,-3.6554803e-16,-3.6554803e-16,0.00077249184,0.00077249184,0.00077249184,0.00077249184,-6.5184658e-17,-6.5184658e-17,-0.018171245,-0.018171245,-0.0032066902,-0.0032066902,-0.018171245,-0.018171245,-0.0032066902,-0.0032066902,-4.1318153e-15,-4.1318153e-15,1.8986192e-15,1.8986192e-15,-0.021377935,-0.021377935,-2.2267923e-15,-2.2267923e-15,0.052131254,0.052131254,2.762126e-15,2.762126e-15,-0.0029931169,-0.0029931169,0.0032066902,0.0032066902,-0.0029931169,-0.0029931169,0.0032066902,0.0032066902,0.00021357334,0.00021357334,-3.8794958e-16,-3.8794958e-16,-0.021164361,-0.021164361,-0.021164361,-0.021164361,2.0987617e-05,2.0987617e-05,1.1437985e-16,1.1437985e-16,-0.00029975584,-0.00029975584,0.00032074346,0.00032074346,0.0022913474,0.0022913474,-4.8461145e-16,-4.8461145e-16,1.5694847,1.5694847,-4.2368742e-14,-4.2368742e-14,0.25506626,0.25506626,-2.8353722e-14,-2.8353722e-14,-0.021164361,-0.021164361,0.021377935,0.021377935,-0.0042328723,-0.0042328723,-5.1855779e-16,-5.1855779e-16,3.8984157e-14,3.8984157e-14,-3.9827071e-14,-3.9827071e-14,2.0122634e-18,2.0122634e-18,-9.3090407e-20,-9.3090407e-20,-0.073509189,-0.073509189,8.5074768e-19,8.5074768e-19,8.8809978e-18,8.8809978e-18,-7.3491943e-20,-7.3491943e-20,-0.073509189,-0.073509189,3.5823488e-06,3.5823488e-06,1.0075621e-30,1.0075621e-30
-0.023039675,-0.023039675,0.023039675,0.023039675,2.6024322e-14,2.6024322e-14,-1.6770215e-15,-1.6770215e-15,0.023039675,0.023039675,-0.053646949,-0.053646949,-0.0034907506,-0.0034907506,-0.053644236,-0.053644236,-0.0034907506,-0.0034907506,0,0,0.00023199523,0.00023199523,-4.0230037e-16,-4.0230037e-16,0.00086460074,0.00086460074,0.00086460074,0.00086460074,-5.8530253e-17,-5.8530253e-17,-0.01978092,-0.01978092,-0.0034907506,-0.0034907506,-0.01978092,-0.01978092,-0.0034907506,-0.0034907506,-3.8464676e-15,-3.8464676e-15,1.7700508e-15,1.7700508e-15,-0.02327167,-0.02327167,-2.0702188e-15,-2.0702188e-15,0.046562059,0.046562059,2.8195793e-15,2.8195793e-15,-0.0032587553,-0.0032587553,0.0034907506,0.0034907506,-0.0032587553,-0.0032587553,0.0034907506,0.0034907506,0.00023199523,0.00023199523,-4.2294685e-16,-4.2294685e-16,-0.023039675,-0.023039675,-0.023039675,-0.023039675,1.8421893e-05,1.8421893e-05,1.0431945e-16,1.0431945e-16,-0.00026563847,-0.00026563847,0.00028406037,0.00028406037,0.0020557627,0.0020557627,-5.0726138e-16,-5.0726138e-16,1.4226887,1.4226887,-4.3013314e-14,-4.3013314e-14,0.2448692,0.2448692,-2.8198071e-14,-2.8198071e-14,-0.023039675,-0.023039675,0.02327167,0.02327167,-0.0046079351,-0.0046079351,-4.9459893e-16,-4.9459893e-16,4.3297606e-14,4.3297606e-14,-4.4318694e-14,-4.4318694e-14,2.2927171e-18,2.2927171e-18,-1.098244e-19,-1.098244e-19,-0.06983373,-0.06983373,9.8832642e-19,9.8832642e-19,8.2903961e-18,8.2903961e-18,-7.9406459e-20,-7.9406459e-20,-0.06983373,-0.06983373,3.7313101e-06,3.7313101e-06,9.3523363e-31,9.3523363e-31
-0.024691144,-0.024691144,0.024691144,0.024691144,2.4265312e-14,2.4265312e-14,-1.5019272e-15,-1.5019272e-15,0.024691144,0.024691144,-0.051312266,-0.051312266,-0.0037408786,-0.0037408786,-0.051309477,-0.051309477,-0.0037408786,-0.0037408786,0,0,0.00024804701,0.00024804701,-4.3445381e-16,-4.3445381e-16,0.00094630015,0.00094630015,0.00094630015,0.00094630015,-5.2350769e-17,-5.2350769e-17,-0.021198312,-0.021198312,-0.0037408786,-0.0037408786,-0.021198312,-0.021198312,-0.0037408786,-0.0037408786,-3.5767213e-15,-3.5767213e-15,1.6484013e-15,1.6484013e-15,-0.024939191,-0.024939191,-1.9223231e-15,-1.9223231e-15,0.041402852,0.041402852,2.7790322e-15,2.7790322e-15,-0.0034928316,-0.0034928316,0.0037408786,0.0037408786,-0.0034928316,-0.0034928316,0.0037408786,0.0037408786,0.00024804701,0.00024804701,-4.5345815e-16,-4.5345815e-16,-0.024691144,-0.024691144,-0.024691144,-0.024691144,1.6051775e-05,1.6051775e-05,9.4943772e-17,9.4943772e-17,-0.00023407625,-0.00023407625,0.00025012802,0.00025012802,0.0018371727,0.0018371727,-5.263613e-16,-5.263613e-16,1.2860977,1.2860977,-4.3475169e-14,-4.3475169e-14,0.23498446,0.23498446,-2.7976279e-14,-2.7976279e-14,-0.024691144,-0.024691144,0.024939191,0.024939191,-0.0049382287,-0.0049382287,-4.714546e-16,-4.714546e-16,4.7343983e-14,4.7343983e-14,-4.8542554e-14,-4.8542554e-14,2.5491482e-18,2.5491482e-18,-1.2358285e-19,-1.2358285e-19,-0.066342043,-0.066342043,1.1010146e-18,1.1010146e-18,7.3706446e-18,7.3706446e-18,-8.4066339e-20,-8.4066339e-20,-0.066342043,-0.066342043,3.8342926e-06,3.8342926e-06,8.501615e-31,8.501615e-31
-0.026135734,-0.026135734,0.026135734,0.026135734,2.25861e-14,2.25861e-14,-1.3387868e-15,-1.3387868e-15,0.026135734,0.026135734,-0.049078869,-0.049078869,-0.0039596468,-0.0039596468,-0.049076032,-0.049076032,-0.0039596468,-0.0039596468,0,0,0.0002619115,0.0002619115,-4.6235511e-16,-4.6235511e-16,0.0010183682,0.0010183682,0.0010183682,0.0010183682,-4.6616109e-17,-4.6616109e-17,-0.022437998,-0.022437998,-0.0039596468,-0.0039596468,-0.022437998,-0.022437998,-0.0039596468,-0.0039596468,-3.3217419e-15,-3.3217419e-15,1.5333062e-15,1.5333062e-15,-0.026397645,-0.026397645,-1.782635e-15,-1.782635e-15,0.036627296,0.036627296,2.6713701e-15,2.6713701e-15,-0.0036977353,-0.0036977353,0.0039596468,0.0039596468,-0.0036977353,-0.0036977353,0.0039596468,0.0039596468,0.0002619115,0.0002619115,-4.7982347e-16,-4.7982347e-16,-0.026135734,-0.026135734,-0.026135734,-0.026135734,1.3864494e-05,1.3864494e-05,8.6210548e-17,8.6210548e-17,-0.0002049037,-0.0002049037,0.0002187682,0.0002187682,0.0016344964,0.0016344964,-5.4219016e-16,-5.4219016e-16,1.159074,1.159074,-4.3769769e-14,-4.3769769e-14,0.22540517,0.22540517,-2.769477e-14,-2.769477e-14,-0.026135734,-0.026135734,0.026397645,0.026397645,-0.0052271468,-0.0052271468,-4.491003e-16,-4.491003e-16,5.1137734e-14,5.1137734e-14,-5.2510125e-14,-5.2510125e-14,2.7830459e-18,2.7830459e-18,-1.347284e-19,-1.347284e-19,-0.063024941,-0.063024941,1.1918579e-18,1.1918579e-18,6.1920138e-18,6.1920138e-18,-8.7630204e-20,-8.7630204e-20,-0.063024941,-0.063024941,3.9006158e-06,3.9006158e-06,7.6025339e-31,7.6025339e-31
