e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,y_H_potential_pie,y_H_potential_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
0.034123722,0.034123722,0.63396097,0.63396097,0.6680847,0.6680847,-0.045560632,-0.045560632,0.63396097,0.63396097,-0.25546303,-0.25546303,0.095646223,0.095646223,-0.25546205,-0.25546205,0.095732014,0.095732014,0,0,-4.9738989e-05,-4.9738989e-05,-0.00267382,-0.00267382,0.019569656,0.019569656,0.019569656,0.019569656,-0.00401073,-0.00401073,-0.63863618,-0.63863618,0.052959398,0.052959398,-0.53882455,-0.53882455,0.011960114,0.011960114,-0.099811632,-0.099811632,0.040999284,0.040999284,-0.52686444,-0.52686444,-0.058812347,-0.058812347,-0.52686444,-0.52686444,-0.058812347,-0.058812347,0.0046752072,0.0046752072,-0.0073987662,-0.0073987662,0.0046752072,0.0046752072,-0.0073987662,-0.0073987662,-4.9738989e-05,-4.9738989e-05,-0.00267382,-0.00267382,-0.52691418,-0.52691418,-0.63396097,-0.63396097,-4.9738989e-05,-4.9738989e-05,-0.00267382,-0.00267382,0.0046752072,0.0046752072,-0.0073987662,-0.0073987662,-0.0049738989,-0.0049738989,-0.01069528,-0.01069528,26.679064,26.679064,-0.93384058,-0.93384058,32.540912,32.540912,-0.62259533,-0.62259533,0.031449902,0.031449902,-0.034173461,-0.034173461,-0.10538284,-0.10538284,-0.012297233,-0.012297233,0.1070468,0.1070468,-0.1035145,-0.1035145,0.0199,0.0199,2.575915e-18,2.575915e-18,0,0,4.2111761e-17,4.2111761e-17,0,0,0,0,0.0535234,0.0535234,1.3470751e-06,1.3470751e-06,0.00011796367,0.00011796367
0.05955584,0.05955584,0.59251953,0.59251953,0.65207537,0.65207537,-0.041569956,-0.041569956,0.59251953,0.59251953,-0.24539821,-0.24539821,0.096456161,0.096456161,-0.24539678,-0.24539678,0.096602396,0.096602396,0,0,-8.4039527e-05,-8.4039527e-05,-0.0052861421,-0.0052861421,0.017951826,0.017951826,0.017951826,0.017951826,-0.0039184832,-0.0039184832,-0.60058855,-0.60058855,0.055009158,0.055009158,-0.50357017,-0.50357017,0.015181475,0.015181475,-0.097018385,-0.097018385,0.039827683,0.039827683,-0.48838869,-0.48838869,-0.057190702,-0.057190702,-0.48838869,-0.48838869,-0.057190702,-0.057190702,0.0080690211,0.0080690211,-0.013439203,-0.013439203,0.0080690211,0.0080690211,-0.013439203,-0.013439203,-8.4039527e-05,-8.4039527e-05,-0.0052861421,-0.0052861421,-0.48847273,-0.48847273,-0.59251953,-0.59251953,-3.4300538e-05,-3.4300538e-05,-0.0026123221,-0.0026123221,0.0033938139,0.0033938139,-0.0060404366,-0.0060404366,-0.0034797928,-0.0034797928,-0.013123109,-0.013123109,26.956988,26.956988,-1.079416,-1.079416,31.887203,31.887203,-0.69087749,-0.69087749,0.054269698,0.054269698,-0.05963988,-0.05963988,-0.097694547,-0.097694547,-0.012495369,-0.012495369,0.21163152,0.21163152,-0.19973607,-0.19973607,0.0194423,0.0194423,4.8636668e-18,4.8636668e-18,-5.0944284e-16,-5.0944284e-16,2.8996072e-17,2.8996072e-17,-6.9044477e-16,-6.9044477e-16,7.9905775e-18,7.9905775e-18,0.0520234,0.0520234,1.9742232e-06,1.9742232e-06,0.0002010725,0.0002010725
0.083230948,0.083230948,0.55320332,0.55320332,0.63643426,0.63643426,-0.037671065,-0.037671065,0.55320332,0.55320332,-0.23571011,-0.23571011,0.097087052,0.097087052,-0.23570853,-0.23570853,0.097274895,0.097274895,0,0,-0.0001038636,-0.0001038636,-0.0078383808,-0.0078383808,0.016423531,0.016423531,0.016423531,0.016423531,-0.0038283581,-0.0038283581,-0.56442392,-0.56442392,0.05683391,0.05683391,-0.47013453,-0.47013453,0.018150881,0.018150881,-0.094289382,-0.094289382,0.038683029,0.038683029,-0.45198365,-0.45198365,-0.055606354,-0.055606354,-0.45198365,-0.45198365,-0.055606354,-0.055606354,0.011220601,0.011220601,-0.019162845,-0.019162845,0.011220601,0.011220601,-0.019162845,-0.019162845,-0.0001038636,-0.0001038636,-0.0078383808,-0.0078383808,-0.45208752,-0.45208752,-0.55320332,-0.55320332,-1.9824069e-05,-1.9824069e-05,-0.0025522387,-0.0025522387,0.0031515799,0.0031515799,-0.0057236427,-0.0057236427,-0.0020664464,-0.0020664464,-0.015495097,-0.015495097,27.203359,27.203359,-1.2216433,-1.2216433,31.250644,31.250644,-0.75758916,-0.75758916,0.075392567,0.075392567,-0.083334811,-0.083334811,-0.090417503,-0.090417503,-0.012688947,-0.012688947,0.3138108,0.3138108,-0.28969888,-0.28969888,0.018995127,0.018995127,7.1535998e-18,7.1535998e-18,-9.852764e-16,-9.852764e-16,1.6395725e-17,1.6395725e-17,-1.2943298e-15,-1.2943298e-15,1.5913251e-17,1.5913251e-17,0.0505579,0.0505579,2.168466e-06,2.168466e-06,0.00025828409,0.00025828409
0.10524152,0.10524152,0.51591138,0.51591138,0.6211529,0.6211529,-0.033861849,-0.033861849,0.51591138,0.51591138,-0.22638376,-0.22638376,0.097546464,0.097546464,-0.22638218,-0.22638218,0.097761959,0.097761959,0,0,-0.00011012411,-0.00011012411,-0.010331918,-0.010331918,0.014980389,0.014980389,0.014980389,0.014980389,-0.0037403058,-0.0037403058,-0.53005422,-0.53005422,0.058446725,0.058446725,-0.43843107,-0.43843107,0.020882024,0.020882024,-0.091623147,-0.091623147,0.037564702,0.037564702,-0.41754904,-0.41754904,-0.054058446,-0.054058446,-0.41754904,-0.41754904,-0.054058446,-0.054058446,0.014142835,0.014142835,-0.024584877,-0.024584877,0.014142835,0.014142835,-0.024584877,-0.024584877,-0.00011012411,-0.00011012411,-0.010331918,-0.010331918,-0.41765917,-0.41765917,-0.51591138,-0.51591138,-6.2605137e-06,-6.2605137e-06,-0.0024935372,-0.0024935372,0.0029222337,0.0029222337,-0.0054220314,-0.0054220314,-0.00072991497,-0.00072991497,-0.01781253,-0.01781253,27.420049,27.420049,-1.3605993,-1.3605993,30.630762,30.630762,-0.82276647,-0.82276647,0.094909601,0.094909601,-0.10535164,-0.10535164,-0.083531834,-0.083531834,-0.012878073,-0.012878073,0.41363995,0.41363995,-0.37425299,-0.37425299,0.018558239,0.018558239,9.4401841e-18,9.4401841e-18,-1.4292986e-15,-1.4292986e-15,4.2775013e-18,4.2775013e-18,-1.8208811e-15,-1.8208811e-15,2.3757994e-17,2.3757994e-17,0.049126106,0.049126106,2.1681225e-06,2.1681225e-06,0.00029630558,0.00029630558
0.12567559,0.12567559,0.48054742,0.48054742,0.60622301,0.60622301,-0.030140244,-0.030140244,0.48054742,0.48054742,-0.21740481,-0.21740481,0.097842557,0.097842557,-0.21740323,-0.21740323,0.098075398,0.098075398,0,0,-0.00010368724,-0.00010368724,-0.012768104,-0.012768104,0.013618221,0.013618221,0.013618221,0.013618221,-0.0036542788,-0.0036542788,-0.49739541,-0.49739541,0.059860024,0.059860024,-0.40837717,-0.40837717,0.023387928,0.023387928,-0.089018236,-0.089018236,0.036472096,0.036472096,-0.38498924,-0.38498924,-0.05254614,-0.05254614,-0.38498924,-0.38498924,-0.05254614,-0.05254614,0.016847989,0.016847989,-0.02971978,-0.02971978,0.016847989,0.016847989,-0.02971978,-0.02971978,-0.00010368724,-0.00010368724,-0.012768104,-0.012768104,-0.38509293,-0.38509293,-0.48054742,-0.48054742,6.4368725e-06,6.4368725e-06,-0.0024361859,-0.0024361859,0.0027051541,0.0027051541,-0.0051349031,-0.0051349031,0.00053356314,0.00053356314,-0.020076662,-0.020076662,27.608836,27.608836,-1.4963593,-1.4963593,30.027097,30.027097,-0.8864447,-0.8864447,0.11290749,0.11290749,-0.12577928,-0.12577928,-0.077018586,-0.077018586,-0.013062849,-0.013062849,0.51117303,0.51117303,-0.45410333,-0.45410333,0.0181314,0.0181314,1.1718564e-17,1.1718564e-17,-1.843218e-15,-1.843218e-15,-7.3889208e-18,-7.3889208e-18,-2.2783818e-15,-2.2783818e-15,3.151617e-17,3.151617e-17,0.047727244,0.047727244,2.1690018e-06,2.1690018e-06,0.00032015671,0.00032015671
0.14461696,0.14461696,0.44701954,0.44701954,0.5916365,0.5916365,-0.026504237,-0.026504237,0.44701954,0.44701954,-0.20875948,-0.20875948,0.097983806,0.097983806,-0.20875778,-0.20875778,0.098226418,0.098226418,0,0,-8.5374621e-05,-8.5374621e-05,-0.015148258,-0.015148258,0.012333042,0.012333042,0.012333042,0.012333042,-0.0035702304,-0.0035702304,-0.46636728,-0.46636728,0.061085606,0.061085606,-0.37989404,-0.37989404,0.025680986,0.025680986,-0.086473237,-0.086473237,0.03540462,0.03540462,-0.35421305,-0.35421305,-0.051068617,-0.051068617,-0.35421305,-0.35421305,-0.051068617,-0.051068617,0.019347737,0.019347737,-0.03458137,-0.03458137,0.019347737,0.019347737,-0.03458137,-0.03458137,-8.5374621e-05,-8.5374621e-05,-0.015148258,-0.015148258,-0.35429843,-0.35429843,-0.44701954,-0.44701954,1.8312616e-05,1.8312616e-05,-0.0023801536,-0.0023801536,0.0024997486,0.0024997486,-0.0048615896,-0.0048615896,0.0017275744,0.0017275744,-0.022288718,-0.022288718,27.77141,27.77141,-1.6289969,-1.6289969,29.439205,29.439205,-0.94865833,-0.94865833,0.12946871,0.12946871,-0.14470234,-0.14470234,-0.070859686,-0.070859686,-0.013243375,-0.013243375,0.60646285,0.60646285,-0.52983912,-0.52983912,0.017714377,0.017714377,1.3984491e-17,1.3984491e-17,-2.2286584e-15,-2.2286584e-15,-1.8631241e-17,-1.8631241e-17,-2.6742673e-15,-2.6742673e-15,3.9180384e-17,3.9180384e-17,0.046360556,0.046360556,2.3299109e-06,2.3299109e-06,0.0003335922,0.0003335922
0.1621454,0.1621454,0.41524009,0.41524009,0.57738549,0.57738549,-0.022951858,-0.022951858,0.41524009,0.41524009,-0.20043455,-0.20043455,0.097978795,0.097978795,-0.20043253,-0.20043253,0.098225645,0.098225645,0,0,-5.5965493e-05,-5.5965493e-05,-0.017473668,-0.017473668,0.011121056,0.011121056,0.011121056,0.011121056,-0.0034881151,-0.0034881151,-0.43689328,-0.43689328,0.06213468,0.06213468,-0.3529065,-0.3529065,0.027772984,0.027772984,-0.083986773,-0.083986773,0.034361696,0.034361696,-0.32513352,-0.32513352,-0.049625077,-0.049625077,-0.32513352,-0.32513352,-0.049625077,-0.049625077,0.021653189,0.021653189,-0.039182823,-0.039182823,0.021653189,0.021653189,-0.039182823,-0.039182823,-5.5965493e-05,-5.5965493e-05,-0.017473668,-0.017473668,-0.32518948,-0.32518948,-0.41524009,-0.41524009,2.9409128e-05,2.9409128e-05,-0.0023254101,-0.0023254101,0.0023054521,0.0023054521,-0.004601453,-0.004601453,0.0028555381,0.0028555381,-0.024449898,-0.024449898,27.909373,27.909373,-1.7585837,-1.7585837,28.866654,28.866654,-1.009441,-1.009441,0.14467173,0.14467173,-0.16220137,-0.16220137,-0.065037897,-0.065037897,-0.013419749,-0.013419749,0.699561,0.699561,-0.60195652,-0.60195652,0.017306947,0.017306947,1.6234255e-17,1.6234255e-17,-2.5871626e-15,-2.5871626e-15,-2.947479e-17,-2.947479e-17,-3.0152106e-15,-3.0152106e-15,4.674435e-17,4.674435e-17,0.045025301,0.045025301,2.777548e-06,2.777548e-06,0.00033941843,0.00033941843
0.17833682,0.17833682,0.38512543,0.38512543,0.56346225,0.56346225,-0.019481183,-0.019481183,0.38512543,0.38512543,-0.19241736,-0.19241736,0.097836077,0.097836077,-0.19241473,-0.19241473,0.098083154,0.098083154,0,0,-1.6198696e-05,-1.6198696e-05,-0.019745593,-0.019745593,0.0099786424,0.0099786424,0.0099786424,0.0099786424,-0.0034078885,-0.0034078885,-0.40890034,-0.40890034,0.06301789,0.06301789,-0.32734284,-0.32734284,0.02967513,0.02967513,-0.081557498,-0.081557498,0.03334276,0.03334276,-0.29766771,-0.29766771,-0.048214738,-0.048214738,-0.29766771,-0.29766771,-0.048214738,-0.048214738,0.023774915,0.023774915,-0.043536707,-0.043536707,0.023774915,0.023774915,-0.043536707,-0.043536707,-1.6198696e-05,-1.6198696e-05,-0.019745593,-0.019745593,-0.29768391,-0.29768391,-0.38512543,-0.38512543,3.9766797e-05,3.9766797e-05,-0.0022719256,-0.0022719256,0.0021217256,0.0021217256,-0.0043538844,-0.0043538844,0.0039207142,0.0039207142,-0.02656137,-0.02656137,28.024249,28.024249,-1.8851901,-1.8851901,28.309024,28.309024,-1.0688258,-1.0688258,0.15859123,0.15859123,-0.17835302,-0.17835302,-0.059536783,-0.059536783,-0.013592066,-0.013592066,0.7905179,0.7905179,-0.67087601,-0.67087601,0.016908887,0.016908887,1.8464634e-17,1.8464634e-17,-2.9201964e-15,-2.9201964e-15,-3.9942761e-17,-3.9942761e-17,-3.3071995e-15,-3.3071995e-15,5.420277e-17,5.420277e-17,0.043720757,0.043720757,3.6108439e-06,3.6108439e-06,0.00033973098,0.00033973098
0.19326345,0.19326345,0.35659578,0.35659578,0.54985924,0.54985924,-0.016090334,-0.016090334,0.35659578,0.35659578,-0.18469572,-0.18469572,0.097564067,0.097564067,-0.18469216,-0.18469216,0.097808498,0.097808498,0,0,3.3225393e-05,3.3225393e-05,-0.021965265,-0.021965265,0.0089023489,0.0089023489,0.0089023489,0.0089023489,-0.003329507,-0.003329507,-0.38231875,-0.38231875,0.063745343,0.063745343,-0.30313466,-0.30313466,0.031398084,0.031398084,-0.079184096,-0.079184096,0.032347259,0.032347259,-0.27173657,-0.27173657,-0.046836837,-0.046836837,-0.27173657,-0.27173657,-0.046836837,-0.046836837,0.02572297,0.02572297,-0.047655009,-0.047655009,0.02572297,0.02572297,-0.047655009,-0.047655009,3.3225393e-05,3.3225393e-05,-0.021965265,-0.021965265,-0.27170335,-0.27170335,-0.35659578,-0.35659578,4.9424089e-05,4.9424089e-05,-0.0022196713,-0.0022196713,0.0019480551,0.0019480551,-0.0041183023,-0.0041183023,0.0049262102,0.0049262102,-0.028624279,-0.028624279,28.117481,28.117481,-2.0088845,-2.0088845,27.76591,27.76591,-1.1268446,-1.1268446,0.17129819,0.17129819,-0.19323023,-0.19323023,-0.05434067,-0.05434067,-0.01376042,-0.01376042,0.87938279,0.87938279,-0.7369561,-0.7369561,0.016519983,0.016519983,2.0672836e-17,2.0672836e-17,-3.2291524e-15,-3.2291524e-15,-5.0056408e-17,-5.0056408e-17,-3.5556054e-15,-3.5556054e-15,6.1551229e-17,6.1551229e-17,0.042446218,0.042446218,4.9048077e-06,4.9048077e-06,0.00033609276,0.00033609276
0.20699404,0.20699404,0.32957506,0.32957506,0.5365691,0.5365691,-0.012777475,-0.012777475,0.32957506,0.32957506,-0.17725798,-0.17725798,0.097170971,0.097170971,-0.17725309,-0.17725309,0.097410729,0.097410729,0,0,9.1643023e-05,9.1643023e-05,-0.024133883,-0.024133883,0.0078888861,0.0078888861,0.0078888861,0.0078888861,-0.0032529284,-0.0032529284,-0.35708198,-0.35708198,0.064326636,0.064326636,-0.2802167,-0.2802167,0.032951981,0.032951981,-0.076865283,-0.076865283,0.031374654,0.031374654,-0.24726471,-0.24726471,-0.045490628,-0.045490628,-0.24726471,-0.24726471,-0.045490628,-0.045490628,0.027506921,0.027506921,-0.051549161,-0.051549161,0.027506921,0.027506921,-0.051549161,-0.051549161,9.1643023e-05,9.1643023e-05,-0.024133883,-0.024133883,-0.24717307,-0.24717307,-0.32957506,-0.32957506,5.841763e-05,5.841763e-05,-0.0021686189,-0.0021686189,0.0017839505,0.0017839505,-0.0038941517,-0.0038941517,0.0058749884,0.0058749884,-0.03063974,-0.03063974,28.190442,28.190442,-2.129734,-2.129734,27.236918,27.236918,-1.183529,-1.183529,0.18286016,0.18286016,-0.2069024,-0.2069024,-0.049434614,-0.049434614,-0.013924902,-0.013924902,0.96620378,0.96620378,-0.80050418,-0.80050418,0.016140023,0.016140023,2.285646e-17,2.285646e-17,-3.5153535e-15,-3.5153535e-15,-5.9835238e-17,-5.9835238e-17,-3.7652463e-15,-3.7652463e-15,6.8786098e-17,6.8786098e-17,0.041200993,0.041200993,6.7139309e-06,6.7139309e-06,0.00032966755,0.00032966755
