e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,y_H_potential_pie,y_H_potential_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
-0.049441887,-0.049441887,0.049441887,0.049441887,1.9553803e-14,1.9553803e-14,-3.6449815e-15,-3.6449815e-15,0.049441887,0.049441887,-0.07880129,-0.07880129,-0.007422867,-0.007422867,-0.078800528,-0.078800528,-0.007422867,-0.007422867,0,0,4.3892561e-05,4.3892561e-05,-6.6059868e-17,-6.6059868e-17,0.029702362,0.029702362,0.029702362,0.029702362,-1.4790421e-16,-1.4790421e-16,-0.042062913,-0.042062913,-0.007422867,-0.007422867,-0.042062913,-0.042062913,-0.007422867,-0.007422867,-2.9146298e-15,-2.9146298e-15,3.1599234e-15,3.1599234e-15,-0.04948578,-0.04948578,2.4295313e-16,2.4295313e-16,0.05051422,0.05051422,2.8995111e-16,2.8995111e-16,-0.0073789744,-0.0073789744,0.007422867,0.007422867,-0.0073789744,-0.0073789744,0.007422867,0.007422867,4.3892561e-05,4.3892561e-05,-1.024036e-16,-1.024036e-16,-0.049441887,-0.049441887,-0.049441887,-0.049441887,4.3892561e-05,4.3892561e-05,-9.6004397e-17,-9.6004397e-17,-0.0073789744,-0.0073789744,0.007422867,0.007422867,0.0043892561,0.0043892561,-4.0302772e-16,-4.0302772e-16,2.9089656,2.9089656,-4.4382724e-14,-4.4382724e-14,0.38134315,0.38134315,-3.3585333e-14,-3.3585333e-14,-0.049441887,-0.049441887,0.04948578,0.04948578,-0.0098883774,-0.0098883774,3.5345745e-17,3.5345745e-17,3.4367268e-15,3.4367268e-15,-3.6154831e-15,-3.6154831e-15,-2.4066899e-19,-2.4066899e-19,-5.2716577e-19,-5.2716577e-19,-0.1,-0.1,-1.1043348e-17,-1.1043348e-17,0,0,0,0,-0.1,-0.1,1.0490102e-06,1.0490102e-06,1.5207793e-31,1.5207793e-31
-0.066941742,-0.066941742,0.066941742,0.066941742,1.8415824e-14,1.8415824e-14,-3.4860425e-15,-3.4860425e-15,0.066941742,0.066941742,-0.077318304,-0.077318304,-0.010053974,-0.010053974,-0.077316887,-0.077316887,-0.010053974,-0.010053974,0,0,8.4748455e-05,8.4748455e-05,-6.6386333e-16,-6.6386333e-16,0.040210313,0.040210313,0.040210313,0.040210313,4.9513086e-16,4.9513086e-16,-0.056972517,-0.056972517,-0.010053974,-0.010053974,-0.056972517,-0.056972517,-0.010053974,-0.010053974,-2.7236785e-15,-2.7236785e-15,3.4665486e-15,3.4665486e-15,-0.06702649,-0.06702649,6.9537833e-16,6.9537833e-16,0.02797351,0.02797351,-3.991488e-15,-3.991488e-15,-0.0099692251,-0.0099692251,0.010053974,0.010053974,-0.0099692251,-0.0099692251,0.010053974,0.010053974,8.4748455e-05,8.4748455e-05,-2.4009681e-16,-2.4009681e-16,-0.066941742,-0.066941742,-0.066941742,-0.066941742,4.0855894e-05,4.0855894e-05,-6.5999416e-16,-6.5999416e-16,-0.0025902507,-0.0025902507,0.0026311066,0.0026311066,0.004129482,0.004129482,-6.241083e-16,-6.241083e-16,2.7606573,2.7606573,-5.8512451e-14,-5.8512451e-14,0.38501549,0.38501549,-4.0559012e-14,-4.0559012e-14,-0.066941742,-0.066941742,0.06702649,0.06702649,-0.013388348,-0.013388348,6.6409209e-18,6.6409209e-18,7.23757e-15,7.23757e-15,-7.7568254e-15,-7.7568254e-15,-5.015341e-19,-5.015341e-19,-1.338588e-18,-1.338588e-18,-0.095,-0.095,-8.3868098e-18,-8.3868098e-18,-4.4450173e-18,-4.4450173e-18,4.2808341e-19,4.2808341e-19,-0.095,-0.095,1.9474018e-06,1.9474018e-06,7.3013312e-30,7.3013312e-30
-0.0716335,-0.0716335,0.0716335,0.0716335,1.8235413e-14,1.8235413e-14,-3.2826086e-15,-3.2826086e-15,0.0716335,0.0716335,-0.074444859,-0.074444859,-0.010763508,-0.010763508,-0.07444287,-0.07444287,-0.010763508,-0.010763508,0,0,0.00012322156,0.00012322156,-7.8659645e-16,-7.8659645e-16,0.043042298,0.043042298,0.043042298,0.043042298,4.7556356e-16,4.7556356e-16,-0.060993213,-0.060993213,-0.010763508,-0.010763508,-0.060993213,-0.060993213,-0.010763508,-0.010763508,-2.6692511e-15,-2.6692511e-15,3.4009684e-15,3.4009684e-15,-0.071756721,-0.071756721,6.8539917e-16,6.8539917e-16,0.018493279,0.018493279,-7.4462516e-15,-7.4462516e-15,-0.010640287,-0.010640287,0.010763508,0.010763508,-0.010640287,-0.010640287,0.010763508,0.010763508,0.00012322156,0.00012322156,-3.7132458e-16,-3.7132458e-16,-0.0716335,-0.0716335,-0.0716335,-0.0716335,3.8473105e-05,3.8473105e-05,-6.4267389e-16,-6.4267389e-16,-0.00067106153,-0.00067106153,0.00070953463,0.00070953463,0.003932059,0.003932059,-7.3842321e-16,-7.3842321e-16,2.6485763,2.6485763,-6.5334308e-14,-6.5334308e-14,0.3884997,0.3884997,-4.374109e-14,-4.374109e-14,-0.0716335,-0.0716335,0.071756721,0.071756721,-0.0143267,-0.0143267,-1.9537023e-17,-1.9537023e-17,1.0980991e-14,1.0980991e-14,-1.1828293e-14,-1.1828293e-14,-7.4141452e-19,-7.4141452e-19,-2.025661e-18,-2.025661e-18,-0.09025,-0.09025,-6.0735357e-18,-6.0735357e-18,-8.0398302e-18,-8.0398302e-18,7.919543e-19,7.919543e-19,-0.09025,-0.09025,2.7338857e-06,2.7338857e-06,1.2290989e-29,1.2290989e-29
-0.071272381,-0.071272381,0.071272381,0.071272381,1.8055002e-14,1.8055002e-14,-3.0879546e-15,-3.0879546e-15,0.071272381,0.071272381,-0.071123695,-0.071123695,-0.010714802,-0.010714802,-0.071121202,-0.071121202,-0.010714802,-0.010714802,0,0,0.00015963373,0.00015963373,-9.038016e-16,-9.038016e-16,0.042845464,0.042845464,0.042845464,0.042845464,4.5923751e-16,4.5923751e-16,-0.060717213,-0.060717213,-0.010714802,-0.010714802,-0.060717213,-0.060717213,-0.010714802,-0.010714802,-2.6206531e-15,-2.6206531e-15,3.3368369e-15,3.3368369e-15,-0.071432015,-0.071432015,6.7092076e-16,6.7092076e-16,0.014305485,0.014305485,-9.94293e-15,-9.94293e-15,-0.010555168,-0.010555168,0.010714802,0.010714802,-0.010555168,-0.010555168,0.010714802,0.010714802,0.00015963373,0.00015963373,-4.9583726e-16,-4.9583726e-16,-0.071272381,-0.071272381,-0.071272381,-0.071272381,3.6412169e-05,3.6412169e-05,-6.261156e-16,-6.261156e-16,8.5118135e-05,8.5118135e-05,-4.8705966e-05,-4.8705966e-05,0.0037644385,0.0037644385,-8.4707511e-16,-8.4707511e-16,2.5537329,2.5537329,-7.1820623e-14,-7.1820623e-14,0.39180787,0.39180787,-4.6764696e-14,-4.6764696e-14,-0.071272381,-0.071272381,0.071432015,0.071432015,-0.014254476,-0.014254476,-4.5563507e-17,-4.5563507e-17,1.4671362e-14,1.4671362e-14,-1.5797271e-14,-1.5797271e-14,-9.6154486e-19,-9.6154486e-19,-2.6029802e-18,-2.6029802e-18,-0.0857375,-0.0857375,-4.0653186e-18,-4.0653186e-18,-1.0890527e-17,-1.0890527e-17,1.0991041e-18,1.0991041e-18,-0.0857375,-0.0857375,3.42847e-06,3.42847e-06,1.5686584e-29,1.5686584e-29
-0.068983814,-0.068983814,0.068983814,0.068983814,1.7874591e-14,1.7874591e-14,-2.9023255e-15,-2.9023255e-15,0.068983814,0.068983814,-0.067729784,-0.067729784,-0.010376698,-0.010376698,-0.067726843,-0.067726843,-0.010376698,-0.010376698,0,0,0.00019416986,0.00019416986,-1.0150898e-15,-1.0150898e-15,0.041492684,0.041492684,0.041492684,0.041492684,4.4461066e-16,4.4461066e-16,-0.058801286,-0.058801286,-0.010376698,-0.010376698,-0.058801286,-0.058801286,-0.010376698,-0.010376698,-2.5753725e-15,-2.5753725e-15,3.2747921e-15,3.2747921e-15,-0.069177984,-0.069177984,6.5513452e-16,6.5513452e-16,0.012272641,0.012272641,-1.1723618e-14,-1.1723618e-14,-0.010182528,-0.010182528,0.010376698,0.010376698,-0.010182528,-0.010182528,0.010376698,0.010376698,0.00019416986,0.00019416986,-6.1375977e-16,-6.1375977e-16,-0.068983814,-0.068983814,-0.068983814,-0.068983814,3.453613e-05,3.453613e-05,-6.1036374e-16,-6.1036374e-16,0.00037264074,0.00037264074,-0.00033810461,-0.00033810461,0.0036132467,0.0036132467,-9.5007483e-16,-9.5007483e-16,2.4683289,2.4683289,-7.7967612e-14,-7.7967612e-14,0.39494989,0.39494989,-4.9627514e-14,-4.9627514e-14,-0.068983814,-0.068983814,0.069177984,0.069177984,-0.013796763,-0.013796763,-7.0717357e-17,-7.0717357e-17,1.8311912e-14,1.8311912e-14,-1.9668736e-14,-1.9668736e-14,-1.1630921e-18,-1.1630921e-18,-3.0835732e-18,-3.0835732e-18,-0.081450625,-0.081450625,-2.3279664e-18,-2.3279664e-18,-1.3091068e-17,-1.3091068e-17,1.3562217e-18,1.3562217e-18,-0.081450625,-0.081450625,4.0436345e-06,4.0436345e-06,1.7911912e-29,1.7911912e-29
-0.06602413,-0.06602413,0.06602413,0.06602413,1.7708057e-14,1.7708057e-14,-2.7255533e-15,-2.7255533e-15,0.06602413,0.06602413,-0.06440913,-0.06440913,-0.009937663,-0.009937663,-0.064405792,-0.064405792,-0.009937663,-0.009937663,0,0,0.0002269568,0.0002269568,-1.1205068e-15,-1.1205068e-15,0.039736828,0.039736828,0.039736828,0.039736828,4.3104387e-16,4.3104387e-16,-0.056313424,-0.056313424,-0.009937663,-0.009937663,-0.056313424,-0.056313424,-0.009937663,-0.009937663,-2.532348e-15,-2.532348e-15,3.2150378e-15,3.2150378e-15,-0.066251087,-0.066251087,6.3932415e-16,6.3932415e-16,0.011127007,0.011127007,-1.2971006e-14,-1.2971006e-14,-0.0097107062,-0.0097107062,0.009937663,0.009937663,-0.0097107062,-0.0097107062,0.009937663,0.009937663,0.0002269568,0.0002269568,-7.2535504e-16,-7.2535504e-16,-0.06602413,-0.06602413,-0.06602413,-0.06602413,3.2786942e-05,3.2786942e-05,-5.9540932e-16,-5.9540932e-16,0.00047182156,0.00047182156,-0.00043903462,-0.00043903462,0.003472864,0.003472864,-1.0476075e-15,-1.0476075e-15,2.3890919,2.3890919,-8.3784823e-14,-8.3784823e-14,0.39793452,0.39793452,-5.2333946e-14,-5.2333946e-14,-0.06602413,-0.06602413,0.066251087,0.066251087,-0.013204826,-0.013204826,-9.4745643e-17,-9.4745643e-17,2.1905338e-14,2.1905338e-14,-2.3453858e-14,-2.3453858e-14,-1.3471601e-18,-1.3471601e-18,-3.4790623e-18,-3.4790623e-18,-0.077378094,-0.077378094,-8.3089042e-19,-8.3089042e-19,-1.472485e-17,-1.472485e-17,1.5692762e-18,1.5692762e-18,-0.077378094,-0.077378094,4.5885267e-06,4.5885267e-06,1.9283386e-29,1.9283386e-29
-0.062895246,-0.062895246,0.062895246,0.062895246,1.7541524e-14,1.7541524e-14,-2.5573155e-15,-2.5573155e-15,0.062895246,0.062895246,-0.061215553,-0.061215553,-0.0094730012,-0.0094730012,-0.061211866,-0.061211866,-0.0094730012,-0.0094730012,0,0,0.00025809536,0.00025809536,-1.2202618e-15,-1.2202618e-15,0.037878701,0.037878701,0.037878701,0.037878701,4.1826308e-16,4.1826308e-16,-0.05368034,-0.05368034,-0.0094730012,-0.0094730012,-0.05368034,-0.05368034,-0.0094730012,-0.0094730012,-2.4911062e-15,-2.4911062e-15,3.1576037e-15,3.1576037e-15,-0.063153341,-0.063153341,6.2400125e-16,6.2400125e-16,0.010355848,0.010355848,-1.382243e-14,-1.382243e-14,-0.0092149058,-0.0092149058,0.0094730012,0.0094730012,-0.0092149058,-0.0092149058,0.0094730012,0.0094730012,0.00025809536,0.00025809536,-8.3092924e-16,-8.3092924e-16,-0.062895246,-0.062895246,-0.062895246,-0.062895246,3.1138558e-05,3.1138558e-05,-5.8122331e-16,-5.8122331e-16,0.00049580036,0.00049580036,-0.0004646618,-0.0004646618,0.0033408126,0.0033408126,-1.1399185e-15,-1.1399185e-15,2.3145825,2.3145825,-8.9286547e-14,-8.9286547e-14,0.4007698,0.4007698,-5.4890795e-14,-5.4890795e-14,-0.062895246,-0.062895246,0.063153341,0.063153341,-0.012579049,-0.012579049,-1.1758282e-16,-1.1758282e-16,2.5454061e-14,2.5454061e-14,-2.7162449e-14,-2.7162449e-14,-1.5147933e-18,-1.5147933e-18,-3.7998102e-18,-3.7998102e-18,-0.073509189,-0.073509189,4.5326399e-19,4.5326399e-19,-1.5865936e-17,-1.5865936e-17,1.7435913e-18,1.7435913e-18,-0.073509189,-0.073509189,5.070594e-06,5.070594e-06,2.0036579e-29,2.0036579e-29
-0.059794735,-0.059794735,0.059794735,0.059794735,1.737499e-14,1.737499e-14,-2.3972398e-15,-2.3972398e-15,0.059794735,0.059794735,-0.058165914,-0.058165914,-0.0090123613,-0.0090123613,-0.058161917,-0.058161917,-0.0090123613,-0.0090123613,0,0,0.00028767334,0.00028767334,-1.314619e-15,-1.314619e-15,0.036036737,0.036036737,0.036036737,0.036036737,4.0614218e-16,4.0614218e-16,-0.051070047,-0.051070047,-0.0090123613,-0.0090123613,-0.051070047,-0.051070047,-0.0090123613,-0.0090123613,-2.4514132e-15,-2.4514132e-15,3.1024494e-15,3.1024494e-15,-0.060082409,-0.060082409,6.0936423e-16,6.0936423e-16,0.009751321,0.009751321,-1.4380893e-14,-1.4380893e-14,-0.008724688,-0.008724688,0.0090123613,0.0090123613,-0.008724688,-0.008724688,0.0090123613,0.0090123613,0.00028767334,0.00028767334,-9.3079439e-16,-9.3079439e-16,-0.059794735,-0.059794735,-0.059794735,-0.059794735,2.9577981e-05,2.9577981e-05,-5.6777004e-16,-5.6777004e-16,0.00049021787,0.00049021787,-0.00046063989,-0.00046063989,0.0032158934,0.0032158934,-1.2272676e-15,-1.2272676e-15,2.2441078,2.2441078,-9.448839e-14,-9.448839e-14,0.40346326,0.40346326,-5.7305534e-14,-5.7305534e-14,-0.059794735,-0.059794735,0.060082409,0.060082409,-0.011958947,-0.011958947,-1.392374e-16,-1.392374e-16,2.8960323e-14,2.8960323e-14,-3.0802128e-14,-3.0802128e-14,-1.6669797e-18,-1.6669797e-18,-4.0550506e-18,-4.0550506e-18,-0.06983373,-0.06983373,1.5489497e-18,1.5489497e-18,-1.6580083e-17,-1.6580083e-17,1.8839129e-18,1.8839129e-18,-0.06983373,-0.06983373,5.4962476e-06,5.4962476e-06,2.0346421e-29,2.0346421e-29
-0.056797538,-0.056797538,0.056797538,0.056797538,1.7222335e-14,1.7222335e-14,-2.2449447e-15,-2.2449447e-15,0.056797538,0.056797538,-0.055262389,-0.055262389,-0.0085669964,-0.0085669964,-0.055258119,-0.055258119,-0.0085669964,-0.0085669964,0,0,0.00031577095,0.00031577095,-1.4038542e-15,-1.4038542e-15,0.034255885,0.034255885,0.034255885,0.034255885,3.946153e-16,3.946153e-16,-0.048546313,-0.048546313,-0.0085669964,-0.0085669964,-0.048546313,-0.048546313,-0.0085669964,-0.0085669964,-2.4131339e-15,-2.4131339e-15,3.0495071e-15,3.0495071e-15,-0.057113309,-0.057113309,5.9548377e-16,5.9548377e-16,0.0092287337,0.0092287337,-1.4723526e-14,-1.4723526e-14,-0.0082512255,-0.0082512255,0.0085669964,0.0085669964,-0.0082512255,-0.0082512255,0.0085669964,0.0085669964,0.00031577095,0.00031577095,-1.025254e-15,-1.025254e-15,-0.056797538,-0.056797538,-0.056797538,-0.056797538,2.8097608e-05,2.8097608e-05,-5.5501252e-16,-5.5501252e-16,0.00047346249,0.00047346249,-0.00044536488,-0.00044536488,0.0030974342,0.0030974342,-1.3099119e-15,-1.3099119e-15,2.1772817,2.1772817,-9.9405929e-14,-9.9405929e-14,0.40602203,0.40602203,-5.9585633e-14,-5.9585633e-14,-0.056797538,-0.056797538,0.057113309,0.057113309,-0.011359508,-0.011359508,-1.5974621e-16,-1.5974621e-16,3.2426239e-14,3.2426239e-14,-3.4378875e-14,-3.4378875e-14,-1.8046543e-18,-1.8046543e-18,-4.2530059e-18,-4.2530059e-18,-0.066342043,-0.066342043,2.4780162e-18,2.4780162e-18,-1.6925633e-17,-1.6925633e-17,1.9944682e-18,1.9944682e-18,-0.066342043,-0.066342043,5.8711546e-06,5.8711546e-06,2.0342457e-29,2.0342457e-29
-0.053929322,-0.053929322,0.053929322,0.053929322,1.706274e-14,1.706274e-14,-2.1000563e-15,-2.1000563e-15,0.053929322,0.053929322,-0.052501458,-0.052501458,-0.0081407677,-0.0081407677,-0.052496949,-0.052496949,-0.0081407677,-0.0081407677,0,0,0.00034246308,0.00034246308,-1.4882383e-15,-1.4882383e-15,0.032551564,0.032551564,0.032551564,0.032551564,3.8364147e-16,3.8364147e-16,-0.046131017,-0.046131017,-0.0081407677,-0.0081407677,-0.046131017,-0.046131017,-0.0081407677,-0.0081407677,-2.3761748e-15,-2.3761748e-15,2.9986991e-15,2.9986991e-15,-0.054271785,-0.054271785,5.8237797e-16,5.8237797e-16,0.0087531564,0.0087531564,-1.4908014e-14,-1.4908014e-14,-0.0077983046,-0.0077983046,0.0081407677,0.0081407677,-0.0077983046,-0.0077983046,0.0081407677,0.0081407677,0.00034246308,0.00034246308,-1.1145979e-15,-1.1145979e-15,-0.053929322,-0.053929322,-0.053929322,-0.053929322,2.6692133e-05,2.6692133e-05,-5.4291449e-16,-5.4291449e-16,0.00045292085,0.00045292085,-0.00042622872,-0.00042622872,0.0029849843,0.0029849843,-1.3880983e-15,-1.3880983e-15,2.1138473,2.1138473,-1.040542e-13,-1.040542e-13,0.40845286,0.40845286,-6.1738303e-14,-6.1738303e-14,-0.053929322,-0.053929322,0.054271785,0.054271785,-0.010785864,-0.010785864,-1.7915603e-16,-1.7915603e-16,3.5853811e-14,3.5853811e-14,-3.7897603e-14,-3.7897603e-14,-1.9287014e-18,-1.9287014e-18,-4.4009926e-18,-4.4009926e-18,-0.063024941,-0.063024941,3.259978e-18,3.259978e-18,-1.695431e-17,-1.695431e-17,2.0790206e-18,2.0790206e-18,-0.063024941,-0.063024941,6.200383e-06,6.200383e-06,2.0120319e-29,2.0120319e-29
