e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,y_H_potential_pie,y_H_potential_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
0.33570273,0.57061358,0.33238197,0.097471114,0.6680847,0.6680847,-0.045560632,-0.045560632,0.33238197,-0.61617421,-0.21844847,-0.18962573,0.14088876,0.17611284,-0.21844543,-0.18962572,0.14097455,0.17619863,0,0,-8.761947e-05,-4.0105924e-06,-0.00267382,-0.00267382,-0.16391732,-0.025838898,-0.0050251256,-0.025838898,-0.00401073,-0.00401073,-0.38226183,-0.18265867,0.098201931,0.13342602,-0.2824502,-0.082847038,0.057202647,0.092426734,-0.099811632,-0.099811632,0.040999284,0.040999284,-0.22524755,0.0095796959,-0.058812347,-0.058812347,-0.22524755,0.0095796959,-0.058812347,-0.058812347,0.049879859,0.085187555,-0.052641299,-0.087865386,0.049879859,0.085187555,-0.052641299,-0.087865386,-8.761947e-05,-4.0105924e-06,-0.00267382,-0.00267382,-0.22533517,0.0095756853,-0.33238197,-0.097471114,-8.761947e-05,-4.0105924e-06,-0.00267382,-0.00267382,0.049879859,0.085187555,-0.052641299,-0.087865386,-0.008761947,-0.00040105924,-0.01069528,-0.01069528,22.405308,27.732187,-0.93384058,-0.93384058,30.27224,30.762942,-0.62259533,-0.62259533,0.33302891,0.56793976,-0.33579035,-0.57061759,-0.045067034,0.0019151371,-0.012297233,-0.012297233,0.1070468,0.1070468,-0.080142682,-0.068156038,0.0199,0.0199,-8.5047454e-19,3.3093173e-17,0,0,0,-1.2656003e-16,0,0,0,0,0.0535234,0.0535234,4.1802199e-06,8.7582017e-09,0.00011796367,0.00011796367
0.33299806,0.57466186,0.31907732,0.077413516,0.65207537,0.65207537,-0.041569956,-0.041569956,0.31907732,-0.61623181,-0.21183319,-0.18218882,0.13748518,0.17371033,-0.21182758,-0.18218882,0.13763142,0.17385657,0,0,-0.00016862772,-5.8457957e-06,-0.0052861421,-0.0052861421,-0.28806241,-0.035597069,-0.0050251256,-0.035597069,-0.0039184832,-0.0039184832,-0.36809077,-0.1628149,0.096038179,0.13226333,-0.27107239,-0.065796519,0.056210496,0.092435649,-0.097018385,-0.097018385,0.039827683,0.039827683,-0.21486189,0.026639129,-0.057190702,-0.057190702,-0.21486189,0.026639129,-0.057190702,-0.057190702,0.049013454,0.085401388,-0.054468224,-0.090693376,0.049013454,0.085401388,-0.054468224,-0.090693376,-0.00016862772,-5.8457957e-06,-0.0052861421,-0.0052861421,-0.21503052,0.026633284,-0.31907732,-0.077413516,-8.1008251e-05,-1.8352033e-06,-0.0026123221,-0.0026123221,-0.00086640583,0.00021383297,-0.0018269246,-0.0028279903,-0.0081884446,-0.00018753092,-0.013123109,-0.013123109,22.106443,27.23021,-1.079416,-1.079416,29.575219,30.073652,-0.69087749,-0.69087749,0.32771191,0.56937572,-0.33316668,-0.5746677,-0.043006103,0.0053266567,-0.012495369,-0.012495369,0.21163152,0.21163152,-0.15876356,-0.13439807,0.0194423,0.0194423,-1.5168188e-17,2.9138309e-17,0,2.3492314e-16,0,-9.691462e-17,0,3.5773155e-16,0,2.5793894e-17,0.0520234,0.0520234,7.71161e-06,1.050448e-08,0.0002010725,0.0002010725
0.33026847,0.5681831,0.3061658,0.068251163,0.63643426,0.63643426,-0.037671065,-0.037671065,0.3061658,-0.60585417,-0.20538094,-0.1762037,0.13416359,0.16981519,-0.20537318,-0.17620369,0.13435144,0.17000304,0,0,-0.00024329217,-5.994672e-06,-0.0078383808,-0.0078383808,-0.38060431,-0.038877769,-0.0050251256,-0.038877769,-0.0038283581,-0.0038283581,-0.35432351,-0.15229778,0.093910453,0.12956205,-0.26003413,-0.058008393,0.055227424,0.090879024,-0.094289382,-0.094289382,0.038683029,0.038683029,-0.2048067,0.032870631,-0.055606354,-0.055606354,-0.2048067,0.032870631,-0.055606354,-0.055606354,0.048157715,0.084046613,-0.056239388,-0.091890988,0.048157715,0.084046613,-0.056239388,-0.091890988,-0.00024329217,-5.994672e-06,-0.0078383808,-0.0078383808,-0.20505,0.032864636,-0.3061658,-0.068251163,-7.4664445e-05,-1.488763e-07,-0.0025522387,-0.0025522387,-0.00085573895,-0.0013547758,-0.0017711642,-0.0011976118,-0.0076350722,-2.0733426e-05,-0.015495097,-0.015495097,21.811401,26.716025,-1.2216433,-1.2216433,28.89533,29.400941,-0.75758916,-0.75758916,0.32243009,0.56034472,-0.33051176,-0.5681891,-0.041009999,0.0065729273,-0.012688947,-0.012688947,0.3138108,0.3138108,-0.23590035,-0.20011107,0.018995127,0.018995127,-2.563721e-17,2.5377286e-17,0,4.53078e-16,0,-6.7207002e-17,0,6.7174058e-16,0,5.3396197e-17,0.0505579,0.0505579,1.0669961e-05,1.0411504e-08,0.00025828409,0.00025828409
0.3275141,0.5576412,0.2936388,0.063511697,0.6211529,0.6211529,-0.033861849,-0.033861849,0.2936388,-0.59150305,-0.19908806,-0.17087335,0.13091761,0.1653906,-0.19907852,-0.17087335,0.13113311,0.16560609,0,0,-0.00031187233,-4.6732755e-06,-0.010331918,-0.010331918,-0.44807353,-0.039558195,-0.0050251256,-0.039558195,-0.0037403058,-0.0037403058,-0.34095104,-0.14560412,0.091817874,0.12629086,-0.24932789,-0.05398097,0.054253173,0.088726159,-0.091623147,-0.091623147,0.037564702,0.037564702,-0.19507472,0.034745188,-0.054058446,-0.054058446,-0.19507472,0.034745188,-0.054058446,-0.054058446,0.047312235,0.08209242,-0.057956026,-0.092429012,0.047312235,0.08209242,-0.057956026,-0.092429012,-0.00031187233,-4.6732755e-06,-0.010331918,-0.010331918,-0.19538659,0.034740515,-0.2936388,-0.063511697,-6.8580161e-05,1.3213966e-06,-0.0024935372,-0.0024935372,-0.00084547933,-0.0019541921,-0.0017166381,-0.00053802373,-0.0071013082,0.00012614499,-0.01781253,-0.01781253,21.52011,26.204934,-1.3605993,-1.3605993,28.232159,28.744424,-0.82276647,-0.82276647,0.31718218,0.54730929,-0.32782597,-0.55764588,-0.039077318,0.006948103,-0.012878073,-0.012878073,0.41363995,0.41363995,-0.31158987,-0.26555535,0.018558239,0.018558239,-5.0114333e-17,2.1795358e-17,0,6.5542105e-16,0,-3.7513012e-17,0,9.4658863e-16,0,8.252515e-17,0.049126106,0.049126106,1.3124175e-05,1.1258134e-08,0.00029630558,0.00029630558
0.32473508,0.54564181,0.28148793,0.060581198,0.60622301,0.60622301,-0.030140244,-0.030140244,0.28148793,-0.57578205,-0.19295096,-0.16587441,0.12774212,0.16082224,-0.19293995,-0.1658744,0.12797496,0.16105508,0,0,-0.00037462,-1.9869989e-06,-0.012768104,-0.012768104,-0.49568983,-0.039203513,-0.0050251256,-0.039203513,-0.0036542788,-0.0036542788,-0.32796455,-0.14051057,0.089759587,0.1228397,-0.23894631,-0.05149233,0.053287491,0.086367606,-0.089018236,-0.089018236,0.036472096,0.036472096,-0.18565882,0.034875277,-0.05254614,-0.05254614,-0.18565882,0.034875277,-0.05254614,-0.05254614,0.046476619,0.079929367,-0.059619343,-0.092699458,0.046476619,0.079929367,-0.059619343,-0.092699458,-0.00037462,-1.9869989e-06,-0.012768104,-0.012768104,-0.18603344,0.03487329,-0.28148793,-0.060581198,-6.2747672e-05,2.6862766e-06,-0.0024361859,-0.0024361859,-0.00083561637,-0.0021630535,-0.0016633172,-0.00027044607,-0.0065866396,0.00026395438,-0.020076662,-0.020076662,21.232503,25.702931,-1.4963593,-1.4963593,27.585301,28.103729,-0.8864447,-0.8864447,0.31196697,0.53287371,-0.3251097,-0.5456438,-0.037206689,0.0069746579,-0.013062849,-0.013062849,0.51117303,0.51117303,-0.38586812,-0.33071894,0.0181314,0.0181314,-6.1113733e-17,1.8379147e-17,0,8.428578e-16,0,-7.8993009e-18,0,1.1863763e-15,0,1.1292949e-16,0.047727244,0.047727244,1.5136777e-05,1.5074709e-08,0.00032015671,0.00032015671
0.32193154,0.5332328,0.26970497,0.058403698,0.5916365,0.5916365,-0.026504237,-0.026504237,0.26970497,-0.55973704,-0.18696613,-0.16107476,0.12463295,0.15626308,-0.18695394,-0.16107474,0.12487557,0.15650569,0,0,-0.00043177941,2.0038646e-06,-0.015148258,-0.015148258,-0.52762449,-0.038445357,-0.0050251256,-0.038445357,-0.0035702304,-0.0035702304,-0.31535545,-0.13611808,0.087734753,0.11936488,-0.22888221,-0.049644847,0.052330133,0.083960256,-0.086473237,-0.086473237,0.03540462,0.03540462,-0.17655208,0.034315409,-0.051068617,-0.051068617,-0.17655208,0.034315409,-0.051068617,-0.051068617,0.045650479,0.077714385,-0.061230516,-0.092860639,0.045650479,0.077714385,-0.061230516,-0.092860639,-0.00043177941,2.0038646e-06,-0.015148258,-0.015148258,-0.17698386,0.034317413,-0.26970497,-0.058403698,-5.7159414e-05,3.9908635e-06,-0.0023801536,-0.0023801536,-0.00082613968,-0.0022149816,-0.0016111733,-0.00016118118,-0.0060905614,0.00039709935,-0.022288718,-0.022288718,20.948516,25.212258,-1.6289969,-1.6289969,26.954364,27.47849,-0.94865833,-0.94865833,0.30678328,0.51808455,-0.32236332,-0.5332308,-0.035396771,0.0068634825,-0.013243375,-0.013243375,0.60646285,0.60646285,-0.45877024,-0.39554518,0.017714377,0.017714377,-2.9832206e-17,1.5116508e-17,0,1.0162457e-15,0,2.157571e-17,0,1.3947899e-15,0,1.4438535e-16,0.046360556,0.046360556,1.6764399e-05,2.3596209e-08,0.0003335922,0.0003335922
0.3191036,0.52083318,0.25828189,0.056552305,0.57738549,0.57738549,-0.022951858,-0.022951858,0.25828189,-0.54378504,-0.18113014,-0.15641955,0.12158667,0.15177248,-0.181117,-0.15641952,0.12183352,0.15201933,0,0,-0.00048358739,7.25764e-06,-0.017473668,-0.017473668,-0.54721012,-0.037538431,-0.0050251256,-0.037538431,-0.0034881151,-0.0034881151,-0.30311533,-0.1320624,0.085742553,0.11592836,-0.21912856,-0.048075628,0.051380856,0.081566667,-0.083986773,-0.083986773,0.034361696,0.034361696,-0.1677477,0.033491039,-0.049625077,-0.049625077,-0.1677477,0.033491039,-0.049625077,-0.049625077,0.04483344,0.075510096,-0.062790695,-0.092976506,0.04483344,0.075510096,-0.062790695,-0.092976506,-0.00048358739,7.25764e-06,-0.017473668,-0.017473668,-0.16823129,0.033498297,-0.25828189,-0.056552305,-5.1807975e-05,5.2537754e-06,-0.0023254101,-0.0023254101,-0.00081703908,-0.0022042891,-0.001560179,-0.00011586718,-0.0056125769,0.00052738141,-0.024449898,-0.024449898,20.668091,24.733642,-1.7585837,-1.7585837,26.338963,26.868353,-1.009441,-1.009441,0.30162993,0.50335952,-0.31958719,-0.52082593,-0.033646258,0.0066996593,-0.013419749,-0.013419749,0.699561,0.699561,-0.5303306,-0.45998536,0.017306947,0.017306947,-2.3005717e-17,1.1996409e-17,0,1.1763967e-15,0,5.0860969e-17,0,1.5751425e-15,0,1.7669345e-16,0.045025301,0.045025301,1.8058229e-05,3.8389621e-08,0.00033941843,0.00033941843
0.31625138,0.5086081,0.24721087,0.054854143,0.56346225,0.56346225,-0.019481183,-0.019481183,0.24721087,-0.52808929,-0.17543963,-0.15188516,0.11860037,0.14737228,-0.17542576,-0.15188511,0.11884745,0.14761936,0,0,-0.00053027348,1.3740569e-05,-0.019745593,-0.019745593,-0.55710848,-0.036585255,-0.0050251256,-0.036585255,-0.0034078885,-0.0034078885,-0.291236,-0.1281952,0.083782186,0.11255409,-0.2096785,-0.046637701,0.050439426,0.079211332,-0.081557498,-0.081557498,0.03334276,0.03334276,-0.15923908,0.032573631,-0.048214738,-0.048214738,-0.15923908,0.032573631,-0.048214738,-0.048214738,0.044025136,0.073341056,-0.064301002,-0.093072909,0.044025136,0.073341056,-0.064301002,-0.093072909,-0.00053027348,1.3740569e-05,-0.019745593,-0.019745593,-0.15976935,0.032587372,-0.24721087,-0.054854143,-4.6686098e-05,6.4829286e-06,-0.0022719256,-0.0022719256,-0.00080830459,-0.0021690403,-0.0015103071,-9.6402434e-05,-0.0051521971,0.0006555505,-0.02656137,-0.02656137,20.391172,24.267205,-1.8851901,-1.8851901,25.738724,26.27297,-1.0688258,-1.0688258,0.29650579,0.48886251,-0.31678165,-0.50859436,-0.03195387,0.0065174743,-0.013592066,-0.013592066,0.7905179,0.7905179,-0.60058277,-0.52400481,0.016908887,0.016908887,-2.4331364e-17,9.008821e-18,0,1.3240796e-15,0,7.9912023e-17,0,1.7304123e-15,0,2.0967663e-16,0.043720757,0.043720757,1.9064434e-05,6.0890168e-08,0.00033973098,0.00033973098
0.313375,0.49662033,0.23648424,0.053238912,0.54985924,0.54985924,-0.016090334,-0.016090334,0.23648424,-0.51271066,-0.16989133,-0.14746061,0.11567159,0.14306937,-0.16987691,-0.14746055,0.11591602,0.1433138,0,0,-0.00057206016,2.1422477e-05,-0.021965265,-0.021965265,-0.55944477,-0.035626905,-0.0050251256,-0.035626905,-0.003329507,-0.003329507,-0.27970945,-0.12445538,0.081852868,0.10925064,-0.20052535,-0.045271285,0.049505609,0.076903386,-0.079184096,-0.079184096,0.032347259,0.032347259,-0.15101974,0.031632101,-0.046836837,-0.046836837,-0.15101974,0.031632101,-0.046836837,-0.046836837,0.043225209,0.071216468,-0.065762534,-0.093160311,0.043225209,0.071216468,-0.065762534,-0.093160311,-0.00057206016,2.1422477e-05,-0.021965265,-0.021965265,-0.1515918,0.031653524,-0.23648424,-0.053238912,-4.1786673e-05,7.6819087e-06,-0.0022196713,-0.0022196713,-0.00079992641,-0.0021245876,-0.0014615316,-8.740184e-05,-0.0047089408,0.00078193144,-0.028624279,-0.028624279,20.117709,23.812828,-2.0088845,-2.0088845,25.153281,25.692001,-1.1268446,-1.1268446,0.29140974,0.47465506,-0.31394706,-0.4965989,-0.03031836,0.0063307047,-0.01376042,-0.01376042,0.87938279,0.87938279,-0.66955956,-0.58757907,0.016519983,0.016519983,-3.6744703e-17,6.1446221e-18,0,1.4600223e-15,0,1.0869032e-16,0,1.8632752e-15,0,2.4317755e-16,0.042446218,0.042446218,1.9824556e-05,9.2413149e-08,0.00033609276,0.00033609276
0.31047457,0.48489136,0.22609453,0.051677744,0.5365691,0.5365691,-0.012777475,-0.012777475,0.22609453,-0.49766883,-0.16448202,-0.14314008,0.11279817,0.13886477,-0.1644672,-0.14313998,0.11303793,0.13910453,0,0,-0.00060916289,3.0275021e-05,-0.024133883,-0.024133883,-0.55591503,-0.034679655,-0.0050251256,-0.034679655,-0.0032529284,-0.0032529284,-0.26852785,-0.1208171,0.079953835,0.10602044,-0.19166256,-0.043951816,0.048579181,0.074645783,-0.076865283,-0.076865283,0.031374654,0.031374654,-0.14308338,0.030693967,-0.045490628,-0.045490628,-0.14308338,0.030693967,-0.045490628,-0.045490628,0.042433314,0.069139355,-0.067176361,-0.093242963,0.042433314,0.069139355,-0.067176361,-0.093242963,-0.00060916289,3.0275021e-05,-0.024133883,-0.024133883,-0.14369255,0.030724242,-0.22609453,-0.051677744,-3.7102736e-05,8.8525441e-06,-0.0021686189,-0.0021686189,-0.00079189493,-0.0020771137,-0.0014138267,-8.2652656e-05,-0.0042823338,0.00090667689,-0.03063974,-0.03063974,19.847654,23.370299,-2.129734,-2.129734,24.582279,25.125115,-1.183529,-1.183529,0.28634069,0.46075747,-0.31108373,-0.48486108,-0.028738509,0.0061448484,-0.013924902,-0.013924902,0.96620378,0.96620378,-0.73729304,-0.65068988,0.016140023,0.016140023,-4.4795131e-17,3.3955066e-18,0,1.5849139e-15,0,1.371626e-16,0,1.9761362e-15,0,2.7705665e-16,0.041200993,0.041200993,2.0375876e-05,1.3416014e-07,0.00032966755,0.00032966755
